SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
LICNFNHGP, EQ, 01-Jan-2020,127.36,127.7,130.15,126.2, 129.95,128.62,129.26,139,0.18,10, 109, 78.42,0.99
LICNFNHGP, EQ, 01-Jan-2021,140.84,139.0,141.88,137.6, 141.24,141.19,140.96,577,0.81,33, 531, 92.03,0.25
LICNFNHGP, EQ, 01-Jan-2024,235.29,235.0,239.31,233.3, 235.25,235.83,235.84,699,1.65,102, 419, 59.94,0.23
LICNFNHGP, EQ, 01-Jan-2025,264.12,260.02,267.55,260.02,266.19,265.86,265.53,300,0.8,45, 256, 85.33,0.66
LICNFNHGP, EQ, 01-Feb-2021,147.11,147.11,147.11,142.95, 145.11,145.11,144.47,1119,1.62,105, 688, 61.48,-1.36
LICNFNHGP, EQ, 01-Feb-2022,185.86,189.6,189.6,186.6,188.5,188.05,188.9,133939,253.01,142, 132699, 99.07,1.18
LICNFNHGP, EQ, 01-Feb-2023,190.25,189.8,192.1,189.0, 191.25,191.2,190.87,148,0.28,30, 64, 43.24,0.5
LICNFNHGP, EQ, 01-Feb-2024,235.02,235.49,238.45,234.84, 235.00,235.86,236.47,5273,12.47,147, 180, 3.41,0.36
LICNFNHGP, EQ, 01-Mar-2021,150.12,154.0,154.0,150.0, 150.01,150.4,151.12,141,0.21,37, 89, 63.12,0.19
LICNFNHGP, EQ, 01-Mar-2023,184.0,185.0,185.25,185.0, 185.25,185.25,185.08,3,0.01,3, 1, 33.33,0.68
LICNFNHGP, EQ, 01-Mar-2024,242.71,243.0,244.87,241.79, 244.87,243.52,243.58,391,0.95,41, 134, 34.27,0.33
LICNFNHGP, EQ, 01-Apr-2020,101.0,100.0,103.0,85.0,100.0,93.52,91.11,1007,0.92,82, 721, 71.60,-7.41
LICNFNHGP, EQ, 01-Apr-2021,148.44,150.0,152.2,148.44, 151.95,151.08,150.97,68,0.1,21, 52, 76.47,1.78
LICNFNHGP, EQ, 01-Apr-2022,186.5,185.0,188.45,185.0, 188.28,188.01,187.87,6861,12.89,84, 6008, 87.57,0.81
LICNFNHGP, EQ, 01-Apr-2024,243.81,248.7,248.7,240.08, 241.07,242.72,243.73,3338,8.14,136, 697, 20.88,-0.45
LICNFNHGP, EQ, 01-Apr-2025,262.4,261.37,262.32,256.06,258.95,257.07,258.89,1910,4.94,69, 1776, 92.98,-2.03
LICNFNHGP, EQ, 01-Jun-2020,97.25,98.11,103.15,98.11, 99.21,99.42,100.57,389,0.39,30, 335, 86.12,2.23
LICNFNHGP, EQ, 01-Jun-2021,163.92,167.9,169.88,159.95, 163.00,162.31,164.44,4258,7.0,353, 1978, 46.45,-0.98
