SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
LIQUIDCASE, EQ, 01-Jan-2025,106.21,106.24,106.24,106.22,106.24,106.23,106.23,5692315,6047.13,23240, 4501166, 79.07,0.02
LIQUIDCASE, EQ, 01-Feb-2024,100.35,100.37,100.37,100.35, 100.37,100.36,100.37,281392,282.43,382, 277703, 98.69,0.01
LIQUIDCASE, EQ, 01-Mar-2024,100.85,100.89,100.91,100.89, 100.91,100.9,100.91,1417197,1430.07,648, 1411381, 99.59,0.05
LIQUIDCASE, EQ, 01-Apr-2024,101.41,101.42,101.42,101.4, 101.41,101.4,101.41,13980166,14177.53,25917, 9441073, 67.53,-0.01
LIQUIDCASE, EQ, 01-Apr-2025,107.83,107.85,107.85,107.82,107.83,107.83,107.84,13701442,14774.99,8483, 11690158, 85.32,0.0
LIQUIDCASE, EQ, 01-Jul-2024,102.98,103.01,103.01,102.99,103.01,103.0,103.0,2960662,3049.59,5354, 2526436, 85.33,0.02
LIQUIDCASE, EQ, 01-Aug-2024,103.52,103.55,103.55,103.53,103.55,103.54,103.55,3096146,3205.92,4942, 2771391, 89.51,0.02
LIQUIDCASE, EQ, 01-Oct-2024,104.57,104.62,104.62,104.6,104.62,104.61,104.62,10662497,11154.8,35018, 9754899, 91.49,0.04
LIQUIDCASE, EQ, 02-Jan-2025,106.23,109.4,109.4,106.24,106.26,106.25,106.25,9171932,9745.59,13519, 7925517, 86.41,0.02
LIQUIDCASE, EQ, 02-Feb-2024,100.36,100.43,100.43,100.41, 100.43,100.42,100.43,548175,550.51,424, 448012, 81.73,0.06
LIQUIDCASE, EQ, 02-Apr-2024,101.4,101.44,101.44,98.35, 101.44,101.43,101.43,10792265,10946.41,15405, 8218896, 76.16,0.03
LIQUIDCASE, EQ, 02-Apr-2025,107.83,108.94,108.94,107.84,107.86,107.85,107.86,8037338,8668.77,9063, 7924012, 98.59,0.02
LIQUIDCASE, EQ, 02-May-2024,101.93,101.96,101.96,98.85, 101.96,101.95,101.95,3897714,3973.62,10608, 3833285, 98.35,0.02
LIQUIDCASE, EQ, 02-Jul-2024,103.0,103.03,103.03,103.01,103.02,103.02,103.02,5440990,5605.23,26351, 3743208, 68.80,0.02
LIQUIDCASE, EQ, 02-Aug-2024,103.54,103.6,103.6,103.58,103.6,103.59,103.6,7488454,7757.78,5615, 7011127, 93.63,0.05
LIQUIDCASE, EQ, 02-Sep-2024,104.06,107.2,107.2,104.08,104.1,104.09,104.09,2763576,2876.7,10545, 2320622, 83.97,0.03
LIQUIDCASE, EQ, 02-Dec-2024,105.67,106.8,106.8,105.68,105.69,105.69,105.69,6324448,6684.17,21531, 4728356, 74.76,0.02
LIQUIDCASE, EQ, 03-Jan-2025,106.25,106.32,106.32,106.3,106.32,106.31,106.32,12553123,13346.12,12002, 11687281, 93.10,0.06
LIQUIDCASE, EQ, 03-Feb-2025,106.82,106.84,106.84,106.82,106.84,106.83,106.83,11121747,11881.57,26791, 7717799, 69.39,0.01
LIQUIDCASE, EQ, 03-Mar-2025,107.31,104.1,107.33,104.1,107.33,107.32,107.33,15516885,16653.57,13026, 13825628, 89.10,0.01
LIQUIDCASE, EQ, 03-Apr-2024,101.43,101.46,101.46,101.44, 101.45,101.45,101.46,4109934,4169.82,7328, 4054749, 98.66,0.02
LIQUIDCASE, EQ, 03-Apr-2025,107.85,111.1,111.1,107.86,107.88,107.87,107.88,16475984,17773.92,9600, 15892003, 96.46,0.02
LIQUIDCASE, EQ, 03-May-2024,101.95,102.01,102.01,101.99, 102.01,102.0,102.0,4006096,4086.3,4970, 2743720, 68.49,0.05
LIQUIDCASE, EQ, 03-Jun-2024,102.48,102.52,102.52,102.5,102.52,102.51,102.51,5882186,6029.99,7512, 4102647, 69.75,0.03
LIQUIDCASE, EQ, 03-Jul-2024,103.02,103.02,103.04,103.02,103.04,103.03,103.03,2331923,2402.67,6856, 2148879, 92.15,0.01
LIQUIDCASE, EQ, 03-Sep-2024,104.09,107.2,107.2,104.1,104.12,104.11,104.12,4081641,4249.66,8032, 3770272, 92.37,0.02
LIQUIDCASE, EQ, 03-Oct-2024,104.61,107.75,107.75,101.45,104.64,104.63,104.63,10216355,10689.6,27551, 7141039, 69.90,0.02
LIQUIDCASE, EQ, 03-Dec-2024,105.69,105.71,105.71,105.69,105.71,105.7,105.7,5868745,6203.34,14407, 4332176, 73.82,0.01
LIQUIDCASE, EQ, 04-Feb-2025,106.83,106.86,106.86,106.84,106.86,106.85,106.86,7658410,8183.46,19397, 6896798, 90.06,0.02
LIQUIDCASE, EQ, 04-Mar-2024,100.9,103.95,103.95,100.91, 100.93,100.92,100.93,771673,778.84,614, 732798, 94.96,0.02
LIQUIDCASE, EQ, 04-Mar-2025,107.32,107.35,107.35,107.33,107.35,107.33,107.34,7437110,7982.86,7271, 5539803, 74.49,0.01
LIQUIDCASE, EQ, 04-Apr-2024,101.45,101.47,101.47,101.45, 101.47,101.46,101.47,4923944,4996.2,5912, 4625770, 93.94,0.01
LIQUIDCASE, EQ, 04-Apr-2025,107.87,107.93,107.93,107.91,107.92,107.92,107.93,24640614,26594.06,14766, 23429416, 95.08,0.05
LIQUIDCASE, EQ, 04-Jun-2024,102.51,102.53,102.53,102.51,102.53,102.51,102.52,7594157,7785.36,8331, 5290164, 69.66,0.0
LIQUIDCASE, EQ, 04-Jul-2024,103.03,103.06,103.06,103.04,103.06,103.05,103.06,6061320,6246.66,6284, 5980696, 98.67,0.02
LIQUIDCASE, EQ, 04-Sep-2024,104.11,107.25,107.25,104.11,104.13,104.12,104.13,7581313,7894.23,17955, 7358470, 97.06,0.01
LIQUIDCASE, EQ, 04-Oct-2024,104.63,103.0,106.72,103.0,104.69,104.69,104.7,8859117,9275.25,18909, 8265918, 93.30,0.06
