SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
LOKESHMACH, EQ, 01-Jan-2020,33.4,33.15,34.45,33.1, 34.40,33.95,33.56,13068,4.39,143, 12162, 93.07,1.65
LOKESHMACH, EQ, 01-Jan-2021,34.05,34.05,36.7,33.75, 35.40,35.4,35.65,69359,24.72,507, 31343, 45.19,3.96
LOKESHMACH, EQ, 01-Jan-2024,364.35,365.0,365.0,357.0, 359.05,358.75,360.62,44225,159.48,1324, 27230, 61.57,-1.54
LOKESHMACH, EQ, 01-Jan-2025,314.15,313.45,323.55,311.15,319.75,320.15,320.1,85787,274.61,2469, 59075, 68.86,1.91
LOKESHMACH, EQ, 01-Feb-2022,74.45,75.5,75.5,70.1,71.05,71.05,71.81,212465,152.58,2597, 113958, 53.64,-4.57
LOKESHMACH, EQ, 01-Feb-2023,113.4,114.65,115.75,110.1, 111.65,110.5,112.28,42004,47.16,494, 28233, 67.22,-2.56
LOKESHMACH, EQ, 01-Feb-2024,352.25,361.0,361.0,351.35, 353.00,353.15,355.29,37224,132.25,2866, 20482, 55.02,0.26
LOKESHMACH, EQ, 01-Mar-2023,109.2,109.4,112.5,109.25, 112.50,110.75,110.76,33822,37.46,450, 25543, 75.52,1.42
LOKESHMACH, EQ, 01-Mar-2024,329.2,341.95,341.95,325.0, 330.40,330.25,331.61,69178,229.4,5316, 35770, 51.71,0.32
LOKESHMACH, EQ, 01-Apr-2020,15.2,15.1,16.0,14.5,15.65,15.6,15.38,10188,1.57,74, 3484, 34.20,2.63
LOKESHMACH, EQ, 01-Apr-2022,76.85,77.15,81.0,76.55, 80.20,79.75,78.98,59683,47.14,1176, 34695, 58.13,3.77
LOKESHMACH, EQ, 01-Apr-2024,370.65,370.65,386.45,365.55, 381.05,380.75,378.07,128429,485.56,10433, 66479, 51.76,2.72
LOKESHMACH, EQ, 01-Jun-2020,19.35,20.65,20.65,18.0, 18.40,18.3,18.82,91677,17.25,641, 60852, 66.38,-5.43
LOKESHMACH, EQ, 01-Jun-2022,79.3,78.7,81.3,77.35,78.4,78.35,78.91,57134,45.08,1063, 37673, 65.94,-1.2
LOKESHMACH, EQ, 01-Jun-2023,142.95,141.7,145.8,141.7, 143.10,143.1,143.95,75843,109.17,1749, 40052, 52.81,0.1
LOKESHMACH, EQ, 01-Jul-2020,22.3,22.05,26.75,21.45, 24.75,24.95,25.5,804827,205.2,3307, 231523, 28.77,11.88
LOKESHMACH, EQ, 01-Jul-2022,75.15,75.1,75.95,73.05,73.35,73.5,74.25,41812,31.05,611, 28948, 69.23,-2.2
LOKESHMACH, EQ, 01-Aug-2022,88.8,89.45,93.25,89.0, 91.00,91.45,91.76,168686,154.78,1543, 89629, 53.13,2.98
