SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
LOYALTEX, EQ, 01-Jan-2024,674.55,679.85,685.95,650.55, 652.50,657.3,660.67,1137,7.51,188, 729, 64.12,-2.56
LOYALTEX, EQ, 01-Feb-2023,722.05,700.3,723.95,682.05, 702.30,706.4,712.13,310,2.21,67, 188, 60.65,-2.17
LOYALTEX, EQ, 01-Feb-2024,655.5,648.95,679.0,647.95, 675.00,668.4,662.64,570,3.78,134, 356, 62.46,1.97
LOYALTEX, EQ, 01-Mar-2023,614.7,620.7,624.65,614.05, 615.00,619.35,620.18,602,3.73,101, 507, 84.22,0.76
LOYALTEX, EQ, 01-Mar-2024,618.9,617.4,617.85,600.15, 613.00,604.8,611.58,835,5.11,199, 682, 81.68,-2.28
LOYALTEX, EQ, 01-Apr-2024,514.6,525.0,580.0,501.1, 527.25,531.35,537.03,5870,31.52,824, 2305, 39.27,3.25
LOYALTEX, EQ, 01-Jun-2023,654.55,642.3,675.6,635.7, 667.95,667.35,657.61,597,3.93,120, 309, 51.76,1.96
LOYALTEX, EQ, 01-Jul-2024,580.7,592.05,609.95,575.2,578.2,583.3,588.22,3145,18.5,443, 2529, 80.41,0.45
LOYALTEX, EQ, 01-Aug-2023,666.35,681.1,683.8,670.95, 680.00,679.45,679.91,2124,14.44,192, 1395, 65.68,1.97
LOYALTEX, EQ, 01-Aug-2024,718.7,769.9,772.6,655.0,655.0,660.7,716.69,59525,426.61,3854, 24761, 41.60,-8.07
LOYALTEX, EQ, 01-Sep-2022,949.6,964.05,965.5,890.05,904.0,901.0,914.07,4033,36.86,521, 3328, 82.52,-5.12
LOYALTEX, EQ, 01-Sep-2023,632.5,635.75,652.0,631.0, 650.00,649.35,641.81,341,2.19,74, 200, 58.65,2.66
LOYALTEX, EQ, 01-Oct-2024,502.7,519.0,571.0,503.0,550.15,553.4,547.5,10251,56.12,1118, 3729, 36.38,10.09
LOYALTEX, EQ, 01-Nov-2022,778.25,804.35,805.05,769.85,778.0,782.25,775.41,1805,14.0,117, 1477, 81.83,0.51
LOYALTEX, EQ, 01-Nov-2023,619.55,612.95,623.2,599.25, 621.95,621.3,614.79,383,2.35,98, 223, 58.22,0.28
LOYALTEX, EQ, 01-Dec-2022,799.6,815.6,825.0,773.6,792.2,806.55,799.79,1793,14.34,268, 1192, 66.48,0.87
LOYALTEX, EQ, 01-Dec-2023,638.65,639.95,639.95,628.6, 632.80,630.6,633.81,314,1.99,67, 235, 74.84,-1.26
LOYALTEX, EQ, 02-Jan-2023,746.8,736.6,771.7,736.6, 765.00,762.6,759.6,1008,7.66,92, 635, 63.00,2.12
LOYALTEX, EQ, 02-Jan-2024,657.3,661.0,665.95,639.95, 641.00,651.15,651.44,1660,10.81,203, 1120, 67.47,-0.94
LOYALTEX, EQ, 02-Feb-2023,706.4,747.95,747.95,697.55, 702.10,706.6,711.14,313,2.23,82, 155, 49.52,0.03
LOYALTEX, EQ, 02-Feb-2024,668.4,669.3,690.0,649.25, 689.00,687.95,678.58,1907,12.94,154, 1505, 78.92,2.92
LOYALTEX, EQ, 02-Mar-2023,619.35,620.1,621.95,601.0, 605.65,605.1,609.82,283,1.73,91, 211, 74.56,-2.3
LOYALTEX, EQ, 02-Apr-2024,531.35,535.45,589.55,532.55, 567.00,560.95,560.97,5951,33.38,765, 1587, 26.67,5.57
LOYALTEX, EQ, 02-May-2023,675.0,657.6,705.0,657.5, 703.80,700.8,696.66,1483,10.33,158, 1261, 85.03,3.82
LOYALTEX, EQ, 02-May-2024,565.5,568.15,629.95,559.8, 593.40,599.0,593.01,5644,33.47,637, 3261, 57.78,5.92
LOYALTEX, EQ, 02-Jun-2023,667.35,623.0,686.8,623.0, 638.50,650.25,655.69,419,2.75,128, 283, 67.54,-2.56
LOYALTEX, EQ, 02-Jul-2024,583.3,582.45,587.8,576.0,581.9,579.25,579.94,1511,8.76,231, 1065, 70.48,-0.69
LOYALTEX, EQ, 02-Aug-2023,679.45,680.95,686.05,666.4, 672.00,666.7,676.08,296,2.0,64, 170, 57.43,-1.88
LOYALTEX, EQ, 02-Aug-2024,660.7,644.0,654.95,611.15,628.3,627.4,629.68,9574,60.29,873, 5068, 52.94,-5.04
LOYALTEX, EQ, 02-Sep-2022,901.0,881.0,921.25,849.0,855.0,853.65,871.98,6483,56.53,492, 5169, 79.73,-5.26
LOYALTEX, EQ, 02-Sep-2024,579.85,593.75,593.75,568.25,574.0,571.4,576.1,2707,15.59,292, 1952, 72.11,-1.46
LOYALTEX, EQ, 02-Nov-2022,782.25,795.05,809.55,773.95,806.0,804.45,798.93,1853,14.8,107, 1642, 88.61,2.84
LOYALTEX, EQ, 02-Nov-2023,621.3,589.85,622.95,589.85, 615.00,614.4,616.73,306,1.89,87, 240, 78.43,-1.11
LOYALTEX, EQ, 02-Dec-2022,806.55,803.85,828.55,771.0, 793.35,800.2,799.34,2476,19.79,312, 1432, 57.84,-0.79
LOYALTEX, EQ, 03-Jan-2023,762.6,780.05,795.0,750.0, 765.15,771.55,775.38,1042,8.08,159, 506, 48.56,1.17
LOYALTEX, EQ, 03-Jan-2024,651.15,658.3,669.95,642.15, 669.00,667.85,658.58,534,3.52,122, 274, 51.31,2.56
LOYALTEX, EQ, 03-Feb-2023,706.6,725.05,725.05,693.0, 693.00,695.85,700.78,286,2.0,83, 143, 50.00,-1.52
LOYALTEX, EQ, 03-Mar-2023,605.1,619.15,619.4,608.45, 617.00,611.35,614.98,2075,12.76,157, 1907, 91.90,1.03
LOYALTEX, EQ, 03-Apr-2023,538.2,570.05,599.8,543.9, 577.45,572.45,567.64,280,1.59,159, 64, 22.86,6.36
LOYALTEX, EQ, 03-Apr-2024,560.95,555.6,630.0,542.25, 602.50,600.0,598.64,6065,36.31,848, 2397, 39.52,6.96
LOYALTEX, EQ, 03-May-2023,700.8,735.0,735.4,714.95,730.0,727.5,727.67,1915,13.93,212, 1324, 69.14,3.81
LOYALTEX, EQ, 03-May-2024,599.0,608.9,613.7,586.85, 587.50,589.35,598.52,2543,15.22,225, 1945, 76.48,-1.61
LOYALTEX, EQ, 03-Jun-2024,550.15,555.0,555.85,542.05,546.0,548.15,552.38,1856,10.25,325, 976, 52.59,-0.36
LOYALTEX, EQ, 03-Jul-2023,678.65,665.95,699.05,663.1, 663.10,669.45,682.57,390,2.66,88, 269, 68.97,-1.36
LOYALTEX, EQ, 03-Jul-2024,579.25,582.65,615.0,572.55,581.15,589.95,592.36,4680,27.72,450, 3061, 65.41,1.85
LOYALTEX, EQ, 03-Aug-2023,666.7,672.25,672.25,661.0, 666.00,666.75,665.39,598,3.98,45, 530, 88.63,0.01
LOYALTEX, EQ, 03-Sep-2024,571.4,571.4,573.9,560.0,561.0,560.8,563.87,3013,16.99,282, 2305, 76.50,-1.86
LOYALTEX, EQ, 03-Oct-2022,836.1,840.7,840.75,799.0,799.0,802.9,816.11,295,2.41,122, 218, 73.90,-3.97
LOYALTEX, EQ, 03-Oct-2023,639.45,645.8,650.0,630.1, 636.00,635.7,640.85,167,1.07,63, 62, 37.13,-0.59
LOYALTEX, EQ, 03-Oct-2024,553.4,551.0,551.0,515.3,521.0,519.85,534.41,2173,11.61,422, 1251, 57.57,-6.06
LOYALTEX, EQ, 03-Nov-2022,804.45,801.95,810.0,794.55,799.15,801.7,800.9,701,5.61,74, 601, 85.73,-0.34
LOYALTEX, EQ, 03-Nov-2023,614.4,604.0,621.35,601.0, 608.00,607.95,610.53,857,5.23,117, 549, 64.06,-1.05
LOYALTEX, EQ, 04-Jan-2023,771.55,770.1,777.0,744.45, 777.00,763.0,759.89,909,6.91,153, 483, 53.14,-1.11
LOYALTEX, EQ, 04-Jan-2024,667.85,671.5,673.95,658.1, 673.00,668.55,666.64,545,3.63,134, 299, 54.86,0.1
LOYALTEX, EQ, 04-Mar-2024,615.0,618.1,618.1,596.05, 601.00,598.35,605.7,1406,8.52,226, 1026, 72.97,-2.71
LOYALTEX, EQ, 04-Apr-2024,600.0,605.0,625.0,581.0, 585.45,589.8,603.16,3119,18.81,358, 1370, 43.92,-1.7
LOYALTEX, EQ, 04-May-2023,727.5,730.05,732.35,688.85, 707.00,707.75,713.49,425,3.03,50, 347, 81.65,-2.71
LOYALTEX, EQ, 04-Jun-2024,548.15,561.0,561.0,505.15,524.7,519.7,533.2,702,3.74,134, 476, 67.81,-5.19
LOYALTEX, EQ, 04-Jul-2023,669.45,669.45,720.75,669.45, 682.00,674.55,680.76,441,3.0,100, 196, 44.44,0.76
LOYALTEX, EQ, 04-Jul-2024,589.95,589.0,618.0,586.5,610.3,602.1,606.01,7709,46.72,404, 6323, 82.02,2.06
LOYALTEX, EQ, 04-Aug-2023,666.75,684.05,684.55,665.0, 665.00,668.7,672.81,162,1.09,70, 58, 35.80,0.29
LOYALTEX, EQ, 04-Sep-2023,649.35,655.0,666.0,630.15, 666.00,655.0,648.27,2148,13.92,285, 1364, 63.50,0.87
LOYALTEX, EQ, 04-Sep-2024,560.8,573.75,573.75,552.4,561.95,558.75,557.81,2710,15.12,240, 1180, 43.54,-0.37
LOYALTEX, EQ, 04-Oct-2022,802.9,840.05,848.05,816.95, 817.00,821.2,827.23,524,4.33,55, 334, 63.74,2.28
LOYALTEX, EQ, 04-Oct-2023,635.7,641.45,649.45,628.55, 635.00,634.15,637.88,659,4.2,107, 489, 74.20,-0.24
