SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
LUPIN, EQ, 01-Jan-2020,763.45,765.3,773.25,765.3, 771.80,771.15,769.67,465429,3582.27,14055, 45743, 9.83,1.01
LUPIN, EQ, 01-Jan-2021,976.85,977.95,1009.95,975.1, 1002.15,1000.9,999.14,4697860,46938.2,75273, 869250, 18.50,2.46
LUPIN, EQ, 01-Jan-2024,1322.95,1324.0,1330.0,1308.65, 1311.30,1312.85,1315.47,854557,11241.45,33909, 462020, 54.07,-0.76
LUPIN, EQ, 01-Jan-2025,2355.7,2354.0,2369.4,2336.8,2368.0,2364.9,2354.12,735846,17322.72,65622, 334251, 45.42,0.39
LUPIN, EQ, 01-Feb-2021,1007.6,1008.0,1010.0,978.0, 990.50,988.4,992.68,3169169,31459.74,61538, 957868, 30.22,-1.91
LUPIN, EQ, 01-Feb-2022,908.1,922.0,923.3,900.55,903.6,904.05,911.36,1225551,11169.19,38010, 456363, 37.24,-0.45
LUPIN, EQ, 01-Feb-2023,737.3,740.0,750.5,728.15, 733.20,737.4,742.31,355127,2636.14,12655, 132755, 37.38,0.01
LUPIN, EQ, 01-Feb-2024,1505.35,1514.0,1521.35,1491.05, 1516.50,1513.7,1507.07,1321923,19922.29,49334, 747086, 56.52,0.55
LUPIN, EQ, 01-Mar-2021,1018.35,1023.45,1034.9,1011.0, 1024.00,1023.15,1023.63,1824557,18676.73,29505, 360002, 19.73,0.47
LUPIN, EQ, 01-Mar-2023,659.25,653.2,662.5,651.3, 662.50,661.4,657.62,721794,4746.66,21376, 313197, 43.39,0.33
LUPIN, EQ, 01-Mar-2024,1621.05,1621.0,1637.75,1617.0, 1623.00,1624.55,1630.18,833767,13591.87,51885, 486328, 58.33,0.22
LUPIN, EQ, 01-Apr-2020,589.65,589.85,590.8,575.45,580.6,579.05,581.56,1298954,7554.18,62596, 568262, 43.75,-1.8
LUPIN, EQ, 01-Apr-2021,1020.45,1033.0,1034.95,1019.1, 1024.00,1027.0,1028.53,1089119,11201.89,32133, 388526, 35.67,0.64
LUPIN, EQ, 01-Apr-2022,747.05,744.95,766.9,735.8, 763.45,765.5,754.22,1096987,8273.68,26176, 275286, 25.09,2.47
LUPIN, EQ, 01-Apr-2024,1616.8,1650.0,1684.75,1608.6, 1618.95,1623.75,1636.48,1537859,25166.77,87707, 487492, 31.70,0.43
LUPIN, EQ, 01-Apr-2025,2027.95,2017.65,2021.95,1944.05,1960.0,1955.4,1971.47,1111639,21915.61,67273, 646586, 58.17,-3.58
LUPIN, EQ, 01-Jun-2020,869.8,875.0,876.0,846.1, 850.00,849.7,856.08,5214034,44636.25,115366, 1588939, 30.47,-2.31
LUPIN, EQ, 01-Jun-2021,1219.5,1221.0,1224.9,1200.0, 1207.95,1209.2,1210.05,1062305,12854.38,32311, 328351, 30.91,-0.84
LUPIN, EQ, 01-Jun-2022,618.6,621.55,624.05,604.25,606.8,607.95,612.74,1686662,10334.87,29766, 791239, 46.91,-1.72
LUPIN, EQ, 01-Jun-2023,804.5,806.0,817.35,805.0, 813.50,812.15,812.86,905122,7357.39,29692, 333764, 36.88,0.95
LUPIN, EQ, 01-Jul-2020,911.8,910.05,910.95,891.55, 905.65,903.4,899.47,2184248,19646.67,56972, 685686, 31.39,-0.92
LUPIN, EQ, 01-Jul-2021,1149.1,1148.0,1153.95,1139.5, 1145.70,1146.2,1146.2,821431,9415.26,19632, 379591, 46.21,-0.25
LUPIN, EQ, 01-Jul-2022,610.95,613.1,630.55,608.7,627.3,628.3,617.92,908035,5610.9,26006, 118638, 13.07,2.84
LUPIN, EQ, 01-Jul-2024,1621.35,1615.05,1623.45,1598.25,1616.0,1616.05,1610.75,866625,13959.16,62884, 488978, 56.42,-0.33
LUPIN, EQ, 01-Aug-2022,644.1,649.1,652.45,635.05, 641.00,641.15,641.72,1124106,7213.62,22208, 364223, 32.40,-0.46
