SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
LUXIND, EQ, 01-Jan-2020,1284.65,1285.45,1291.45,1271.0, 1279.00,1279.3,1282.73,47428,608.38,1123, 3285, 6.93,-0.42
LUXIND, EQ, 01-Jan-2021,1652.1,1660.25,1677.0,1640.0, 1640.00,1665.5,1667.99,41403,690.6,2228, 5753, 13.90,0.81
LUXIND, EQ, 01-Jan-2024,1300.0,1301.05,1313.7,1297.5, 1299.50,1300.7,1303.47,84687,1103.87,6973, 59004, 69.67,0.05
LUXIND, EQ, 01-Jan-2025,2011.3,2011.0,2050.0,1979.6,2022.0,2031.35,2022.49,53211,1076.19,9308, 14317, 26.91,1.0
LUXIND, EQ, 01-Feb-2021,1638.6,1638.5,1653.35,1610.0, 1648.05,1643.2,1629.62,36672,597.61,4543, 13788, 37.60,0.28
LUXIND, EQ, 01-Feb-2022,2690.5,2739.7,2739.7,2628.2,2700.0,2691.1,2680.68,129966,3483.97,16128, 41981, 32.30,0.02
LUXIND, EQ, 01-Feb-2023,1463.45,1471.9,1511.5,1463.45, 1479.95,1478.9,1488.5,23013,342.55,4951, 9416, 40.92,1.06
LUXIND, EQ, 01-Feb-2024,1246.35,1244.95,1244.95,1226.35, 1229.95,1229.1,1232.35,96926,1194.47,8586, 56698, 58.50,-1.38
LUXIND, EQ, 01-Mar-2021,1732.2,1764.0,1774.0,1721.3, 1746.10,1749.0,1749.73,32513,568.89,1757, 3050, 9.38,0.97
LUXIND, EQ, 01-Mar-2023,1273.15,1274.0,1356.9,1274.0, 1320.15,1333.0,1323.07,100823,1333.96,12254, 30696, 30.45,4.7
LUXIND, EQ, 01-Mar-2024,1171.5,1179.95,1186.55,1149.0, 1150.00,1150.35,1157.35,86604,1002.31,10065, 57814, 66.76,-1.81
LUXIND, EQ, 01-Apr-2020,944.95,954.95,954.95,892.0,920.0,922.35,910.85,42658,388.55,3864, 12550, 29.42,-2.39
LUXIND, EQ, 01-Apr-2021,1748.35,1748.0,1844.0,1748.0, 1820.00,1827.6,1806.72,59525,1075.45,5169, 17523, 29.44,4.53
LUXIND, EQ, 01-Apr-2022,2190.95,2200.0,2629.1,2200.0, 2524.35,2533.15,2493.83,444064,11074.2,39734, 121684, 27.40,15.62
LUXIND, EQ, 01-Apr-2024,1074.35,1075.0,1130.7,1075.0, 1128.05,1127.0,1110.63,55503,616.43,7724, 24819, 44.72,4.9
LUXIND, EQ, 01-Apr-2025,1375.35,1371.25,1403.0,1360.15,1382.3,1380.35,1381.49,25866,357.33,4069, 9071, 35.07,0.36
LUXIND, EQ, 01-Jun-2020,917.2,921.8,970.0,902.3, 950.35,951.9,947.62,58271,552.18,4966, 24956, 42.83,3.78
LUXIND, EQ, 01-Jun-2021,3105.85,3133.25,3189.9,2944.5, 3014.00,3011.2,3035.16,180243,5470.66,21828, 60523, 33.58,-3.05
LUXIND, EQ, 01-Jun-2022,2006.35,2019.0,2040.0,2003.05,2020.0,2021.45,2020.16,61436,1241.11,8166, 22994, 37.43,0.75
LUXIND, EQ, 01-Jun-2023,1481.9,1481.9,1533.0,1481.9, 1509.60,1505.7,1510.77,89640,1354.25,8861, 32144, 35.86,1.61
LUXIND, EQ, 01-Jul-2020,1152.1,1156.0,1168.7,1119.9, 1122.00,1130.7,1144.5,36326,415.75,2378, 5753, 15.84,-1.86
LUXIND, EQ, 01-Jul-2021,3577.55,3588.45,3875.45,3585.4, 3761.00,3776.7,3774.38,96374,3637.52,13608, 35787, 37.13,5.57
LUXIND, EQ, 01-Jul-2022,1754.45,1754.45,1765.0,1729.05,1740.0,1739.25,1742.85,15428,268.89,3355, 5729, 37.13,-0.87
LUXIND, EQ, 01-Jul-2024,1415.8,1405.05,1454.7,1405.05,1442.95,1441.1,1436.55,56125,806.26,5770, 27581, 49.14,1.79
LUXIND, EQ, 01-Aug-2022,1851.7,1866.05,1879.7,1834.1, 1846.95,1840.25,1853.7,64007,1186.5,6538, 41576, 64.96,-0.62
LUXIND, EQ, 01-Aug-2023,1596.5,1596.5,1641.0,1596.5, 1610.00,1611.8,1624.93,143679,2334.68,13260, 49862, 34.70,0.96
LUXIND, EQ, 01-Aug-2024,2065.35,2084.75,2089.95,1985.7,2018.0,2004.0,2037.6,122424,2494.52,12413, 58954, 48.16,-2.97
LUXIND, EQ, 01-Sep-2020,1313.25,1319.85,1368.35,1251.0, 1310.00,1317.9,1295.24,65633,850.1,4665, 21327, 32.49,0.35
LUXIND, EQ, 01-Sep-2021,3994.75,3993.25,4060.0,3972.4,4052.95,4052.7,4044.29,67934,2747.45,6181, 46208, 68.02,1.45
LUXIND, EQ, 01-Sep-2022,1817.55,1804.65,1850.0,1800.9,1818.0,1818.25,1827.69,51238,936.47,6806, 23538, 45.94,0.04
LUXIND, EQ, 01-Sep-2023,1473.7,1482.0,1482.0,1462.05, 1469.00,1467.45,1473.76,27546,405.96,3203, 14794, 53.71,-0.42
LUXIND, EQ, 01-Oct-2020,1450.55,1459.95,1475.0,1424.0, 1430.25,1443.05,1451.3,54838,795.86,3361, 7492, 13.66,-0.52
LUXIND, EQ, 01-Oct-2021,3520.45,3503.0,3649.9,3465.7, 3636.50,3634.75,3587.94,55659,1997.01,9537, 22457, 40.35,3.25
LUXIND, EQ, 01-Oct-2024,2056.8,2075.9,2200.0,2072.0,2165.0,2172.1,2156.28,195817,4222.37,29508, 67629, 34.54,5.61
LUXIND, EQ, 01-Nov-2021,3556.15,3562.0,3924.0,3562.0, 3830.00,3802.55,3771.54,257102,9696.69,32109, 62704, 24.39,6.93
LUXIND, EQ, 01-Nov-2022,1723.15,1730.05,1748.95,1717.0,1744.5,1744.7,1737.23,51723,898.55,6264, 21613, 41.79,1.25
LUXIND, EQ, 01-Nov-2023,1364.7,1345.5,1362.0,1320.05, 1345.20,1346.7,1339.96,104296,1397.52,11484, 18466, 17.71,-1.32
LUXIND, EQ, 01-Dec-2020,1606.5,1608.0,1614.55,1581.2,1601.1,1599.35,1595.12,38673,616.88,2400, 8054, 20.83,-0.45
LUXIND, EQ, 01-Dec-2021,3810.0,3760.0,3960.0,3720.0,3923.0,3934.35,3880.21,72489,2812.72,13722, 20339, 28.06,3.26
LUXIND, EQ, 01-Dec-2022,1689.9,1703.5,1708.9,1691.6,1698.5,1698.15,1698.34,34348,583.35,4566, 17445, 50.79,0.49
LUXIND, EQ, 01-Dec-2023,1338.35,1350.0,1361.65,1345.0, 1354.10,1358.4,1354.85,49493,670.56,4939, 23919, 48.33,1.5
LUXIND, EQ, 02-Jan-2020,1279.3,1279.05,1324.8,1265.1, 1314.00,1316.75,1297.5,80987,1050.8,2941, 31313, 38.66,2.93
LUXIND, EQ, 02-Jan-2023,1642.65,1651.05,1658.3,1640.1, 1648.80,1644.05,1646.99,11606,191.15,2687, 4383, 37.76,0.09
LUXIND, EQ, 02-Jan-2024,1300.7,1305.0,1311.95,1287.35, 1290.00,1292.85,1300.45,88701,1153.51,8996, 54273, 61.19,-0.6
LUXIND, EQ, 02-Jan-2025,2031.35,2002.0,2087.4,1995.05,2040.0,2021.7,2044.83,58467,1195.55,8779, 17602, 30.11,-0.48
LUXIND, EQ, 02-Feb-2021,1643.2,1651.3,1677.55,1631.9, 1650.00,1648.75,1645.45,77781,1279.84,1745, 30796, 39.59,0.34
LUXIND, EQ, 02-Feb-2022,2691.1,2740.0,2890.0,2706.75, 2868.00,2876.35,2837.71,150387,4267.54,14079, 62714, 41.70,6.88
LUXIND, EQ, 02-Feb-2023,1478.9,1473.0,1499.85,1449.25, 1454.40,1454.2,1470.44,13393,196.94,3083, 6319, 47.18,-1.67
LUXIND, EQ, 02-Feb-2024,1229.1,1229.45,1239.0,1206.0, 1216.85,1212.8,1219.24,86743,1057.61,8994, 55699, 64.21,-1.33
LUXIND, EQ, 02-Mar-2020,1404.45,1410.25,1458.7,1365.1, 1370.00,1380.1,1388.52,49235,683.64,4439, 14698, 29.85,-1.73
LUXIND, EQ, 02-Mar-2021,1749.0,1760.5,1771.3,1739.9,1765.0,1758.05,1755.42,33041,580.01,2649, 7711, 23.34,0.52
LUXIND, EQ, 02-Mar-2022,2474.55,2450.0,2495.5,2352.65, 2390.00,2379.2,2404.18,94788,2278.88,16521, 41801, 44.10,-3.85
LUXIND, EQ, 02-Mar-2023,1333.0,1336.0,1346.0,1318.0, 1325.00,1328.4,1334.4,26854,358.34,4421, 11874, 44.22,-0.35
LUXIND, EQ, 02-Apr-2024,1127.0,1132.0,1163.4,1113.6, 1160.00,1150.5,1146.61,84543,969.38,9737, 28326, 33.50,2.09
LUXIND, EQ, 02-Apr-2025,1380.35,1386.0,1411.0,1345.2,1410.0,1404.75,1385.59,29684,411.3,4455, 11628, 39.17,1.77
LUXIND, EQ, 02-May-2022,2314.2,2300.0,2326.9,2255.7,2285.0,2283.85,2289.64,33516,767.4,6027, 11559, 34.49,-1.31
LUXIND, EQ, 02-May-2023,1362.1,1374.0,1469.85,1370.05, 1405.00,1414.65,1437.45,347890,5000.75,31859, 51805, 14.89,3.86
LUXIND, EQ, 02-May-2024,1496.3,1500.0,1532.95,1497.0, 1516.10,1515.15,1519.79,139870,2125.73,8768, 72030, 51.50,1.26
LUXIND, EQ, 02-Jun-2020,951.9,959.0,989.5,950.0,968.1,978.75,964.88,60793,586.58,2473, 42366, 69.69,2.82
LUXIND, EQ, 02-Jun-2021,3011.2,3000.0,3199.0,2975.0, 3135.25,3145.4,3135.5,202643,6353.86,19164, 65606, 32.38,4.46
LUXIND, EQ, 02-Jun-2022,2021.45,1982.0,2019.75,1967.0,1976.85,1974.8,1981.98,95313,1889.09,12492, 52731, 55.32,-2.31
LUXIND, EQ, 02-Jun-2023,1505.7,1505.7,1524.0,1500.0, 1500.00,1508.1,1509.3,60099,907.07,6185, 35623, 59.27,0.16
LUXIND, EQ, 02-Jul-2020,1130.7,1125.0,1168.0,1125.0, 1135.00,1142.1,1143.22,35924,410.69,2822, 5937, 16.53,1.01
LUXIND, EQ, 02-Jul-2021,3776.7,3789.0,3838.8,3698.0,3708.1,3703.4,3741.45,44458,1663.38,8043, 17438, 39.22,-1.94
LUXIND, EQ, 02-Jul-2024,1441.1,1460.0,1510.0,1434.25,1487.1,1490.1,1475.47,86312,1273.51,9021, 40735, 47.20,3.4
LUXIND, EQ, 02-Aug-2021,4161.45,4162.0,4280.0,4162.0,4214.85,4204.25,4234.54,39316,1664.85,8216, 21914, 55.74,1.03
LUXIND, EQ, 02-Aug-2022,1840.25,1855.1,2024.0,1842.5,1969.95,1965.85,1974.69,423440,8361.62,42542, 97052, 22.92,6.83
LUXIND, EQ, 02-Aug-2023,1611.8,1614.5,1640.0,1576.6, 1589.00,1591.15,1602.63,79081,1267.37,10067, 23112, 29.23,-1.28
LUXIND, EQ, 02-Aug-2024,2004.0,1937.15,2095.05,1937.15,2090.0,2079.2,2049.28,226286,4637.23,22299, 83726, 37.00,3.75
LUXIND, EQ, 02-Sep-2020,1317.9,1327.5,1397.35,1304.5, 1371.25,1379.1,1344.49,111385,1497.55,4789, 16391, 14.72,4.64
LUXIND, EQ, 02-Sep-2021,4052.7,4054.0,4142.9,4054.0, 4073.85,4090.8,4105.26,32374,1329.04,4915, 13236, 40.88,0.94
LUXIND, EQ, 02-Sep-2022,1818.25,1834.0,1834.0,1810.0,1817.0,1816.05,1821.77,27160,494.79,4050, 13985, 51.49,-0.12
LUXIND, EQ, 02-Sep-2024,2376.6,2395.9,2395.9,2319.0,2360.8,2370.9,2364.9,120888,2858.89,15713, 53604, 44.34,-0.24
LUXIND, EQ, 02-Nov-2020,1400.9,1400.0,1417.9,1379.0, 1390.05,1404.9,1395.33,88739,1238.2,2696, 24037, 27.09,0.29
LUXIND, EQ, 02-Nov-2021,3802.55,3845.0,3920.05,3790.0, 3826.00,3834.2,3846.17,85096,3272.94,16788, 30180, 35.47,0.83
LUXIND, EQ, 02-Nov-2022,1744.7,1748.15,1752.9,1740.75,1747.1,1747.4,1746.28,26639,465.19,3432, 16652, 62.51,0.15
LUXIND, EQ, 02-Nov-2023,1346.7,1354.55,1365.1,1334.0, 1335.00,1339.15,1346.69,27753,373.75,3590, 10123, 36.48,-0.56
LUXIND, EQ, 02-Dec-2020,1599.35,1599.35,1618.9,1564.0, 1600.00,1599.65,1589.32,36090,573.59,2784, 6463, 17.91,0.02
LUXIND, EQ, 02-Dec-2021,3934.35,3950.0,3991.6,3868.0, 3970.00,3904.8,3933.27,46872,1843.6,9865, 13524, 28.85,-0.75
LUXIND, EQ, 02-Dec-2022,1698.15,1700.0,1732.0,1698.8, 1710.10,1716.45,1717.2,67859,1165.27,6681, 44312, 65.30,1.08
LUXIND, EQ, 02-Dec-2024,1921.55,1950.0,1958.0,1892.0,1952.4,1952.6,1930.83,58491,1129.36,8229, 27530, 47.07,1.62
