SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
MAGMA, EQ, 01-Jan-2020,53.85,53.95,54.1,52.8, 53.20,53.15,53.27,43479,23.16,296, 37452, 86.14,-1.3
MAGMA, EQ, 01-Jan-2021,40.1,40.0,41.7,39.9, 40.90,40.95,41.11,359763,147.9,1328, 221025, 61.44,2.12
MAGMA, EQ, 01-Feb-2021,45.15,45.15,47.8,44.2, 47.25,47.15,46.31,1231279,570.15,3329, 804503, 65.34,4.43
MAGMA, EQ, 01-Mar-2021,117.9,122.4,123.75,118.15, 121.50,121.6,122.15,2761271,3372.94,21786, 1719201, 62.26,3.14
MAGMA, EQ, 01-Apr-2020,17.0,17.0,17.8,16.35,17.0,17.0,17.14,196680,33.7,837, 163177, 82.97,0.0
MAGMA, EQ, 01-Apr-2021,110.1,111.2,115.6,111.2, 115.60,115.6,114.7,249291,285.94,1663, 151498, 60.77,5.0
MAGMA, EQ, 01-Jun-2020,13.35,13.5,14.0,13.45, 14.00,14.0,13.96,1898829,265.17,5233, 1164780, 61.34,4.87
MAGMA, EQ, 01-Jun-2021,136.15,142.95,142.95,142.95, 142.95,142.95,142.95,1037681,1483.36,895, 1037679, 100.00,4.99
MAGMA, EQ, 01-Jul-2020,27.1,25.75,25.75,25.75, 25.75,25.75,25.75,170808,43.98,740, 165458, 96.87,-4.98
MAGMA, EQ, 01-Sep-2020,37.4,36.8,38.45,35.0, 36.80,36.25,36.47,1408733,513.81,3580, 1013692, 71.96,-3.07
MAGMA, EQ, 01-Oct-2020,32.6,33.1,33.95,32.0, 32.60,32.45,32.93,336559,110.82,1134, 190950, 56.74,-0.46
MAGMA, EQ, 01-Dec-2020,46.8,46.15,47.45,46.15,47.0,46.85,46.92,274563,128.84,1053, 187576, 68.32,0.11
MAGMA, EQ, 02-Jan-2020,53.15,53.95,55.8,52.7, 55.00,55.15,55.35,646382,357.78,1692, 272488, 42.16,3.76
MAGMA, EQ, 02-Feb-2021,47.15,47.65,54.6,47.6, 53.65,53.25,50.94,5028333,2561.45,15409, 2689616, 53.49,12.94
MAGMA, EQ, 02-Mar-2020,43.5,46.95,46.95,41.1, 41.10,41.35,43.37,88014,38.17,1024, 54470, 61.89,-4.94
MAGMA, EQ, 02-Mar-2021,121.6,123.4,127.65,122.0,123.5,123.6,125.85,3496344,4400.27,41386, 2493652, 71.32,1.64
MAGMA, EQ, 02-Jun-2020,14.0,14.45,14.7,14.3,14.7,14.7,14.68,3119066,457.78,4268, 2456635, 78.76,5.0
MAGMA, EQ, 02-Jun-2021,142.95,150.05,150.05,150.05, 150.05,150.05,150.05,497302,746.2,562, 497302, 100.00,4.97
MAGMA, EQ, 02-Jul-2020,25.75,24.5,25.0,24.5, 24.50,24.5,24.53,1108607,271.92,1521, 933056, 84.16,-4.85
MAGMA, EQ, 02-Sep-2020,36.25,36.4,37.35,35.3, 35.90,35.6,36.33,980304,356.14,2091, 739682, 75.45,-1.79
MAGMA, EQ, 02-Nov-2020,36.75,37.9,37.9,36.25, 37.20,37.05,36.95,236101,87.23,887, 150942, 63.93,0.82
MAGMA, EQ, 02-Dec-2020,46.85,46.3,47.4,46.0, 46.20,46.25,46.48,252038,117.14,998, 190148, 75.44,-1.28
MAGMA, EQ, 03-Jan-2020,55.15,56.0,57.9,55.35, 57.90,57.9,57.27,781190,447.4,2137, 571257, 73.13,4.99
MAGMA, EQ, 03-Feb-2020,55.25,53.35,57.8,53.35, 55.25,55.4,55.02,91041,50.1,1160, 69593, 76.44,0.27
MAGMA, EQ, 03-Feb-2021,53.25,53.9,60.0,51.3, 55.50,56.05,55.78,3699930,2063.72,16288, 1837789, 49.67,5.26
MAGMA, EQ, 03-Mar-2020,41.35,43.0,45.1,41.8, 42.05,42.15,42.4,68061,28.86,1619, 39264, 57.69,1.93
MAGMA, EQ, 03-Mar-2021,123.6,122.5,129.75,119.1,127.6,126.65,126.8,3596495,4560.49,30110, 2217091, 61.65,2.47
MAGMA, EQ, 03-Apr-2020,17.0,17.0,17.3,16.7, 17.00,16.9,16.98,129890,22.06,817, 109944, 84.64,-0.59
MAGMA, EQ, 03-May-2021,118.2,117.0,119.3,112.55,117.0,116.8,115.12,1826637,2102.76,9010, 1045775, 57.25,-1.18
MAGMA, EQ, 03-Jun-2020,14.7,15.4,15.4,14.4,14.6,14.55,15.05,7448379,1120.77,7630, 4541807, 60.98,-1.02
MAGMA, EQ, 03-Jun-2021,150.05,157.55,157.55,157.55, 157.55,157.55,157.55,228534,360.06,402, 228534, 100.00,5.0
MAGMA, EQ, 03-Jul-2020,24.5,23.3,23.3,23.3, 23.30,23.3,23.3,272512,63.5,724, 272512, 100.00,-4.9
MAGMA, EQ, 03-Aug-2020,25.75,25.75,27.0,25.3,26.95,26.95,26.8,2143041,574.32,2500, 1053391, 49.15,4.66
MAGMA, EQ, 03-Sep-2020,35.6,35.7,36.8,35.0, 35.50,35.4,35.81,364995,130.71,1653, 228691, 62.66,-0.56
