SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
MAGOLDETF, EQ, 01-Mar-2023,55.35,55.3,56.05,55.3, 55.60,55.65,55.38,20399,11.3,31, 315, 1.54,0.54
MAGOLDETF, EQ, 01-Jun-2023,60.2,60.05,60.5,59.65, 59.75,59.8,59.82,618,0.37,48, 511, 82.69,-0.66
MAGOLDETF, EQ, 01-Aug-2023,59.1,59.5,59.8,59.35, 59.70,59.7,59.61,97,0.06,24, 24, 24.74,1.02
MAGOLDETF, EQ, 02-Mar-2023,55.65,55.55,55.95,55.55, 55.60,55.6,55.63,669,0.37,23, 490, 73.24,-0.09
MAGOLDETF, EQ, 02-May-2023,60.15,60.1,60.15,59.85, 60.15,60.15,60.14,435,0.26,36, 420, 96.55,0.0
MAGOLDETF, EQ, 02-Jun-2023,59.8,59.8,60.5,59.8, 60.00,60.0,60.21,577,0.35,24, 544, 94.28,0.33
MAGOLDETF, EQ, 02-Aug-2023,59.7,59.35,59.5,59.2, 59.50,59.5,59.4,1154,0.69,35, 776, 67.24,-0.34
MAGOLDETF, EQ, 03-Mar-2023,55.6,55.45,55.9,55.25, 55.50,55.5,55.46,543,0.3,17, 292, 53.78,-0.18
MAGOLDETF, EQ, 03-Apr-2023,59.55,59.45,59.45,58.8, 59.30,59.3,59.08,1674,0.99,40, 1042, 62.25,-0.42
MAGOLDETF, EQ, 03-May-2023,60.15,60.15,61.4,60.15,61.35,61.35,60.89,2169,1.32,70, 1371, 63.21,2.0
MAGOLDETF, EQ, 03-Jul-2023,58.05,58.15,58.15,57.55, 57.55,57.6,57.85,2307,1.33,44, 1816, 78.72,-0.78
MAGOLDETF, EQ, 03-Aug-2023,59.5,59.25,59.4,59.2, 59.40,59.4,59.28,201,0.12,27, 193, 96.02,-0.17
MAGOLDETF, EQ, 04-May-2023,61.35,61.35,62.35,61.3, 61.70,61.6,61.4,3033,1.86,63, 2916, 96.14,0.41
MAGOLDETF, EQ, 04-Jul-2023,57.6,57.95,58.4,57.95, 58.40,58.4,58.32,481,0.28,42, 376, 78.17,1.39
MAGOLDETF, EQ, 04-Aug-2023,59.4,59.3,59.35,59.05, 59.05,59.05,59.22,284,0.17,12, 206, 72.54,-0.59
MAGOLDETF, EQ, 05-Apr-2023,59.3,59.3,61.2,59.3, 60.95,60.95,60.14,585,0.35,45, 341, 58.29,2.78
MAGOLDETF, EQ, 05-May-2023,61.6,62.4,62.4,61.5, 61.80,61.75,61.81,764,0.47,63, 626, 81.94,0.24
MAGOLDETF, EQ, 05-Jun-2023,60.0,59.9,60.1,59.3, 59.35,59.7,59.6,1693,1.01,69, 1635, 96.57,-0.5
MAGOLDETF, EQ, 05-Jul-2023,58.4,59.9,59.9,58.0,58.5,58.2,58.39,856,0.5,31, 573, 66.94,-0.34
MAGOLDETF, EQ, 06-Mar-2023,55.5,55.5,56.0,55.45, 55.95,55.95,55.79,357,0.2,22, 224, 62.75,0.81
MAGOLDETF, EQ, 06-Apr-2023,60.95,62.5,62.5,60.1, 60.10,60.15,60.33,207,0.12,46, 149, 71.98,-1.31
MAGOLDETF, EQ, 06-Jun-2023,59.7,61.5,61.5,59.3,59.3,59.75,59.9,726,0.43,54, 686, 94.49,0.08
MAGOLDETF, EQ, 06-Jul-2023,58.2,69.8,69.8,57.3,58.6,58.6,58.51,1406,0.82,38, 1388, 98.72,0.69
MAGOLDETF, EQ, 07-Jun-2023,59.75,59.8,60.1,59.2, 59.30,59.3,59.5,1525,0.91,68, 1251, 82.03,-0.75
MAGOLDETF, EQ, 07-Jul-2023,58.6,58.5,58.6,58.3, 58.60,58.6,58.56,702,0.41,19, 605, 86.18,0.0
MAGOLDETF, EQ, 07-Aug-2023,59.05,59.4,59.8,59.15, 59.35,59.35,59.43,2334,1.39,39, 1918, 82.18,0.51
MAGOLDETF, EQ, 08-Mar-2023,55.95,55.85,55.85,54.45, 55.00,55.0,55.02,1267,0.7,50, 1213, 95.74,-1.7
MAGOLDETF, EQ, 08-May-2023,61.75,61.65,61.65,60.4, 60.85,60.95,60.87,1081,0.66,61, 803, 74.28,-1.3
MAGOLDETF, EQ, 08-Jun-2023,59.3,59.5,59.85,59.3, 59.30,59.6,59.73,8910,5.32,62, 8843, 99.25,0.51
MAGOLDETF, EQ, 08-Aug-2023,59.35,60.0,60.0,58.6, 58.90,58.95,59.29,2273,1.35,52, 1503, 66.12,-0.67
MAGOLDETF, EQ, 09-Mar-2023,55.0,55.0,55.0,54.4, 54.50,54.45,54.51,1531,0.83,44, 814, 53.17,-1.0
MAGOLDETF, EQ, 09-May-2023,60.95,61.05,61.3,60.95,61.25,61.25,61.13,2339,1.43,21, 1421, 60.75,0.49
MAGOLDETF, EQ, 09-Jun-2023,59.6,59.65,60.05,59.0, 59.35,59.4,59.63,1975,1.18,78, 966, 48.91,-0.34
MAGOLDETF, EQ, 09-Aug-2023,58.95,59.05,59.25,58.95, 59.25,59.25,59.05,485,0.29,26, 355, 73.20,0.51
MAGOLDETF, EQ, 10-Mar-2023,54.45,54.5,56.75,54.45, 56.00,56.0,55.69,863,0.48,62, 546, 63.27,2.85
