SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
MAHSEAMLES, EQ, 01-Jan-2020,378.15,379.5,384.7,377.05, 384.00,382.6,381.82,42762,163.27,1958, 34176, 79.92,1.18
MAHSEAMLES, EQ, 01-Jan-2021,318.7,319.25,326.45,318.75, 320.00,319.75,322.37,47384,152.75,1529, 22684, 47.87,0.33
MAHSEAMLES, EQ, 01-Jan-2024,925.35,926.4,928.15,902.6, 904.00,911.4,917.69,93031,853.74,7328, 51958, 55.85,-1.51
MAHSEAMLES, EQ, 01-Jan-2025,700.95,700.05,769.2,697.3,754.0,760.25,749.52,2573566,19289.3,109035, 278642, 10.83,8.46
MAHSEAMLES, EQ, 01-Feb-2021,279.35,280.75,281.15,277.0, 280.00,278.2,278.61,69745,194.32,2704, 50721, 72.72,-0.41
MAHSEAMLES, EQ, 01-Feb-2022,534.9,539.2,565.0,531.35,537.0,535.95,542.61,75287,408.51,3760, 31553, 41.91,0.2
MAHSEAMLES, EQ, 01-Feb-2023,318.85,320.6,322.95,306.2, 309.00,309.7,316.39,146425,463.27,6353, 66619, 45.50,-2.87
MAHSEAMLES, EQ, 01-Feb-2024,1052.9,1040.0,1050.0,1001.5, 1008.00,1010.9,1019.74,176200,1796.78,17400, 111171, 63.09,-3.99
MAHSEAMLES, EQ, 01-Mar-2021,281.15,281.1,288.0,279.95, 285.00,286.1,282.29,135877,383.57,1489, 65489, 48.20,1.76
MAHSEAMLES, EQ, 01-Mar-2023,303.3,304.75,310.8,303.85, 307.00,306.65,308.14,49846,153.6,3287, 22891, 45.92,1.1
MAHSEAMLES, EQ, 01-Mar-2024,923.25,941.0,962.9,931.4, 948.95,955.4,954.8,109802,1048.39,10363, 68529, 62.41,3.48
MAHSEAMLES, EQ, 01-Apr-2020,193.6,192.55,193.7,188.15,191.5,191.95,191.68,38551,73.89,998, 34580, 89.70,-0.85
MAHSEAMLES, EQ, 01-Apr-2021,275.3,269.05,289.4,269.05, 284.00,284.15,278.93,104741,292.16,3311, 37101, 35.42,3.21
MAHSEAMLES, EQ, 01-Apr-2022,551.55,550.15,568.6,550.0, 550.25,553.0,559.63,65845,368.49,3453, 24114, 36.62,0.26
MAHSEAMLES, EQ, 01-Apr-2024,846.15,846.0,894.0,846.0, 889.00,886.95,871.78,142508,1242.36,20249, 83445, 58.55,4.82
MAHSEAMLES, EQ, 01-Apr-2025,682.75,682.75,755.0,682.75,715.55,735.1,735.01,3962647,29125.84,123614, 440621, 11.12,7.67
MAHSEAMLES, EQ, 01-Jun-2020,200.45,204.8,213.0,200.5, 206.40,206.7,207.74,93227,193.67,2643, 42372, 45.45,3.12
MAHSEAMLES, EQ, 01-Jun-2021,296.1,295.1,299.0,286.95, 290.90,290.8,291.77,79584,232.21,2289, 49482, 62.18,-1.79
MAHSEAMLES, EQ, 01-Jun-2022,553.95,554.0,566.1,545.15,549.4,549.0,554.55,68360,379.09,3639, 37904, 55.45,-0.89
MAHSEAMLES, EQ, 01-Jun-2023,448.65,450.05,455.0,444.0, 448.50,447.3,448.88,343832,1543.39,9659, 216844, 63.07,-0.3
MAHSEAMLES, EQ, 01-Jul-2020,217.35,218.05,230.0,218.0, 225.00,226.15,224.14,89643,200.92,2605, 39975, 44.59,4.05
MAHSEAMLES, EQ, 01-Jul-2021,297.55,297.55,304.95,295.65, 299.00,298.2,299.52,91877,275.19,4029, 37616, 40.94,0.22
MAHSEAMLES, EQ, 01-Jul-2022,631.55,629.0,640.0,621.1,634.0,633.65,632.81,108567,687.02,5501, 43269, 39.85,0.33
