SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
MANUGRAPH, EQ, 01-Jan-2020,14.0,14.4,14.4,13.85, 13.90,13.9,13.91,2265,0.32,40, 1616, 71.35,-0.71
MANUGRAPH, EQ, 01-Jan-2021,10.85,10.6,11.9,10.6, 11.90,11.9,11.48,18160,2.08,169, 10618, 58.47,9.68
MANUGRAPH, EQ, 01-Jan-2025,21.35,21.6,22.48,21.59,21.99,21.95,21.97,14655,3.22,254, 7055, 48.14,2.81
MANUGRAPH, EQ, 01-Feb-2021,12.95,12.8,13.15,12.7, 13.10,13.05,12.85,2730,0.35,38, 2211, 80.99,0.77
MANUGRAPH, EQ, 01-Feb-2022,18.85,18.9,19.0,18.15,18.15,18.15,18.35,19601,3.6,160, 14865, 75.84,-3.71
MANUGRAPH, EQ, 01-Feb-2023,15.65,15.6,17.2,15.1, 16.65,16.9,16.9,79240,13.39,430, 50545, 63.79,7.99
MANUGRAPH, EQ, 01-Feb-2024,29.35,33.95,35.2,32.4, 32.50,32.7,34.36,2736112,940.17,8570, 808415, 29.55,11.41
MANUGRAPH, EQ, 01-Mar-2021,12.45,13.0,13.05,12.05, 13.05,12.95,12.65,9374,1.19,78, 6958, 74.23,4.02
MANUGRAPH, EQ, 01-Mar-2023,16.4,17.7,17.7,16.6, 17.00,16.8,16.76,19444,3.26,152, 15789, 81.20,2.44
MANUGRAPH, EQ, 01-Apr-2020,7.2,7.0,7.5,6.9,7.5,7.5,7.2,200,0.01,3, 200, 100.00,4.17
MANUGRAPH, EQ, 01-Apr-2021,11.8,11.95,12.3,11.8, 12.30,12.2,11.91,4379,0.52,31, 3978, 90.84,3.39
MANUGRAPH, EQ, 01-Apr-2022,13.15,12.6,13.8,12.6, 13.80,13.75,13.5,9124,1.23,49, 6669, 73.09,4.56
MANUGRAPH, EQ, 01-Apr-2025,16.57,16.6,18.61,16.36,17.6,17.82,17.3,35240,6.09,250, 17486, 49.62,7.54
MANUGRAPH, EQ, 01-Jun-2020,7.05,7.15,7.35,7.0, 7.30,7.15,7.17,81455,5.84,45, 80679, 99.05,1.42
MANUGRAPH, EQ, 01-Jun-2021,11.9,11.8,12.2,11.5, 11.80,12.1,11.91,12047,1.43,114, 7971, 66.17,1.68
MANUGRAPH, EQ, 01-Jun-2022,13.55,13.6,14.05,13.35,13.75,13.55,13.78,2333,0.32,41, 1311, 56.19,0.0
MANUGRAPH, EQ, 01-Jun-2023,17.35,17.5,17.7,16.75, 17.05,17.1,17.16,16910,2.9,146, 7182, 42.47,-1.44
MANUGRAPH, EQ, 01-Jul-2022,12.35,12.35,13.15,11.8,13.15,12.95,12.28,1388,0.17,25, 991, 71.40,4.86
MANUGRAPH, EQ, 01-Jul-2024,22.7,22.68,22.68,21.8,21.85,22.0,22.09,40170,8.87,265, 32419, 80.70,-3.08
MANUGRAPH, EQ, 01-Aug-2022,18.5,18.9,19.0,17.6, 17.60,17.6,17.82,25977,4.63,174, 15994, 61.57,-4.86
MANUGRAPH, EQ, 01-Aug-2023,18.3,18.45,18.95,18.3, 18.50,18.55,18.63,21641,4.03,334, 12647, 58.44,1.37
MANUGRAPH, EQ, 01-Aug-2024,21.11,21.45,21.59,21.03,21.21,21.21,21.28,13556,2.88,365, 11153, 82.27,0.47
MANUGRAPH, EQ, 01-Sep-2020,10.35,9.9,10.6,9.85, 9.85,9.85,9.89,6050,0.6,22, 5840, 96.53,-4.83
MANUGRAPH, EQ, 01-Sep-2021,12.6,12.6,12.9,12.25,12.5,12.5,12.6,2950,0.37,46, 2229, 75.56,-0.79
MANUGRAPH, EQ, 01-Sep-2022,15.2,14.7,15.4,14.7,14.75,14.85,14.99,16904,2.53,86, 10342, 61.18,-2.3
MANUGRAPH, EQ, 01-Sep-2023,27.05,28.5,28.8,25.7, 26.10,26.15,27.13,863695,234.35,3412, 532873, 61.70,-3.33
MANUGRAPH, EQ, 01-Oct-2020,9.4,9.4,9.85,9.4, 9.50,9.5,9.58,2488,0.24,26, 2047, 82.27,1.06
MANUGRAPH, EQ, 01-Oct-2021,12.35,12.0,12.6,12.0, 12.40,12.15,12.22,5191,0.63,84, 3362, 64.77,-1.62
MANUGRAPH, EQ, 01-Oct-2024,24.58,24.61,25.18,24.51,25.0,24.76,24.77,42669,10.57,375, 27142, 63.61,0.73
MANUGRAPH, EQ, 01-Nov-2021,11.0,11.0,11.6,10.85, 11.55,11.4,11.27,7309,0.82,72, 3510, 48.02,3.64
MANUGRAPH, EQ, 01-Nov-2022,14.1,14.1,14.8,13.8,14.8,14.75,14.61,11458,1.67,70, 8357, 72.94,4.61
MANUGRAPH, EQ, 01-Dec-2020,10.0,10.0,10.4,9.6,10.15,10.0,9.99,6887,0.69,70, 4752, 69.00,0.0
MANUGRAPH, EQ, 01-Dec-2021,19.25,18.3,18.3,18.3,18.3,18.3,18.3,7631,1.4,57, 7631, 100.00,-4.94
MANUGRAPH, EQ, 01-Dec-2022,14.1,14.5,14.8,14.15,14.8,14.6,14.49,3960,0.57,80, 3758, 94.90,3.55
MANUGRAPH, EQ, 02-Jan-2020,13.9,14.75,14.75,13.9, 14.25,14.2,14.26,9780,1.39,89, 7378, 75.44,2.16
MANUGRAPH, EQ, 02-Jan-2023,16.15,17.4,17.4,16.0, 16.65,16.35,16.63,28482,4.74,297, 16122, 56.60,1.24
MANUGRAPH, EQ, 02-Jan-2025,21.95,21.61,22.9,21.55,21.9,21.93,22.15,36719,8.13,703, 16597, 45.20,-0.09
