SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
MARINE, EQ, 01-Jan-2021,225.05,227.45,231.0,225.1, 227.50,227.45,228.15,83639,190.83,628, 7326, 8.76,1.07
MARINE, EQ, 01-Feb-2021,218.5,217.5,232.85,217.5, 221.10,222.45,221.71,44094,97.76,415, 13875, 31.47,1.81
MARINE, EQ, 01-Feb-2024,106.5,111.8,111.8,107.5, 111.80,111.35,110.79,904441,1002.03,3761, 607294, 67.15,4.55
MARINE, EQ, 01-Mar-2021,62.15,62.15,64.0,59.7, 63.95,63.45,62.5,390690,244.18,1876, 172623, 44.18,2.09
MARINE, EQ, 01-Mar-2023,36.3,36.65,36.9,35.3, 36.70,36.7,36.16,116208,42.03,761, 77840, 66.98,1.1
MARINE, EQ, 01-Mar-2024,105.3,106.9,108.5,104.8, 106.65,106.45,106.72,234513,250.28,1727, 133498, 56.93,1.09
MARINE, EQ, 01-Apr-2021,65.8,66.95,68.9,65.5, 66.00,66.3,66.49,544896,362.33,2013, 235415, 43.20,0.76
MARINE, EQ, 01-Apr-2022,30.85,31.0,31.7,30.85, 31.55,31.45,31.32,184676,57.84,997, 143032, 77.45,1.94
MARINE, EQ, 01-Apr-2024,90.2,93.95,94.7,91.95, 94.70,94.7,94.41,269802,254.71,814, 180119, 66.76,4.99
MARINE, EQ, 01-Apr-2025,156.99,162.95,164.83,159.2,164.83,164.83,164.25,216311,355.29,883, 104420, 48.27,4.99
MARINE, EQ, 01-Jun-2021,77.3,78.4,82.9,77.65, 78.00,77.95,79.32,694075,550.55,4608, 125430, 18.07,0.84
MARINE, EQ, 01-Jun-2022,29.85,29.85,30.05,29.2,29.5,29.35,29.57,107926,31.92,702, 74286, 68.83,-1.68
MARINE, EQ, 01-Jun-2023,49.65,47.65,51.35,47.65, 49.15,49.0,49.32,1856486,915.53,8323, 955551, 51.47,-1.31
MARINE, EQ, 01-Jul-2021,62.2,62.0,63.6,60.35, 60.70,60.95,61.5,1182123,726.99,6824, 352405, 29.81,-2.01
MARINE, EQ, 01-Jul-2022,27.8,27.55,28.1,26.7,27.3,27.5,27.56,102050,28.12,661, 38861, 38.08,-1.08
MARINE, EQ, 01-Jul-2024,156.15,161.5,163.95,155.05,163.95,163.95,162.56,617150,1003.21,3261, 369837, 59.93,5.0
