SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
MARUTI, EQ, 01-Jan-2020,7368.6,7377.0,7409.95,7282.05, 7308.00,7311.7,7339.1,634725,46583.07,42182, 94094, 14.82,-0.77
MARUTI, EQ, 01-Jan-2021,7649.6,7654.0,7748.5,7650.0, 7687.00,7691.3,7704.92,767574,59140.94,55693, 93385, 12.17,0.55
MARUTI, EQ, 01-Jan-2024,10302.35,10345.0,10345.0,10214.65, 10270.00,10283.3,10274.79,411724,42303.79,58748, 255206, 61.98,-0.18
MARUTI, EQ, 01-Jan-2025,10858.4,10858.0,11273.95,10800.2,11185.0,11208.3,11106.44,383202,42560.12,60953, 108226, 28.24,3.22
MARUTI, EQ, 01-Feb-2021,7206.65,7265.2,7475.0,7152.0, 7430.00,7399.8,7315.28,1611478,117884.11,179773, 290905, 18.05,2.68
MARUTI, EQ, 01-Feb-2022,8597.3,8693.0,8790.8,8351.0,8567.95,8559.4,8574.32,819689,70282.72,95010, 255204, 31.13,-0.44
MARUTI, EQ, 01-Feb-2023,8895.3,8937.0,9030.45,8673.9, 8764.95,8768.85,8861.69,707460,62692.92,73003, 329914, 46.63,-1.42
MARUTI, EQ, 01-Feb-2024,10186.9,10210.0,10699.8,10204.0, 10603.20,10637.95,10554.38,1869594,197324.03,230650, 820758, 43.90,4.43
MARUTI, EQ, 01-Mar-2021,6866.15,6977.0,7032.85,6917.05, 7024.90,7015.0,6987.36,1417600,99052.79,133457, 637032, 44.94,2.17
MARUTI, EQ, 01-Mar-2023,8624.35,8620.0,8776.25,8620.0, 8754.95,8764.15,8732.1,333441,29116.41,43337, 156213, 46.85,1.62
MARUTI, EQ, 01-Mar-2024,11288.35,11295.0,11675.0,11295.0, 11635.15,11620.95,11524.3,487355,56164.28,79404, 284425, 58.36,2.95
MARUTI, EQ, 01-Apr-2020,4288.3,4290.0,4424.85,4190.1,4229.0,4246.35,4273.79,1323857,56578.9,147374, 325257, 24.57,-0.98
MARUTI, EQ, 01-Apr-2021,6859.2,6950.0,6991.5,6855.0, 6922.00,6923.9,6928.21,660759,45778.79,57833, 170697, 25.83,0.94
MARUTI, EQ, 01-Apr-2022,7561.3,7574.0,7729.0,7517.35, 7670.00,7700.05,7631.34,449386,34294.17,57135, 111801, 24.88,1.84
MARUTI, EQ, 01-Apr-2024,12600.35,12613.35,12689.0,12506.15, 12595.35,12569.6,12589.0,314676,39614.58,54715, 141125, 44.85,-0.24
MARUTI, EQ, 01-Apr-2025,11522.15,11480.0,11545.8,11290.0,11455.25,11481.1,11415.76,498244,56878.32,96268, 305304, 61.28,-0.36
MARUTI, EQ, 01-Jun-2020,5610.8,5690.0,5864.65,5666.9, 5758.00,5793.6,5790.13,2341043,135549.41,155689, 545309, 23.29,3.26
MARUTI, EQ, 01-Jun-2021,7086.3,7107.55,7143.0,7047.05, 7085.00,7091.15,7100.25,642841,45643.3,56757, 237134, 36.89,0.07
MARUTI, EQ, 01-Jun-2022,7966.35,7975.05,8068.9,7880.1,7930.0,7939.4,7958.64,522004,41544.4,55488, 180450, 34.57,-0.34
MARUTI, EQ, 01-Jun-2023,9367.7,9337.5,9377.55,9222.0, 9330.00,9328.3,9306.45,378706,35244.1,46443, 165855, 43.80,-0.42
MARUTI, EQ, 01-Jul-2020,5838.3,5838.3,5885.0,5775.0, 5795.00,5803.1,5815.43,1284965,74726.2,91004, 183034, 14.24,-0.6
MARUTI, EQ, 01-Jul-2021,7515.9,7500.0,7605.0,7495.05, 7584.55,7584.4,7563.96,584331,44198.58,57959, 255187, 43.67,0.91
MARUTI, EQ, 01-Jul-2022,8470.75,8440.0,8450.0,8305.6,8399.95,8402.6,8369.57,530569,44406.34,57093, 225342, 42.47,-0.8
MARUTI, EQ, 01-Jul-2024,12033.85,12045.0,12260.0,12005.55,12100.0,12108.65,12124.61,1134926,137605.39,122841, 727688, 64.12,0.62
MARUTI, EQ, 01-Aug-2022,8773.55,8850.0,9085.0,8822.6, 8994.75,9003.4,8986.93,1009408,90714.75,119678, 362043, 35.87,2.62
MARUTI, EQ, 01-Aug-2023,9820.75,9760.0,9892.0,9650.05, 9704.00,9716.75,9742.7,1394528,135864.67,132237, 608873, 43.66,-1.06
MARUTI, EQ, 01-Aug-2024,13115.8,13393.0,13680.0,13112.0,13343.05,13359.05,13394.3,2040384,273295.06,260139, 614334, 30.11,1.85
MARUTI, EQ, 01-Sep-2020,6839.95,6860.45,7018.7,6802.0, 6912.00,6905.65,6929.84,1117127,77415.13,93743, 192159, 17.20,0.96
MARUTI, EQ, 01-Sep-2021,6846.1,6799.95,6820.0,6702.35,6786.0,6784.9,6764.87,1108476,74987.01,124234, 609996, 55.03,-0.89
MARUTI, EQ, 01-Sep-2022,9082.25,8949.95,9233.65,8941.0,9026.5,9024.5,9108.8,888864,80964.84,105299, 402423, 45.27,-0.64
MARUTI, EQ, 01-Sep-2023,10003.8,9999.0,10397.95,9951.35, 10320.10,10331.25,10210.53,1193178,121829.86,126234, 591266, 49.55,3.27
