SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
MASPTOP50, EQ, 01-Jan-2024,35.32,35.5,35.5,35.16, 35.45,35.42,35.39,77498,27.43,916, 53679, 69.27,0.28
MASPTOP50, EQ, 01-Jan-2025,58.31,57.51,57.82,56.36,57.82,57.82,57.66,181878,104.88,2371, 143381, 78.83,-0.84
MASPTOP50, EQ, 01-Feb-2022,28.85,30.19,30.4,28.86,29.3,29.32,29.43,232278,68.37,486, 160295, 69.01,1.63
MASPTOP50, EQ, 01-Feb-2023,26.84,26.83,27.05,26.56, 26.77,26.86,26.95,59950,16.15,585, 50574, 84.36,0.07
MASPTOP50, EQ, 01-Feb-2024,36.68,37.8,37.8,35.97, 36.49,36.05,36.23,250174,90.63,1569, 160068, 63.98,-1.72
MASPTOP50, EQ, 01-Mar-2023,27.0,27.8,27.8,26.41, 27.03,27.09,27.08,52724,14.28,473, 34125, 64.72,0.33
MASPTOP50, EQ, 01-Mar-2024,37.71,38.2,38.25,37.9, 38.20,38.13,38.08,59177,22.54,732, 44203, 74.70,1.11
MASPTOP50, EQ, 01-Apr-2022,30.39,30.85,30.85,29.67, 30.09,30.07,30.05,101217,30.41,481, 94956, 93.81,-1.05
MASPTOP50, EQ, 01-Apr-2024,40.21,40.59,40.59,39.31, 40.00,39.98,39.98,240099,95.99,1879, 134659, 56.08,-0.57
MASPTOP50, EQ, 01-Apr-2025,49.44,49.48,50.16,48.11,49.2,49.13,49.15,669946,329.28,5878, 430886, 64.32,-0.63
MASPTOP50, EQ, 01-Jun-2022,26.99,27.98,27.98,26.71,26.85,26.8,26.88,65227,17.53,451, 45684, 70.04,-0.7
MASPTOP50, EQ, 01-Jun-2023,30.54,30.94,31.0,30.35, 30.38,30.43,30.53,240945,73.57,690, 199530, 82.81,-0.36
MASPTOP50, EQ, 01-Jul-2022,25.95,26.1,26.3,25.25,25.38,25.37,25.38,397335,100.83,792, 386418, 97.25,-2.24
MASPTOP50, EQ, 01-Jul-2024,43.39,43.44,43.6,43.39,43.55,43.53,43.52,116268,50.6,1325, 72577, 62.42,0.32
MASPTOP50, EQ, 01-Aug-2022,27.24,30.06,30.06,27.4, 27.41,27.45,27.61,141860,39.17,627, 97704, 68.87,0.77
MASPTOP50, EQ, 01-Aug-2023,33.01,33.17,33.2,32.94, 33.00,32.97,33.01,427810,141.22,605, 379333, 88.67,-0.12
MASPTOP50, EQ, 01-Aug-2024,44.13,44.03,44.56,43.84,43.99,43.98,44.24,131312,58.09,1781, 94953, 72.31,-0.34
MASPTOP50, EQ, 01-Sep-2022,27.28,27.0,27.48,26.26,26.55,26.51,26.57,778650,206.91,1385, 350070, 44.96,-2.82
MASPTOP50, EQ, 01-Sep-2023,32.91,33.27,33.27,32.51, 32.91,32.9,32.84,147227,48.35,624, 96088, 65.27,-0.03
MASPTOP50, EQ, 01-Oct-2021,27.81,27.8,28.14,27.0, 27.13,27.19,27.27,230393,62.82,1114, 185102, 80.34,-2.23
MASPTOP50, EQ, 01-Oct-2024,43.98,44.41,44.48,43.9,43.9,44.03,44.15,90475,39.94,951, 63091, 69.73,0.11
MASPTOP50, EQ, 01-Nov-2021,29.43,29.75,31.48,29.4, 29.97,29.96,30.21,86838,26.23,448, 74332, 85.60,1.8
MASPTOP50, EQ, 01-Nov-2022,26.59,26.51,26.94,26.32,26.9,26.71,26.75,105889,28.33,885, 76785, 72.51,0.45
MASPTOP50, EQ, 01-Nov-2023,31.33,31.54,31.54,31.16, 31.23,31.24,31.37,54622,17.14,535, 32603, 59.69,-0.29
MASPTOP50, EQ, 01-Dec-2021,30.09,30.39,30.45,30.1,30.4,30.41,30.36,29952,9.09,346, 28429, 94.92,1.06
MASPTOP50, EQ, 01-Dec-2022,26.1,26.6,27.05,26.51,26.95,26.93,26.92,132434,35.65,778, 114319, 86.32,3.18
MASPTOP50, EQ, 01-Dec-2023,34.02,34.29,34.29,33.95, 34.15,33.99,34.08,160708,54.77,711, 137787, 85.74,-0.09
MASPTOP50, EQ, 02-Jan-2023,25.85,25.99,25.99,25.5, 25.70,25.79,25.72,180657,46.46,757, 116366, 64.41,-0.23
MASPTOP50, EQ, 02-Jan-2024,35.42,35.41,35.5,35.21, 35.30,35.27,35.33,91887,32.46,837, 64732, 70.45,-0.42
MASPTOP50, EQ, 02-Jan-2025,57.82,57.5,57.5,56.01,57.5,57.5,57.39,115238,66.14,1918, 92230, 80.03,-0.55
