SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
MCDHOLDING, EQ, 01-Jan-2020,17.35,17.3,17.8,17.15, 17.20,17.25,17.42,9842,1.71,66, 7781, 79.06,-0.58
MCDHOLDING, EQ, 01-Mar-2021,41.35,44.2,44.2,40.0, 40.00,40.05,41.44,38478,15.95,362, 25740, 66.90,-3.14
MCDHOLDING, EQ, 01-Apr-2020,12.2,12.7,12.8,12.0,12.35,12.7,12.51,28199,3.53,98, 11422, 40.50,4.1
MCDHOLDING, EQ, 01-Apr-2021,41.2,39.3,43.5,39.3, 43.50,42.95,42.26,46932,19.83,216, 38206, 81.41,4.25
MCDHOLDING, EQ, 01-Jun-2020,25.95,27.0,27.15,24.7, 24.70,24.7,25.56,61410,15.7,285, 57345, 93.38,-4.82
MCDHOLDING, EQ, 01-Jun-2021,48.4,50.7,53.2,48.85, 53.20,53.2,52.31,578605,302.68,3528, 307555, 53.15,9.92
MCDHOLDING, EQ, 01-Jul-2020,24.85,25.0,25.5,24.25, 24.55,24.75,24.71,47500,11.74,185, 38442, 80.93,-0.4
MCDHOLDING, EQ, 01-Sep-2020,24.75,24.75,24.75,23.2, 23.85,23.65,23.94,22699,5.43,161, 12187, 53.69,-4.44
MCDHOLDING, EQ, 01-Sep-2021,37.95,38.9,39.7,37.4,38.0,38.05,38.15,81031,30.91,446, 43229, 53.35,0.26
MCDHOLDING, EQ, 01-Oct-2020,24.85,24.5,25.65,24.5, 24.85,25.1,25.12,24960,6.27,127, 21193, 84.91,1.01
MCDHOLDING, EQ, 01-Dec-2020,24.0,24.5,25.0,24.15,25.0,24.95,24.71,23591,5.83,195, 17875, 75.77,3.96
MCDHOLDING, EQ, 02-Jan-2020,17.25,17.2,17.7,17.0, 17.60,17.25,17.28,8443,1.46,110, 6645, 78.70,0.0
MCDHOLDING, EQ, 02-Feb-2021,30.5,30.2,31.7,30.1, 31.50,31.4,31.08,43293,13.45,266, 22975, 53.07,2.95
MCDHOLDING, EQ, 02-Mar-2021,40.05,40.5,41.5,40.25,41.5,41.15,41.17,35404,14.58,336, 25469, 71.94,2.75
MCDHOLDING, EQ, 02-Jun-2020,24.7,23.5,23.5,23.5,23.5,23.5,23.5,14132,3.32,82, 14132, 100.00,-4.86
MCDHOLDING, EQ, 02-Jun-2021,53.2,52.0,52.8,50.55, 50.55,50.55,51.21,176870,90.57,1079, 140891, 79.66,-4.98
MCDHOLDING, EQ, 02-Jul-2020,24.75,24.75,26.6,24.6, 25.55,25.65,25.87,93439,24.17,362, 51643, 55.27,3.64
MCDHOLDING, EQ, 02-Aug-2021,52.8,53.5,53.5,50.2,50.2,50.75,51.33,39993,20.53,444, 33460, 83.66,-3.88
MCDHOLDING, EQ, 02-Sep-2020,23.65,24.35,24.4,23.25, 23.75,23.75,23.64,18473,4.37,156, 13179, 71.34,0.42
MCDHOLDING, EQ, 02-Sep-2021,38.05,38.6,38.6,37.25, 37.50,37.7,37.73,176370,66.55,758, 125637, 71.23,-0.92
MCDHOLDING, EQ, 02-Nov-2020,23.85,23.9,23.9,23.55, 23.70,23.7,23.66,2165,0.51,22, 2019, 93.26,-0.63
MCDHOLDING, EQ, 02-Dec-2020,24.95,25.0,26.0,24.4, 26.00,25.9,25.28,33211,8.39,259, 24471, 73.68,3.81
MCDHOLDING, EQ, 03-Jan-2020,17.25,17.6,17.6,17.1, 17.40,17.25,17.19,4024,0.69,31, 3979, 98.88,0.0
MCDHOLDING, EQ, 03-Feb-2021,31.4,31.05,31.95,30.6, 31.25,31.35,31.19,33685,10.51,181, 24649, 73.18,-0.16
MCDHOLDING, EQ, 03-Mar-2021,41.15,41.25,42.8,37.1,38.2,37.95,39.04,184674,72.09,2472, 143233, 77.56,-7.78
MCDHOLDING, EQ, 03-Apr-2020,12.7,12.95,13.0,12.25, 12.80,12.6,12.71,8505,1.08,100, 5390, 63.37,-0.79
MCDHOLDING, EQ, 03-May-2021,38.3,39.7,40.4,37.6,39.95,39.75,39.05,17188,6.71,190, 9033, 52.55,3.79
