SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
MCDOWELL-N, EQ, 01-Jan-2020,599.55,601.0,602.7,595.8, 596.80,596.9,599.24,372494,2232.11,7352, 65381, 17.55,-0.44
MCDOWELL-N, EQ, 01-Jan-2021,578.25,579.0,583.95,577.0, 580.20,581.5,580.74,873143,5070.73,19136, 263821, 30.22,0.56
MCDOWELL-N, EQ, 01-Jan-2024,1117.75,1124.0,1125.0,1101.85, 1104.00,1107.2,1115.0,563368,6281.55,28309, 197719, 35.10,-0.94
MCDOWELL-N, EQ, 01-Feb-2021,578.7,580.5,588.9,560.05, 573.90,572.55,575.38,5375994,30932.66,141552, 1949275, 36.26,-1.06
MCDOWELL-N, EQ, 01-Feb-2022,866.4,870.1,886.15,862.6,883.95,880.85,875.79,1326673,11618.92,37808, 392683, 29.60,1.67
MCDOWELL-N, EQ, 01-Feb-2023,768.65,776.0,785.85,753.35, 768.20,770.5,774.93,2176984,16870.07,76714, 1493993, 68.63,0.24
MCDOWELL-N, EQ, 01-Feb-2024,1089.75,1090.0,1096.35,1077.7, 1082.25,1080.05,1085.48,548008,5948.51,49077, 312103, 56.95,-0.89
MCDOWELL-N, EQ, 01-Mar-2021,535.1,537.9,547.5,532.2, 547.00,546.35,540.19,1633766,8825.49,30021, 432611, 26.48,2.1
MCDOWELL-N, EQ, 01-Mar-2023,740.6,741.0,745.85,738.2, 743.70,741.85,740.37,985924,7299.49,42173, 709561, 71.97,0.17
MCDOWELL-N, EQ, 01-Mar-2024,1165.85,1174.45,1182.15,1163.55, 1168.00,1167.25,1169.07,656223,7671.74,42579, 396896, 60.48,0.12
MCDOWELL-N, EQ, 01-Apr-2020,484.6,489.0,503.8,458.4,466.0,462.85,477.51,2390621,11415.48,66750, 1084835, 45.38,-4.49
MCDOWELL-N, EQ, 01-Apr-2021,556.35,559.0,561.9,552.25, 558.00,558.3,556.84,1157038,6442.83,22730, 424825, 36.72,0.35
