SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
METALIETF, EQ, 01-Jan-2025,8.68,8.69,8.94,8.61,8.67,8.66,8.65,2359426,204.03,3496, 1574803, 66.75,-0.23
METALIETF, EQ, 01-Apr-2025,9.08,9.08,9.2,8.98,9.03,9.01,9.04,1295959,117.21,2626, 701100, 54.10,-0.77
METALIETF, EQ, 01-Oct-2024,10.21,10.31,10.37,10.09,10.24,10.24,10.18,7001487,712.97,24063, 4859733, 69.41,0.29
METALIETF, EQ, 02-Jan-2025,8.66,8.79,8.79,8.64,8.76,8.75,8.72,2171304,189.32,3263, 1824261, 84.02,1.04
METALIETF, EQ, 02-Apr-2025,9.01,9.01,9.1,8.93,9.07,9.07,9.02,2078308,187.37,2338, 1226455, 59.01,0.67
METALIETF, EQ, 02-Sep-2024,9.41,9.51,9.55,9.29,9.36,9.32,9.35,5300682,495.58,5378, 2871803, 54.18,-0.96
METALIETF, EQ, 02-Dec-2024,9.03,9.09,9.15,9.0,9.14,9.12,9.08,2570126,233.24,2325, 1050926, 40.89,1.0
METALIETF, EQ, 03-Jan-2025,8.75,8.75,8.85,8.74,8.79,8.75,8.78,3103093,272.48,3759, 2419417, 77.97,0.0
METALIETF, EQ, 03-Feb-2025,8.33,8.23,8.24,8.02,8.18,8.17,8.1,3711483,300.67,4880, 1858387, 50.07,-1.92
METALIETF, EQ, 03-Mar-2025,8.23,8.33,8.35,8.11,8.33,8.33,8.27,3296407,272.57,2558, 1362727, 41.34,1.22
METALIETF, EQ, 03-Apr-2025,9.07,9.01,9.08,8.97,9.01,9.0,9.03,1856952,167.64,2340, 715451, 38.53,-0.77
METALIETF, EQ, 03-Sep-2024,9.32,9.46,9.46,9.25,9.3,9.27,9.29,3128730,290.64,3800, 1538446, 49.17,-0.54
METALIETF, EQ, 03-Oct-2024,10.24,10.25,10.4,10.08,10.31,10.23,10.24,18633238,1908.51,7303, 13029688, 69.93,-0.1
METALIETF, EQ, 03-Dec-2024,9.12,9.19,9.26,9.16,9.25,9.24,9.21,2743907,252.73,2592, 1364586, 49.73,1.32
METALIETF, EQ, 04-Feb-2025,8.17,8.26,8.38,8.2,8.31,8.31,8.31,2464110,204.79,2061, 1069028, 43.38,1.71
METALIETF, EQ, 04-Mar-2025,8.33,8.27,8.41,8.19,8.35,8.35,8.33,4792166,399.25,1516, 2700034, 56.34,0.24
METALIETF, EQ, 04-Apr-2025,9.0,9.0,9.01,8.4,8.51,8.46,8.54,9856542,841.89,11288, 6698124, 67.96,-6.0
METALIETF, EQ, 04-Sep-2024,9.27,9.0,9.37,9.0,9.19,9.2,9.18,2840811,260.67,4407, 1566753, 55.15,-0.76
METALIETF, EQ, 04-Oct-2024,10.23,10.32,10.33,10.01,10.13,10.14,10.16,10101090,1026.58,5898, 6954669, 68.85,-0.88
METALIETF, EQ, 04-Nov-2024,9.4,9.4,9.45,9.12,9.25,9.22,9.22,3379672,311.73,4678, 1849309, 54.72,-1.91
METALIETF, EQ, 04-Dec-2024,9.24,9.28,9.28,9.16,9.22,9.22,9.19,13231882,1215.43,2917, 11469347, 86.68,-0.22
METALIETF, EQ, 05-Feb-2025,8.31,8.36,8.47,8.32,8.43,8.43,8.42,1742868,146.79,2001, 942604, 54.08,1.44
METALIETF, EQ, 05-Mar-2025,8.35,8.39,8.7,8.35,8.67,8.68,8.59,7235063,621.47,2459, 5108464, 70.61,3.95
METALIETF, EQ, 05-Sep-2024,9.2,9.33,9.33,9.18,9.22,9.2,9.23,1449808,133.82,1893, 796195, 54.92,0.0
METALIETF, EQ, 05-Nov-2024,9.22,9.29,9.55,9.22,9.54,9.52,9.44,4239079,400.04,2613, 2190239, 51.67,3.25
METALIETF, EQ, 05-Dec-2024,9.22,9.22,9.3,9.15,9.29,9.25,9.23,2509116,231.62,2503, 998939, 39.81,0.33
METALIETF, EQ, 06-Jan-2025,8.75,8.75,8.83,8.46,8.54,8.48,8.53,7503858,640.07,9020, 6605558, 88.03,-3.09
METALIETF, EQ, 06-Feb-2025,8.43,8.51,8.59,8.35,8.42,8.38,8.39,1314789,110.3,1879, 944452, 71.83,-0.59
METALIETF, EQ, 06-Mar-2025,8.68,8.72,8.94,8.68,8.89,8.91,8.86,11884586,1053.25,3829, 7601298, 63.96,2.65
METALIETF, EQ, 06-Sep-2024,9.2,9.29,9.29,9.11,9.2,9.17,9.18,2124604,194.96,2808, 957670, 45.08,-0.33
METALIETF, EQ, 06-Nov-2024,9.52,9.55,9.7,9.4,9.7,9.67,9.64,29067434,2801.45,3830, 24933744, 85.78,1.58
METALIETF, EQ, 06-Dec-2024,9.25,9.25,9.41,9.25,9.39,9.38,9.34,2961404,276.53,2419, 1712135, 57.81,1.41
METALIETF, EQ, 07-Jan-2025,8.48,8.5,8.61,8.5,8.59,8.59,8.57,2242461,192.25,2545, 1163720, 51.89,1.3
METALIETF, EQ, 07-Feb-2025,8.38,8.53,8.75,8.36,8.57,8.58,8.53,2759225,235.31,2154, 1695501, 61.45,2.39
METALIETF, EQ, 07-Mar-2025,8.91,8.91,9.1,8.85,8.95,8.94,8.96,7559770,677.53,3141, 4527234, 59.89,0.34
METALIETF, EQ, 07-Apr-2025,8.46,8.46,8.46,7.35,7.93,7.9,7.85,14754404,1158.15,13973, 10627280, 72.03,-6.62
METALIETF, EQ, 07-Oct-2024,10.14,10.24,10.28,9.8,10.05,9.94,9.96,7345960,731.7,8149, 4072739, 55.44,-1.97
METALIETF, EQ, 07-Nov-2024,9.67,9.95,9.95,9.37,9.44,9.4,9.48,8322331,789.25,5942, 4672740, 56.15,-2.79
METALIETF, EQ, 08-Jan-2025,8.59,8.62,8.67,8.45,8.56,8.52,8.5,2626430,223.26,3581, 1209667, 46.06,-0.81
METALIETF, EQ, 08-Apr-2025,7.9,8.09,8.39,7.82,8.0,7.98,7.98,3928779,313.58,4462, 1897029, 48.29,1.01
METALIETF, EQ, 08-Oct-2024,9.94,10.09,10.09,9.6,9.82,9.81,9.76,6842829,668.01,7303, 3741901, 54.68,-1.31
METALIETF, EQ, 08-Nov-2024,9.4,9.5,9.55,9.27, 9.31,9.31,9.36,5000607,467.97,3371, 2961625, 59.23,-0.96
METALIETF, EQ, 09-Jan-2025,8.52,8.69,8.79,8.41,8.43,8.42,8.45,2413891,203.91,3899, 1641223, 67.99,-1.17
METALIETF, EQ, 09-Apr-2025,7.98,8.05,8.07,7.79,7.89,7.86,7.85,6754823,530.22,4606, 4198263, 62.15,-1.5
METALIETF, EQ, 09-Sep-2024,9.17,9.27,9.28,9.03,9.14,9.1,9.08,1893499,171.89,3509, 1193322, 63.02,-0.76
METALIETF, EQ, 09-Oct-2024,9.81,9.99,9.99,9.72,9.83,9.82,9.82,5605197,550.55,3421, 2250348, 40.15,0.1
METALIETF, EQ, 09-Dec-2024,9.38,9.37,9.47,9.3,9.47,9.45,9.38,2543470,238.65,2842, 1644094, 64.64,0.75
METALIETF, EQ, 10-Jan-2025,8.42,8.42,8.45,8.24,8.37,8.3,8.31,2959716,246.09,4355, 1705347, 57.62,-1.43
METALIETF, EQ, 10-Feb-2025,8.58,8.58,8.59,8.34,8.38,8.38,8.38,2333548,195.55,3455, 1410652, 60.45,-2.33
METALIETF, EQ, 10-Mar-2025,8.94,8.94,9.05,8.84,8.85,8.85,8.97,4794409,430.02,3254, 3216473, 67.09,-1.01
METALIETF, EQ, 10-Sep-2024,9.1,9.24,9.25,9.11,9.18,9.17,9.18,774442,71.06,1337, 361791, 46.72,0.77
METALIETF, EQ, 10-Oct-2024,9.82,9.9,9.95,9.77,9.9,9.84,9.83,2617645,257.34,2820, 1237105, 47.26,0.2
METALIETF, EQ, 10-Dec-2024,9.45,9.45,9.55,9.44,9.44,9.47,9.49,2486569,235.91,2798, 1314710, 52.87,0.21
METALIETF, EQ, 11-Feb-2025,8.38,8.55,8.55,8.2,8.23,8.22,8.31,2285185,189.87,2723, 934786, 40.91,-1.91
METALIETF, EQ, 11-Mar-2025,8.85,8.9,9.0,8.45,8.93,8.91,8.86,3540815,313.83,1924, 2214933, 62.55,0.68
METALIETF, EQ, 11-Apr-2025,7.86,7.9,8.44,7.9,8.17,8.16,8.16,6292358,513.53,3148, 4106676, 65.26,3.82
METALIETF, EQ, 11-Sep-2024,9.17,9.27,9.27,9.02,9.08,9.04,9.09,3451252,313.73,3969, 1616579, 46.84,-1.42
METALIETF, EQ, 11-Oct-2024,9.84,9.99,10.02,9.86,9.95,9.94,9.95,2610901,259.75,2156, 1478768, 56.64,1.02
METALIETF, EQ, 11-Nov-2024,9.31,9.39,9.4,9.17, 9.24,9.22,9.23,4474802,413.23,3944, 1568790, 35.06,-0.97
METALIETF, EQ, 11-Dec-2024,9.47,9.48,9.6,9.45,9.47,9.47,9.53,1826028,174.11,2240, 892044, 48.85,0.0
METALIETF, EQ, 12-Feb-2025,8.22,8.38,8.38,8.08,8.3,8.27,8.22,2931573,240.89,2204, 921284, 31.43,0.61
METALIETF, EQ, 12-Mar-2025,8.91,8.94,9.0,8.74,8.87,8.85,8.84,2957464,261.47,2297, 968752, 32.76,-0.67
METALIETF, EQ, 12-Sep-2024,9.04,9.21,9.31,9.08,9.31,9.27,9.17,2310624,211.97,1807, 1283718, 55.56,2.54
METALIETF, EQ, 12-Nov-2024,9.22,9.25,9.3,9.06,9.12,9.1,9.18,5806895,532.99,4197, 1938125, 33.38,-1.3
METALIETF, EQ, 12-Dec-2024,9.47,9.55,9.55,9.41,9.47,9.47,9.47,2171283,205.7,1851, 1181835, 54.43,0.0
METALIETF, EQ, 13-Jan-2025,8.3,8.3,8.3,7.96,8.0,7.97,8.07,5702032,459.94,7890, 3593928, 63.03,-3.98
METALIETF, EQ, 13-Feb-2025,8.27,8.28,8.47,8.24,8.38,8.35,8.38,4513105,378.31,1792, 2563131, 56.79,0.97
METALIETF, EQ, 13-Mar-2025,8.85,8.99,8.99,8.73,8.78,8.76,8.81,3436738,302.82,1847, 2395364, 69.70,-1.02
METALIETF, EQ, 13-Sep-2024,9.27,9.35,9.43,9.29,9.42,9.39,9.39,3201691,300.72,2275, 1608873, 50.25,1.29
METALIETF, EQ, 13-Nov-2024,9.1,9.11,9.15,8.8,8.92,8.84,8.91,8765755,781.26,9082, 3701534, 42.23,-2.86
METALIETF, EQ, 13-Dec-2024,9.47,9.71,9.71,9.23,9.43,9.44,9.31,19092797,1776.61,4163, 15921287, 83.39,-0.32
