SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
MITCON, EQ, 01-Jan-2024,92.45,92.45,93.45,91.5, 92.40,91.6,92.08,9330,8.59,161, 6397, 68.56,-0.92
MITCON, EQ, 01-Jan-2025,113.49,113.84,117.19,112.05,112.26,113.01,113.94,4785,5.45,244, 3130, 65.41,-0.42
MITCON, EQ, 01-Feb-2023,75.35,78.4,79.1,71.6, 72.05,72.4,75.43,64390,48.57,669, 41756, 64.85,-3.92
MITCON, EQ, 01-Mar-2023,63.3,69.0,69.0,66.5, 68.65,67.95,67.69,14261,9.65,270, 5225, 36.64,7.35
MITCON, EQ, 01-Apr-2022,90.75,95.25,95.25,88.05, 95.25,95.25,93.99,61493,57.8,514, 37349, 60.74,4.96
MITCON, EQ, 01-Apr-2025,70.53,68.3,74.04,68.3,73.8,73.0,72.43,15988,11.58,670, 6942, 43.42,3.5
MITCON, EQ, 01-Jun-2022,81.15,83.35,83.35,78.75,81.0,79.9,80.37,4056,3.26,88, 2709, 66.79,-1.54
MITCON, EQ, 01-Jun-2023,70.5,68.75,71.55,68.75, 71.05,70.95,70.51,6645,4.69,314, 2255, 33.94,0.64
MITCON, EQ, 01-Jul-2022,85.15,92.0,92.0,77.9,79.55,79.35,83.92,18015,15.12,476, 7903, 43.87,-6.81
MITCON, EQ, 01-Jul-2024,132.06,132.8,135.48,132.0,134.25,133.53,133.64,19772,26.42,415, 11423, 57.77,1.11
MITCON, EQ, 01-Aug-2022,86.95,88.0,94.0,85.0, 90.00,89.85,88.51,5944,5.26,135, 3731, 62.77,3.34
MITCON, EQ, 01-Aug-2023,76.95,78.0,83.6,76.05, 79.00,79.45,79.41,59065,46.9,1040, 34740, 58.82,3.25
MITCON, EQ, 01-Aug-2024,142.76,145.95,145.95,136.62,137.18,137.64,139.14,51479,71.63,746, 34284, 66.60,-3.59
MITCON, EQ, 01-Sep-2022,68.0,69.0,69.65,67.0,68.4,68.25,67.84,29374,19.93,342, 21708, 73.90,0.37
MITCON, EQ, 01-Sep-2023,78.9,78.0,82.5,78.0, 80.00,79.95,80.48,63750,51.31,896, 36737, 57.63,1.33
MITCON, EQ, 01-Oct-2024,128.03,129.91,129.91,126.35,126.5,126.83,127.68,5000,6.38,171, 3829, 76.58,-0.94
MITCON, EQ, 01-Nov-2023,77.7,80.75,80.75,77.55, 78.80,78.6,78.92,41430,32.7,235, 37550, 90.63,1.16
MITCON, EQ, 01-Dec-2023,96.55,98.0,100.45,94.2, 94.45,95.2,97.5,74770,72.9,3054, 21451, 28.69,-1.4
MITCON, EQ, 02-Jan-2023,63.25,66.15,66.15,60.2, 63.65,64.5,63.99,37839,24.21,359, 25062, 66.23,1.98
MITCON, EQ, 02-Jan-2024,91.6,92.6,93.9,92.15, 93.90,93.6,93.32,22312,20.82,273, 16855, 75.54,2.18
MITCON, EQ, 02-Jan-2025,113.01,115.4,115.93,112.62,115.9,115.12,113.97,9638,10.98,259, 7026, 72.90,1.87
MITCON, EQ, 02-Feb-2023,72.4,74.95,74.95,69.4, 72.00,70.9,71.13,32645,23.22,314, 25390, 77.78,-2.07
MITCON, EQ, 02-Mar-2023,67.95,65.4,68.65,65.4, 66.60,66.6,66.4,11898,7.9,146, 10247, 86.12,-1.99
MITCON, EQ, 02-Apr-2025,73.0,73.0,74.04,73.0,73.5,73.48,73.43,5304,3.89,149, 3420, 64.48,0.66
MITCON, EQ, 02-May-2022,88.15,91.0,92.55,88.7,92.55,92.55,92.19,32607,30.06,245, 25485, 78.16,4.99
MITCON, EQ, 02-May-2023,74.65,76.4,76.4,73.0, 73.95,73.5,73.83,11763,8.68,129, 10286, 87.44,-1.54
MITCON, EQ, 02-May-2024,135.6,136.0,136.95,128.05, 129.00,129.35,131.92,23689,31.25,411, 15593, 65.82,-4.61
MITCON, EQ, 02-Jun-2022,79.9,76.95,82.05,76.95,80.0,79.7,78.87,4387,3.46,113, 2165, 49.35,-0.25
MITCON, EQ, 02-Jun-2023,70.95,69.5,71.9,69.0, 70.85,70.2,69.98,8978,6.28,352, 4901, 54.59,-1.06
MITCON, EQ, 02-Jul-2024,133.53,132.0,133.0,129.0,129.52,129.82,130.08,40037,52.08,1005, 26376, 65.88,-2.78
MITCON, EQ, 02-Aug-2022,89.85,88.65,91.75,86.55,90.25,90.05,88.39,6450,5.7,186, 3855, 59.77,0.22
MITCON, EQ, 02-Aug-2023,79.45,82.0,82.0,75.45, 77.00,76.75,77.87,17270,13.45,354, 10834, 62.73,-3.4
MITCON, EQ, 02-Aug-2024,137.64,136.0,140.0,136.0,138.11,137.99,138.3,13546,18.73,519, 8133, 60.04,0.25
MITCON, EQ, 02-Sep-2022,68.25,67.5,69.5,66.4,68.5,67.05,67.55,29527,19.95,668, 19772, 66.96,-1.76
MITCON, EQ, 02-Sep-2024,134.28,136.9,136.9,130.41,132.0,132.73,132.63,27416,36.36,597, 18520, 67.55,-1.15
MITCON, EQ, 02-Nov-2023,78.6,80.7,80.7,77.5, 78.90,78.1,78.44,24981,19.6,401, 16387, 65.60,-0.64
MITCON, EQ, 02-Dec-2024,110.71,112.96,112.98,108.01,108.11,108.71,109.91,72875,80.1,651, 66332, 91.02,-1.81
MITCON, EQ, 03-Jan-2023,64.5,64.9,65.1,63.2, 63.20,64.1,64.76,25848,16.74,228, 23503, 90.93,-0.62
MITCON, EQ, 03-Jan-2024,93.6,94.2,96.0,92.6, 94.55,93.75,94.08,12219,11.5,213, 7877, 64.47,0.16
MITCON, EQ, 03-Jan-2025,115.12,114.0,116.99,112.6,113.36,113.95,114.23,12112,13.84,332, 9406, 77.66,-1.02
MITCON, EQ, 03-Feb-2023,70.9,72.95,73.1,69.25, 73.10,72.05,71.01,16746,11.89,267, 9641, 57.57,1.62
MITCON, EQ, 03-Feb-2025,95.91,97.0,97.0,91.3,97.0,92.29,92.64,6566,6.08,437, 2563, 39.03,-3.77
MITCON, EQ, 03-Mar-2023,66.6,68.05,69.75,65.9, 66.40,66.7,68.15,32602,22.22,506, 25027, 76.77,0.15
MITCON, EQ, 03-Mar-2025,77.82,78.37,78.37,76.05,76.1,76.99,76.78,13397,10.29,152, 11628, 86.80,-1.07
MITCON, EQ, 03-Apr-2023,66.5,70.0,70.0,63.05, 63.50,64.8,65.5,7177,4.7,169, 3519, 49.03,-2.56
MITCON, EQ, 03-Apr-2025,73.48,73.5,74.76,73.03,73.03,73.44,73.65,3623,2.67,90, 1725, 47.61,-0.05
MITCON, EQ, 03-May-2023,73.5,76.5,76.5,73.3,74.0,74.1,73.66,7604,5.6,222, 5938, 78.09,0.82
MITCON, EQ, 03-May-2024,129.35,135.0,135.0,122.7, 123.00,124.55,126.04,15559,19.61,339, 12176, 78.26,-3.71
MITCON, EQ, 03-Jun-2022,79.7,78.25,81.05,78.2, 78.70,79.85,78.99,6441,5.09,79, 3904, 60.61,0.19
MITCON, EQ, 03-Jun-2024,132.15,142.0,142.0,132.4,135.0,134.95,136.41,27593,37.64,500, 17234, 62.46,2.12
MITCON, EQ, 03-Jul-2023,69.0,71.95,77.75,69.25, 74.25,74.1,74.25,67523,50.13,1247, 32250, 47.76,7.39
MITCON, EQ, 03-Jul-2024,129.82,130.42,133.65,129.61,130.0,129.91,131.28,19441,25.52,542, 10745, 55.27,0.07
MITCON, EQ, 03-Aug-2022,90.05,92.45,93.05,86.0, 87.00,87.8,89.85,30291,27.22,387, 22953, 75.77,-2.5
MITCON, EQ, 03-Aug-2023,76.75,76.75,82.2,76.75, 80.10,80.6,80.57,51763,41.7,993, 29650, 57.28,5.02
MITCON, EQ, 03-Sep-2024,132.73,130.05,134.89,130.05,131.95,131.86,132.16,19977,26.4,790, 10658, 53.35,-0.66
MITCON, EQ, 03-Oct-2023,80.0,81.95,82.5,76.1, 79.95,78.35,78.11,40557,31.68,1112, 20794, 51.27,-2.06
MITCON, EQ, 03-Oct-2024,126.83,126.72,129.0,125.0,127.9,126.56,126.49,4578,5.79,184, 3023, 66.03,-0.21
MITCON, EQ, 03-Nov-2023,78.1,79.75,86.0,78.3, 82.30,82.3,82.52,52749,43.53,498, 35694, 67.67,5.38
MITCON, EQ, 03-Dec-2024,108.71,108.4,111.9,107.2,108.89,108.52,108.41,82419,89.35,750, 74293, 90.14,-0.17
MITCON, EQ, 04-Jan-2023,64.1,65.8,65.8,62.35, 63.00,63.4,63.31,17851,11.3,179, 10113, 56.65,-1.09
MITCON, EQ, 04-Jan-2024,93.75,94.55,95.0,92.6, 92.70,93.75,93.84,12150,11.4,189, 8737, 71.91,0.0
MITCON, EQ, 04-Feb-2025,92.29,92.74,98.8,92.74,98.8,97.78,95.94,3560,3.42,160, 1916, 53.82,5.95
MITCON, EQ, 04-Mar-2025,76.99,76.5,78.01,75.01,76.5,76.45,76.85,8270,6.36,151, 5773, 69.81,-0.7
MITCON, EQ, 04-Apr-2022,95.25,99.45,100.0,95.75,100.0,100.0,99.59,15641,15.58,89, 13884, 88.77,4.99
MITCON, EQ, 04-Apr-2025,73.44,73.3,73.3,71.22,72.15,71.94,72.27,6453,4.66,321, 2821, 43.72,-2.04
