SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
MOBIKWIK, EQ, 01-Jan-2025,586.15,595.55,615.75,585.65,610.95,605.1,602.73,28156104,169706.4,344625, 1027041, 3.65,3.23
MOBIKWIK, EQ, 01-Apr-2025,304.05,300.0,304.4,296.15,302.5,300.65,300.53,1724246,5181.83,23834, 243776, 14.14,-1.12
MOBIKWIK, EQ, 02-Jan-2025,605.1,620.0,629.8,605.55,618.3,615.8,613.75,11524128,70729.32,162476, 869127, 7.54,1.77
MOBIKWIK, EQ, 02-Apr-2025,300.65,302.5,311.0,292.75,308.65,309.45,302.78,2634275,7975.94,35987, 361919, 13.74,2.93
MOBIKWIK, EQ, 03-Jan-2025,615.8,618.9,619.9,595.45,598.0,600.35,604.0,7242917,43747.42,107720, 994785, 13.73,-2.51
MOBIKWIK, EQ, 03-Feb-2025,420.0,412.85,417.8,397.65,406.05,406.75,405.14,4053301,16421.64,64410, 267171, 6.59,-3.15
MOBIKWIK, EQ, 03-Mar-2025,275.85,277.4,283.2,261.35,276.75,279.8,272.2,5811008,15817.48,68599, 411104, 7.07,1.43
MOBIKWIK, EQ, 03-Apr-2025,309.45,301.0,312.0,301.0,304.8,304.6,305.93,1526179,4669.04,21978, 229726, 15.05,-1.57
MOBIKWIK, EQ, 04-Feb-2025,406.75,406.65,412.45,385.25,401.0,402.75,400.92,12790142,51278.08,167657, 782818, 6.12,-0.98
MOBIKWIK, EQ, 04-Mar-2025,279.8,271.3,282.4,270.25,278.8,276.25,275.96,4499739,12417.42,57295, 268155, 5.96,-1.27
MOBIKWIK, EQ, 04-Apr-2025,304.6,304.6,306.15,280.85,284.0,283.95,289.43,2644048,7652.68,42644, 667444, 25.24,-6.78
MOBIKWIK, EQ, 05-Feb-2025,402.75,396.15,418.8,392.4,403.0,404.95,409.77,9004474,36897.42,129557, 432014, 4.80,0.55
MOBIKWIK, EQ, 05-Mar-2025,276.25,278.9,287.95,274.8,276.35,276.7,281.53,3932692,11071.53,51315, 441723, 11.23,0.16
MOBIKWIK, EQ, 06-Jan-2025,600.35,601.6,602.7,552.45,562.6,561.1,573.31,9098194,52161.03,158685, 1245600, 13.69,-6.54
MOBIKWIK, EQ, 06-Feb-2025,404.95,409.7,409.7,395.6,397.5,399.15,400.2,2954516,11824.06,45583, 313311, 10.60,-1.43
MOBIKWIK, EQ, 06-Mar-2025,276.7,279.6,284.7,274.2,278.65,279.75,279.73,3949478,11048.06,46256, 351879, 8.91,1.1
MOBIKWIK, EQ, 07-Jan-2025,561.1,565.1,637.8,553.7,607.5,609.85,600.26,61451586,368870.0,710482, 2529572, 4.12,8.69
MOBIKWIK, EQ, 07-Feb-2025,399.15,400.45,401.2,388.0,388.35,391.15,392.61,2592237,10177.25,40249, 274221, 10.58,-2.0
MOBIKWIK, EQ, 07-Mar-2025,279.75,280.0,289.25,277.2,286.0,284.95,284.34,4245878,12072.57,46242, 334885, 7.89,1.86
MOBIKWIK, EQ, 07-Apr-2025,283.95,251.15,272.9,251.1,272.0,267.9,261.56,2681567,7013.79,50323, 483072, 18.01,-5.65
MOBIKWIK, EQ, 08-Jan-2025,609.85,603.0,626.8,595.05,615.0,615.05,611.74,25565223,156392.52,334612, 1368540, 5.35,0.85
MOBIKWIK, EQ, 08-Apr-2025,267.9,276.7,281.3,265.3,270.2,271.0,271.34,2158403,5856.65,35577, 263258, 12.20,1.16
MOBIKWIK, EQ, 09-Jan-2025,615.05,614.0,617.3,562.25,569.8,573.95,591.25,9603714,56782.2,147986, 1094539, 11.40,-6.68
MOBIKWIK, EQ, 09-Apr-2025,271.0,270.0,270.0,260.25,262.0,262.4,263.83,1112401,2934.87,18557, 207063, 18.61,-3.17
MOBIKWIK, EQ, 10-Jan-2025,573.95,575.7,587.8,539.0,547.0,551.2,567.4,12519650,71037.04,185957, 822875, 6.57,-3.96
