SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
MOTOGENFIN, EQ, 01-Jan-2020,36.0,34.3,37.95,34.3, 37.00,35.5,37.14,63,0.02,14, 45, 71.43,-1.39
MOTOGENFIN, EQ, 01-Jan-2024,38.1,39.9,45.7,39.1, 45.70,45.7,44.02,414951,182.68,1056, 188952, 45.54,19.95
MOTOGENFIN, EQ, 01-Jan-2025,30.02,31.0,31.0,29.83,30.5,30.45,30.34,9287,2.82,120, 7423, 79.93,1.43
MOTOGENFIN, EQ, 01-Feb-2023,26.05,26.1,26.45,25.4, 25.75,25.85,25.7,3969,1.02,60, 2236, 56.34,-0.77
MOTOGENFIN, EQ, 01-Mar-2021,18.9,20.0,20.0,18.9, 19.65,19.3,19.41,9042,1.75,78, 6420, 71.00,2.12
MOTOGENFIN, EQ, 01-Apr-2020,24.35,24.9,24.9,24.9,24.9,24.9,24.9,10,0.0,1, 10, 100.00,2.26
MOTOGENFIN, EQ, 01-Apr-2021,24.7,24.8,25.75,23.5, 23.50,23.5,23.82,21751,5.18,215, 15755, 72.43,-4.86
MOTOGENFIN, EQ, 01-Apr-2022,26.55,27.0,27.85,25.5, 27.85,27.85,27.55,2875,0.79,41, 2096, 72.90,4.9
MOTOGENFIN, EQ, 01-Apr-2025,25.59,25.59,26.15,24.27,26.15,25.72,25.6,8057,2.06,62, 5983, 74.26,0.51
MOTOGENFIN, EQ, 01-Jun-2020,26.5,25.4,27.5,25.4, 25.90,25.9,26.39,1957,0.52,38, 850, 43.43,-2.26
MOTOGENFIN, EQ, 01-Jun-2021,20.3,20.95,20.95,19.5, 19.55,19.55,19.75,3166,0.63,116, 2963, 93.59,-3.69
MOTOGENFIN, EQ, 01-Jun-2022,29.05,30.3,30.3,29.1,30.0,30.0,30.07,1219,0.37,29, 1044, 85.64,3.27
MOTOGENFIN, EQ, 01-Jun-2023,28.05,28.1,28.45,27.65, 27.70,27.7,28.11,924,0.26,34, 576, 62.34,-1.25
MOTOGENFIN, EQ, 01-Jul-2021,22.05,22.2,22.2,21.45, 22.00,21.85,21.85,4903,1.07,62, 3155, 64.35,-0.91
MOTOGENFIN, EQ, 01-Jul-2022,27.65,29.0,33.15,28.2,33.15,33.15,32.47,54439,17.68,365, 42841, 78.70,19.89
MOTOGENFIN, EQ, 01-Jul-2024,33.69,34.7,34.71,33.71,34.44,34.4,34.29,10217,3.5,464, 4281, 41.90,2.11
MOTOGENFIN, EQ, 01-Aug-2022,28.6,28.15,29.4,28.15, 29.00,28.85,28.77,1570,0.45,106, 1021, 65.03,0.87
MOTOGENFIN, EQ, 01-Aug-2023,36.5,36.05,38.5,36.05, 38.50,37.9,37.68,17144,6.46,261, 10923, 63.71,3.84
MOTOGENFIN, EQ, 01-Aug-2024,37.76,38.45,39.64,37.51,39.6,39.57,39.32,30283,11.91,217, 26490, 87.47,4.79
MOTOGENFIN, EQ, 01-Sep-2020,18.25,18.25,18.25,17.5, 17.60,17.75,17.66,1396,0.25,16, 1201, 86.03,-2.74
MOTOGENFIN, EQ, 01-Sep-2021,25.4,25.9,25.9,24.55,24.8,24.9,25.08,6069,1.52,79, 4735, 78.02,-1.97
MOTOGENFIN, EQ, 01-Sep-2022,28.0,28.9,28.9,27.8,28.45,28.4,28.21,2179,0.61,54, 1231, 56.49,1.43
MOTOGENFIN, EQ, 01-Oct-2020,15.4,15.0,15.7,14.8, 15.60,15.25,15.32,1834,0.28,23, 1037, 56.54,-0.97
MOTOGENFIN, EQ, 01-Oct-2021,24.25,25.0,25.0,23.6, 24.00,24.05,23.91,8642,2.07,128, 7421, 85.87,-0.82
MOTOGENFIN, EQ, 01-Oct-2024,41.07,40.07,41.63,39.01,40.74,39.43,40.26,10919,4.4,509, 4662, 42.70,-3.99
MOTOGENFIN, EQ, 01-Nov-2021,23.8,24.4,24.45,23.25, 23.60,23.7,23.88,7470,1.78,91, 6323, 84.65,-0.42
MOTOGENFIN, EQ, 01-Nov-2022,26.15,26.8,26.8,25.95,26.0,26.3,26.06,2974,0.78,34, 2303, 77.44,0.57
MOTOGENFIN, EQ, 01-Dec-2020,19.1,19.9,21.0,19.85,21.0,21.0,20.75,76499,15.87,406, 45531, 59.52,9.95
MOTOGENFIN, EQ, 01-Dec-2021,25.2,24.7,25.4,24.7,24.7,24.9,24.86,3958,0.98,88, 2732, 69.02,-1.19
MOTOGENFIN, EQ, 01-Dec-2022,24.6,25.15,25.4,24.5,25.2,24.85,24.95,5956,1.49,53, 5530, 92.85,1.02
MOTOGENFIN, EQ, 02-Jan-2020,35.5,37.75,37.75,33.8, 35.00,35.0,36.36,279,0.1,25, 154, 55.20,-1.41
MOTOGENFIN, EQ, 02-Jan-2023,27.85,28.4,28.4,26.75, 27.00,27.2,27.33,3826,1.05,63, 2173, 56.80,-2.33
MOTOGENFIN, EQ, 02-Jan-2024,45.7,47.0,48.9,41.4, 42.10,42.45,45.26,383119,173.4,2649, 178976, 46.72,-7.11
MOTOGENFIN, EQ, 02-Jan-2025,30.45,30.19,30.45,30.01,30.39,30.34,30.25,12863,3.89,131, 10094, 78.47,-0.36
MOTOGENFIN, EQ, 02-Feb-2021,20.9,21.9,21.9,20.2, 20.75,20.75,20.39,1393,0.28,21, 872, 62.60,-0.72
MOTOGENFIN, EQ, 02-Feb-2023,25.85,25.75,26.35,25.65, 25.70,25.7,25.78,449,0.12,33, 375, 83.52,-0.58
MOTOGENFIN, EQ, 02-Mar-2020,29.05,34.7,34.7,28.25, 33.00,32.6,32.23,2901,0.94,75, 1234, 42.54,12.22
MOTOGENFIN, EQ, 02-Mar-2021,19.3,20.25,20.25,18.95,19.0,19.1,19.35,3981,0.77,63, 2461, 61.82,-1.04
MOTOGENFIN, EQ, 02-Apr-2025,25.72,25.72,26.5,25.0,25.75,26.16,26.09,3950,1.03,32, 3851, 97.49,1.71
MOTOGENFIN, EQ, 02-May-2022,29.85,27.65,31.45,27.65,29.6,30.0,30.18,7327,2.21,220, 4506, 61.50,0.5
MOTOGENFIN, EQ, 02-May-2024,35.85,36.6,36.6,34.05, 34.75,34.7,34.57,27634,9.55,207, 17896, 64.76,-3.21
MOTOGENFIN, EQ, 02-Jun-2020,25.9,25.9,26.5,25.25,26.5,25.6,25.9,3324,0.86,19, 2759, 83.00,-1.16
MOTOGENFIN, EQ, 02-Jun-2021,19.55,19.55,20.45,19.55, 20.10,19.85,19.99,3283,0.66,56, 2740, 83.46,1.53
MOTOGENFIN, EQ, 02-Jun-2022,30.0,30.75,30.75,28.15,29.4,29.1,28.94,6154,1.78,94, 4667, 75.84,-3.0
MOTOGENFIN, EQ, 02-Jun-2023,27.7,28.7,28.75,27.85, 28.45,28.45,28.62,1162,0.33,95, 1072, 92.25,2.71
MOTOGENFIN, EQ, 02-Jul-2021,21.85,22.35,22.45,21.3,21.8,21.5,21.62,8857,1.91,115, 4093, 46.21,-1.6
MOTOGENFIN, EQ, 02-Jul-2024,34.4,34.44,37.0,34.0,37.0,36.86,36.0,92938,33.46,522, 79511, 85.55,7.15
MOTOGENFIN, EQ, 02-Aug-2021,21.4,21.75,22.45,21.1,22.45,22.3,21.98,111016,24.4,155, 105547, 95.07,4.21
MOTOGENFIN, EQ, 02-Aug-2022,28.85,29.6,29.6,28.15,28.65,28.8,29.09,4085,1.19,75, 3291, 80.56,-0.17
MOTOGENFIN, EQ, 02-Aug-2023,37.9,39.6,39.6,38.2, 39.20,39.15,39.01,9598,3.74,232, 6814, 70.99,3.3
MOTOGENFIN, EQ, 02-Aug-2024,39.57,40.77,41.54,39.0,39.68,40.04,40.37,47954,19.36,421, 17296, 36.07,1.19
MOTOGENFIN, EQ, 02-Sep-2020,17.75,18.0,18.35,16.95, 17.90,17.85,17.66,6324,1.12,82, 3671, 58.05,0.56
MOTOGENFIN, EQ, 02-Sep-2021,24.9,27.3,27.35,24.8, 25.20,25.15,25.63,41268,10.58,250, 29573, 71.66,1.0
MOTOGENFIN, EQ, 02-Sep-2022,28.4,28.0,28.4,27.5,28.4,28.0,28.01,5981,1.68,81, 3959, 66.19,-1.41
MOTOGENFIN, EQ, 02-Sep-2024,38.25,37.7,38.9,36.8,36.8,36.97,37.55,17831,6.7,654, 7747, 43.45,-3.35
MOTOGENFIN, EQ, 02-Nov-2020,15.05,15.0,15.0,14.25, 15.00,15.0,14.33,1315,0.19,14, 1060, 80.61,-0.33
MOTOGENFIN, EQ, 02-Nov-2021,23.7,23.25,24.15,23.25, 23.50,23.95,23.71,3267,0.77,86, 2484, 76.03,1.05
MOTOGENFIN, EQ, 02-Nov-2022,26.3,26.1,26.7,25.45,25.6,25.6,25.83,1658,0.43,54, 1372, 82.75,-2.66
MOTOGENFIN, EQ, 02-Dec-2020,21.0,20.8,20.9,19.95, 19.95,19.95,20.17,14305,2.89,89, 13951, 97.53,-5.0
MOTOGENFIN, EQ, 02-Dec-2021,24.9,26.5,27.0,24.5, 26.35,26.15,26.05,28411,7.4,253, 19689, 69.30,5.02
MOTOGENFIN, EQ, 02-Dec-2022,24.85,25.45,25.55,24.6, 25.30,25.3,25.27,2765,0.7,52, 2515, 90.96,1.81
MOTOGENFIN, EQ, 02-Dec-2024,32.03,32.94,32.94,31.62,31.93,31.99,32.01,30415,9.74,201, 26699, 87.78,-0.12
MOTOGENFIN, EQ, 03-Jan-2020,35.0,38.0,38.0,35.0, 35.00,35.9,36.39,485,0.18,28, 183, 37.73,2.57
MOTOGENFIN, EQ, 03-Jan-2023,27.2,27.0,27.85,27.0, 27.20,27.15,27.24,7230,1.97,77, 3400, 47.03,-0.18
MOTOGENFIN, EQ, 03-Jan-2024,42.45,42.0,50.9,42.0, 48.35,48.15,49.2,909616,447.5,5585, 302302, 33.23,13.43
MOTOGENFIN, EQ, 03-Jan-2025,30.34,30.95,30.95,30.06,30.39,30.25,30.32,26042,7.9,477, 21845, 83.88,-0.3
MOTOGENFIN, EQ, 03-Feb-2020,31.1,32.2,33.15,30.55, 30.55,30.55,32.09,911,0.29,28, 413, 45.33,-1.77
MOTOGENFIN, EQ, 03-Feb-2021,20.75,21.0,21.0,19.75, 19.95,20.0,19.9,11292,2.25,63, 7595, 67.26,-3.61
MOTOGENFIN, EQ, 03-Feb-2023,25.7,26.15,26.15,25.25, 25.45,25.45,25.57,7258,1.86,55, 6638, 91.46,-0.97
MOTOGENFIN, EQ, 03-Feb-2025,30.69,31.2,31.24,29.05,30.38,30.47,30.28,13190,3.99,418, 9246, 70.10,-0.72
MOTOGENFIN, EQ, 03-Mar-2020,32.6,32.6,33.0,29.2, 32.65,32.1,31.48,8998,2.83,279, 511, 5.68,-1.53
MOTOGENFIN, EQ, 03-Mar-2021,19.1,19.6,19.75,18.55,19.0,19.0,18.9,9638,1.82,86, 4655, 48.30,-0.52
MOTOGENFIN, EQ, 03-Mar-2025,25.0,26.3,26.44,24.16,25.2,25.29,25.18,19916,5.01,193, 12798, 64.26,1.16
MOTOGENFIN, EQ, 03-Apr-2020,24.9,23.95,25.0,23.9, 23.90,24.0,24.02,170,0.04,16, 142, 83.53,-3.61
MOTOGENFIN, EQ, 03-Apr-2025,26.16,25.99,26.1,25.26,26.08,26.07,25.5,2274,0.58,30, 2070, 91.03,-0.34
MOTOGENFIN, EQ, 03-May-2021,20.25,20.35,20.35,19.8,19.9,19.9,19.98,5713,1.14,51, 4882, 85.45,-1.73
MOTOGENFIN, EQ, 03-May-2024,34.7,34.7,34.75,34.05, 34.05,34.3,34.42,3998,1.38,93, 2268, 56.73,-1.15
MOTOGENFIN, EQ, 03-Jun-2020,25.6,28.7,28.7,25.5,26.2,26.7,26.99,1360,0.37,29, 1035, 76.10,4.3
MOTOGENFIN, EQ, 03-Jun-2021,19.85,19.65,20.3,19.65, 19.65,19.9,20.04,8960,1.8,113, 6491, 72.44,0.25
MOTOGENFIN, EQ, 03-Jun-2022,29.1,30.2,30.75,28.75, 28.90,28.95,29.71,1655,0.49,67, 1217, 73.53,-0.52
MOTOGENFIN, EQ, 03-Jun-2024,33.6,34.4,34.5,33.0,33.1,33.5,34.04,8506,2.9,133, 6525, 76.71,-0.3
MOTOGENFIN, EQ, 03-Jul-2023,32.35,32.75,35.55,32.55, 34.00,34.0,34.14,23300,7.95,282, 15981, 68.59,5.1
MOTOGENFIN, EQ, 03-Jul-2024,36.86,40.4,40.54,38.15,40.54,40.54,40.42,254611,102.9,623, 154540, 60.70,9.98
MOTOGENFIN, EQ, 03-Aug-2021,22.3,22.2,23.4,21.8,23.4,23.35,22.96,134944,30.99,184, 126999, 94.11,4.71
MOTOGENFIN, EQ, 03-Aug-2022,28.8,29.45,29.45,28.4, 28.95,28.7,28.5,4291,1.22,157, 3380, 78.77,-0.35
MOTOGENFIN, EQ, 03-Aug-2023,39.15,39.75,40.5,38.3, 40.20,40.05,39.66,15590,6.18,168, 12125, 77.77,2.3
MOTOGENFIN, EQ, 03-Sep-2020,17.85,17.45,17.9,17.0, 17.00,17.0,17.26,4203,0.73,50, 2741, 65.22,-4.76
MOTOGENFIN, EQ, 03-Sep-2021,25.15,25.65,25.7,23.05, 25.70,24.95,24.43,25893,6.32,251, 17766, 68.61,-0.8
MOTOGENFIN, EQ, 03-Sep-2024,36.97,37.4,37.59,36.41,36.46,36.53,36.75,4979,1.83,124, 3228, 64.83,-1.19
MOTOGENFIN, EQ, 03-Oct-2022,26.85,26.1,27.45,26.1,26.8,26.8,26.77,2541,0.68,41, 1519, 59.78,-0.19
MOTOGENFIN, EQ, 03-Oct-2024,39.43,40.2,40.49,38.15,38.15,39.16,39.58,39354,15.58,1142, 8162, 20.74,-0.68
MOTOGENFIN, EQ, 03-Nov-2020,15.0,15.0,15.0,14.35,14.95,14.95,14.44,275,0.04,6, 275, 100.00,-0.33
MOTOGENFIN, EQ, 03-Nov-2021,23.95,24.4,24.4,23.2, 23.50,23.5,23.46,1357,0.32,22, 1102, 81.21,-1.88
MOTOGENFIN, EQ, 03-Nov-2022,25.6,26.8,26.8,24.4,24.95,25.0,24.89,7228,1.8,87, 4766, 65.94,-2.34
MOTOGENFIN, EQ, 03-Dec-2020,19.95,19.05,19.05,19.0,19.0,19.0,19.0,6760,1.28,43, 6760, 100.00,-4.76
MOTOGENFIN, EQ, 03-Dec-2021,26.15,25.4,26.5,25.05, 25.05,25.3,25.78,15738,4.06,156, 13747, 87.35,-3.25
MOTOGENFIN, EQ, 03-Dec-2024,31.99,31.99,32.84,31.51,32.84,32.51,32.19,17039,5.48,328, 14470, 84.92,1.63
MOTOGENFIN, EQ, 04-Jan-2023,27.15,26.65,27.8,26.65, 26.70,26.7,26.83,1843,0.49,46, 1668, 90.50,-1.66
MOTOGENFIN, EQ, 04-Jan-2024,48.15,47.5,50.0,45.2, 46.60,46.45,47.22,268155,126.64,2199, 154655, 57.67,-3.53
MOTOGENFIN, EQ, 04-Feb-2020,30.55,30.6,32.9,30.6, 32.50,32.5,32.3,1089,0.35,26, 703, 64.55,6.38
MOTOGENFIN, EQ, 04-Feb-2021,20.0,19.25,20.35,19.0, 19.85,19.75,19.29,11863,2.29,105, 7071, 59.61,-1.25
MOTOGENFIN, EQ, 04-Feb-2025,30.47,29.5,33.0,29.5,33.0,32.04,31.28,42718,13.36,246, 33051, 77.37,5.15
MOTOGENFIN, EQ, 04-Mar-2020,32.1,31.5,32.9,29.25, 29.25,29.45,29.99,1811,0.54,38, 1560, 86.14,-8.26
MOTOGENFIN, EQ, 04-Mar-2021,19.0,19.7,19.7,18.5, 18.70,18.8,18.77,5214,0.98,62, 3781, 72.52,-1.05
MOTOGENFIN, EQ, 04-Mar-2025,25.29,25.15,25.99,24.61,25.99,25.72,25.47,5749,1.46,202, 1545, 26.87,1.7
MOTOGENFIN, EQ, 04-Apr-2022,27.85,28.7,29.0,27.4,28.9,28.9,28.63,3675,1.05,59, 2498, 67.97,3.77
MOTOGENFIN, EQ, 04-Apr-2025,26.07,25.94,26.49,25.31,26.42,26.17,25.68,1460,0.37,34, 1182, 80.96,0.38
MOTOGENFIN, EQ, 04-May-2020,26.8,27.8,27.8,25.2, 25.20,25.7,25.99,783,0.2,39, 658, 84.04,-4.1
MOTOGENFIN, EQ, 04-May-2021,19.9,19.9,20.5,19.25, 20.00,20.0,19.87,4762,0.95,44, 4031, 84.65,0.5
MOTOGENFIN, EQ, 04-May-2022,30.0,32.45,32.45,27.6,27.6,28.6,30.76,29243,8.99,408, 7425, 25.39,-4.67
MOTOGENFIN, EQ, 04-Jun-2020,26.7,26.25,27.95,25.65,27.5,27.5,26.29,4435,1.17,64, 3212, 72.42,3.0
MOTOGENFIN, EQ, 04-Jun-2021,19.9,19.5,19.9,19.5, 19.60,19.6,19.66,3504,0.69,45, 1981, 56.54,-1.51
MOTOGENFIN, EQ, 04-Jun-2024,33.5,34.25,34.35,31.85,32.6,32.7,32.75,15362,5.03,228, 9284, 60.43,-2.39
MOTOGENFIN, EQ, 04-Jul-2022,33.15,36.9,39.75,35.5,39.75,39.75,38.19,212642,81.21,1111, 69061, 32.48,19.91
MOTOGENFIN, EQ, 04-Jul-2023,34.0,34.1,34.7,32.8, 33.00,32.85,33.16,7470,2.48,108, 5410, 72.42,-3.38
MOTOGENFIN, EQ, 04-Jul-2024,40.54,44.59,44.59,44.59,44.59,44.59,44.59,255246,113.81,573, 155376, 60.87,9.99
MOTOGENFIN, EQ, 04-Aug-2021,23.35,24.15,24.5,24.0,24.5,24.5,24.44,41371,10.11,166, 35771, 86.46,4.93
MOTOGENFIN, EQ, 04-Aug-2022,28.7,28.4,29.0,27.6,27.65,27.85,27.98,7336,2.05,126, 4614, 62.90,-2.96
MOTOGENFIN, EQ, 04-Aug-2023,40.05,39.1,41.35,39.1, 39.30,39.9,39.65,11827,4.69,178, 8954, 75.71,-0.37
MOTOGENFIN, EQ, 04-Sep-2020,17.0,17.6,17.7,16.2,17.45,17.45,17.37,4758,0.83,73, 3698, 77.72,2.65
MOTOGENFIN, EQ, 04-Sep-2024,36.53,35.65,37.48,35.26,36.9,37.39,36.45,15571,5.68,321, 6353, 40.80,2.35
MOTOGENFIN, EQ, 04-Oct-2021,24.05,24.55,25.3,24.1, 25.25,25.1,24.9,6696,1.67,76, 5759, 86.01,4.37
MOTOGENFIN, EQ, 04-Oct-2022,26.8,27.7,27.7,26.75, 27.10,27.2,27.23,1469,0.4,19, 1321, 89.93,1.49
MOTOGENFIN, EQ, 04-Oct-2024,39.16,38.0,40.33,38.0,40.1,39.99,39.21,21406,8.39,1400, 4228, 19.75,2.12
MOTOGENFIN, EQ, 04-Nov-2020,14.95,14.1,16.35,14.1,15.4,15.15,15.52,6741,1.05,48, 4626, 68.62,1.34
MOTOGENFIN, EQ, 04-Nov-2022,25.0,26.15,26.15,24.6,25.65,25.65,25.74,2356,0.61,28, 1788, 75.89,2.6
MOTOGENFIN, EQ, 04-Nov-2024,35.99,35.99,35.99,34.19,34.6,34.68,34.47,8224,2.83,203, 6179, 75.13,-3.64
MOTOGENFIN, EQ, 04-Dec-2024,32.51,32.38,32.38,31.72,32.38,32.35,32.14,51414,16.53,415, 40382, 78.54,-0.49
MOTOGENFIN, EQ, 05-Jan-2023,26.7,27.65,27.75,26.55,26.55,27.3,27.43,2793,0.77,45, 1540, 55.14,2.25
MOTOGENFIN, EQ, 05-Jan-2024,46.45,46.95,47.95,45.0, 45.80,45.35,45.89,71285,32.71,652, 39235, 55.04,-2.37
MOTOGENFIN, EQ, 05-Feb-2020,32.5,31.05,33.9,31.05, 31.20,31.2,31.33,787,0.25,40, 513, 65.18,-4.0
MOTOGENFIN, EQ, 05-Feb-2021,19.75,19.3,21.6,19.05, 19.25,19.3,19.89,7333,1.46,79, 2583, 35.22,-2.28
MOTOGENFIN, EQ, 05-Feb-2025,32.04,31.96,32.77,30.0,31.9,32.08,31.49,40417,12.73,350, 25256, 62.49,0.12
MOTOGENFIN, EQ, 05-Mar-2020,29.45,29.0,31.7,29.0, 30.95,30.95,30.56,383,0.12,8, 301, 78.59,5.09
MOTOGENFIN, EQ, 05-Mar-2021,18.8,19.35,19.35,17.6,18.25,17.75,17.97,18170,3.27,159, 12659, 69.67,-5.59
MOTOGENFIN, EQ, 05-Mar-2025,25.72,25.08,27.5,25.08,27.42,26.85,26.54,3375,0.9,86, 2465, 73.04,4.39
MOTOGENFIN, EQ, 05-Apr-2021,23.5,24.3,24.3,22.35,22.35,22.4,22.68,6817,1.55,87, 5819, 85.36,-4.68
MOTOGENFIN, EQ, 05-Apr-2022,28.9,28.95,29.75,28.05, 28.70,28.25,28.57,2444,0.7,123, 1604, 65.63,-2.25
MOTOGENFIN, EQ, 05-May-2020,25.7,25.5,26.9,25.05, 25.10,25.1,25.29,374,0.09,15, 210, 56.15,-2.33
MOTOGENFIN, EQ, 05-May-2021,20.0,20.4,20.85,19.5, 20.05,20.05,19.87,2080,0.41,25, 1088, 52.31,0.25
MOTOGENFIN, EQ, 05-May-2022,28.6,28.65,30.85,28.6, 28.90,29.0,29.56,5581,1.65,84, 3600, 64.50,1.4
MOTOGENFIN, EQ, 05-Jun-2020,27.5,31.7,31.7,26.5, 30.95,29.35,28.91,12496,3.61,102, 6810, 54.50,6.73
