SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
MOVALUE, EQ, 01-Jan-2024,82.08,84.55,84.55,79.72, 80.70,80.38,80.56,158866,127.97,1800, 141310, 88.95,-2.07
MOVALUE, EQ, 01-Jan-2025,96.08,96.09,96.42,95.1,96.24,96.21,96.03,50322,48.32,1220, 36576, 72.68,0.14
MOVALUE, EQ, 01-Feb-2023,49.9,50.0,50.8,47.3, 47.31,47.3,49.73,572,0.28,41, 549, 95.98,-5.21
MOVALUE, EQ, 01-Feb-2024,86.66,88.09,88.09,85.71, 87.50,87.01,86.75,53859,46.72,739, 35262, 65.47,0.4
MOVALUE, EQ, 01-Mar-2023,46.74,47.3,47.9,47.3, 47.85,47.85,47.68,18,0.01,10, 14, 77.78,2.37
MOVALUE, EQ, 01-Mar-2024,90.98,92.8,93.5,90.1, 93.35,93.38,92.8,119770,111.15,1301, 86901, 72.56,2.64
MOVALUE, EQ, 01-Apr-2024,91.67,91.68,92.7,91.67, 92.49,92.47,92.38,101745,93.99,1684, 73841, 72.57,0.87
MOVALUE, EQ, 01-Apr-2025,94.65,94.79,96.01,94.0,95.12,95.23,95.1,69287,65.89,1109, 45129, 65.13,0.61
MOVALUE, EQ, 01-Jun-2023,51.16,51.41,51.41,51.17, 51.31,51.31,51.31,1009,0.52,6, 1006, 99.70,0.29
MOVALUE, EQ, 01-Jul-2024,104.65,105.06,105.5,102.75,104.73,104.92,104.5,167110,174.63,2235, 128238, 76.74,0.26
MOVALUE, EQ, 01-Aug-2023,58.87,58.9,59.74,58.9, 59.60,59.6,59.39,2019,1.2,28, 1112, 55.08,1.24
MOVALUE, EQ, 01-Aug-2024,111.57,111.6,112.71,110.67,111.51,111.64,111.71,198526,221.77,2778, 144384, 72.73,0.06
MOVALUE, EQ, 01-Sep-2022,50.79,50.26,50.26,50.26,50.26,50.26,50.26,1,0.0,1, 1, 100.00,-1.04
MOVALUE, EQ, 01-Sep-2023,58.54,59.2,60.25,59.13, 60.25,60.25,59.79,2550,1.52,51, 2371, 92.98,2.92
MOVALUE, EQ, 01-Oct-2024,110.94,110.94,111.48,110.42,110.79,110.76,110.87,100161,111.05,1941, 76460, 76.34,-0.16
MOVALUE, EQ, 01-Nov-2022,43.58,43.9,44.05,43.1,44.0,43.67,44.02,2735,1.2,30, 2643, 96.64,0.21
