SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
MSUMI, EQ, 01-Jan-2024,61.75,62.25,63.3,61.7, 62.10,62.15,62.24,8090211,5035.33,32963, 3444472, 42.58,0.65
MSUMI, EQ, 01-Jan-2025,58.24,58.4,59.25,57.91,58.91,58.94,58.69,3801541,2231.23,40830, 2365419, 62.22,1.2
MSUMI, EQ, 01-Feb-2023,51.45,51.75,54.15,50.9, 51.50,51.5,52.8,9205134,4860.61,42970, 4727920, 51.36,0.1
MSUMI, EQ, 01-Feb-2024,65.05,66.35,71.45,66.25, 69.85,69.95,69.59,65055289,45268.74,151202, 22908944, 35.21,7.53
MSUMI, EQ, 01-Mar-2023,49.5,49.6,50.6,49.4, 50.35,50.3,50.3,1450955,729.8,11690, 660488, 45.52,1.62
MSUMI, EQ, 01-Mar-2024,70.15,70.35,71.8,69.6, 70.30,70.0,70.32,7044064,4953.39,28275, 4053384, 57.54,-0.21
MSUMI, EQ, 01-Apr-2024,66.1,66.7,67.85,66.2, 67.40,67.5,67.27,5736739,3859.08,24079, 2965494, 51.69,2.12
MSUMI, EQ, 01-Apr-2025,52.11,51.99,52.2,50.64,51.11,51.05,51.34,3129720,1606.84,26388, 1512727, 48.33,-2.03
MSUMI, EQ, 01-Jun-2022,65.6,66.2,66.65,63.55,64.4,64.5,64.71,4778728,3092.37,33434, 3070238, 64.25,-1.68
MSUMI, EQ, 01-Jun-2023,57.85,58.0,58.6,57.65, 58.10,58.1,58.19,3506798,2040.78,25856, 1974217, 56.30,0.43
MSUMI, EQ, 01-Jul-2022,70.4,70.65,70.65,68.95,70.05,70.05,69.56,2203462,1532.66,19129, 1386267, 62.91,-0.5
MSUMI, EQ, 01-Jul-2024,75.31,75.35,76.0,74.01,74.15,74.21,74.85,6887017,5154.82,52830, 3746996, 54.41,-1.46
MSUMI, EQ, 01-Aug-2022,77.3,77.5,79.0,76.8, 77.10,77.15,77.78,2767238,2152.26,33506, 1657610, 59.90,-0.19
MSUMI, EQ, 01-Aug-2023,58.55,60.95,60.95,59.35, 59.60,59.55,59.67,7814079,4662.81,24273, 5041595, 64.52,1.71
MSUMI, EQ, 01-Aug-2024,73.86,74.29,74.34,73.03,73.4,73.3,73.54,3722616,2737.78,39391, 2259317, 60.69,-0.76
MSUMI, EQ, 01-Sep-2022,81.5,81.4,83.4,79.1,79.7,79.55,80.84,5504919,4450.42,37510, 3017830, 54.82,-2.39
MSUMI, EQ, 01-Sep-2023,62.1,62.65,67.1,62.2, 65.80,65.95,65.47,18667742,12222.13,60782, 9260565, 49.61,6.2
MSUMI, EQ, 01-Oct-2024,71.22,71.5,71.86,69.81,70.1,70.18,70.35,7624525,5364.2,56596, 5259677, 68.98,-1.46
MSUMI, EQ, 01-Nov-2022,87.5,84.4,85.65,81.9,82.0,82.65,83.32,10010599,8340.86,45066, 7181490, 71.74,-5.54
MSUMI, EQ, 01-Nov-2023,59.95,61.5,61.85,58.8, 59.10,59.1,60.2,6232371,3751.89,27724, 2589332, 41.55,-1.42
MSUMI, EQ, 01-Dec-2022,61.45,61.7,61.7,60.0,60.25,60.05,60.31,3511167,2117.45,24565, 2523606, 71.87,-2.28
MSUMI, EQ, 01-Dec-2023,61.6,62.0,62.35,60.95, 61.60,61.35,61.45,7074229,4347.3,31200, 5346680, 75.58,-0.41
MSUMI, EQ, 02-Jan-2023,58.3,58.35,58.75,57.85, 58.20,58.15,58.34,1589575,927.3,13947, 1050752, 66.10,-0.26
MSUMI, EQ, 02-Jan-2024,62.15,62.3,63.05,61.2, 61.70,61.55,61.96,12295620,7617.84,43761, 6817209, 55.44,-0.97
MSUMI, EQ, 02-Jan-2025,58.94,59.2,60.3,58.5,60.18,59.97,59.36,4814314,2857.73,82926, 2637737, 54.79,1.75
MSUMI, EQ, 02-Feb-2023,51.5,51.5,52.85,51.15, 51.80,51.9,51.85,4545543,2356.91,34446, 2824804, 62.14,0.78
MSUMI, EQ, 02-Feb-2024,69.95,71.15,72.2,69.0, 69.25,69.4,70.36,22935135,16136.43,77565, 10195898, 44.46,-0.79
MSUMI, EQ, 02-Mar-2023,50.3,50.35,50.4,49.95, 50.25,50.25,50.22,1209803,607.62,9386, 539220, 44.57,-0.1
MSUMI, EQ, 02-Apr-2024,67.5,68.2,68.75,67.6, 68.75,68.55,68.18,5279226,3599.18,25326, 2825953, 53.53,1.56
MSUMI, EQ, 02-Apr-2025,51.05,51.61,51.61,50.29,51.1,51.09,50.9,2229700,1134.92,16671, 895448, 40.16,0.08
MSUMI, EQ, 02-May-2022,69.5,68.2,69.9,66.9,69.45,69.6,68.73,2784419,1913.67,35049, 1697200, 60.95,0.14
MSUMI, EQ, 02-May-2023,53.75,54.0,54.3,52.1, 52.60,52.85,53.49,2675499,1431.16,18312, 1521244, 56.86,-1.67
MSUMI, EQ, 02-May-2024,69.05,69.45,69.65,68.6, 68.90,68.9,69.06,2798240,1932.53,18924, 1591914, 56.89,-0.22
MSUMI, EQ, 02-Jun-2022,64.5,64.5,64.55,63.4,63.5,63.55,64.03,3058644,1958.31,46666, 2295411, 75.05,-1.47
MSUMI, EQ, 02-Jun-2023,58.1,58.5,59.1,57.55, 58.30,58.35,58.57,5547937,3249.57,33798, 2806869, 50.59,0.43
MSUMI, EQ, 02-Jul-2024,74.21,74.6,74.64,72.6,73.05,72.89,73.34,8954771,6567.49,74774, 4998048, 55.81,-1.78
MSUMI, EQ, 02-Aug-2022,77.15,77.1,78.45,76.1,78.0,77.5,77.18,2575239,1987.58,21425, 1609341, 62.49,0.45
MSUMI, EQ, 02-Aug-2023,59.55,59.95,60.25,58.7, 60.00,59.95,59.72,6969135,4161.8,51834, 4199346, 60.26,0.67
MSUMI, EQ, 02-Aug-2024,73.3,72.4,74.45,72.09,73.15,73.02,73.39,5947130,4364.32,42008, 3346614, 56.27,-0.38
MSUMI, EQ, 02-Sep-2022,79.55,80.35,84.6,80.05,81.85,81.8,81.97,16423982,13462.89,49355, 12770497, 77.76,2.83
MSUMI, EQ, 02-Sep-2024,70.43,70.66,70.72,69.9,70.32,70.25,70.17,2824916,1982.28,29894, 1695173, 60.01,-0.26
MSUMI, EQ, 02-Nov-2022,82.65,82.7,83.45,81.7,82.5,82.4,82.55,2351545,1941.21,23509, 1387778, 59.02,-0.3
MSUMI, EQ, 02-Nov-2023,59.1,59.1,59.8,58.4, 58.80,58.65,59.0,5209857,3073.72,27775, 2987562, 57.34,-0.76
MSUMI, EQ, 02-Dec-2022,60.05,60.0,60.4,59.05, 60.25,60.2,59.89,2698366,1616.11,31654, 1679195, 62.23,0.25
MSUMI, EQ, 02-Dec-2024,63.99,63.99,64.49,63.21,63.88,63.96,63.79,2728930,1740.92,48090, 1440883, 52.80,-0.05
MSUMI, EQ, 03-Jan-2023,58.15,58.25,58.75,57.35, 57.50,57.5,58.2,5934425,3453.59,22041, 4988266, 84.06,-1.12
MSUMI, EQ, 03-Jan-2024,61.55,61.8,62.6,61.0, 61.70,61.5,61.54,20314444,12501.23,32277, 13122523, 64.60,-0.08
