SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
MTARTECH, EQ, 01-Jan-2024,2208.3,2209.0,2228.0,2191.0, 2201.00,2202.35,2211.8,171546,3794.25,17450, 87684, 51.11,-0.27
MTARTECH, EQ, 01-Jan-2025,1658.25,1650.75,1680.0,1650.25,1675.0,1673.65,1665.11,56257,936.74,7904, 21438, 38.11,0.93
MTARTECH, EQ, 01-Feb-2022,2163.35,2190.0,2250.0,2152.05,2232.0,2237.15,2215.86,128632,2850.3,16179, 25251, 19.63,3.41
MTARTECH, EQ, 01-Feb-2023,1737.55,1770.0,1797.6,1663.1, 1685.00,1691.2,1742.89,527704,9197.29,45723, 162167, 30.73,-2.67
MTARTECH, EQ, 01-Feb-2024,2100.55,2075.0,2087.7,2024.5, 2032.00,2029.0,2034.73,544737,11083.93,49313, 300569, 55.18,-3.41
MTARTECH, EQ, 01-Mar-2023,1696.85,1712.65,1729.9,1700.5, 1723.05,1724.4,1718.69,73504,1263.3,7077, 31053, 42.25,1.62
MTARTECH, EQ, 01-Mar-2024,1916.1,1921.25,1943.95,1900.0, 1911.20,1902.85,1911.88,122972,2351.07,14434, 56343, 45.82,-0.69
MTARTECH, EQ, 01-Apr-2021,1023.7,1049.5,1059.0,1035.0, 1046.00,1045.65,1045.6,241427,2524.36,12745, 104016, 43.08,2.14
MTARTECH, EQ, 01-Apr-2022,1753.75,1767.6,1775.75,1740.0, 1748.00,1752.65,1756.83,136520,2398.42,11532, 65261, 47.80,-0.06
MTARTECH, EQ, 01-Apr-2024,1683.75,1699.0,1789.95,1699.0, 1778.00,1771.5,1764.27,427560,7543.3,31770, 198237, 46.36,5.21
MTARTECH, EQ, 01-Apr-2025,1281.15,1295.0,1352.05,1282.05,1344.9,1344.2,1325.82,188264,2496.03,19280, 55163, 29.30,4.92
MTARTECH, EQ, 01-Jun-2021,985.4,992.75,998.25,953.25, 968.50,970.15,972.63,111570,1085.16,8424, 47974, 43.00,-1.55
MTARTECH, EQ, 01-Jun-2022,1426.7,1470.0,1498.0,1445.0,1454.0,1453.9,1465.93,105374,1544.71,9292, 50868, 48.27,1.91
MTARTECH, EQ, 01-Jun-2023,1899.35,1899.35,1930.0,1861.0, 1864.80,1867.9,1883.99,730851,13769.14,13215, 619573, 84.77,-1.66
MTARTECH, EQ, 01-Jul-2021,1127.2,1136.8,1188.9,1134.0, 1164.00,1164.85,1167.41,870023,10156.74,35489, 182674, 21.00,3.34
MTARTECH, EQ, 01-Jul-2022,1271.25,1279.0,1279.0,1238.95,1241.0,1244.75,1250.99,104163,1303.07,11627, 36755, 35.29,-2.08
MTARTECH, EQ, 01-Jul-2024,1858.25,1858.25,1866.4,1840.0,1845.0,1842.2,1846.25,152412,2813.91,14773, 81579, 53.53,-0.86
MTARTECH, EQ, 01-Aug-2022,1265.95,1285.0,1347.2,1273.9, 1315.00,1303.45,1316.92,277508,3654.55,21618, 114969, 41.43,2.96
MTARTECH, EQ, 01-Aug-2023,2133.0,2140.0,2145.85,2119.0, 2128.50,2126.9,2127.66,78746,1675.45,8506, 34700, 44.07,-0.29
MTARTECH, EQ, 01-Aug-2024,1904.65,1938.65,1938.65,1878.1,1893.0,1887.75,1901.3,105180,1999.78,14070, 51839, 49.29,-0.89
MTARTECH, EQ, 01-Sep-2021,1267.3,1279.0,1279.75,1243.6,1249.0,1251.3,1256.51,76120,956.45,6276, 37733, 49.57,-1.26
MTARTECH, EQ, 01-Sep-2022,1645.45,1642.0,1644.8,1612.0,1621.95,1618.45,1627.08,130078,2116.47,11434, 47878, 36.81,-1.64
MTARTECH, EQ, 01-Sep-2023,2462.5,2495.0,2815.0,2482.5, 2709.00,2723.95,2689.53,5368224,144380.0,253311, 686951, 12.80,10.62
MTARTECH, EQ, 01-Oct-2021,1461.65,1460.0,1524.0,1455.5, 1469.00,1474.85,1495.62,669753,10016.93,52332, 178715, 26.68,0.9
MTARTECH, EQ, 01-Oct-2024,1745.95,1752.0,1757.0,1728.0,1736.25,1732.15,1737.95,60294,1047.88,9002, 27144, 45.02,-0.79
MTARTECH, EQ, 01-Nov-2021,1617.9,1622.1,1720.0,1599.95, 1705.00,1705.75,1684.74,232518,3917.33,19698, 84818, 36.48,5.43
MTARTECH, EQ, 01-Nov-2022,1604.8,1611.9,1643.95,1600.85,1612.0,1612.8,1623.71,85986,1396.16,8929, 32812, 38.16,0.5
MTARTECH, EQ, 01-Nov-2023,2438.85,2448.8,2515.0,2441.55, 2492.00,2490.35,2480.2,156030,3869.86,15971, 43260, 27.73,2.11
MTARTECH, EQ, 01-Dec-2021,2111.05,2125.0,2307.95,2118.65,2261.0,2254.0,2232.64,606822,13548.13,58831, 109915, 18.11,6.77
MTARTECH, EQ, 01-Dec-2022,1586.65,1604.45,1608.95,1592.75,1604.0,1600.45,1599.17,37141,593.95,4515, 18804, 50.63,0.87
MTARTECH, EQ, 01-Dec-2023,2240.6,2265.95,2266.0,2239.0, 2243.60,2244.3,2252.46,144107,3245.96,11810, 69972, 48.56,0.17
MTARTECH, EQ, 02-Jan-2023,1617.5,1628.0,1647.7,1611.0, 1630.00,1627.8,1629.17,216915,3533.91,6937, 175756, 81.03,0.64
MTARTECH, EQ, 02-Jan-2024,2202.35,2202.35,2218.8,2170.0, 2181.00,2180.1,2186.1,174301,3810.4,23018, 78639, 45.12,-1.01
MTARTECH, EQ, 02-Jan-2025,1673.65,1673.65,1737.0,1673.65,1720.0,1720.4,1720.04,175412,3017.16,18087, 77120, 43.97,2.79
MTARTECH, EQ, 02-Feb-2022,2237.15,2250.0,2320.0,2245.05, 2275.00,2273.2,2286.33,126129,2883.73,16191, 39250, 31.12,1.61
MTARTECH, EQ, 02-Feb-2023,1691.2,1690.0,1733.0,1641.0, 1679.00,1677.35,1696.9,132243,2244.03,18146, 44148, 33.38,-0.82
MTARTECH, EQ, 02-Feb-2024,2029.0,2039.85,2041.95,1996.15, 2033.25,2022.35,2013.31,249364,5020.46,26794, 124838, 50.06,-0.33
MTARTECH, EQ, 02-Mar-2022,1808.75,1808.75,1867.0,1790.15, 1805.00,1810.85,1823.01,145529,2653.01,14843, 35801, 24.60,0.12
MTARTECH, EQ, 02-Mar-2023,1724.4,1724.5,1752.0,1719.55, 1733.95,1735.2,1739.0,93687,1629.22,9280, 47710, 50.92,0.63
MTARTECH, EQ, 02-Apr-2024,1771.5,1798.0,1943.0,1775.2, 1894.70,1896.05,1893.52,1371145,25962.97,77860, 283635, 20.69,7.03
MTARTECH, EQ, 02-Apr-2025,1344.2,1347.05,1351.3,1313.2,1340.0,1339.75,1331.69,73910,984.25,9661, 25695, 34.77,-0.33
MTARTECH, EQ, 02-May-2022,1680.5,1672.6,1672.6,1636.95,1651.95,1651.2,1648.29,85632,1411.46,7581, 53934, 62.98,-1.74
MTARTECH, EQ, 02-May-2023,1812.8,1830.0,1925.0,1825.0, 1885.00,1888.05,1884.77,752480,14182.51,46860, 206413, 27.43,4.15
MTARTECH, EQ, 02-May-2024,1886.05,1886.15,1900.0,1875.0, 1881.85,1878.45,1886.57,71616,1351.09,9879, 38693, 54.03,-0.4
MTARTECH, EQ, 02-Jun-2021,970.15,980.95,1016.9,965.55, 1012.50,1012.3,1002.67,265894,2666.04,16011, 103066, 38.76,4.34
MTARTECH, EQ, 02-Jun-2022,1453.9,1450.0,1475.0,1448.1,1454.9,1452.85,1461.56,34156,499.21,3867, 15223, 44.57,-0.07
MTARTECH, EQ, 02-Jun-2023,1867.9,1882.8,1922.0,1879.0, 1894.15,1892.2,1901.2,275802,5243.55,15707, 104140, 37.76,1.3
MTARTECH, EQ, 02-Jul-2021,1164.85,1172.0,1299.0,1145.0,1264.85,1256.7,1238.92,1642361,20347.53,78948, 409599, 24.94,7.89
MTARTECH, EQ, 02-Jul-2024,1842.2,1854.4,1926.85,1850.45,1898.6,1892.45,1896.55,514473,9757.22,32683, 195710, 38.04,2.73
