SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
NATNLSTEEL, EQ, 01-Jan-2020,2.0,2.1,2.1,2.05, 2.10,2.1,2.1,9167,0.19,34, 8930, 97.41,5.0
NATNLSTEEL, EQ, 01-Sep-2020,3.6,3.75,3.75,3.6, 3.75,3.75,3.72,96480,3.59,113, 89554, 92.82,4.17
NATNLSTEEL, EQ, 01-Sep-2021,3.8,3.8,3.95,3.65,3.75,3.75,3.72,27960,1.04,63, 22860, 81.76,-1.32
NATNLSTEEL, EQ, 01-Oct-2021,4.1,4.2,4.2,4.0, 4.10,4.1,4.05,25231,1.02,78, 19245, 76.28,0.0
NATNLSTEEL, EQ, 01-Dec-2020,4.1,3.9,4.3,3.9,4.3,4.3,4.13,79319,3.27,163, 63825, 80.47,4.88
NATNLSTEEL, EQ, 02-Jan-2020,2.1,2.0,2.2,2.0, 2.10,2.15,2.19,13930,0.3,68, 12443, 89.33,2.38
NATNLSTEEL, EQ, 02-Feb-2021,3.9,4.05,4.05,3.75, 4.05,4.05,4.0,22114,0.88,32, 18487, 83.60,3.85
NATNLSTEEL, EQ, 02-Sep-2020,3.75,3.9,3.9,3.9, 3.90,3.9,3.9,7803,0.3,27, 7801, 99.97,4.0
NATNLSTEEL, EQ, 02-Sep-2021,3.75,3.65,3.9,3.65, 3.80,3.8,3.82,24051,0.92,117, 19264, 80.10,1.33
NATNLSTEEL, EQ, 02-Dec-2020,4.3,4.3,4.5,4.3, 4.50,4.5,4.48,17744,0.8,30, 17744, 100.00,4.65
NATNLSTEEL, EQ, 03-Jan-2020,2.15,2.25,2.25,2.05, 2.25,2.2,2.18,56758,1.24,82, 40467, 71.30,2.33
NATNLSTEEL, EQ, 03-Feb-2021,4.05,4.25,4.25,4.25, 4.25,4.25,4.25,41147,1.75,43, 41147, 100.00,4.94
NATNLSTEEL, EQ, 03-Sep-2020,3.9,4.05,4.05,3.95, 4.05,4.05,4.04,22426,0.91,75, 22271, 99.31,3.85
NATNLSTEEL, EQ, 03-Sep-2021,3.8,3.8,3.95,3.65, 3.95,3.9,3.88,33806,1.31,122, 25959, 76.79,2.63
NATNLSTEEL, EQ, 03-Dec-2020,4.5,4.7,4.7,4.7,4.7,4.7,4.7,35240,1.66,42, 35230, 99.97,4.44
NATNLSTEEL, EQ, 04-Feb-2021,4.25,4.45,4.45,4.45, 4.45,4.45,4.45,60396,2.69,80, 52838, 87.49,4.71
NATNLSTEEL, EQ, 04-Sep-2020,4.05,4.05,4.25,4.05,4.25,4.25,4.22,40806,1.72,136, 38398, 94.10,4.94
NATNLSTEEL, EQ, 04-Oct-2021,4.1,4.2,4.2,4.0, 4.00,4.0,4.06,65497,2.66,169, 52275, 79.81,-2.44
NATNLSTEEL, EQ, 05-Feb-2021,4.45,4.65,4.65,4.65, 4.65,4.65,4.65,34197,1.59,33, 34197, 100.00,4.49
NATNLSTEEL, EQ, 05-Oct-2021,4.0,4.1,4.15,3.85, 4.00,3.9,3.97,83474,3.31,165, 60196, 72.11,-2.5
NATNLSTEEL, EQ, 06-Jan-2020,2.2,2.25,2.3,2.1, 2.20,2.2,2.22,17762,0.39,38, 16811, 94.65,0.0
NATNLSTEEL, EQ, 06-Sep-2021,3.9,3.9,4.05,3.75,3.85,3.75,3.81,66330,2.53,183, 48300, 72.82,-3.85
NATNLSTEEL, EQ, 06-Oct-2021,3.9,4.0,4.0,3.75, 3.90,3.85,3.89,72624,2.82,190, 51522, 70.94,-1.28
NATNLSTEEL, EQ, 07-Jan-2020,2.2,2.3,2.3,2.1, 2.10,2.1,2.13,19016,0.4,35, 7799, 41.01,-4.55
NATNLSTEEL, EQ, 07-Sep-2020,4.25,4.45,4.45,4.35, 4.45,4.45,4.45,21262,0.95,63, 20962, 98.59,4.71
NATNLSTEEL, EQ, 07-Sep-2021,3.75,3.75,3.85,3.65, 3.80,3.8,3.78,13417,0.51,58, 11040, 82.28,1.33
NATNLSTEEL, EQ, 07-Oct-2021,3.85,4.0,4.0,3.9, 3.90,3.95,3.94,25702,1.01,120, 20743, 80.71,2.6
NATNLSTEEL, EQ, 08-Jan-2020,2.1,2.2,2.2,2.05, 2.20,2.1,2.16,10779,0.23,55, 8195, 76.03,0.0
NATNLSTEEL, EQ, 08-Feb-2021,4.65,4.85,4.85,4.85, 4.85,4.85,4.85,19478,0.94,29, 19478, 100.00,4.3
NATNLSTEEL, EQ, 08-Mar-2021,4.0,4.2,4.2,4.2, 4.20,4.2,4.2,7203,0.3,18, 7203, 100.00,5.0
NATNLSTEEL, EQ, 08-Sep-2021,3.8,3.9,3.9,3.7, 3.70,3.75,3.83,29197,1.12,108, 18067, 61.88,-1.32
NATNLSTEEL, EQ, 08-Oct-2021,3.95,3.95,4.1,3.9, 3.95,4.0,4.02,49439,1.99,152, 36358, 73.54,1.27
NATNLSTEEL, EQ, 09-Jan-2020,2.1,2.1,2.2,2.0, 2.05,2.05,2.1,9303,0.2,50, 6603, 70.98,-2.38
NATNLSTEEL, EQ, 09-Feb-2021,4.85,5.05,5.05,5.05, 5.05,5.05,5.05,72106,3.64,46, 72106, 100.00,4.12
NATNLSTEEL, EQ, 09-Mar-2021,4.2,4.4,4.4,4.4, 4.40,4.4,4.4,9818,0.43,12, 9818, 100.00,4.76
NATNLSTEEL, EQ, 09-Aug-2021,4.4,4.5,4.6,4.2, 4.25,4.25,4.41,40726,1.8,99, 38759, 95.17,-3.41
NATNLSTEEL, EQ, 09-Sep-2021,3.75,3.85,3.9,3.7, 3.90,3.9,3.82,48373,1.85,98, 27193, 56.22,4.0
NATNLSTEEL, EQ, 10-Jan-2020,2.05,2.05,2.15,2.05, 2.10,2.1,2.13,11099,0.24,35, 10589, 95.40,2.44
NATNLSTEEL, EQ, 10-Jan-2022,6.5,6.8,6.8,6.8,6.8,6.8,6.8,12020,0.82,26, 12020, 100.00,4.62
NATNLSTEEL, EQ, 10-Feb-2021,5.05,5.3,5.3,5.3,5.3,5.3,5.3,39922,2.12,30, 39922, 100.00,4.95
NATNLSTEEL, EQ, 10-Mar-2021,4.4,4.6,4.6,4.6, 4.60,4.6,4.6,11620,0.53,17, 11620, 100.00,4.55
NATNLSTEEL, EQ, 10-Aug-2021,4.25,4.05,4.45,4.05, 4.15,4.25,4.34,23616,1.03,89, 19465, 82.42,0.0
NATNLSTEEL, EQ, 10-Nov-2020,2.6,2.55,2.7,2.55, 2.70,2.7,2.58,11121,0.29,26, 9075, 81.60,3.85
NATNLSTEEL, EQ, 11-Aug-2021,4.25,4.45,4.45,4.05, 4.20,4.1,4.07,37275,1.52,87, 24932, 66.89,-3.53
NATNLSTEEL, EQ, 11-Oct-2021,4.0,4.1,4.1,3.9, 4.00,4.0,3.99,44523,1.78,132, 40763, 91.55,0.0
NATNLSTEEL, EQ, 11-Nov-2020,2.7,2.6,2.8,2.6, 2.80,2.8,2.75,6657,0.18,32, 4945, 74.28,3.7
NATNLSTEEL, EQ, 12-Mar-2021,4.6,4.8,4.8,4.8, 4.80,4.8,4.8,4901,0.24,12, 4901, 100.00,4.35
NATNLSTEEL, EQ, 12-Aug-2021,4.1,4.3,4.3,4.0, 4.15,4.05,4.14,37801,1.57,152, 21256, 56.23,-1.22
NATNLSTEEL, EQ, 12-Oct-2021,4.0,4.05,4.4,4.05, 4.40,4.4,4.3,88584,3.81,160, 82895, 93.58,10.0
NATNLSTEEL, EQ, 12-Nov-2020,2.8,2.8,2.9,2.8, 2.90,2.9,2.89,1701,0.05,11, 1701, 100.00,3.57
