SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
NCLIND, EQ, 01-Jan-2020,86.05,86.9,87.6,85.9, 87.10,87.4,86.93,51506,44.78,576, 38100, 73.97,1.57
NCLIND, EQ, 01-Jan-2021,147.35,146.9,152.4,146.7, 149.50,148.55,149.62,315144,471.5,4421, 128387, 40.74,0.81
NCLIND, EQ, 01-Jan-2024,222.35,223.3,227.0,223.05, 227.00,225.95,225.55,189580,427.6,4457, 136628, 72.07,1.62
NCLIND, EQ, 01-Jan-2025,219.44,218.9,227.45,218.64,223.7,224.21,223.46,90114,201.37,4593, 44136, 48.98,2.17
NCLIND, EQ, 01-Feb-2021,146.8,148.4,155.7,148.0, 154.85,154.75,152.97,706053,1080.05,6580, 239289, 33.89,5.42
NCLIND, EQ, 01-Feb-2022,207.85,210.9,213.0,205.65,211.0,211.15,209.24,184212,385.44,3507, 84395, 45.81,1.59
NCLIND, EQ, 01-Feb-2023,163.15,163.0,164.85,157.0, 158.20,158.05,160.64,134554,216.15,3047, 83780, 62.26,-3.13
NCLIND, EQ, 01-Feb-2024,246.7,249.0,249.7,238.4, 239.50,239.95,244.01,622736,1519.52,17418, 330107, 53.01,-2.74
NCLIND, EQ, 01-Mar-2021,170.35,176.0,182.0,170.0, 180.90,180.3,178.81,1327750,2374.16,14692, 453490, 34.15,5.84
NCLIND, EQ, 01-Mar-2023,169.2,170.4,171.55,168.9, 170.50,170.25,170.86,83607,142.85,880, 69205, 82.77,0.62
NCLIND, EQ, 01-Mar-2024,225.15,227.4,228.55,223.6, 224.00,224.5,225.79,165671,374.06,6664, 88501, 53.42,-0.29
NCLIND, EQ, 01-Apr-2020,53.9,53.8,55.5,53.8,55.0,55.3,54.91,17550,9.64,246, 9950, 56.70,2.6
NCLIND, EQ, 01-Apr-2021,171.9,172.5,175.6,171.3, 172.50,172.65,173.39,273337,473.95,4343, 131440, 48.09,0.44
NCLIND, EQ, 01-Apr-2022,177.75,177.0,188.75,177.0, 187.00,186.5,185.51,247750,459.59,4159, 136683, 55.17,4.92
NCLIND, EQ, 01-Apr-2024,184.8,185.8,195.25,185.8, 195.25,194.25,192.2,199401,383.24,8298, 106044, 53.18,5.11
NCLIND, EQ, 01-Apr-2025,182.29,181.9,189.9,181.88,188.1,187.32,185.34,58601,108.61,2107, 25736, 43.92,2.76
NCLIND, EQ, 01-Jun-2020,63.0,63.85,68.0,63.35, 67.90,67.0,65.6,907201,595.1,4534, 515011, 56.77,6.35
NCLIND, EQ, 01-Jun-2021,207.1,208.4,208.9,200.1, 201.50,200.65,202.81,278676,565.19,4425, 151943, 54.52,-3.11
NCLIND, EQ, 01-Jun-2022,163.55,165.0,166.45,162.2,163.8,163.75,164.08,45694,74.97,1348, 31112, 68.09,0.12
NCLIND, EQ, 01-Jun-2023,191.2,189.3,192.0,188.8, 188.80,189.9,190.6,108691,207.17,2292, 60089, 55.28,-0.68
NCLIND, EQ, 01-Jul-2020,70.25,69.95,75.0,68.5, 72.90,72.8,72.42,417392,302.29,3921, 183316, 43.92,3.63
NCLIND, EQ, 01-Jul-2021,209.55,209.5,216.05,205.05, 214.80,214.3,211.4,330138,697.92,10652, 183892, 55.70,2.27
NCLIND, EQ, 01-Jul-2022,175.15,174.55,177.5,173.9,175.0,174.65,174.97,48681,85.18,1769, 28380, 58.30,-0.29
NCLIND, EQ, 01-Jul-2024,241.76,241.78,248.48,238.05,246.24,245.3,242.22,551505,1335.84,12267, 267232, 48.46,1.46
NCLIND, EQ, 01-Aug-2022,174.7,177.5,177.5,173.15, 174.20,174.45,175.34,70215,123.12,1752, 53088, 75.61,-0.14
NCLIND, EQ, 01-Aug-2023,192.7,194.8,194.8,191.4, 194.70,193.0,192.92,65018,125.43,1836, 37567, 57.78,0.16
NCLIND, EQ, 01-Aug-2024,235.98,238.3,238.31,230.41,232.7,231.97,233.49,119337,278.64,4988, 69026, 57.84,-1.7
NCLIND, EQ, 01-Sep-2020,95.6,96.85,105.8,95.6, 105.00,103.75,101.15,641431,648.83,7331, 265315, 41.36,8.53
NCLIND, EQ, 01-Sep-2021,233.25,234.95,236.0,230.5,231.05,231.25,232.68,84411,196.41,3104, 54081, 64.07,-0.86
NCLIND, EQ, 01-Sep-2022,183.35,181.5,186.95,181.5,185.0,184.9,185.04,66944,123.87,1867, 33105, 49.45,0.85
NCLIND, EQ, 01-Sep-2023,237.15,237.15,243.7,235.05, 239.20,238.15,240.08,392995,943.52,10008, 177433, 45.15,0.42
NCLIND, EQ, 01-Oct-2020,106.35,107.5,107.5,104.0, 105.50,105.65,106.29,121719,129.38,1708, 62749, 51.55,-0.66
NCLIND, EQ, 01-Oct-2021,218.85,219.0,235.85,217.0, 233.00,233.6,227.52,389987,887.3,8137, 239177, 61.33,6.74
NCLIND, EQ, 01-Oct-2024,208.11,208.65,214.69,207.63,213.5,213.86,211.74,100506,212.81,1712, 53833, 53.56,2.76
NCLIND, EQ, 01-Nov-2021,244.85,247.0,247.0,238.0, 243.00,243.1,241.77,300761,727.14,7599, 106204, 35.31,-0.71
NCLIND, EQ, 01-Nov-2022,181.65,181.0,182.0,179.15,180.1,180.15,180.49,53519,96.6,1868, 32168, 60.11,-0.83
NCLIND, EQ, 01-Nov-2023,206.85,208.3,211.1,206.2, 211.00,210.1,209.17,108608,227.17,3111, 62716, 57.75,1.57
NCLIND, EQ, 01-Dec-2020,141.8,145.0,147.7,142.15,145.3,145.35,145.59,398936,580.82,5841, 204067, 51.15,2.5
NCLIND, EQ, 01-Dec-2021,209.95,213.5,214.85,211.65,214.0,213.0,213.21,56655,120.79,1716, 30550, 53.92,1.45
NCLIND, EQ, 01-Dec-2022,177.8,179.8,184.65,178.6,181.6,182.8,182.14,278048,506.43,6952, 167023, 60.07,2.81
NCLIND, EQ, 01-Dec-2023,220.45,222.0,228.2,220.1, 222.00,221.6,224.85,670088,1506.66,14615, 291483, 43.50,0.52
NCLIND, EQ, 02-Jan-2020,87.4,87.1,93.9,87.1, 92.50,92.75,92.26,192596,177.68,2197, 118814, 61.69,6.12
NCLIND, EQ, 02-Jan-2023,177.05,178.1,179.4,176.05, 177.95,177.55,177.97,47789,85.05,1427, 31342, 65.58,0.28
NCLIND, EQ, 02-Jan-2024,225.95,226.0,236.0,222.85, 234.20,233.55,230.88,638594,1474.41,10614, 322342, 50.48,3.36
NCLIND, EQ, 02-Jan-2025,224.21,224.21,225.03,220.0,220.5,221.34,221.77,54210,120.22,3923, 36036, 66.47,-1.28
NCLIND, EQ, 02-Feb-2021,154.75,156.0,160.0,154.1, 157.65,157.75,157.38,600253,944.66,7349, 316056, 52.65,1.94
NCLIND, EQ, 02-Feb-2022,211.15,212.8,213.7,207.85, 208.05,208.35,210.66,173822,366.18,4758, 95890, 55.17,-1.33
NCLIND, EQ, 02-Feb-2023,158.05,158.05,161.55,157.0, 159.95,158.45,159.19,49309,78.5,1535, 26818, 54.39,0.25
NCLIND, EQ, 02-Feb-2024,239.95,241.7,248.5,240.85, 243.55,243.6,243.81,500876,1221.19,15506, 213195, 42.56,1.52
NCLIND, EQ, 02-Mar-2020,78.4,81.7,83.35,71.0, 71.20,72.45,75.4,188968,142.48,2963, 121227, 64.15,-7.59
NCLIND, EQ, 02-Mar-2021,180.3,182.8,182.8,176.4,178.1,178.8,179.82,345138,620.63,6845, 191866, 55.59,-0.83
NCLIND, EQ, 02-Mar-2022,177.05,176.3,179.35,174.55, 178.30,176.9,176.51,99063,174.86,2806, 46353, 46.79,-0.08
NCLIND, EQ, 02-Mar-2023,170.25,169.25,171.75,169.25, 171.40,170.85,170.56,67799,115.64,1036, 40831, 60.22,0.35
NCLIND, EQ, 02-Apr-2024,194.25,195.3,208.3,194.0, 208.00,203.25,199.63,395397,789.33,11606, 199928, 50.56,4.63
NCLIND, EQ, 02-Apr-2025,187.32,185.06,191.18,184.1,190.0,190.04,188.82,52522,99.17,1659, 28438, 54.14,1.45
NCLIND, EQ, 02-May-2022,188.1,186.5,188.5,185.0,188.0,186.65,186.47,72054,134.36,2070, 35998, 49.96,-0.77
NCLIND, EQ, 02-May-2023,187.1,187.3,190.65,181.65, 182.60,182.95,184.02,125756,231.42,4011, 66887, 53.19,-2.22
NCLIND, EQ, 02-May-2024,207.7,209.85,213.4,207.05, 210.60,209.85,210.45,322981,679.71,9754, 164483, 50.93,1.04
NCLIND, EQ, 02-Jun-2020,67.0,67.3,68.35,64.05,64.7,64.85,65.59,764422,501.37,3902, 495807, 64.86,-3.21
NCLIND, EQ, 02-Jun-2021,200.65,200.65,205.0,200.65, 202.75,203.05,203.42,183715,373.71,3952, 94967, 51.69,1.2
NCLIND, EQ, 02-Jun-2022,163.75,166.95,170.95,163.8,169.6,169.15,167.31,74646,124.89,2376, 32451, 43.47,3.3
NCLIND, EQ, 02-Jun-2023,189.9,191.0,193.95,185.3, 187.50,187.05,190.84,173398,330.91,5150, 99253, 57.24,-1.5
NCLIND, EQ, 02-Jul-2020,72.8,73.0,73.5,71.9, 72.05,72.1,72.54,81737,59.29,923, 37271, 45.60,-0.96
NCLIND, EQ, 02-Jul-2021,214.3,215.0,216.25,210.0,211.0,211.15,213.33,180941,385.99,3777, 130293, 72.01,-1.47
NCLIND, EQ, 02-Jul-2024,245.3,244.0,249.0,241.32,245.89,245.61,246.12,487878,1200.75,12140, 184956, 37.91,0.13
NCLIND, EQ, 02-Aug-2021,255.95,270.95,289.75,263.25,289.5,284.15,277.22,1624433,4503.28,27389, 790278, 48.65,11.02
NCLIND, EQ, 02-Aug-2022,174.45,174.3,179.95,173.7,176.85,176.45,177.46,113572,201.54,3113, 51301, 45.17,1.15
NCLIND, EQ, 02-Aug-2023,193.0,194.5,196.4,192.0, 194.50,194.6,194.18,127689,247.95,3401, 66246, 51.88,0.83
NCLIND, EQ, 02-Aug-2024,231.97,228.5,232.54,228.01,230.05,230.2,230.34,144627,333.13,5965, 75824, 52.43,-0.76
NCLIND, EQ, 02-Sep-2020,103.75,103.8,108.9,103.8, 105.45,105.0,106.3,898583,955.23,8951, 357265, 39.76,1.2
NCLIND, EQ, 02-Sep-2021,231.25,233.4,249.0,231.75, 248.50,246.35,242.85,514478,1249.41,12488, 206682, 40.17,6.53
NCLIND, EQ, 02-Sep-2022,184.9,186.35,188.95,183.0,183.15,184.3,186.0,71550,133.08,2100, 33698, 47.10,-0.32
NCLIND, EQ, 02-Sep-2024,223.66,224.6,226.93,220.61,225.2,223.94,223.32,182796,408.22,5114, 97321, 53.24,0.13
NCLIND, EQ, 02-Nov-2020,129.2,130.3,132.95,129.5, 130.30,130.25,130.75,207700,271.57,2630, 70429, 33.91,0.81
NCLIND, EQ, 02-Nov-2021,243.1,244.35,246.9,233.25, 234.90,235.15,238.16,425553,1013.51,11801, 158888, 37.34,-3.27
NCLIND, EQ, 02-Nov-2022,180.15,180.0,184.1,179.05,180.0,180.5,181.44,58815,106.72,1584, 30005, 51.02,0.19
NCLIND, EQ, 02-Nov-2023,210.1,210.5,214.55,207.95, 212.15,212.75,211.42,110318,233.23,2607, 63100, 57.20,1.26
NCLIND, EQ, 02-Dec-2020,145.35,146.4,147.8,143.0, 144.50,143.9,145.41,238517,346.83,4409, 104042, 43.62,-1.0
NCLIND, EQ, 02-Dec-2021,213.0,214.6,215.5,211.5, 213.55,213.95,213.28,72882,155.44,3831, 47370, 65.00,0.45
NCLIND, EQ, 02-Dec-2022,182.8,183.45,188.4,181.25, 185.40,185.4,185.1,237051,438.77,4335, 123491, 52.09,1.42
NCLIND, EQ, 02-Dec-2024,219.78,220.0,224.18,219.05,221.9,220.72,221.45,114169,252.82,2482, 61296, 53.69,0.43
NCLIND, EQ, 03-Jan-2020,92.75,93.15,96.0,91.2, 92.80,92.25,94.04,165747,155.87,1935, 89640, 54.08,-0.54
NCLIND, EQ, 03-Jan-2022,213.7,218.0,221.5,211.6, 218.00,218.45,217.46,184223,400.61,4637, 109384, 59.38,2.22
NCLIND, EQ, 03-Jan-2023,177.55,177.6,178.95,176.0, 176.00,176.2,177.22,48459,85.88,1120, 27653, 57.06,-0.76
NCLIND, EQ, 03-Jan-2024,233.55,236.0,236.0,226.05, 228.00,227.45,231.07,432992,1000.53,10173, 263540, 60.86,-2.61
NCLIND, EQ, 03-Jan-2025,221.34,221.2,223.45,220.0,220.75,220.29,221.83,53251,118.13,3775, 30736, 57.72,-0.47
NCLIND, EQ, 03-Feb-2020,86.9,86.9,88.35,85.25, 85.50,85.95,86.51,46856,40.53,949, 23595, 50.36,-1.09
NCLIND, EQ, 03-Feb-2021,157.75,159.5,162.0,157.9, 158.40,158.35,160.09,490253,784.87,6538, 276274, 56.35,0.38
