SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
NECLIFE, EQ, 01-Jan-2020,12.15,12.0,12.55,12.0, 12.35,12.35,12.36,96014,11.87,461, 47320, 49.28,1.65
NECLIFE, EQ, 01-Jan-2021,23.9,23.6,24.0,23.1, 23.15,23.25,23.45,740031,173.51,2295, 369988, 50.00,-2.72
NECLIFE, EQ, 01-Jan-2024,32.15,32.25,33.3,31.9, 32.60,32.5,32.57,1101293,358.65,4402, 470347, 42.71,1.09
NECLIFE, EQ, 01-Feb-2021,20.5,21.15,21.15,20.15, 20.70,20.4,20.5,157865,32.36,730, 79865, 50.59,-0.49
NECLIFE, EQ, 01-Feb-2022,32.45,32.75,32.75,29.75,31.45,31.6,31.75,438092,139.08,3039, 223259, 50.96,-2.62
NECLIFE, EQ, 01-Feb-2023,20.25,20.4,20.9,19.7, 19.90,19.95,20.29,179597,36.43,907, 100142, 55.76,-1.48
NECLIFE, EQ, 01-Feb-2024,36.5,36.75,37.15,35.75, 36.70,36.55,36.35,1795324,652.66,5929, 612955, 34.14,0.14
NECLIFE, EQ, 01-Mar-2021,20.1,20.3,20.95,20.2, 20.50,20.35,20.55,576121,118.38,1575, 212640, 36.91,1.24
NECLIFE, EQ, 01-Mar-2023,17.25,17.3,17.8,17.1, 17.40,17.45,17.47,184347,32.2,679, 75744, 41.09,1.16
NECLIFE, EQ, 01-Mar-2024,38.25,38.55,39.35,37.1, 37.45,37.25,37.95,561807,213.2,2283, 346492, 61.67,-2.61
NECLIFE, EQ, 01-Apr-2020,9.8,9.8,10.7,9.8,10.15,10.15,10.21,152690,15.59,689, 92122, 60.33,3.57
NECLIFE, EQ, 01-Apr-2021,18.6,18.75,19.65,18.75, 19.30,19.25,19.26,329328,63.44,1040, 179755, 54.58,3.49
NECLIFE, EQ, 01-Apr-2022,24.05,24.5,26.95,24.1, 26.35,26.4,25.98,802048,208.4,3194, 346903, 43.25,9.77
NECLIFE, EQ, 01-Apr-2024,30.15,30.3,34.95,30.3, 34.90,34.25,33.49,1373369,459.99,4930, 578901, 42.15,13.6
NECLIFE, EQ, 01-Apr-2025,22.95,22.74,24.09,22.6,24.09,24.09,23.91,1710463,408.9,914, 1453952, 85.00,4.97
NECLIFE, EQ, 01-Jun-2020,13.2,13.4,13.65,13.1, 13.50,13.4,13.36,166214,22.21,650, 104202, 62.69,1.52
NECLIFE, EQ, 01-Jun-2021,31.05,31.3,31.5,29.55, 30.00,29.9,30.11,780587,235.02,3649, 449630, 57.60,-3.7
NECLIFE, EQ, 01-Jun-2022,26.2,26.6,26.7,25.95,26.05,26.0,26.24,171128,44.9,1109, 75538, 44.14,-0.76
NECLIFE, EQ, 01-Jun-2023,16.85,16.9,17.2,16.75, 17.10,17.0,17.0,139592,23.74,453, 86683, 62.10,0.89
NECLIFE, EQ, 01-Jul-2020,21.55,21.85,23.7,21.1, 23.70,23.7,23.02,1316251,303.01,3618, 723146, 54.94,9.98
NECLIFE, EQ, 01-Jul-2021,40.3,40.05,41.3,39.9, 40.30,40.15,40.44,703414,284.44,3294, 330312, 46.96,-0.37
NECLIFE, EQ, 01-Jul-2022,23.25,23.1,23.5,22.8,23.4,23.2,23.09,35240,8.14,369, 18805, 53.36,-0.22
NECLIFE, EQ, 01-Jul-2024,31.34,31.35,31.99,31.24,31.79,31.75,31.79,513085,163.12,3850, 317997, 61.98,1.31
NECLIFE, EQ, 01-Aug-2022,23.85,23.85,24.3,23.7, 24.05,24.1,24.05,163249,39.26,746, 104916, 64.27,1.05
NECLIFE, EQ, 01-Aug-2023,24.75,24.55,25.65,24.45, 24.70,24.6,24.92,439805,109.62,1931, 261963, 59.56,-0.61
NECLIFE, EQ, 01-Aug-2024,31.74,31.84,32.44,30.53,30.81,30.84,31.61,595163,188.11,6856, 249165, 41.87,-2.84
NECLIFE, EQ, 01-Sep-2020,21.55,20.7,21.9,20.7, 21.40,21.35,21.18,236350,50.06,1176, 152684, 64.60,-0.93
NECLIFE, EQ, 01-Sep-2021,30.55,30.75,31.2,30.0,30.05,30.1,30.35,219526,66.63,1610, 138140, 62.93,-1.47
NECLIFE, EQ, 01-Sep-2022,22.9,22.9,23.15,22.65,22.75,22.8,22.85,200759,45.87,789, 130054, 64.78,-0.44
NECLIFE, EQ, 01-Sep-2023,26.4,26.35,26.95,25.8, 26.50,26.45,26.42,764274,201.91,2260, 398586, 52.15,0.19
NECLIFE, EQ, 01-Oct-2020,22.75,22.8,23.2,21.8, 22.00,22.0,22.43,408932,91.74,1593, 246073, 60.17,-3.3
NECLIFE, EQ, 01-Oct-2021,29.4,29.4,29.85,29.0, 29.70,29.65,29.53,255876,75.55,1431, 128238, 50.12,0.85
NECLIFE, EQ, 01-Nov-2021,26.4,26.65,26.7,26.25, 26.55,26.4,26.41,184379,48.7,1301, 106719, 57.88,0.0
NECLIFE, EQ, 01-Nov-2022,21.35,21.2,21.5,21.2,21.45,21.4,21.4,106343,22.76,352, 73358, 68.98,0.23
NECLIFE, EQ, 01-Nov-2023,22.85,23.15,23.25,22.75, 23.15,23.05,23.01,97948,22.54,412, 56354, 57.53,0.88
NECLIFE, EQ, 01-Dec-2020,18.3,18.3,18.6,18.3,18.4,18.4,18.46,155628,28.73,516, 112733, 72.44,0.55
NECLIFE, EQ, 01-Dec-2021,23.6,24.1,24.55,23.15,23.6,23.45,23.62,372988,88.1,2364, 171553, 45.99,-0.64
NECLIFE, EQ, 01-Dec-2022,21.0,21.0,21.45,21.0,21.1,21.1,21.16,160655,34.0,631, 90465, 56.31,0.48
NECLIFE, EQ, 01-Dec-2023,29.3,29.45,30.8,29.2, 29.30,29.6,29.93,1348222,403.48,3809, 426857, 31.66,1.02
NECLIFE, EQ, 02-Jan-2020,12.35,12.3,13.1,12.3, 12.70,12.7,12.71,137457,17.47,853, 66414, 48.32,2.83
NECLIFE, EQ, 02-Jan-2023,24.55,24.75,24.8,23.55, 24.00,23.8,24.07,562124,135.31,2188, 351168, 62.47,-3.05
NECLIFE, EQ, 02-Jan-2024,32.5,32.5,34.95,32.5, 34.80,34.6,34.09,3577551,1219.57,11462, 1371981, 38.35,6.46
NECLIFE, EQ, 02-Feb-2021,20.4,20.9,21.3,20.6, 21.00,20.8,20.93,178946,37.45,730, 95218, 53.21,1.96
NECLIFE, EQ, 02-Feb-2022,31.6,32.6,33.5,32.05, 32.40,32.5,32.71,626664,204.98,3410, 255154, 40.72,2.85
NECLIFE, EQ, 02-Feb-2023,19.95,19.9,20.25,19.65, 20.05,19.85,19.95,184233,36.75,868, 94496, 51.29,-0.5
NECLIFE, EQ, 02-Feb-2024,36.55,36.9,38.55,36.35, 37.45,37.15,37.41,3616094,1352.93,11408, 1667051, 46.10,1.64
NECLIFE, EQ, 02-Mar-2020,11.05,11.5,11.5,10.8, 10.80,10.85,11.03,130655,14.41,458, 75577, 57.84,-1.81
NECLIFE, EQ, 02-Mar-2021,20.35,20.8,20.8,19.9,20.3,20.1,20.19,445381,89.91,962, 295199, 66.28,-1.23
NECLIFE, EQ, 02-Mar-2022,26.85,26.55,27.55,26.35, 26.85,26.75,26.9,247679,66.61,1898, 129816, 52.41,-0.37
NECLIFE, EQ, 02-Mar-2023,17.45,17.4,17.85,17.35, 17.50,17.45,17.5,79795,13.96,442, 50397, 63.16,0.0
NECLIFE, EQ, 02-Apr-2024,34.25,34.5,37.0,34.5, 36.55,36.3,35.48,1129500,400.69,3974, 581370, 51.47,5.99
NECLIFE, EQ, 02-Apr-2025,24.09,24.4,25.29,23.86,24.97,24.94,24.47,2421486,592.52,3002, 1764035, 72.85,3.53
NECLIFE, EQ, 02-May-2022,28.45,28.1,28.5,27.5,28.0,27.8,28.03,237655,66.61,1832, 122829, 51.68,-2.28
NECLIFE, EQ, 02-May-2023,18.3,18.3,18.5,17.1, 18.00,17.95,17.92,184835,33.11,921, 121971, 65.99,-1.91
NECLIFE, EQ, 02-May-2024,34.45,34.45,35.8,33.9, 35.10,35.2,35.15,673593,236.77,1850, 342414, 50.83,2.18
NECLIFE, EQ, 02-Jun-2020,13.4,13.45,13.9,13.25,13.6,13.6,13.64,199318,27.18,661, 110554, 55.47,1.49
NECLIFE, EQ, 02-Jun-2021,29.9,29.6,31.4,29.4, 30.40,30.4,30.61,1030364,315.43,3703, 480331, 46.62,1.67
NECLIFE, EQ, 02-Jun-2022,26.0,26.05,26.4,25.65,26.0,25.9,26.05,132588,34.54,809, 73121, 55.15,-0.38
NECLIFE, EQ, 02-Jun-2023,17.0,17.2,17.4,17.0, 17.30,17.3,17.2,217963,37.48,658, 118722, 54.47,1.76
NECLIFE, EQ, 02-Jul-2020,23.7,25.5,25.5,23.15, 24.00,23.9,24.15,1675921,404.68,5603, 845360, 50.44,0.84
