SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
NETFAUTO, EQ, 01-Feb-2022,117.42,120.4,120.4,115.6,116.65,116.64,117.27,11923,13.98,318, 7855, 65.88,-0.66
NETFAUTO, EQ, 01-Apr-2022,105.54,108.95,108.95,104.76, 107.00,106.88,106.33,18475,19.64,246, 17241, 93.32,1.27
NETFAUTO, EQ, 02-Feb-2022,116.64,116.5,120.75,116.5, 117.00,116.83,117.37,28473,33.42,278, 25807, 90.64,0.16
NETFAUTO, EQ, 02-Mar-2022,109.54,110.98,110.98,105.12, 105.50,105.53,106.41,51051,54.32,1152, 46844, 91.76,-3.66
NETFAUTO, EQ, 02-May-2022,111.29,110.6,111.9,109.68,110.0,110.02,110.1,14028,15.45,293, 12104, 86.28,-1.14
NETFAUTO, EQ, 03-Feb-2022,116.83,118.98,120.5,115.65, 116.95,117.43,117.76,32903,38.75,358, 18703, 56.84,0.51
NETFAUTO, EQ, 03-Mar-2022,105.53,107.49,107.49,102.8,102.8,103.12,104.1,44724,46.56,989, 40701, 91.00,-2.28
NETFAUTO, EQ, 04-Feb-2022,117.43,119.49,119.49,115.8, 115.95,115.94,116.51,23542,27.43,460, 18767, 79.72,-1.27
NETFAUTO, EQ, 04-Mar-2022,103.12,103.0,103.0,99.0, 99.58,99.71,100.18,84679,84.83,1328, 68212, 80.55,-3.31
NETFAUTO, EQ, 04-Apr-2022,106.88,107.7,108.52,106.6,108.3,108.17,107.68,17790,19.16,256, 15448, 86.84,1.21
NETFAUTO, EQ, 04-May-2022,110.02,113.5,113.5,107.0,108.0,107.48,108.36,21296,23.08,399, 13454, 63.18,-2.31
NETFAUTO, EQ, 05-Apr-2022,108.17,108.35,110.25,108.2, 109.75,110.06,109.61,18663,20.46,263, 14159, 75.87,1.75
NETFAUTO, EQ, 05-May-2022,107.48,108.98,109.94,107.1, 109.94,107.86,108.4,6024,6.53,191, 3378, 56.08,0.35
NETFAUTO, EQ, 06-Apr-2022,110.06,113.9,113.9,108.07, 109.60,109.12,108.8,20384,22.18,247, 16318, 80.05,-0.85
NETFAUTO, EQ, 06-May-2022,107.86,107.85,107.85,105.5,107.0,105.84,106.09,9043,9.59,339, 7463, 82.53,-1.87
NETFAUTO, EQ, 07-Feb-2022,115.94,115.94,117.98,113.63, 114.40,114.42,114.79,27206,31.23,562, 16658, 61.23,-1.31
NETFAUTO, EQ, 07-Mar-2022,99.71,99.75,104.69,95.99, 101.05,101.34,97.97,59027,57.83,1266,29227,49.51,1.63
NETFAUTO, EQ, 07-Apr-2022,109.12,109.12,109.89,108.23,108.23,108.8,108.94,8492,9.25,209, 7152, 84.22,-0.29
NETFAUTO, EQ, 08-Feb-2022,114.42,114.6,115.9,112.15,114.45,114.15,114.64,29365,33.66,422, 23753, 80.89,-0.24
NETFAUTO, EQ, 08-Mar-2022,101.34,100.0,100.0,92.01, 96.12,96.07,94.6,219478,207.63,2535, 140230, 63.89,-5.2
NETFAUTO, EQ, 08-Apr-2022,108.8,109.8,109.82,108.1, 109.10,109.16,108.97,8227,8.96,176, 5317, 64.63,0.33
NETFAUTO, EQ, 09-Feb-2022,114.15,116.7,116.9,114.6, 116.54,116.56,115.97,24972,28.96,301, 16918, 67.75,2.11
NETFAUTO, EQ, 09-Mar-2022,96.07,96.92,99.0,96.02, 98.90,98.43,97.61,36745,35.87,498, 20762, 56.50,2.46
NETFAUTO, EQ, 09-May-2022,105.84,110.0,110.0,103.85, 105.20,105.18,104.95,19082,20.03,281, 14381, 75.36,-0.62
NETFAUTO, EQ, 10-Feb-2022,116.56,116.56,119.44,115.88,116.97,116.98,117.52,21435,25.19,208, 13517, 63.06,0.36
NETFAUTO, EQ, 10-Mar-2022,98.43,102.41,104.1,98.9, 100.15,100.52,102.28,76654,78.4,485, 56183, 73.29,2.12
NETFAUTO, EQ, 11-Feb-2022,116.98,116.98,116.98,115.02,115.73,115.84,115.93,29216,33.87,259, 18589, 63.63,-0.97
NETFAUTO, EQ, 11-Mar-2022,100.52,101.39,101.39,99.4, 100.00,100.32,100.17,35037,35.1,294, 27355, 78.07,-0.2
NETFAUTO, EQ, 11-Apr-2022,109.16,109.74,109.74,108.12,109.43,109.15,109.1,14024,15.3,206, 11952, 85.23,-0.01
NETFAUTO, EQ, 12-Apr-2022,109.15,106.33,111.68,106.33, 108.00,108.23,108.12,6931,7.49,290, 5566, 80.31,-0.84
NETFAUTO, EQ, 13-Apr-2022,108.23,111.75,111.75,107.5,107.5,107.58,108.51,15586,16.91,177, 14490, 92.97,-0.6
NETFAUTO, EQ, 14-Feb-2022,115.84,116.79,116.79,111.05,111.19,111.26,112.72,72674,81.92,1018, 65247, 89.78,-3.95
NETFAUTO, EQ, 14-Mar-2022,100.32,101.79,101.79,98.75,101.29,101.19,100.08,21254,21.27,344, 11160, 52.51,0.87
NETFAUTO, EQ, 15-Feb-2022,111.26,112.95,115.48,110.0,115.47,115.14,113.26,23987,27.17,364, 12759, 53.19,3.49
NETFAUTO, EQ, 15-Mar-2022,101.19,100.8,103.56,99.0,101.74,101.82,101.56,58945,59.86,449, 26839, 45.53,0.62
NETFAUTO, EQ, 16-Feb-2022,115.14,118.94,118.94,114.6,115.86,115.29,115.65,10072,11.65,161, 5654, 56.14,0.13
NETFAUTO, EQ, 16-Mar-2022,101.82,103.0,104.5,101.03,103.24,103.08,103.13,21433,22.1,225, 18804, 87.73,1.24
NETFAUTO, EQ, 17-Feb-2022,115.29,114.68,116.81,114.68,115.14,115.18,115.6,15044,17.39,180, 8394, 55.80,-0.1
NETFAUTO, EQ, 17-Mar-2022,103.08,103.08,106.31,103.08, 106.00,105.62,105.4,44284,46.68,341, 36007, 81.31,2.46
NETFAUTO, EQ, 18-Feb-2022,115.18,112.9,116.0,112.9,114.5,114.54,114.83,9828,11.29,183, 8198, 83.41,-0.56
NETFAUTO, EQ, 18-Apr-2022,107.58,106.98,108.0,106.94, 107.70,107.62,107.26,11938,12.81,272, 8125, 68.06,0.04
NETFAUTO, EQ, 19-Apr-2022,107.62,107.03,109.0,105.37,107.98,106.97,107.72,20318,21.89,262, 8923, 43.92,-0.6
NETFAUTO, EQ, 20-Apr-2022,106.97,107.94,109.0,107.1, 109.00,108.74,108.65,39092,42.47,189, 30063, 76.90,1.65
NETFAUTO, EQ, 21-Feb-2022,114.54,116.49,116.49,112.1, 114.30,114.13,113.62,16821,19.11,239, 7040, 41.85,-0.36
NETFAUTO, EQ, 21-Mar-2022,105.62,106.0,106.78,104.23,104.68,104.98,106.03,24507,25.98,335, 15392, 62.81,-0.61
NETFAUTO, EQ, 21-Apr-2022,108.74,112.0,112.0,108.05, 110.74,110.87,110.16,20249,22.31,233, 18758, 92.64,1.96
NETFAUTO, EQ, 22-Feb-2022,114.13,111.85,120.3,111.85,115.16,114.12,114.9,56957,65.45,527, 32803, 57.59,-0.01
NETFAUTO, EQ, 22-Mar-2022,104.98,108.5,108.5,103.4, 105.69,105.75,105.19,29116,30.63,321, 17084, 58.68,0.73
NETFAUTO, EQ, 22-Apr-2022,110.87,109.08,111.47,109.08, 110.15,110.2,110.31,10472,11.55,236, 7162, 68.39,-0.6
NETFAUTO, EQ, 23-Feb-2022,114.12,115.78,115.78,112.0,113.38,113.69,114.26,12634,14.44,153, 12034, 95.25,-0.38
NETFAUTO, EQ, 23-Mar-2022,105.75,106.95,106.95,103.85, 105.22,105.06,104.87,28853,30.26,274, 22013, 76.29,-0.65
NETFAUTO, EQ, 24-Feb-2022,113.69,110.0,113.45,106.71, 110.44,109.08,108.74,87673,95.34,1252, 78761, 89.83,-4.05
NETFAUTO, EQ, 24-Mar-2022,105.06,106.0,106.41,102.9, 104.60,104.64,103.97,24842,25.83,273, 15370, 61.87,-0.4
NETFAUTO, EQ, 25-Jan-2022,115.94,119.3,119.3,108.05,118.0,115.77,114.99,39629,45.57,342, 31467, 79.40,-0.15
NETFAUTO, EQ, 25-Feb-2022,109.08,112.45,113.9,109.17,109.4,109.54,110.04,13486,14.84,288, 10813, 80.18,0.42
NETFAUTO, EQ, 25-Mar-2022,104.64,105.66,105.66,102.63,104.0,104.03,104.05,18551,19.3,253, 11541, 62.21,-0.58
NETFAUTO, EQ, 25-Apr-2022,110.2,112.0,112.0,108.07,109.6,109.66,109.84,15356,16.87,248, 13305, 86.64,-0.49
NETFAUTO, EQ, 26-Apr-2022,109.66,111.48,112.5,109.5, 112.40,112.29,111.72,20082,22.44,206, 16889, 84.10,2.4
NETFAUTO, EQ, 27-Jan-2022,115.77,118.0,118.0,113.19, 117.00,114.37,114.48,22451,25.7,431, 14444, 64.34,-1.21
NETFAUTO, EQ, 27-Apr-2022,112.29,113.9,113.9,110.91,112.14,112.34,111.72,17688,19.76,187, 14293, 80.81,0.04
NETFAUTO, EQ, 28-Jan-2022,114.37,116.1,118.0,115.25, 115.50,115.38,116.98,20173,23.6,229, 19000, 94.19,0.88
NETFAUTO, EQ, 28-Feb-2022,109.54,109.54,110.93,106.92, 109.65,109.54,108.28,9809,10.62,331, 7956, 81.11,0.0
NETFAUTO, EQ, 28-Mar-2022,104.03,104.03,105.48,102.6, 103.68,104.3,103.92,9429,9.8,256, 5792, 61.43,0.26
NETFAUTO, EQ, 28-Apr-2022,112.34,112.14,112.8,111.57, 112.00,112.11,111.99,12088,13.54,154, 8149, 67.41,-0.2
NETFAUTO, EQ, 29-Mar-2022,104.3,104.3,105.5,103.37, 103.90,104.23,104.26,91176,95.06,168, 89458, 98.12,-0.07
NETFAUTO, EQ, 29-Apr-2022,112.11,113.68,113.68,110.7,113.0,111.29,112.28,14873,16.7,235, 9668, 65.00,-0.73
NETFAUTO, EQ, 30-Mar-2022,104.23,105.5,106.1,105.12, 105.31,105.44,105.67,29619,31.3,201, 26446, 89.29,1.16
NETFAUTO, EQ, 31-Jan-2022,115.38,118.0,118.98,116.0,118.6,117.42,117.11,23694,27.75,289, 21320, 89.98,1.77
