SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
NGLFINE, EQ, 01-Jan-2024,2230.45,2240.0,2244.5,2132.0, 2190.20,2160.55,2184.15,6648,145.2,1795, 2961, 44.54,-3.13
NGLFINE, EQ, 01-Jan-2025,1811.15,1818.9,1832.5,1784.15,1822.65,1802.15,1808.79,2325,42.05,534, 1803, 77.55,-0.5
NGLFINE, EQ, 01-Feb-2023,1486.3,1500.0,1549.9,1475.1, 1549.80,1518.2,1498.24,1640,24.57,406, 1032, 62.93,2.15
NGLFINE, EQ, 01-Feb-2024,1898.9,1950.0,1950.0,1861.05, 1925.00,1879.0,1885.23,4535,85.5,976, 3133, 69.08,-1.05
NGLFINE, EQ, 01-Mar-2023,1293.7,1307.1,1317.0,1288.0, 1290.00,1293.55,1300.47,1456,18.93,458, 778, 53.43,-0.01
NGLFINE, EQ, 01-Mar-2024,2038.15,2050.65,2084.0,2038.3, 2060.00,2051.1,2061.78,2155,44.43,520, 1374, 63.76,0.64
NGLFINE, EQ, 01-Apr-2024,2094.0,2094.0,2153.65,2077.35, 2137.00,2127.8,2119.02,3387,71.77,784, 1720, 50.78,1.61
NGLFINE, EQ, 01-Jun-2023,1479.85,1486.05,1508.0,1478.9, 1499.00,1494.5,1495.69,2101,31.42,451, 1229, 58.50,0.99
NGLFINE, EQ, 01-Jul-2024,2354.45,2365.0,2365.0,2320.05,2330.3,2334.6,2345.05,3325,77.97,968, 1686, 50.71,-0.84
NGLFINE, EQ, 01-Aug-2022,1731.6,1783.95,1785.0,1724.95, 1768.00,1755.1,1759.96,3544,62.37,889, 2016, 56.88,1.36
NGLFINE, EQ, 01-Aug-2023,1952.9,1959.0,2041.0,1951.05, 2015.00,2029.3,2007.27,5601,112.43,1232, 2647, 47.26,3.91
NGLFINE, EQ, 01-Aug-2024,2653.55,2653.55,2660.0,2601.25,2647.95,2618.1,2624.94,2195,57.62,880, 1059, 48.25,-1.34
NGLFINE, EQ, 01-Sep-2022,1590.15,1590.15,1619.05,1590.0,1609.75,1599.5,1602.08,1201,19.24,366, 887, 73.86,0.59
NGLFINE, EQ, 01-Sep-2023,2224.15,2257.5,2365.0,2236.05, 2320.00,2304.4,2315.55,17040,394.57,4808, 7943, 46.61,3.61
NGLFINE, EQ, 01-Oct-2024,2019.4,2019.45,2084.8,1962.35,2000.0,1995.25,2016.64,3344,67.44,865, 2182, 65.25,-1.2
NGLFINE, EQ, 01-Nov-2022,1604.15,1606.0,1650.0,1556.0,1556.0,1557.2,1579.82,6774,107.02,1213, 2584, 38.15,-2.93
NGLFINE, EQ, 01-Nov-2023,1802.0,1802.0,1855.15,1802.0, 1855.00,1844.8,1833.55,2909,53.34,580, 2150, 73.91,2.38
NGLFINE, EQ, 01-Dec-2022,1773.35,1790.0,1809.95,1689.15,1705.95,1697.9,1714.37,19545,335.07,2885, 10636, 54.42,-4.25
NGLFINE, EQ, 01-Dec-2023,1979.25,1952.0,2008.85,1952.0, 1969.95,1964.05,1970.36,4279,84.31,905, 2859, 66.81,-0.77
NGLFINE, EQ, 02-Jan-2023,1536.1,1555.15,1559.0,1536.5, 1544.65,1539.75,1544.03,1546,23.87,345, 1075, 69.53,0.24
NGLFINE, EQ, 02-Jan-2024,2160.55,2150.0,2168.1,2092.05, 2122.00,2117.2,2136.45,5499,117.48,1682, 2416, 43.94,-2.01
NGLFINE, EQ, 02-Jan-2025,1802.15,1809.8,1847.45,1809.8,1828.0,1821.7,1825.53,1151,21.01,508, 657, 57.08,1.08
NGLFINE, EQ, 02-Feb-2023,1518.2,1529.9,1533.6,1475.05, 1491.00,1493.1,1492.72,1814,27.08,414, 1141, 62.90,-1.65
NGLFINE, EQ, 02-Feb-2024,1879.0,1924.0,1941.0,1882.1, 1905.00,1913.75,1913.66,2118,40.53,594, 1294, 61.10,1.85
NGLFINE, EQ, 02-Mar-2023,1293.55,1320.0,1360.0,1290.3, 1360.00,1348.45,1338.07,2459,32.9,609, 1479, 60.15,4.24
NGLFINE, EQ, 02-Apr-2024,2127.8,2300.0,2300.0,2102.35, 2152.00,2128.05,2184.92,7388,161.42,1839, 2871, 38.86,0.01
NGLFINE, EQ, 02-May-2023,1489.7,1499.95,1517.65,1411.1, 1413.00,1421.0,1439.37,5524,79.51,1382, 3135, 56.75,-4.61
NGLFINE, EQ, 02-May-2024,2548.95,2578.85,2698.0,2540.05, 2648.00,2640.95,2632.41,14591,384.09,4043, 6122, 41.96,3.61
NGLFINE, EQ, 02-Jun-2023,1494.5,1516.9,1516.9,1429.8, 1458.00,1443.8,1463.01,11000,160.93,1080, 8244, 74.95,-3.39
NGLFINE, EQ, 02-Jul-2024,2334.6,2305.4,2366.55,2305.4,2316.0,2324.2,2339.95,2106,49.28,514, 1356, 64.39,-0.45
NGLFINE, EQ, 02-Aug-2022,1755.1,1795.0,1833.1,1757.45,1805.6,1796.5,1788.17,4674,83.58,904, 3053, 65.32,2.36
NGLFINE, EQ, 02-Aug-2023,2029.3,2035.9,2035.95,1950.0, 1964.90,1963.45,1978.91,2387,47.24,830, 1292, 54.13,-3.24
NGLFINE, EQ, 02-Aug-2024,2618.1,2581.0,2728.0,2551.0,2660.0,2653.1,2687.16,11010,295.86,2481, 4688, 42.58,1.34
NGLFINE, EQ, 02-Sep-2022,1599.5,1599.5,1626.0,1579.55,1590.0,1594.65,1601.44,1817,29.1,557, 1186, 65.27,-0.3
NGLFINE, EQ, 02-Sep-2024,2152.5,2152.5,2180.0,2127.0,2167.0,2163.9,2155.86,3195,68.88,1087, 1953, 61.13,0.53
NGLFINE, EQ, 02-Nov-2022,1557.2,1598.0,1598.0,1557.55,1586.25,1583.45,1578.01,1921,30.31,457, 598, 31.13,1.69
NGLFINE, EQ, 02-Nov-2023,1844.8,1850.95,1850.95,1808.2, 1816.00,1819.1,1827.79,1237,22.61,476, 709, 57.32,-1.39
NGLFINE, EQ, 02-Dec-2022,1697.9,1708.05,1744.7,1643.2, 1669.95,1657.95,1685.52,8117,136.81,1660, 4382, 53.99,-2.35
NGLFINE, EQ, 02-Dec-2024,1825.15,1825.15,1883.0,1812.6,1883.0,1850.0,1842.43,1677,30.9,378, 1174, 70.01,1.36
