SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
NIFTYETF, EQ, 01-Jan-2024,229.56,229.57,230.49,228.85, 229.10,229.69,229.41,14729,33.79,684, 7361, 49.98,0.06
NIFTYETF, EQ, 01-Jan-2025,252.5,252.25,254.0,251.5,253.75,253.35,252.9,31491,79.64,704, 23659, 75.13,0.34
NIFTYETF, EQ, 01-Feb-2024,229.13,236.0,236.0,228.66, 229.14,229.26,229.45,87359,200.45,656, 35645, 40.80,0.06
NIFTYETF, EQ, 01-Mar-2024,233.25,233.25,236.5,233.25, 236.26,236.21,235.96,81715,192.82,662, 75885, 92.87,1.27
NIFTYETF, EQ, 01-Apr-2024,235.9,237.79,238.24,236.96, 237.70,237.61,237.73,32109,76.33,636, 22053, 68.68,0.72
NIFTYETF, EQ, 01-Apr-2025,251.59,252.33,253.61,247.47,248.0,247.96,248.44,415306,1031.77,1675, 221296, 53.29,-1.44
NIFTYETF, EQ, 01-Jul-2024,255.18,255.44,256.59,254.56,256.59,256.01,255.85,127353,325.84,1273, 110425, 86.71,0.33
NIFTYETF, EQ, 01-Aug-2024,265.38,266.19,267.75,265.16,266.06,266.42,265.96,184318,490.21,1354, 160621, 87.14,0.39
NIFTYETF, EQ, 01-Sep-2023,202.96,203.22,205.0,203.15, 205.00,204.77,204.29,50331,102.82,218, 34857, 69.26,0.89
NIFTYETF, EQ, 01-Oct-2024,275.14,275.56,276.3,274.03,275.0,275.01,274.89,296377,814.72,1504, 291220, 98.26,-0.05
NIFTYETF, EQ, 01-Nov-2023,201.28,207.3,207.3,200.0, 200.50,200.52,200.8,53995,108.42,1004, 52713, 97.63,-0.38
NIFTYETF, EQ, 01-Dec-2023,212.15,213.32,214.17,212.8, 213.34,214.12,214.04,135558,290.15,538, 123680, 91.24,0.93
NIFTYETF, EQ, 02-Jan-2024,229.69,229.55,229.64,227.16, 228.58,228.91,228.81,66287,151.67,523, 63068, 95.14,-0.34
NIFTYETF, EQ, 02-Jan-2025,253.35,255.29,258.3,253.16,258.07,258.26,257.24,108262,278.5,810, 72504, 66.97,1.94
NIFTYETF, EQ, 02-Feb-2024,229.26,230.65,233.33,230.02, 230.40,230.46,231.26,61311,141.79,823, 42460, 69.25,0.52
NIFTYETF, EQ, 02-Apr-2024,237.61,237.67,237.71,236.77, 237.60,237.6,237.46,113666,269.91,423, 111513, 98.11,-0.0
NIFTYETF, EQ, 02-Apr-2025,247.96,247.9,249.88,245.91,249.35,249.82,249.57,300686,750.41,720, 286384, 95.24,0.75
NIFTYETF, EQ, 02-May-2024,239.17,241.48,242.0,238.69, 239.78,239.41,239.5,37960,90.91,665, 27286, 71.88,0.1
NIFTYETF, EQ, 02-Jul-2024,256.01,257.39,257.39,255.7,256.51,256.14,256.44,30039,77.03,604, 24480, 81.49,0.05
NIFTYETF, EQ, 02-Aug-2024,266.42,264.15,264.42,262.73,262.81,263.08,263.37,938183,2470.93,2474, 923962, 98.48,-1.25
NIFTYETF, EQ, 02-Sep-2024,269.14,269.0,269.94,268.88,269.46,269.57,269.57,77476,208.85,2550, 68692, 88.66,0.16
NIFTYETF, EQ, 02-Nov-2023,200.52,203.0,203.0,201.05, 201.90,202.01,201.99,52620,106.29,409, 45473, 86.42,0.74
NIFTYETF, EQ, 02-Dec-2024,257.68,249.95,259.24,249.95,258.65,259.04,258.08,57189,147.6,1322, 40681, 71.13,0.53
NIFTYETF, EQ, 03-Jan-2024,228.91,230.98,230.98,226.0, 227.40,227.37,227.59,36448,82.95,503, 33044, 90.66,-0.67
NIFTYETF, EQ, 03-Jan-2025,258.26,260.7,260.7,255.48,256.15,255.93,256.39,78895,202.28,1100, 53504, 67.82,-0.9
NIFTYETF, EQ, 03-Feb-2025,250.68,249.02,251.9,248.02,249.59,249.36,248.89,42814,106.56,1093, 24246, 56.63,-0.53
NIFTYETF, EQ, 03-Mar-2025,237.07,240.06,240.07,235.15,236.99,236.29,236.08,207694,490.32,1925, 87633, 42.19,-0.33
NIFTYETF, EQ, 03-Apr-2024,237.6,236.77,237.95,236.17, 237.05,237.29,237.21,16995,40.31,424, 11735, 69.05,-0.13
NIFTYETF, EQ, 03-Apr-2025,249.82,248.99,249.19,245.0,248.73,248.87,248.97,229694,571.86,1339, 219724, 95.66,-0.38
NIFTYETF, EQ, 03-May-2024,239.41,240.88,240.97,236.28, 237.56,237.63,238.06,128492,305.89,1154, 63721, 49.59,-0.74
NIFTYETF, EQ, 03-Jun-2024,238.97,240.1,250.98,239.97,247.38,246.84,245.67,317826,780.8,1289, 251408, 79.10,3.29
NIFTYETF, EQ, 03-Jul-2024,256.14,257.56,258.47,256.8,257.66,258.41,258.12,183351,473.26,1375, 164846, 89.91,0.89
NIFTYETF, EQ, 03-Sep-2024,269.57,269.58,269.62,268.8,269.02,268.86,269.07,191961,516.52,991, 126633, 65.97,-0.26
NIFTYETF, EQ, 03-Oct-2023,206.89,209.0,209.0,205.34, 205.94,205.38,205.63,57035,117.28,823, 34780, 60.98,-0.73
NIFTYETF, EQ, 03-Oct-2024,275.01,273.54,273.54,269.04,269.42,269.28,270.74,831332,2250.72,6028, 753055, 90.58,-2.08
NIFTYETF, EQ, 03-Nov-2023,202.01,202.01,203.51,202.01, 202.90,202.96,203.34,33861,68.85,349, 31320, 92.50,0.47
NIFTYETF, EQ, 03-Dec-2024,259.04,260.0,260.85,258.64,260.29,260.68,260.17,64428,167.62,1071, 52835, 82.01,0.63
NIFTYETF, EQ, 04-Jan-2024,227.37,229.0,229.0,227.28, 228.86,228.74,228.08,335053,764.2,935, 304368, 90.84,0.6
NIFTYETF, EQ, 04-Feb-2025,249.36,252.39,253.82,249.4,252.78,253.53,252.6,90905,229.62,694, 48595, 53.46,1.67
NIFTYETF, EQ, 04-Mar-2024,236.44,238.98,238.98,236.08, 237.05,236.98,236.89,13005,30.81,514, 11369, 87.42,0.23
NIFTYETF, EQ, 04-Mar-2025,236.29,237.59,237.6,235.0,235.7,236.16,235.59,283925,668.91,1594, 156006, 54.95,-0.06
NIFTYETF, EQ, 04-Apr-2024,237.29,239.49,239.49,235.99, 238.38,238.08,237.56,70472,167.41,703, 58527, 83.05,0.33
NIFTYETF, EQ, 04-Apr-2025,248.87,250.86,250.86,244.66,245.3,245.22,245.68,1181916,2903.78,2639, 400667, 33.90,-1.47
NIFTYETF, EQ, 04-Jun-2024,246.84,254.25,254.25,226.0,233.45,231.87,232.73,2993367,6966.34,10596, 2781958, 92.94,-6.06
NIFTYETF, EQ, 04-Jul-2024,258.41,258.86,259.38,257.78,258.44,258.38,258.44,109289,282.44,867, 74468, 68.14,-0.01
NIFTYETF, EQ, 04-Sep-2023,204.77,205.87,206.13,204.39, 206.13,205.52,205.51,70752,145.4,411, 61440, 86.84,0.37
NIFTYETF, EQ, 04-Sep-2024,268.86,269.0,269.0,267.22,268.15,268.64,267.8,73330,196.38,1485, 61867, 84.37,-0.08
NIFTYETF, EQ, 04-Oct-2023,205.38,205.2,205.2,203.97, 205.08,204.78,204.32,78390,160.17,699, 71774, 91.56,-0.29
NIFTYETF, EQ, 04-Oct-2024,269.28,271.59,271.6,266.23,267.08,266.72,267.81,365559,979.0,3171, 326416, 89.29,-0.95
NIFTYETF, EQ, 04-Nov-2024,259.41,260.79,260.8,253.8,256.04,256.13,255.1,1943266,4957.19,4395, 1915327, 98.56,-1.26
NIFTYETF, EQ, 04-Dec-2023,214.12,217.48,218.82,216.39, 218.57,218.56,217.77,196843,428.66,963, 138768, 70.50,2.07
NIFTYETF, EQ, 04-Dec-2024,260.68,260.99,261.99,259.0,261.23,260.58,260.76,83876,218.71,914, 67572, 80.56,-0.04
NIFTYETF, EQ, 05-Jan-2024,228.74,229.35,229.7,228.31, 229.20,229.13,229.13,25942,59.44,421, 22550, 86.92,0.17
NIFTYETF, EQ, 05-Feb-2024,230.46,231.39,231.95,229.34, 229.76,229.63,230.9,24908,57.51,725, 19993, 80.27,-0.36
NIFTYETF, EQ, 05-Feb-2025,253.53,253.52,254.12,253.0,253.25,253.38,253.51,99821,253.06,1099, 68124, 68.25,-0.06
NIFTYETF, EQ, 05-Mar-2024,236.98,237.5,237.5,235.1, 236.65,236.63,236.62,478491,1132.22,508, 473382, 98.93,-0.15
NIFTYETF, EQ, 05-Mar-2025,236.16,238.44,239.45,236.16,239.07,239.03,238.83,113913,272.05,1015, 101505, 89.11,1.22
NIFTYETF, EQ, 05-Apr-2024,238.08,237.53,238.45,237.01, 238.38,238.11,237.73,21599,51.35,404, 15452, 71.54,0.01
NIFTYETF, EQ, 05-Jun-2024,231.87,235.0,240.29,231.04,239.78,239.66,238.75,1497781,3576.02,2302, 1342207, 89.61,3.36
NIFTYETF, EQ, 05-Jul-2024,258.38,266.15,266.15,257.0,258.6,258.33,257.97,265504,684.92,1024, 255559, 96.25,-0.02
NIFTYETF, EQ, 05-Aug-2024,263.08,258.9,259.15,254.37,256.0,256.38,257.25,2766144,7115.94,6291, 2710926, 98.00,-2.55
NIFTYETF, EQ, 05-Sep-2023,205.52,206.34,206.58,205.52, 206.57,205.84,205.9,93900,193.34,297, 84488, 89.98,0.16
NIFTYETF, EQ, 05-Sep-2024,268.64,269.16,269.27,267.33,268.17,267.53,268.05,220579,591.26,1723, 133864, 60.69,-0.41
NIFTYETF, EQ, 05-Oct-2023,204.78,205.9,206.5,205.07, 206.16,206.12,206.0,13533,27.88,319, 10974, 81.09,0.65
NIFTYETF, EQ, 05-Nov-2024,256.13,263.8,263.8,254.2,257.55,258.32,256.14,235127,602.26,2388, 192449, 81.85,0.86
NIFTYETF, EQ, 05-Dec-2023,218.56,228.41,230.0,218.21, 220.25,219.92,219.75,52704,115.82,637, 41038, 77.87,0.62
NIFTYETF, EQ, 05-Dec-2024,260.58,261.85,264.76,259.44,263.78,264.15,263.57,193472,509.93,842, 111871, 57.82,1.37
NIFTYETF, EQ, 06-Jan-2025,255.93,255.95,258.74,251.5,252.26,252.2,253.08,308553,780.89,2276, 157178, 50.94,-1.46
NIFTYETF, EQ, 06-Feb-2024,229.63,230.46,231.75,229.64, 231.70,231.48,230.52,38383,88.48,444, 20836, 54.28,0.81
NIFTYETF, EQ, 06-Feb-2025,253.38,253.37,253.66,251.6,252.3,252.27,252.29,303828,766.54,1497, 295003, 97.10,-0.44
NIFTYETF, EQ, 06-Mar-2024,236.63,236.26,237.96,235.16, 237.28,237.91,237.25,53283,126.41,392, 38209, 71.71,0.54
NIFTYETF, EQ, 06-Mar-2025,239.03,240.97,246.41,237.68,241.0,241.24,240.66,155070,373.18,1584, 101960, 65.75,0.92
NIFTYETF, EQ, 06-May-2024,237.63,238.73,238.83,236.92,237.59,237.36,237.61,13872,32.96,561, 10593, 76.36,-0.11
NIFTYETF, EQ, 06-Jun-2024,239.66,241.4,242.95,240.46,242.09,241.88,241.38,486614,1174.58,1130, 323604, 66.50,0.93
NIFTYETF, EQ, 06-Aug-2024,256.38,258.43,259.17,254.97,255.84,255.42,255.88,1076583,2754.8,1673, 984592, 91.46,-0.37
NIFTYETF, EQ, 06-Sep-2023,205.84,206.4,206.99,205.16, 206.92,206.94,206.82,39525,81.74,310, 36985, 93.57,0.53
NIFTYETF, EQ, 06-Sep-2024,267.53,267.75,267.93,264.23,265.13,264.99,265.44,251005,666.26,2313, 227697, 90.71,-0.95
NIFTYETF, EQ, 06-Oct-2023,206.12,206.21,207.49,206.21, 207.28,207.34,207.12,67783,140.39,307, 64640, 95.36,0.59
NIFTYETF, EQ, 06-Nov-2023,202.96,203.61,205.07,203.61, 204.90,204.96,204.63,43857,89.74,430, 36120, 82.36,0.99
NIFTYETF, EQ, 06-Nov-2024,258.32,259.39,261.8,258.17,261.4,261.2,260.72,125420,327.0,1951, 102314, 81.58,1.11
NIFTYETF, EQ, 06-Dec-2023,219.92,224.32,224.32,219.85, 221.00,221.13,220.81,16459,36.34,558, 9897, 60.13,0.55
NIFTYETF, EQ, 06-Dec-2024,264.15,265.74,265.74,262.41,263.4,263.48,263.48,46965,123.74,953, 37867, 80.63,-0.25
NIFTYETF, EQ, 07-Jan-2025,252.2,253.06,253.96,252.39,252.58,253.12,253.29,225418,570.97,1529, 219399, 97.33,0.36
NIFTYETF, EQ, 07-Feb-2024,231.48,232.8,232.8,230.65, 231.49,231.63,231.72,13466,31.2,443, 8750, 64.98,0.06
NIFTYETF, EQ, 07-Feb-2025,252.27,253.0,253.26,250.12,252.02,251.71,251.69,34391,86.56,809, 23435, 68.14,-0.22
NIFTYETF, EQ, 07-Mar-2024,237.91,238.22,238.22,237.05, 237.93,237.33,237.36,85753,203.54,358, 71976, 83.93,-0.24
NIFTYETF, EQ, 07-Mar-2025,241.24,244.25,244.25,240.05,241.25,240.99,241.22,82344,198.63,894, 63084, 76.61,-0.1
NIFTYETF, EQ, 07-Apr-2025,245.22,235.0,243.2,226.0,237.5,237.56,235.96,1347439,3179.36,5553, 1173998, 87.13,-3.12
NIFTYETF, EQ, 07-May-2024,237.36,242.11,242.11,235.0,235.7,235.81,236.1,69790,164.77,1043, 64054, 91.78,-0.65
NIFTYETF, EQ, 07-Jun-2024,241.88,242.66,247.05,241.65,246.63,246.7,244.92,647011,1584.65,2527, 561183, 86.73,1.99
NIFTYETF, EQ, 07-Aug-2024,255.42,258.3,258.84,257.11,258.84,258.7,258.1,1050943,2712.52,1224, 1027711, 97.79,1.28
NIFTYETF, EQ, 07-Sep-2023,206.94,206.94,208.12,205.71, 207.50,208.01,207.76,118191,245.56,257, 106882, 90.43,0.52
NIFTYETF, EQ, 07-Oct-2024,266.72,269.47,269.48,262.97,264.64,264.33,264.83,314039,831.66,4206, 283571, 90.30,-0.9
NIFTYETF, EQ, 07-Nov-2023,204.96,204.89,204.99,203.69, 204.95,204.89,204.56,31651,64.75,348, 25979, 82.08,-0.03
NIFTYETF, EQ, 07-Nov-2024,261.2,263.19,263.19,258.0,258.29,258.32,258.58,93461,241.67,2046, 81117, 86.79,-1.1
NIFTYETF, EQ, 07-Dec-2023,221.13,223.48,223.48,219.66, 220.97,220.95,220.92,217601,480.72,503, 208968, 96.03,-0.08
NIFTYETF, EQ, 08-Jan-2024,229.13,229.57,229.57,226.73, 227.27,227.14,227.76,70888,161.45,658, 56969, 80.36,-0.87
NIFTYETF, EQ, 08-Jan-2025,253.12,253.0,253.26,250.96,252.93,252.61,251.96,103963,261.94,1055, 51679, 49.71,-0.2
NIFTYETF, EQ, 08-Feb-2024,231.63,232.45,232.45,229.08, 229.96,229.46,229.98,35370,81.34,759, 32770, 92.65,-0.94
NIFTYETF, EQ, 08-Apr-2024,238.11,238.93,240.0,238.21, 239.61,239.22,239.27,25985,62.17,437, 21662, 83.36,0.47
NIFTYETF, EQ, 08-Apr-2025,237.56,237.56,244.6,237.56,241.35,241.22,241.12,406195,979.43,2258, 350957, 86.40,1.54
NIFTYETF, EQ, 08-May-2024,235.81,238.0,238.0,233.0,236.13,235.92,235.27,68166,160.38,495, 62842, 92.19,0.05
NIFTYETF, EQ, 08-Jul-2024,258.33,258.71,258.77,257.25,258.6,258.61,258.47,85714,221.54,893, 74750, 87.21,0.11
NIFTYETF, EQ, 08-Aug-2024,258.7,261.56,261.56,256.41,256.68,256.75,257.03,1164200,2992.33,1223, 1083775, 93.09,-0.75
NIFTYETF, EQ, 08-Sep-2023,208.01,207.75,209.46,207.66, 209.08,209.08,208.66,55922,116.69,253, 52474, 93.83,0.51
NIFTYETF, EQ, 08-Oct-2024,264.33,266.79,267.0,264.0,266.53,266.27,265.92,164461,437.33,2501, 128804, 78.32,0.73
NIFTYETF, EQ, 08-Nov-2023,204.89,205.49,205.49,204.44, 205.32,205.36,205.21,26401,54.18,324, 15860, 60.07,0.23
NIFTYETF, EQ, 08-Nov-2024,258.32,258.32,258.9,256.7, 257.43,257.57,257.51,68637,176.75,1092, 40507, 59.02,-0.29
NIFTYETF, EQ, 08-Dec-2023,220.95,220.98,221.87,220.17, 221.38,221.29,221.06,21098,46.64,577, 15623, 74.05,0.15
NIFTYETF, EQ, 09-Jan-2024,227.14,228.7,229.23,227.0,227.69,227.63,228.6,17329,39.61,436, 13450, 77.62,0.22
NIFTYETF, EQ, 09-Jan-2025,252.61,253.99,253.99,251.07,251.66,251.33,251.55,162687,409.24,844, 112063, 68.88,-0.51
NIFTYETF, EQ, 09-Feb-2024,229.46,229.61,230.41,228.66, 230.41,230.23,229.8,35277,81.07,407, 29126, 82.56,0.34
NIFTYETF, EQ, 09-Apr-2024,239.22,240.53,240.53,239.04, 239.56,239.51,239.78,22726,54.49,405, 16044, 70.60,0.12
NIFTYETF, EQ, 09-Apr-2025,241.22,242.29,242.3,238.01,239.89,239.61,239.67,73254,175.57,950, 64496, 88.04,-0.67
NIFTYETF, EQ, 09-May-2024,235.92,235.93,235.93,232.0,232.5,232.35,232.94,66747,155.48,1140, 60551, 90.72,-1.51
NIFTYETF, EQ, 09-Jul-2024,258.61,265.85,265.85,258.36,259.75,259.3,259.01,73491,190.35,1810, 63673, 86.64,0.27
NIFTYETF, EQ, 09-Aug-2024,256.75,258.82,259.91,258.31,259.39,259.54,259.42,352346,914.04,1952, 200737, 56.97,1.09
NIFTYETF, EQ, 09-Sep-2024,264.99,267.67,267.67,263.76,265.68,265.18,265.0,426834,1131.11,997, 385862, 90.40,0.07
NIFTYETF, EQ, 09-Oct-2023,207.34,207.34,207.34,205.29, 205.70,205.71,206.06,11056,22.78,448, 8929, 80.76,-0.79
NIFTYETF, EQ, 09-Oct-2024,266.27,267.04,268.86,266.0,266.71,266.31,266.64,162753,433.96,1681, 157711, 96.90,0.02
NIFTYETF, EQ, 09-Nov-2023,205.36,205.55,205.55,204.55, 204.88,204.79,204.89,33310,68.25,339, 30139, 90.48,-0.28
NIFTYETF, EQ, 09-Dec-2024,263.48,265.4,265.4,262.2,262.86,262.8,262.61,113873,299.04,1954, 73723, 64.74,-0.26
NIFTYETF, EQ, 10-Jan-2024,227.63,227.47,230.0,226.51, 228.39,228.15,228.21,90007,205.4,477, 76354, 84.83,0.23
NIFTYETF, EQ, 10-Jan-2025,251.33,253.29,253.3,249.08,250.69,250.36,250.61,107574,269.59,1392, 64352, 59.82,-0.39
NIFTYETF, EQ, 10-Feb-2025,251.71,252.02,254.09,249.28,250.05,250.12,249.94,94642,236.55,1840, 72465, 76.57,-0.63
NIFTYETF, EQ, 10-Mar-2025,240.99,242.54,242.55,239.57,240.18,240.33,240.42,106537,256.13,884, 67812, 63.65,-0.27
NIFTYETF, EQ, 10-Apr-2024,239.51,239.51,240.42,239.37, 240.00,240.12,239.96,10889,26.13,304, 9085, 83.43,0.25
NIFTYETF, EQ, 10-May-2024,232.35,235.2,235.94,232.2,233.4,233.18,233.31,71657,167.18,876, 60522, 84.46,0.36
NIFTYETF, EQ, 10-Jun-2024,246.7,246.97,251.0,244.91,246.61,246.82,247.35,327275,809.5,1235, 283324, 86.57,0.05
NIFTYETF, EQ, 10-Jul-2024,259.3,261.97,261.98,256.37,258.51,258.45,258.1,39451,101.82,776, 28565, 72.41,-0.33
NIFTYETF, EQ, 10-Sep-2024,265.18,269.7,269.7,265.25,266.7,267.1,266.81,62170,165.87,1245, 40254, 64.75,0.72
NIFTYETF, EQ, 10-Oct-2023,205.71,205.87,207.97,205.87, 207.73,207.71,207.64,64651,134.24,391, 61352, 94.90,0.97
NIFTYETF, EQ, 10-Oct-2024,266.31,267.8,267.8,265.73,266.61,266.16,266.32,117939,314.1,1141, 24866, 21.08,-0.06
NIFTYETF, EQ, 10-Nov-2023,204.79,204.41,205.25,203.69,205.17,205.11,205.06,219538,450.19,319, 205987, 93.83,0.16
NIFTYETF, EQ, 10-Dec-2024,262.8,262.8,263.49,261.12,262.19,262.29,262.09,56064,146.94,1113, 36569, 65.23,-0.19
NIFTYETF, EQ, 11-Jan-2024,228.15,228.3,229.41,227.81, 228.87,228.68,228.68,96404,220.46,441, 93483, 96.97,0.23
NIFTYETF, EQ, 11-Feb-2025,250.12,250.99,250.99,245.9,246.74,246.78,247.26,509673,1260.2,2740, 288445, 56.59,-1.34
NIFTYETF, EQ, 11-Mar-2024,237.33,237.96,237.99,235.82, 236.23,236.1,236.97,56674,134.3,566, 42439, 74.88,-0.52
NIFTYETF, EQ, 11-Mar-2025,240.33,241.29,241.3,238.55,240.99,240.64,240.33,112300,269.89,802, 88984, 79.24,0.13
NIFTYETF, EQ, 11-Apr-2025,239.61,241.99,254.45,240.18,244.5,244.32,244.25,390279,953.24,1517, 292866, 75.04,1.97
NIFTYETF, EQ, 11-Jun-2024,246.82,246.82,247.8,246.05,246.37,247.14,247.14,392551,970.13,850, 359299, 91.53,0.13
NIFTYETF, EQ, 11-Jul-2024,258.45,259.13,259.3,257.32,258.6,258.91,258.67,87820,227.16,1453, 78187, 89.03,0.18
NIFTYETF, EQ, 11-Sep-2023,209.08,209.08,210.75,209.08, 210.59,210.51,210.3,49072,103.2,467, 44479, 90.64,0.68
NIFTYETF, EQ, 11-Sep-2024,267.1,267.7,267.7,265.1,265.88,265.64,266.13,38276,101.87,1154, 28155, 73.56,-0.55
NIFTYETF, EQ, 11-Oct-2023,207.71,208.52,209.19,207.89, 208.93,208.95,208.85,92315,192.8,356, 76390, 82.75,0.6
NIFTYETF, EQ, 11-Oct-2024,266.16,266.15,266.74,265.08,266.19,266.15,266.1,131124,348.93,2128, 114306, 87.17,-0.0
NIFTYETF, EQ, 11-Nov-2024,257.57,259.98,259.98,256.0, 257.55,257.69,257.89,56204,144.94,1170, 35637, 63.41,0.05
NIFTYETF, EQ, 11-Dec-2023,221.29,221.29,221.89,220.77, 221.49,221.2,221.2,199008,440.21,745, 187517, 94.23,-0.04
NIFTYETF, EQ, 11-Dec-2024,262.29,264.9,264.9,261.62,263.05,263.08,263.26,189641,499.24,1469, 158217, 83.43,0.3
NIFTYETF, EQ, 12-Jan-2024,228.68,229.92,231.51,228.94,231.19,231.41,231.12,59231,136.9,453, 50114, 84.61,1.19
NIFTYETF, EQ, 12-Feb-2024,230.23,230.22,230.78,228.07, 228.66,228.56,229.02,42793,98.0,713, 30874, 72.15,-0.73
NIFTYETF, EQ, 12-Feb-2025,246.78,248.93,248.93,243.85,246.48,246.0,245.27,312224,765.8,3707, 197154, 63.15,-0.32
NIFTYETF, EQ, 12-Mar-2024,236.1,236.49,237.59,235.59, 236.39,236.31,236.36,80679,190.69,393, 78559, 97.37,0.09
