SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
NIRAJISPAT, EQ, 04-Feb-2025,242.33,254.44,254.44,254.44,254.44,254.44,254.44,1,0.0,1, 1, 100.00,5.0
NIRAJISPAT, EQ, 04-Sep-2024,191.4,210.54,210.54,185.65,185.65,185.81,185.82,893,1.66,4, 893, 100.00,-2.92
NIRAJISPAT, EQ, 05-Feb-2025,254.44,267.16,267.16,267.16,267.16,267.16,267.16,1,0.0,1, 1, 100.00,5.0
NIRAJISPAT, EQ, 07-Oct-2024,185.65,204.21,204.21,204.21,204.21,204.21,204.21,18,0.04,1, 18, 100.00,10.0
NIRAJISPAT, EQ, 08-Oct-2024,204.21,214.42,214.42,214.42,214.42,214.42,214.42,12,0.03,6, 12, 100.00,5.0
NIRAJISPAT, EQ, 09-Oct-2024,214.42,225.14,225.14,225.14,225.14,225.14,225.14,5,0.01,2, 5, 100.00,5.0
NIRAJISPAT, EQ, 10-Oct-2024,225.14,236.39,236.39,236.39,236.39,236.39,236.39,1,0.0,1, 1, 100.00,5.0
NIRAJISPAT, EQ, 12-Sep-2024,185.81,185.65,185.65,185.65,185.65,185.65,185.65,18,0.03,1, 18, 100.00,-0.09
NIRAJISPAT, EQ, 17-Jan-2025,245.18,257.43,257.43,237.82,237.82,242.33,242.33,50,0.12,5, 50, 100.00,-1.16
NIRAJISPAT, EQ, 19-Dec-2024,236.39,248.2,248.2,229.29,229.29,233.49,233.49,18,0.04,8, 18, 100.00,-1.23
NIRAJISPAT, EQ, 20-Dec-2024,233.49,245.16,245.16,234.8,245.16,245.16,245.05,389,0.95,9, 389, 100.00,5.0
NIRAJISPAT, EQ, 21-Jan-2025,242.33,254.44,254.44,242.33,242.33,242.33,244.75,5,0.01,3, 5, 100.00,0.0
NIRAJISPAT, EQ, 23-Dec-2024,245.16,245.18,245.18,245.18,245.18,245.18,245.18,1,0.0,1, 1, 100.00,0.01
