SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
NITIRAJ, EQ, 01-Jan-2025,226.99,233.5,235.57,227.89,228.0,228.09,231.33,4233,9.79,193, 2412, 56.98,0.48
NITIRAJ, EQ, 01-Feb-2022,78.8,78.8,79.45,76.5,76.8,76.8,77.66,4340,3.37,128, 1416, 32.63,-2.54
NITIRAJ, EQ, 01-Feb-2023,75.75,77.3,78.05,73.1, 73.20,74.0,75.38,9041,6.81,216, 6944, 76.81,-2.31
NITIRAJ, EQ, 01-Feb-2024,147.35,154.7,154.7,154.7, 154.70,154.7,154.7,13275,20.54,59, 13275, 100.00,4.99
NITIRAJ, EQ, 01-Mar-2023,71.6,73.9,73.9,71.05, 71.05,71.55,72.39,663,0.48,19, 207, 31.22,-0.07
NITIRAJ, EQ, 01-Mar-2024,168.7,168.7,172.75,164.4, 166.00,167.95,168.37,5339,8.99,287, 2876, 53.87,-0.44
NITIRAJ, EQ, 01-Apr-2022,72.9,75.5,75.5,71.05, 71.50,72.05,72.07,2875,2.07,90, 1995, 69.39,-1.17
NITIRAJ, EQ, 01-Apr-2024,173.45,173.55,177.95,173.55, 177.80,176.4,176.4,3331,5.88,203, 2779, 83.43,1.7
NITIRAJ, EQ, 01-Jun-2021,60.35,57.35,57.35,57.35, 57.35,57.35,57.35,444,0.25,12, 444, 100.00,-4.97
NITIRAJ, EQ, 01-Jun-2022,69.5,69.35,71.1,68.1,70.9,70.55,70.25,1974,1.39,106, 1226, 62.11,1.51
NITIRAJ, EQ, 01-Jun-2023,75.2,77.45,77.6,75.7, 77.45,77.15,76.92,794,0.61,58, 395, 49.75,2.59
NITIRAJ, EQ, 01-Jul-2021,50.05,50.45,50.45,49.0, 49.90,49.8,49.4,1557,0.77,74, 1208, 77.59,-0.5
