SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
NOIDATOLL, EQ, 01-Jan-2020,3.5,3.65,3.65,3.65, 3.65,3.65,3.65,16470,0.6,23, 16450, 99.88,4.29
NOIDATOLL, EQ, 01-Feb-2022,8.45,8.5,8.8,8.3,8.45,8.45,8.6,151883,13.07,391, 120950, 79.63,0.0
NOIDATOLL, EQ, 01-Feb-2023,7.6,7.85,7.85,7.2, 7.20,7.3,7.59,66243,5.03,224, 50982, 76.96,-3.95
NOIDATOLL, EQ, 01-Mar-2021,6.3,6.3,6.9,6.2, 6.45,6.35,6.52,161455,10.53,339, 131757, 81.61,0.79
NOIDATOLL, EQ, 01-Mar-2023,6.9,6.8,7.15,6.8, 6.95,7.0,7.02,38776,2.72,157, 31419, 81.03,1.45
NOIDATOLL, EQ, 01-Apr-2020,2.65,2.6,2.8,2.6,2.7,2.7,2.76,63612,1.75,54, 50210, 78.93,1.89
NOIDATOLL, EQ, 01-Apr-2022,7.4,7.65,7.7,7.4, 7.70,7.65,7.5,239711,17.98,350, 170284, 71.04,3.38
NOIDATOLL, EQ, 01-Jun-2020,3.0,3.1,3.1,2.9, 3.00,3.0,2.98,70242,2.09,116, 50668, 72.13,0.0
NOIDATOLL, EQ, 01-Jun-2021,6.0,6.1,6.1,5.8, 5.85,5.85,5.88,136781,8.04,171, 115166, 84.20,-2.5
NOIDATOLL, EQ, 01-Jun-2022,6.55,6.6,6.85,6.45,6.8,6.7,6.71,82493,5.54,158, 65475, 79.37,2.29
NOIDATOLL, EQ, 01-Jun-2023,6.9,6.95,6.95,6.85, 6.95,6.9,6.89,37982,2.62,92, 30368, 79.95,0.0
NOIDATOLL, EQ, 01-Jul-2021,6.5,6.8,6.8,6.6, 6.80,6.8,6.73,236990,15.95,311, 161743, 68.25,4.62
NOIDATOLL, EQ, 01-Jul-2022,7.2,6.9,7.25,6.9,7.25,7.15,7.08,189017,13.39,291, 127750, 67.59,-0.69
NOIDATOLL, EQ, 01-Aug-2022,7.05,7.05,7.15,7.0, 7.15,7.1,7.06,115473,8.15,256, 84224, 72.94,0.71
NOIDATOLL, EQ, 01-Aug-2023,6.8,6.7,7.0,6.7, 6.85,6.8,6.77,230088,15.59,196, 185661, 80.69,0.0
NOIDATOLL, EQ, 01-Sep-2020,3.35,3.4,3.4,3.25, 3.30,3.3,3.31,19404,0.64,48, 13408, 69.10,-1.49
NOIDATOLL, EQ, 01-Sep-2021,5.55,5.65,5.8,5.55,5.65,5.7,5.73,148335,8.5,183, 108116, 72.89,2.7
NOIDATOLL, EQ, 01-Sep-2022,7.15,7.25,7.25,7.1,7.2,7.2,7.19,75734,5.44,176, 50682, 66.92,0.7
NOIDATOLL, EQ, 01-Sep-2023,6.95,7.0,7.05,6.9, 6.95,7.0,6.96,163421,11.37,373, 129703, 79.37,0.72
NOIDATOLL, EQ, 01-Oct-2020,3.5,3.4,3.5,3.35, 3.45,3.4,3.41,18972,0.65,49, 15722, 82.87,-2.86
NOIDATOLL, EQ, 01-Oct-2021,6.3,6.4,6.6,6.4, 6.60,6.6,6.57,342781,22.53,387, 300113, 87.55,4.76
NOIDATOLL, EQ, 01-Nov-2021,6.85,7.0,7.15,6.85, 7.15,7.15,7.1,219786,15.61,314, 180394, 82.08,4.38
NOIDATOLL, EQ, 01-Nov-2022,8.1,8.15,8.2,8.0,8.1,8.05,8.12,163806,13.31,201, 151171, 92.29,-0.62
NOIDATOLL, EQ, 01-Nov-2023,8.15,8.3,8.45,8.1, 8.25,8.25,8.25,160669,13.25,372, 88897, 55.33,1.23
NOIDATOLL, EQ, 01-Dec-2021,7.35,7.1,7.7,7.1,7.7,7.7,7.6,308487,23.43,479, 251097, 81.40,4.76
NOIDATOLL, EQ, 01-Dec-2022,7.85,8.0,8.0,7.8,7.9,7.85,7.88,64978,5.12,171, 58214, 89.59,0.0
NOIDATOLL, EQ, 02-Jan-2020,3.65,3.75,3.8,3.5, 3.50,3.5,3.56,47685,1.7,173, 30372, 63.69,-4.11
