SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
NORTHARC, EQ, 01-Jan-2025,217.05,218.9,220.08,217.2,217.99,218.0,218.32,226888,495.34,10746, 122589, 54.03,0.44
NORTHARC, EQ, 01-Apr-2025,167.52,167.45,175.65,165.65,171.98,171.86,172.08,425860,732.81,10230, 157640, 37.02,2.59
NORTHARC, EQ, 01-Oct-2024,300.0,310.0,314.0,301.7,305.9,306.3,306.04,2603744,7968.58,35233, 948670, 36.43,2.1
NORTHARC, EQ, 02-Jan-2025,218.0,219.69,222.89,217.52,222.2,221.82,220.41,497718,1097.04,15030, 239584, 48.14,1.75
NORTHARC, EQ, 02-Apr-2025,171.86,173.0,177.8,170.62,176.35,176.44,175.24,311781,546.36,8644, 144548, 46.36,2.66
NORTHARC, EQ, 02-Dec-2024,234.1,234.09,234.09,228.41,228.9,228.96,229.4,704579,1616.31,13582, 456345, 64.77,-2.2
NORTHARC, EQ, 03-Jan-2025,221.82,222.0,233.29,222.0,229.5,229.28,229.26,626952,1437.33,17877, 194583, 31.04,3.36
NORTHARC, EQ, 03-Feb-2025,204.13,201.0,201.97,195.92,196.51,197.38,198.33,120821,239.62,4621, 68799, 56.94,-3.31
NORTHARC, EQ, 03-Mar-2025,171.63,171.0,174.94,163.6,168.04,167.54,167.37,531184,889.04,13626, 326102, 61.39,-2.38
NORTHARC, EQ, 03-Apr-2025,176.44,176.0,191.7,175.0,190.8,188.63,183.85,776327,1427.24,18662, 273637, 35.25,6.91
NORTHARC, EQ, 03-Oct-2024,306.3,297.2,303.0,292.0,293.0,293.45,296.88,1079053,3203.47,23109, 554334, 51.37,-4.2
NORTHARC, EQ, 03-Dec-2024,228.96,230.4,235.95,230.39,233.4,232.83,233.44,694449,1621.13,12450, 430950, 62.06,1.69
NORTHARC, EQ, 04-Feb-2025,197.38,199.0,200.0,193.3,199.4,197.69,196.57,264720,520.37,15002, 132245, 49.96,0.16
NORTHARC, EQ, 04-Mar-2025,167.54,165.0,169.37,163.5,166.12,166.23,167.0,203761,340.29,8837, 94864, 46.56,-0.78
