SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
NOVAAGRI, EQ, 01-Jan-2025,61.17,62.1,63.85,61.5,63.85,63.32,62.86,220244,138.44,2611, 99013, 44.96,3.51
NOVAAGRI, EQ, 01-Mar-2024,65.6,66.9,67.7,62.85, 63.70,63.5,64.17,1523355,977.53,12099, 890170, 58.43,-3.2
NOVAAGRI, EQ, 01-Apr-2024,50.55,51.45,54.5,51.45, 54.45,54.15,53.19,585467,311.43,5277, 329789, 56.33,7.12
NOVAAGRI, EQ, 01-Apr-2025,42.68,42.52,45.13,42.35,44.45,44.46,44.19,226813,100.23,2818, 112788, 49.73,4.17
NOVAAGRI, EQ, 01-Jul-2024,64.28,63.9,65.9,63.89,64.9,64.64,64.9,779258,505.72,7544, 386415, 49.59,0.56
NOVAAGRI, EQ, 01-Aug-2024,83.36,83.98,84.3,80.02,81.01,80.93,81.64,889561,726.21,7630, 531382, 59.74,-2.92
NOVAAGRI, EQ, 02-Jan-2025,63.32,63.76,64.79,62.66,63.05,62.85,63.44,192771,122.29,2632, 98347, 51.02,-0.74
NOVAAGRI, EQ, 02-Apr-2024,54.15,54.5,56.05,53.1, 55.35,55.3,55.0,587040,322.85,6145, 305586, 52.06,2.12
NOVAAGRI, EQ, 02-Apr-2025,44.46,44.55,45.88,43.31,45.24,45.37,44.84,245521,110.09,2762, 99152, 40.38,2.05
NOVAAGRI, EQ, 02-May-2024,51.5,51.65,52.6,51.3, 51.95,51.7,51.89,454592,235.88,3643, 245600, 54.03,0.39
NOVAAGRI, EQ, 02-Jul-2024,64.64,65.75,66.39,63.23,64.25,64.17,64.68,696622,450.55,7691, 297213, 42.66,-0.73
NOVAAGRI, EQ, 02-Aug-2024,80.93,76.81,83.8,76.81,81.89,81.97,80.73,2013274,1625.3,12276, 813229, 40.39,1.29
NOVAAGRI, EQ, 02-Dec-2024,64.41,65.5,75.5,63.43,71.73,71.88,71.72,2860605,2051.53,26524, 1011248, 35.35,11.6
NOVAAGRI, EQ, 03-Jan-2025,62.85,62.86,63.94,62.67,63.5,63.36,63.32,128878,81.61,2147, 56670, 43.97,0.81
NOVAAGRI, EQ, 03-Feb-2025,64.69,63.7,64.68,60.35,61.5,61.33,62.3,218197,135.93,3472, 99664, 45.68,-5.19
NOVAAGRI, EQ, 03-Mar-2025,50.11,49.35,50.11,45.95,46.85,46.5,47.27,434426,205.35,6792, 205561, 47.32,-7.2
NOVAAGRI, EQ, 03-Apr-2024,55.3,55.3,56.7,53.9, 56.65,56.5,55.98,528008,295.56,4826, 254144, 48.13,2.17
NOVAAGRI, EQ, 03-Apr-2025,45.37,45.05,46.7,44.51,46.25,46.05,45.73,210492,96.26,2055, 90802, 43.14,1.5
NOVAAGRI, EQ, 03-May-2024,51.7,51.75,52.45,51.4, 51.45,51.55,51.73,335038,173.33,2922, 242135, 72.27,-0.29
NOVAAGRI, EQ, 03-Jun-2024,49.05,50.0,50.45,47.8,48.6,48.55,48.76,566760,276.34,4908, 382100, 67.42,-1.02
NOVAAGRI, EQ, 03-Jul-2024,64.17,64.4,65.71,64.0,64.29,64.13,64.86,981942,636.89,8623, 466023, 47.46,-0.06
NOVAAGRI, EQ, 03-Dec-2024,71.88,72.0,75.5,71.31,72.1,72.76,73.43,1123139,824.77,9702, 501865, 44.68,1.22
NOVAAGRI, EQ, 04-Feb-2025,61.33,62.9,63.53,60.4,62.35,62.3,62.01,207797,128.85,2896, 99171, 47.72,1.58
NOVAAGRI, EQ, 04-Mar-2024,64.4,66.05,66.5,62.4, 62.45,62.65,63.64,1334712,849.36,9653, 882040, 66.08,-2.72
NOVAAGRI, EQ, 04-Mar-2025,46.5,45.8,48.78,45.8,46.5,46.66,47.14,242910,114.5,3124, 96150, 39.58,0.34
NOVAAGRI, EQ, 04-Apr-2024,56.5,57.5,57.8,56.05, 56.90,56.85,56.8,536354,304.63,5084, 247191, 46.09,0.62
NOVAAGRI, EQ, 04-Apr-2025,46.05,45.9,45.9,44.2,44.95,45.22,44.84,116851,52.39,1803, 67810, 58.03,-1.8
