SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
NOVARTIND, EQ, 01-Jan-2021,684.6,685.35,698.0,685.35, 690.50,690.1,689.81,10703,73.83,578, 6082, 56.83,0.8
NOVARTIND, EQ, 01-Feb-2021,654.2,659.4,659.4,645.0, 646.40,647.3,648.85,5863,38.04,475, 4259, 72.64,-1.05
NOVARTIND, EQ, 01-Feb-2022,738.95,741.0,744.0,735.0,737.0,738.3,739.6,7341,54.29,452, 4101, 55.86,-0.09
NOVARTIND, EQ, 01-Feb-2023,637.6,636.1,651.0,630.1, 650.00,641.7,641.52,4561,29.26,516, 2471, 54.18,0.64
NOVARTIND, EQ, 01-Mar-2021,622.0,622.0,631.05,611.85, 616.30,614.6,620.18,7465,46.3,681, 4454, 59.67,-1.19
NOVARTIND, EQ, 01-Mar-2023,597.65,603.55,603.85,594.1, 596.40,598.3,599.68,3682,22.08,424, 2365, 64.23,0.11
NOVARTIND, EQ, 01-Apr-2021,552.0,554.9,598.0,552.15, 572.50,572.15,572.15,9700,55.5,811, 4716, 48.62,3.65
NOVARTIND, EQ, 01-Apr-2022,589.7,596.2,625.2,589.25, 615.70,621.0,604.63,34636,209.42,3037, 12492, 36.07,5.31
NOVARTIND, EQ, 01-Jun-2021,653.15,658.8,658.8,636.65, 643.65,642.55,644.51,20848,134.37,1422, 14060, 67.44,-1.62
NOVARTIND, EQ, 01-Jun-2022,590.0,588.0,607.4,582.0,605.0,602.95,595.71,10473,62.39,1068, 5807, 55.45,2.19
NOVARTIND, EQ, 01-Jun-2023,706.5,707.4,716.55,704.05, 710.65,711.55,709.84,23548,167.15,1823, 15834, 67.24,0.71
NOVARTIND, EQ, 01-Jul-2021,865.5,873.0,873.4,854.95, 855.90,858.4,859.55,12451,107.02,1071, 6819, 54.77,-0.82
NOVARTIND, EQ, 01-Jul-2022,612.55,618.6,699.0,611.0,668.55,672.45,674.76,150012,1012.22,10222, 34557, 23.04,9.78
NOVARTIND, EQ, 01-Aug-2022,723.55,725.2,763.1,725.2, 754.00,757.3,753.15,68208,513.71,3121, 34354, 50.37,4.66
NOVARTIND, EQ, 01-Aug-2023,723.4,723.4,736.0,721.7, 728.90,727.8,727.57,34216,248.94,4510, 12054, 35.23,0.61
NOVARTIND, EQ, 01-Sep-2021,770.25,772.0,878.0,770.45,845.0,840.2,843.42,212947,1796.03,16299, 36898, 17.33,9.08
NOVARTIND, EQ, 01-Sep-2022,731.1,732.25,738.6,725.6,729.2,728.25,730.32,8300,60.62,733, 5220, 62.89,-0.39
NOVARTIND, EQ, 01-Sep-2023,717.45,718.0,719.7,707.1, 715.70,714.4,713.12,14521,103.55,1894, 7447, 51.28,-0.43
NOVARTIND, EQ, 01-Oct-2021,817.95,818.05,830.0,809.75, 812.35,813.9,818.3,8624,70.57,1090, 3274, 37.96,-0.5
NOVARTIND, EQ, 01-Nov-2021,744.9,765.0,765.0,735.3, 738.00,738.7,741.16,14636,108.48,1428, 7933, 54.20,-0.83
NOVARTIND, EQ, 01-Nov-2022,680.65,683.0,687.0,677.0,678.65,678.55,681.54,4573,31.17,422, 3007, 65.76,-0.31
NOVARTIND, EQ, 01-Dec-2020,652.0,652.3,659.9,626.95,640.0,640.6,644.03,19631,126.43,806, 15601, 79.47,-1.75
NOVARTIND, EQ, 01-Dec-2021,782.85,783.15,793.25,773.0,775.0,775.45,783.42,9199,72.07,1298, 5141, 55.89,-0.95
NOVARTIND, EQ, 01-Dec-2022,671.95,673.9,682.0,672.05,680.0,678.75,678.03,4979,33.76,608, 2729, 54.81,1.01
NOVARTIND, EQ, 02-Jan-2023,674.55,674.55,680.6,672.05, 673.80,672.9,675.24,4925,33.26,787, 2917, 59.23,-0.24
NOVARTIND, EQ, 02-Feb-2021,647.3,636.0,659.15,632.8, 655.00,655.0,646.88,25160,162.75,1577, 13230, 52.58,1.19
NOVARTIND, EQ, 02-Feb-2022,738.3,745.0,752.9,736.05, 738.05,740.15,742.85,11697,86.89,827, 6442, 55.07,0.25
NOVARTIND, EQ, 02-Feb-2023,641.7,634.0,642.35,628.95, 635.00,634.1,634.79,4820,30.6,524, 3425, 71.06,-1.18
NOVARTIND, EQ, 02-Mar-2021,614.6,615.0,621.0,610.0,614.95,614.45,613.24,11083,67.97,805, 7630, 68.84,-0.02
NOVARTIND, EQ, 02-Mar-2022,629.3,625.55,634.95,614.0, 618.00,620.5,624.83,9111,56.93,994, 4844, 53.17,-1.4
NOVARTIND, EQ, 02-Mar-2023,598.3,601.0,604.6,595.05, 600.00,600.65,600.37,2981,17.9,313, 1927, 64.64,0.39
NOVARTIND, EQ, 02-May-2022,628.3,625.5,631.05,618.5,621.8,621.05,622.96,8518,53.06,517, 5314, 62.39,-1.15
NOVARTIND, EQ, 02-May-2023,595.4,598.8,601.55,592.0, 593.70,594.65,597.08,4890,29.2,564, 3004, 61.43,-0.13
NOVARTIND, EQ, 02-Jun-2021,642.55,643.0,662.9,639.95, 648.00,649.1,654.38,22991,150.45,1815, 11781, 51.24,1.02
NOVARTIND, EQ, 02-Jun-2022,602.95,601.0,610.0,592.85,609.8,605.9,601.63,5123,30.82,461, 2962, 57.82,0.49
NOVARTIND, EQ, 02-Jun-2023,711.55,715.0,729.95,714.65, 721.50,721.15,722.43,34604,249.99,2892, 18747, 54.18,1.35
NOVARTIND, EQ, 02-Jul-2021,858.4,861.0,887.85,853.05,861.3,861.05,866.21,26297,227.79,1819, 9202, 34.99,0.31
NOVARTIND, EQ, 02-Aug-2021,962.8,974.0,985.0,963.05,972.05,972.95,974.24,22549,219.68,1683, 13781, 61.12,1.05
