SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
OISL, EQ, 01-Jan-2020,3.25,3.25,3.25,3.15, 3.15,3.15,3.2,5409,0.17,10, 5409, 100.00,-3.08
OISL, EQ, 01-Apr-2020,2.2,2.35,2.35,2.0,2.05,2.05,2.03,81451,1.65,72, 39544, 48.55,-6.82
OISL, EQ, 01-Jun-2020,2.4,2.5,2.5,2.5, 2.50,2.5,2.5,23839,0.6,23, 23839, 100.00,4.17
OISL, EQ, 01-Sep-2020,3.45,3.6,3.6,3.6, 3.60,3.6,3.6,30305,1.09,36, 30305, 100.00,4.35
OISL, EQ, 01-Oct-2020,2.95,3.05,3.05,2.95, 3.00,3.0,3.0,32445,0.97,34, 31373, 96.70,1.69
OISL, EQ, 02-Jan-2020,3.15,3.1,3.25,3.1, 3.15,3.25,3.21,16827,0.54,17, 15316, 91.02,3.17
OISL, EQ, 02-Mar-2020,2.5,2.25,2.55,2.25, 2.50,2.5,2.46,138989,3.42,38, 135346, 97.38,0.0
OISL, EQ, 02-Jun-2020,2.5,2.6,2.6,2.6,2.6,2.6,2.6,2115,0.05,12, 2115, 100.00,4.0
OISL, EQ, 02-Sep-2020,3.6,3.75,3.75,3.75, 3.75,3.75,3.75,11674,0.44,24, 11674, 100.00,4.17
OISL, EQ, 02-Nov-2020,2.8,2.8,2.9,2.75, 2.85,2.75,2.79,9043,0.25,19, 7236, 80.02,-1.79
OISL, EQ, 03-Jan-2020,3.25,3.25,3.3,3.1, 3.15,3.15,3.14,30192,0.95,28, 27129, 89.85,-3.08
OISL, EQ, 03-Feb-2020,2.8,2.8,2.9,2.7, 2.85,2.85,2.73,6074,0.17,24, 5768, 94.96,1.79
OISL, EQ, 03-Mar-2020,2.5,2.45,2.5,2.25, 2.50,2.5,2.39,30498,0.73,75, 24430, 80.10,0.0
OISL, EQ, 03-Apr-2020,2.05,2.05,2.15,2.0, 2.05,2.0,2.05,37152,0.76,135, 29634, 79.76,-2.44
OISL, EQ, 03-Jun-2020,2.6,2.7,2.7,2.7,2.7,2.7,2.7,5823,0.16,12, 5823, 100.00,3.85
OISL, EQ, 03-Sep-2020,3.75,3.9,3.9,3.9, 3.90,3.9,3.9,21054,0.82,12, 21054, 100.00,4.0
OISL, EQ, 03-Nov-2020,2.75,2.85,2.85,2.7,2.85,2.85,2.84,2347,0.07,14, 2166, 92.29,3.64
OISL, EQ, 04-Feb-2020,2.85,2.75,2.85,2.75, 2.75,2.75,2.75,17319,0.48,17, 17318, 99.99,-3.51
OISL, EQ, 04-Mar-2020,2.5,2.25,2.5,2.25, 2.35,2.35,2.31,68296,1.58,845, 56253, 82.37,-6.0
OISL, EQ, 04-Jun-2020,2.7,2.8,2.8,2.8,2.8,2.8,2.8,4124,0.12,8, 4124, 100.00,3.7
OISL, EQ, 04-Sep-2020,3.9,4.05,4.05,3.75,3.85,3.8,3.83,96617,3.7,90, 90063, 93.22,-2.56
OISL, EQ, 04-Nov-2020,2.85,2.95,2.95,2.8,2.9,2.9,2.93,11167,0.33,32, 10976, 98.29,1.75
OISL, EQ, 05-Feb-2020,2.75,2.75,2.8,2.65, 2.65,2.65,2.67,15244,0.41,37, 11600, 76.10,-3.64
OISL, EQ, 05-Mar-2020,2.35,2.15,2.55,2.15, 2.40,2.4,2.44,30180,0.74,42, 21803, 72.24,2.13
OISL, EQ, 05-Jun-2020,2.8,2.9,2.9,2.9, 2.90,2.9,2.9,4573,0.13,11, 4573, 100.00,3.57
OISL, EQ, 05-Oct-2020,3.0,3.0,3.1,2.9, 2.90,2.9,2.93,25961,0.76,32, 20661, 79.58,-3.33
OISL, EQ, 05-Nov-2020,2.9,2.9,3.0,2.85, 2.85,2.9,2.97,24344,0.72,69, 22562, 92.68,0.0
OISL, EQ, 06-Jan-2020,3.15,3.1,3.15,3.0, 3.15,3.15,3.05,32625,1.0,854, 26417, 80.97,0.0
OISL, EQ, 06-Feb-2020,2.65,2.6,2.85,2.45, 2.70,2.65,2.66,17658,0.47,31, 17007, 96.31,0.0
OISL, EQ, 06-Mar-2020,2.4,2.35,2.35,2.2, 2.20,2.25,2.25,14675,0.33,50, 11991, 81.71,-6.25
OISL, EQ, 06-Oct-2020,2.9,3.0,3.0,2.85,2.85,2.85,2.87,21270,0.61,31, 16434, 77.26,-1.72
OISL, EQ, 06-Nov-2020,2.9,2.95,2.95,2.85, 2.90,2.9,2.91,15618,0.45,24, 14598, 93.47,0.0
OISL, EQ, 07-Jan-2020,3.15,3.05,3.2,3.0, 3.15,3.15,3.05,5269,0.16,28, 4098, 77.78,0.0
OISL, EQ, 07-Feb-2020,2.65,2.5,2.8,2.5, 2.80,2.75,2.7,6843,0.19,20, 5697, 83.25,3.77
OISL, EQ, 07-Apr-2020,2.0,2.1,2.1,2.0, 2.00,2.0,2.03,29229,0.59,57, 24363, 83.35,0.0
OISL, EQ, 07-Sep-2020,3.8,3.8,3.95,3.65, 3.95,3.95,3.9,215378,8.4,61, 194416, 90.27,3.95
OISL, EQ, 07-Oct-2020,2.85,2.95,2.95,2.75,2.8,2.8,2.85,20573,0.59,44, 10623, 51.64,-1.75
OISL, EQ, 08-Jan-2020,3.15,3.15,3.15,3.0, 3.10,3.0,3.06,7855,0.24,21, 7855, 100.00,-4.76
OISL, EQ, 08-Apr-2020,2.0,2.1,2.15,1.85, 2.10,2.1,2.03,17057,0.35,78, 14727, 86.34,5.0
OISL, EQ, 08-Jun-2020,2.9,3.0,3.0,3.0, 3.00,3.0,3.0,115137,3.45,28, 115137, 100.00,3.45
OISL, EQ, 08-Sep-2020,3.95,4.1,4.1,3.8, 3.80,3.8,3.89,56758,2.21,96, 42586, 75.03,-3.8
OISL, EQ, 08-Oct-2020,2.8,2.75,2.9,2.7,2.7,2.7,2.77,42321,1.17,53, 30560, 72.21,-3.57
OISL, EQ, 09-Jan-2020,3.0,3.1,3.1,3.0, 3.10,3.1,3.07,666,0.02,10, 666, 100.00,3.33
OISL, EQ, 09-Mar-2020,2.25,2.25,2.25,2.05, 2.25,2.25,2.12,17543,0.37,618, 17536, 99.96,0.0
OISL, EQ, 09-Apr-2020,2.1,2.1,2.3,2.05, 2.10,2.1,2.12,27677,0.59,43, 23294, 84.16,0.0
OISL, EQ, 09-Jun-2020,3.0,3.15,3.15,3.05, 3.15,3.15,3.15,114598,3.61,130, 100113, 87.36,5.0
OISL, EQ, 09-Sep-2020,3.8,3.8,3.8,3.65, 3.65,3.65,3.66,9015,0.33,27, 9015, 100.00,-3.95
OISL, EQ, 09-Oct-2020,2.7,2.8,2.8,2.6, 2.70,2.7,2.65,30147,0.8,42, 24481, 81.21,0.0
OISL, EQ, 09-Nov-2020,2.9,2.9,3.0,2.8, 2.85,2.8,2.84,97204,2.76,68, 56661, 58.29,-3.45
OISL, EQ, 10-Jan-2020,3.1,3.0,3.15,3.0, 3.00,3.0,3.06,20896,0.64,27, 15788, 75.56,-3.23
