SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
OPTOCIRCUI, EQ, 01-Jan-2020,2.85,2.85,2.95,2.85, 2.95,2.95,2.9,132541,3.84,113, 113502, 85.64,3.51
OPTOCIRCUI, EQ, 01-Apr-2020,1.65,1.7,1.7,1.7,1.7,1.7,1.7,152626,2.59,35, 152626, 100.00,3.03
OPTOCIRCUI, EQ, 01-Sep-2020,6.85,6.7,6.75,6.55, 6.55,6.55,6.57,527660,34.64,883, 366369, 69.43,-4.38
OPTOCIRCUI, EQ, 01-Oct-2020,5.15,4.95,5.4,4.9, 5.20,5.25,5.11,1220512,62.36,1153, 569104, 46.63,1.94
OPTOCIRCUI, EQ, 02-Jan-2020,2.95,3.0,3.0,2.85, 2.90,2.9,2.91,187532,5.46,161, 120576, 64.30,-1.69
OPTOCIRCUI, EQ, 02-Feb-2021,5.0,5.2,5.2,4.95, 5.10,5.1,5.07,415526,21.05,648, 290475, 69.91,2.0
OPTOCIRCUI, EQ, 02-Mar-2020,2.85,2.95,3.0,2.6, 2.60,2.6,2.74,557010,15.24,396, 310770, 55.79,-8.77
OPTOCIRCUI, EQ, 02-Sep-2020,6.55,6.35,6.85,6.35, 6.85,6.85,6.76,442601,29.94,570, 304366, 68.77,4.58
OPTOCIRCUI, EQ, 02-Nov-2020,6.9,7.2,7.2,7.1, 7.20,7.2,7.19,303005,21.8,226, 263003, 86.80,4.35
OPTOCIRCUI, EQ, 03-Jan-2020,2.9,2.9,3.0,2.9, 2.95,2.95,2.93,248916,7.3,209, 192456, 77.32,1.72
OPTOCIRCUI, EQ, 03-Feb-2020,2.8,2.75,2.8,2.7, 2.75,2.7,2.71,367274,9.94,213, 293916, 80.03,-3.57
OPTOCIRCUI, EQ, 03-Feb-2021,5.1,5.1,5.1,4.9, 5.00,4.95,4.96,540885,26.85,671, 412232, 76.21,-2.94
OPTOCIRCUI, EQ, 03-Mar-2020,2.6,2.7,2.75,2.6, 2.65,2.65,2.67,124715,3.33,192, 81373, 65.25,1.92
OPTOCIRCUI, EQ, 03-Apr-2020,1.7,1.75,1.75,1.75, 1.75,1.75,1.75,19180,0.34,26, 19180, 100.00,2.94
OPTOCIRCUI, EQ, 03-Sep-2020,6.85,7.15,7.15,7.15, 7.15,7.15,7.15,170904,12.22,223, 141546, 82.82,4.38
OPTOCIRCUI, EQ, 03-Nov-2020,7.2,7.55,7.55,7.55,7.55,7.55,7.55,153542,11.59,152, 153542, 100.00,4.86
OPTOCIRCUI, EQ, 04-Feb-2020,2.7,2.75,2.75,2.6, 2.60,2.6,2.64,375058,9.9,203, 328964, 87.71,-3.7
OPTOCIRCUI, EQ, 04-Feb-2021,4.95,5.0,5.05,4.9, 4.95,4.95,4.97,245578,12.21,402, 186954, 76.13,0.0
OPTOCIRCUI, EQ, 04-Mar-2020,2.65,2.6,2.7,2.5, 2.60,2.55,2.57,115292,2.97,142, 97285, 84.38,-3.77
OPTOCIRCUI, EQ, 04-May-2020,3.15,3.3,3.3,3.3, 3.30,3.3,3.3,121518,4.01,63, 121518, 100.00,4.76
OPTOCIRCUI, EQ, 04-Sep-2020,7.15,6.95,7.4,6.8,7.2,7.1,7.11,899613,63.97,1354, 489580, 54.42,-0.7
OPTOCIRCUI, EQ, 04-Nov-2020,7.55,7.75,7.8,7.2,7.2,7.2,7.31,987443,72.18,681, 703294, 71.22,-4.64
OPTOCIRCUI, EQ, 05-Feb-2020,2.6,2.5,2.55,2.5, 2.50,2.5,2.5,230862,5.77,167, 187654, 81.28,-3.85
OPTOCIRCUI, EQ, 05-Feb-2021,4.95,4.95,5.1,4.95, 5.00,5.05,5.02,340975,17.1,509, 265329, 77.81,2.02
OPTOCIRCUI, EQ, 05-Mar-2020,2.55,2.75,2.75,2.45, 2.60,2.55,2.57,88565,2.27,119, 62132, 70.15,0.0
OPTOCIRCUI, EQ, 05-May-2020,3.3,3.45,3.45,3.45, 3.45,3.45,3.45,39198,1.35,38, 39198, 100.00,4.55
OPTOCIRCUI, EQ, 05-Oct-2020,5.25,5.2,5.5,5.1, 5.40,5.35,5.35,581289,31.12,759, 272454, 46.87,1.9
OPTOCIRCUI, EQ, 05-Nov-2020,7.2,6.85,6.85,6.85, 6.85,6.85,6.85,224591,15.38,184, 224591, 100.00,-4.86
OPTOCIRCUI, EQ, 06-Jan-2020,2.95,2.95,3.0,2.85, 2.95,2.9,2.91,251603,7.33,163, 161872, 64.34,-1.69
OPTOCIRCUI, EQ, 06-Feb-2020,2.5,2.45,2.55,2.25, 2.45,2.45,2.38,509633,12.13,403, 301493, 59.16,-2.0
OPTOCIRCUI, EQ, 06-Mar-2020,2.55,2.6,2.6,2.3, 2.30,2.3,2.32,670092,15.57,386, 547206, 81.66,-9.8
OPTOCIRCUI, EQ, 06-May-2020,3.45,3.6,3.6,3.6, 3.60,3.6,3.6,54612,1.97,24, 54612, 100.00,4.35
OPTOCIRCUI, EQ, 06-Oct-2020,5.35,5.55,5.55,5.3,5.4,5.35,5.4,259256,13.99,474, 179945, 69.41,0.0
OPTOCIRCUI, EQ, 06-Nov-2020,6.85,6.55,6.55,6.55, 6.55,6.55,6.55,159527,10.45,188, 159527, 100.00,-4.38
OPTOCIRCUI, EQ, 07-Jan-2020,2.9,2.9,2.95,2.9, 2.95,2.95,2.92,182336,5.33,339, 167146, 91.67,1.72
OPTOCIRCUI, EQ, 07-Feb-2020,2.45,2.35,2.65,2.35, 2.65,2.65,2.59,445913,11.55,288, 279589, 62.70,8.16
OPTOCIRCUI, EQ, 07-Apr-2020,1.75,1.8,1.8,1.8, 1.80,1.8,1.8,38348,0.69,46, 38348, 100.00,2.86
OPTOCIRCUI, EQ, 07-Sep-2020,7.1,7.15,7.45,7.05, 7.35,7.35,7.35,1907907,140.24,1316, 1077573, 56.48,3.52
OPTOCIRCUI, EQ, 07-Oct-2020,5.35,5.3,5.5,5.1,5.1,5.1,5.15,815941,42.02,811, 418581, 51.30,-4.67
OPTOCIRCUI, EQ, 08-Jan-2020,2.95,2.95,2.95,2.85, 2.90,2.9,2.88,168687,4.87,141, 97072, 57.55,-1.69
OPTOCIRCUI, EQ, 08-Feb-2021,5.05,4.8,5.0,4.8, 4.90,4.9,4.88,458328,22.35,711, 336340, 73.38,-2.97
OPTOCIRCUI, EQ, 08-Apr-2020,1.8,1.85,1.85,1.85, 1.85,1.85,1.85,12336,0.23,16, 12336, 100.00,2.78
OPTOCIRCUI, EQ, 08-Sep-2020,7.35,7.4,7.4,7.0, 7.00,7.0,7.07,437488,30.95,574, 342864, 78.37,-4.76
OPTOCIRCUI, EQ, 08-Oct-2020,5.1,5.0,5.15,4.9,5.05,5.0,5.01,609014,30.49,753, 394949, 64.85,-1.96
OPTOCIRCUI, EQ, 09-Jan-2020,2.9,2.95,2.95,2.85, 2.85,2.9,2.89,154576,4.46,152, 112945, 73.07,0.0
OPTOCIRCUI, EQ, 09-Feb-2021,4.9,4.9,5.0,4.75, 4.95,4.95,4.87,568065,27.68,723, 434708, 76.52,1.02
OPTOCIRCUI, EQ, 09-Mar-2020,2.3,2.25,2.45,2.1, 2.25,2.35,2.22,344525,7.64,310, 221938, 64.42,2.17
OPTOCIRCUI, EQ, 09-Apr-2020,1.85,1.9,1.9,1.9, 1.90,1.9,1.9,9687,0.18,26, 9687, 100.00,2.7
OPTOCIRCUI, EQ, 09-Sep-2020,7.0,6.65,7.0,6.65, 6.70,6.65,6.69,1205086,80.64,1215, 631043, 52.36,-5.0
OPTOCIRCUI, EQ, 09-Oct-2020,5.0,5.0,5.25,4.9, 5.05,5.0,5.08,780469,39.62,659, 349646, 44.80,0.0
OPTOCIRCUI, EQ, 09-Nov-2020,6.55,6.4,6.85,6.25, 6.25,6.25,6.46,2285982,147.75,1591, 1179906, 51.61,-4.58
OPTOCIRCUI, EQ, 10-Jan-2020,2.9,2.85,2.9,2.85, 2.90,2.85,2.86,137459,3.94,146, 106333, 77.36,-1.72
OPTOCIRCUI, EQ, 10-Feb-2020,2.65,2.65,2.9,2.65, 2.90,2.85,2.85,677357,19.29,449, 418087, 61.72,7.55
OPTOCIRCUI, EQ, 10-Feb-2021,4.95,5.0,5.0,4.8,4.9,4.85,4.9,287208,14.06,418, 199619, 69.50,-2.02
OPTOCIRCUI, EQ, 10-Sep-2020,6.65,6.55,6.95,6.55, 6.85,6.8,6.81,772156,52.55,965, 347595, 45.02,2.26
OPTOCIRCUI, EQ, 11-Feb-2020,2.85,2.85,2.9,2.65, 2.70,2.65,2.72,361594,9.83,268, 233078, 64.46,-7.02
OPTOCIRCUI, EQ, 11-Feb-2021,4.85,4.95,4.95,4.85,4.85,4.9,4.92,221721,10.9,441, 157778, 71.16,1.03
OPTOCIRCUI, EQ, 11-Mar-2020,2.35,2.45,2.55,2.3, 2.30,2.35,2.41,469446,11.3,267, 303284, 64.60,0.0
OPTOCIRCUI, EQ, 11-Sep-2020,6.8,7.0,7.05,6.7, 6.95,6.85,6.84,556804,38.09,636, 296035, 53.17,0.74
OPTOCIRCUI, EQ, 12-Feb-2020,2.65,2.65,2.8,2.6, 2.80,2.8,2.75,211345,5.8,207, 160085, 75.75,5.66
OPTOCIRCUI, EQ, 12-Feb-2021,4.9,4.95,4.95,4.7,4.85,4.8,4.82,570430,27.51,708, 417447, 73.18,-2.04
OPTOCIRCUI, EQ, 12-Mar-2020,2.35,2.25,2.3,2.15, 2.15,2.15,2.17,391145,8.49,293, 266271, 68.07,-8.51
OPTOCIRCUI, EQ, 12-Oct-2020,5.0,5.1,5.15,4.8, 4.85,4.8,4.89,505828,24.72,634, 336564, 66.54,-4.0
OPTOCIRCUI, EQ, 13-Jan-2020,2.85,2.9,2.9,2.85, 2.90,2.9,2.86,68864,1.97,86, 48505, 70.44,1.75
