SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
ORIENTCER, EQ, 01-Jan-2024,51.05,51.05,52.45,51.0, 51.50,51.95,51.93,106878,55.5,878, 66905, 62.60,1.76
ORIENTCER, EQ, 01-Jan-2025,51.83,51.5,52.69,51.0,51.69,51.19,51.59,47631,24.57,1139, 22425, 47.08,-1.23
ORIENTCER, EQ, 01-Feb-2024,56.7,57.9,57.95,55.0, 56.40,56.2,56.54,287130,162.34,2067, 177231, 61.73,-0.88
ORIENTCER, EQ, 01-Mar-2024,64.15,66.0,66.5,64.0, 64.45,64.3,65.41,237111,155.1,1495, 140359, 59.20,0.23
ORIENTCER, EQ, 01-Apr-2024,47.5,48.0,49.85,48.0, 49.85,49.85,49.49,40659,20.12,524, 30141, 74.13,4.95
ORIENTCER, EQ, 01-Apr-2025,30.42,31.03,32.7,30.42,32.59,32.11,31.62,52743,16.68,912, 31815, 60.32,5.56
ORIENTCER, EQ, 01-Jul-2024,49.49,49.4,52.73,49.01,51.5,52.0,51.45,116609,59.99,2861, 63731, 54.65,5.07
ORIENTCER, EQ, 01-Aug-2024,51.28,51.28,52.49,50.1,50.85,50.67,51.3,118150,60.61,2374, 65266, 55.24,-1.19
ORIENTCER, EQ, 01-Oct-2024,52.15,53.0,53.0,51.5,51.5,51.53,51.79,77948,40.37,904, 47442, 60.86,-1.19
ORIENTCER, EQ, 01-Nov-2023,42.65,43.5,43.7,41.4, 42.20,41.85,42.71,99482,42.49,751, 58228, 58.53,-1.88
ORIENTCER, EQ, 01-Dec-2023,56.3,57.35,58.2,56.2, 56.70,56.6,57.14,113927,65.1,1668, 60583, 53.18,0.53
ORIENTCER, EQ, 02-Jan-2024,51.95,51.95,54.5,51.7, 54.50,54.5,53.94,433947,234.06,1327, 260684, 60.07,4.91
ORIENTCER, EQ, 02-Jan-2025,51.19,51.76,52.29,50.5,51.0,50.7,50.95,63946,32.58,1149, 31268, 48.90,-0.96
ORIENTCER, EQ, 02-Feb-2024,56.2,56.5,58.3,55.35, 55.50,55.6,56.65,236721,134.1,1476, 134928, 57.00,-1.07
ORIENTCER, EQ, 02-Apr-2024,49.85,51.7,51.95,50.4, 51.85,51.7,51.26,67121,34.41,976, 41874, 62.39,3.71
ORIENTCER, EQ, 02-Apr-2025,32.11,32.4,32.57,31.61,32.2,32.28,32.11,48929,15.71,674, 28518, 58.28,0.53
ORIENTCER, EQ, 02-May-2024,49.55,49.55,50.3,49.2, 49.65,49.75,49.73,75726,37.66,684, 51621, 68.17,0.4
ORIENTCER, EQ, 02-Jul-2024,52.0,52.0,52.24,50.81,51.45,51.03,51.38,48828,25.09,1370, 28855, 59.10,-1.87
ORIENTCER, EQ, 02-Aug-2024,50.67,50.95,51.29,47.9,49.6,49.55,49.54,228943,113.41,5653, 107687, 47.04,-2.21
ORIENTCER, EQ, 02-Sep-2024,55.03,55.79,55.79,53.75,54.41,54.31,54.37,82835,45.04,2274, 44824, 54.11,-1.31
ORIENTCER, EQ, 02-Nov-2023,41.85,43.0,43.5,42.05, 42.80,42.6,42.77,114649,49.04,1307, 28341, 24.72,1.79
ORIENTCER, EQ, 02-Dec-2024,43.78,44.03,45.49,44.03,44.78,44.66,44.53,42912,19.11,798, 26004, 60.60,2.01
ORIENTCER, EQ, 03-Jan-2024,54.5,55.55,56.25,54.0, 54.00,54.15,54.79,206219,113.0,1421, 133699, 64.83,-0.64
ORIENTCER, EQ, 03-Jan-2025,50.7,50.8,52.24,49.82,50.47,50.32,50.72,112674,57.15,2292, 56261, 49.93,-0.75
ORIENTCER, EQ, 03-Feb-2025,46.14,46.57,46.57,45.32,45.41,45.46,45.68,35295,16.12,915, 15492, 43.89,-1.47
ORIENTCER, EQ, 03-Mar-2025,33.68,34.0,34.0,30.41,31.35,31.63,31.87,92843,29.59,1797, 41465, 44.66,-6.09
ORIENTCER, EQ, 03-Apr-2024,51.7,51.55,53.1,51.0, 52.35,52.15,52.26,93601,48.91,663, 51679, 55.21,0.87
ORIENTCER, EQ, 03-Apr-2025,32.28,32.34,34.2,32.34,33.03,33.13,33.13,68661,22.74,617, 36716, 53.47,2.63
ORIENTCER, EQ, 03-May-2024,49.75,49.75,50.35,48.0, 48.90,48.25,48.92,91343,44.69,884, 62827, 68.78,-3.02
ORIENTCER, EQ, 03-Jun-2024,43.95,43.95,45.7,43.35,43.35,44.1,44.44,69798,31.02,959, 42873, 61.42,0.34
ORIENTCER, EQ, 03-Jul-2024,51.03,51.8,52.44,50.0,50.98,50.67,51.05,94902,48.45,3716, 48273, 50.87,-0.71
ORIENTCER, EQ, 03-Sep-2024,54.31,53.8,55.26,53.0,54.18,53.93,54.04,179837,97.19,3464, 73453, 40.84,-0.7
ORIENTCER, EQ, 03-Oct-2024,51.53,51.5,51.75,50.0,50.2,50.1,50.87,87094,44.31,1338, 49799, 57.18,-2.78
ORIENTCER, EQ, 03-Nov-2023,42.6,43.25,44.5,42.9, 43.75,44.1,43.81,123681,54.18,889, 74650, 60.36,3.52
ORIENTCER, EQ, 03-Dec-2024,44.66,45.84,45.84,44.03,44.98,44.99,44.92,50566,22.72,1012, 30146, 59.62,0.74
ORIENTCER, EQ, 04-Jan-2024,54.15,54.75,55.35,53.15, 53.35,53.85,54.31,98086,53.27,1096, 59819, 60.99,-0.55
ORIENTCER, EQ, 04-Feb-2025,45.46,45.41,46.4,44.99,45.5,45.59,45.86,24174,11.09,670, 5627, 23.28,0.29
ORIENTCER, EQ, 04-Mar-2024,64.15,64.8,65.35,59.2, 60.00,60.0,61.66,475741,293.37,3097, 248999, 52.34,-6.47
ORIENTCER, EQ, 04-Mar-2025,31.63,30.3,35.65,30.12,32.75,33.35,32.08,50334,16.15,1189, 24644, 48.96,5.44
ORIENTCER, EQ, 04-Apr-2024,52.15,52.15,54.55,52.15, 53.40,53.2,53.27,76096,40.54,878, 46480, 61.08,2.01
ORIENTCER, EQ, 04-Apr-2025,33.13,33.2,33.27,31.5,31.9,31.77,32.3,57367,18.53,879, 31753, 55.35,-4.11
ORIENTCER, EQ, 04-Jun-2024,44.1,43.9,43.9,41.9,41.9,42.05,42.5,69352,29.47,772, 47896, 69.06,-4.65
ORIENTCER, EQ, 04-Jul-2024,50.67,50.67,55.9,50.61,55.8,54.96,53.46,1294137,691.78,9335, 858622, 66.35,8.47
ORIENTCER, EQ, 04-Sep-2024,53.93,53.9,57.75,53.03,57.5,56.87,54.99,1164466,640.38,18957, 747885, 64.23,5.45
ORIENTCER, EQ, 04-Oct-2024,50.1,51.49,54.8,49.85,51.5,51.09,52.21,381534,199.2,3379, 72500, 19.00,1.98
ORIENTCER, EQ, 04-Nov-2024,47.22,48.0,48.0,46.01,46.23,46.4,46.38,28224,13.09,1402, 12365, 43.81,-1.74
ORIENTCER, EQ, 04-Dec-2023,56.6,59.4,59.4,56.7, 57.00,57.45,57.8,95051,54.94,995, 54989, 57.85,1.5
