SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
PANAMAPET, EQ, 01-Jan-2020,67.35,69.7,69.7,65.3, 67.00,66.85,66.66,13857,9.24,407, 8860, 63.94,-0.74
PANAMAPET, EQ, 01-Jan-2021,98.15,101.05,102.45,98.4, 100.50,100.25,100.58,92114,92.65,1233, 53909, 58.52,2.14
PANAMAPET, EQ, 01-Jan-2024,331.9,332.9,341.95,332.85, 337.00,338.45,338.04,142051,480.19,8151, 78047, 54.94,1.97
PANAMAPET, EQ, 01-Jan-2025,366.05,367.9,374.75,360.2,367.0,369.6,370.03,17046,63.08,1044, 8029, 47.10,0.97
PANAMAPET, EQ, 01-Feb-2021,101.15,101.9,104.05,101.15, 103.60,102.95,103.05,189626,195.4,1959, 116540, 61.46,1.78
PANAMAPET, EQ, 01-Feb-2022,296.5,298.0,305.9,289.05,304.0,303.2,298.18,189016,563.61,6801, 81808, 43.28,2.26
PANAMAPET, EQ, 01-Feb-2023,322.9,324.55,333.05,314.0, 320.00,317.75,321.2,97830,314.23,4696, 40484, 41.38,-1.59
PANAMAPET, EQ, 01-Feb-2024,359.2,364.6,370.95,356.85, 363.00,361.85,363.42,680929,2474.62,26023, 263868, 38.75,0.74
PANAMAPET, EQ, 01-Mar-2021,168.95,167.85,189.4,167.6, 177.90,175.85,179.85,360967,649.2,6140, 121195, 33.58,4.08
PANAMAPET, EQ, 01-Mar-2023,297.3,297.35,308.7,296.55, 306.95,307.0,303.59,33570,101.92,2021, 17814, 53.07,3.26
PANAMAPET, EQ, 01-Mar-2024,344.4,344.95,355.7,344.95, 353.50,352.45,351.82,198469,698.25,12953, 96564, 48.65,2.34
PANAMAPET, EQ, 01-Apr-2020,28.25,26.85,28.8,26.8,28.1,27.95,27.88,19125,5.33,205, 15621, 81.68,-1.06
PANAMAPET, EQ, 01-Apr-2021,145.05,145.1,170.0,145.1, 165.10,166.15,163.15,335363,547.15,4825, 144705, 43.15,14.55
PANAMAPET, EQ, 01-Apr-2022,265.2,265.0,280.0,265.0, 275.20,277.5,275.89,113633,313.5,4226, 52517, 46.22,4.64
PANAMAPET, EQ, 01-Apr-2024,332.5,334.15,343.7,333.0, 336.95,334.95,337.76,120521,407.07,9486, 52799, 43.81,0.74
PANAMAPET, EQ, 01-Apr-2025,380.65,380.0,386.2,380.0,380.0,380.65,381.86,14923,56.99,1571, 7659, 51.32,0.0
PANAMAPET, EQ, 01-Jun-2020,33.95,35.4,35.6,34.2, 35.60,35.6,35.29,8318,2.94,99, 7385, 88.78,4.86
PANAMAPET, EQ, 01-Jun-2021,220.2,229.9,229.9,206.05, 211.00,211.6,216.76,609734,1321.67,16229, 329182, 53.99,-3.91
PANAMAPET, EQ, 01-Jun-2022,288.9,287.2,294.95,280.55,285.0,283.7,286.94,96254,276.19,4740, 34469, 35.81,-1.8
PANAMAPET, EQ, 01-Jun-2023,278.9,279.95,284.25,279.2, 282.00,279.95,281.62,60881,171.45,2402, 33658, 55.28,0.38
PANAMAPET, EQ, 01-Jul-2020,42.15,41.9,42.75,40.5, 41.75,41.8,41.5,14508,6.02,191, 9209, 63.48,-0.83
PANAMAPET, EQ, 01-Jul-2021,236.5,241.0,242.4,236.0, 238.55,238.1,238.2,66617,158.68,3507, 34847, 52.31,0.68
PANAMAPET, EQ, 01-Jul-2022,263.5,261.1,263.9,253.3,261.0,260.05,258.73,62364,161.35,3850, 30154, 48.35,-1.31
PANAMAPET, EQ, 01-Jul-2024,393.45,397.4,398.45,391.0,394.7,395.2,394.52,93427,368.58,6193, 53104, 56.84,0.44
PANAMAPET, EQ, 01-Aug-2022,279.3,281.7,298.4,278.25, 295.00,294.45,290.76,499412,1452.08,12806, 129909, 26.01,5.42
PANAMAPET, EQ, 01-Aug-2023,287.4,288.85,290.35,285.95, 288.45,287.55,287.81,93146,268.08,3002, 50326, 54.03,0.05
PANAMAPET, EQ, 01-Aug-2024,413.45,415.7,420.8,405.75,415.5,416.15,412.09,340075,1401.43,13807, 220089, 64.72,0.65
PANAMAPET, EQ, 01-Sep-2020,53.2,51.8,53.3,51.3, 52.35,52.15,52.1,60941,31.75,607, 51798, 85.00,-1.97
PANAMAPET, EQ, 01-Sep-2021,267.95,269.65,278.0,265.25,266.75,266.85,271.13,282186,765.1,11963, 77707, 27.54,-0.41
PANAMAPET, EQ, 01-Sep-2022,324.85,324.5,334.0,324.0,331.5,328.8,329.96,226352,746.87,6355, 99834, 44.11,1.22
PANAMAPET, EQ, 01-Sep-2023,325.95,326.9,329.1,322.2, 324.90,325.0,325.21,143458,466.54,5496, 76664, 53.44,-0.29
PANAMAPET, EQ, 01-Oct-2020,54.5,54.95,56.35,54.05, 56.00,55.85,55.08,35789,19.71,399, 21935, 61.29,2.48
PANAMAPET, EQ, 01-Oct-2021,266.25,266.0,270.0,262.2, 270.00,268.2,265.32,63380,168.16,2837, 34682, 54.72,0.73
PANAMAPET, EQ, 01-Oct-2024,387.15,389.05,409.85,388.9,396.0,397.65,401.03,111982,449.08,4013, 57160, 51.04,2.71
PANAMAPET, EQ, 01-Nov-2021,264.95,268.9,272.5,263.55, 268.00,269.1,268.88,78307,210.55,4846, 47517, 60.68,1.57
PANAMAPET, EQ, 01-Nov-2022,280.1,280.5,289.55,280.5,288.0,286.7,285.98,47036,134.51,2176, 20084, 42.70,2.36
PANAMAPET, EQ, 01-Nov-2023,323.05,323.7,326.05,312.35, 320.20,316.75,320.52,72023,230.85,3567, 39867, 55.35,-1.95
PANAMAPET, EQ, 01-Dec-2020,79.6,80.1,80.9,73.2,77.9,78.25,77.95,207273,161.57,1529, 148379, 71.59,-1.7
PANAMAPET, EQ, 01-Dec-2021,238.75,240.95,260.0,238.8,258.0,253.35,247.54,117253,290.25,4365, 60143, 51.29,6.12
PANAMAPET, EQ, 01-Dec-2022,390.45,393.85,397.0,378.15,382.6,382.65,388.9,260955,1014.84,9214, 96238, 36.88,-2.0
PANAMAPET, EQ, 01-Dec-2023,309.5,311.5,314.45,307.0, 308.80,308.35,309.72,151578,469.47,7593, 99903, 65.91,-0.37
PANAMAPET, EQ, 02-Jan-2020,66.85,66.15,67.0,64.55, 64.75,65.55,66.04,18128,11.97,303, 14445, 79.68,-1.94
PANAMAPET, EQ, 02-Jan-2023,346.3,346.55,351.0,344.45, 349.20,348.7,348.23,47012,163.71,2438, 16557, 35.22,0.69
PANAMAPET, EQ, 02-Jan-2024,338.45,339.0,342.3,331.6, 338.40,335.8,336.69,165224,556.29,8378, 78612, 47.58,-0.78
PANAMAPET, EQ, 02-Jan-2025,369.6,369.6,373.55,367.75,370.0,370.35,371.39,13738,51.02,917, 6821, 49.65,0.2
PANAMAPET, EQ, 02-Feb-2021,102.95,104.9,116.4,103.5, 115.00,114.7,111.1,1208472,1342.65,11827, 512214, 42.39,11.41
PANAMAPET, EQ, 02-Feb-2022,303.2,306.9,306.9,295.0, 301.70,301.15,300.81,92108,277.07,3429, 43337, 47.05,-0.68
PANAMAPET, EQ, 02-Feb-2023,317.75,319.35,329.85,318.05, 329.85,328.6,324.14,57280,185.67,3178, 28170, 49.18,3.41
PANAMAPET, EQ, 02-Feb-2024,361.85,363.8,369.3,331.0, 333.65,333.7,346.5,1237123,4286.58,46155, 438467, 35.44,-7.78
PANAMAPET, EQ, 02-Mar-2020,56.15,54.55,57.4,54.55, 55.80,55.8,55.87,7905,4.42,127, 6620, 83.74,-0.62
PANAMAPET, EQ, 02-Mar-2021,175.85,179.2,181.75,175.0,177.0,177.4,177.8,118376,210.48,3311, 65690, 55.49,0.88
PANAMAPET, EQ, 02-Mar-2022,228.05,225.0,239.0,224.15, 226.90,227.0,229.56,93139,213.81,4213, 43773, 47.00,-0.46
PANAMAPET, EQ, 02-Mar-2023,307.0,308.3,322.8,305.5, 320.00,320.45,316.2,149961,474.18,5047, 66548, 44.38,4.38
PANAMAPET, EQ, 02-Apr-2024,334.95,336.65,354.95,336.65, 353.50,353.55,348.17,172998,602.32,9770, 84199, 48.67,5.55
PANAMAPET, EQ, 02-Apr-2025,380.65,382.8,387.1,379.95,381.0,383.4,383.48,27378,104.99,2875, 13781, 50.34,0.72
PANAMAPET, EQ, 02-May-2022,351.65,353.0,358.0,338.0,341.0,340.7,345.66,398028,1375.81,13986, 137969, 34.66,-3.11
PANAMAPET, EQ, 02-May-2023,294.05,296.05,303.2,296.05, 300.65,301.05,300.81,47726,143.57,1881, 30742, 64.41,2.38
PANAMAPET, EQ, 02-May-2024,335.1,336.4,342.8,329.65, 332.95,334.25,336.79,107432,361.82,5527, 66738, 62.12,-0.25
PANAMAPET, EQ, 02-Jun-2020,35.6,37.2,37.35,35.45,37.35,37.2,36.82,27780,10.23,224, 22069, 79.44,4.49
PANAMAPET, EQ, 02-Jun-2021,211.6,214.5,217.0,207.55, 212.15,212.65,213.2,222629,474.65,7393, 116739, 52.44,0.5
PANAMAPET, EQ, 02-Jun-2022,283.7,284.0,293.0,281.0,291.0,291.2,289.55,88867,257.32,4493, 41467, 46.66,2.64
PANAMAPET, EQ, 02-Jun-2023,279.95,281.5,286.65,281.0, 281.90,281.55,282.97,84257,238.42,2851, 44809, 53.18,0.57
PANAMAPET, EQ, 02-Jul-2020,41.8,41.75,43.0,41.2, 41.65,41.9,41.7,7479,3.12,119, 6444, 86.16,0.24
PANAMAPET, EQ, 02-Jul-2021,238.1,240.9,244.7,239.0,243.0,240.9,241.73,89187,215.59,3522, 34334, 38.50,1.18
PANAMAPET, EQ, 02-Jul-2024,395.2,398.0,410.85,394.05,403.55,404.35,402.61,174925,704.27,9787, 90561, 51.77,2.32
PANAMAPET, EQ, 02-Aug-2021,269.35,271.45,283.95,271.1,277.9,278.6,279.24,805482,2249.21,13000, 396546, 49.23,3.43
PANAMAPET, EQ, 02-Aug-2022,294.45,296.9,309.0,279.65,307.0,306.85,304.19,513531,1562.14,14863, 155168, 30.22,4.21
