SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
PARACABLES, EQ, 01-Jan-2020,8.45,8.6,8.6,8.15, 8.30,8.3,8.28,33360,2.76,91, 27129, 81.32,-1.78
PARACABLES, EQ, 01-Jan-2021,7.6,8.0,8.0,7.6, 7.70,7.7,7.78,147786,11.5,357, 88753, 60.06,1.32
PARACABLES, EQ, 01-Jan-2024,88.15,88.7,90.0,86.5, 87.00,87.5,88.3,509723,450.09,4590, 331972, 65.13,-0.74
PARACABLES, EQ, 01-Jan-2025,82.79,82.74,83.9,82.2,82.55,82.78,83.0,1502214,1246.84,6467, 687223, 45.75,-0.01
PARACABLES, EQ, 01-Feb-2021,8.6,8.75,8.9,8.35, 8.80,8.75,8.62,206926,17.83,578, 92303, 44.61,1.74
PARACABLES, EQ, 01-Feb-2024,105.55,106.0,108.1,101.5, 102.75,102.8,105.45,977941,1031.21,8772, 639886, 65.43,-2.61
PARACABLES, EQ, 01-Mar-2021,8.25,8.35,8.85,8.2, 8.70,8.65,8.47,403055,34.13,543, 338105, 83.89,4.85
PARACABLES, EQ, 01-Mar-2023,34.55,35.0,35.15,32.95, 34.85,34.7,33.79,918203,310.23,1861, 614918, 66.97,0.43
PARACABLES, EQ, 01-Mar-2024,84.7,85.75,87.55,81.3, 83.40,82.7,84.39,854100,720.76,5320, 508515, 59.54,-2.36
PARACABLES, EQ, 01-Apr-2020,6.65,6.85,6.9,6.4,6.7,6.65,6.59,33832,2.23,111, 17234, 50.94,0.0
PARACABLES, EQ, 01-Apr-2021,8.2,8.2,8.6,8.2, 8.45,8.5,8.49,123832,10.52,223, 94655, 76.44,3.66
PARACABLES, EQ, 01-Apr-2022,9.7,9.8,10.15,9.8, 10.05,10.0,10.06,536452,53.98,691, 422785, 78.81,3.09
PARACABLES, EQ, 01-Apr-2024,67.05,69.6,70.4,68.15, 70.40,70.4,69.76,333404,232.58,1337, 261777, 78.52,5.0
PARACABLES, EQ, 01-Apr-2025,49.4,49.35,51.46,49.05,51.16,51.24,50.63,1258921,637.39,8439, 537784, 42.72,3.72
PARACABLES, EQ, 01-Jun-2020,6.15,6.2,6.4,6.2, 6.30,6.25,6.29,31574,1.98,112, 22235, 70.42,1.63
PARACABLES, EQ, 01-Jun-2021,11.25,11.3,11.95,10.85, 11.25,11.2,11.41,524992,59.92,899, 232627, 44.31,-0.44
PARACABLES, EQ, 01-Jun-2022,11.6,11.8,12.35,11.6,12.0,11.9,11.91,163012,19.41,501, 101864, 62.49,2.59
PARACABLES, EQ, 01-Jun-2023,37.85,38.35,38.4,37.5, 37.95,37.9,37.99,245980,93.44,1012, 211263, 85.89,0.13
PARACABLES, EQ, 01-Jul-2020,7.7,7.75,8.25,7.5, 7.80,7.75,7.87,287355,22.61,665, 146235, 50.89,0.65
PARACABLES, EQ, 01-Jul-2021,16.2,16.4,17.7,15.6, 17.05,17.1,16.97,4768431,809.43,9419, 2194859, 46.03,5.56
PARACABLES, EQ, 01-Jul-2022,10.85,10.95,11.05,10.55,10.8,10.95,10.85,55672,6.04,236, 33924, 60.94,0.92
PARACABLES, EQ, 01-Aug-2022,10.85,10.85,11.2,10.85, 11.20,11.1,11.04,152579,16.85,312, 98424, 64.51,2.3
PARACABLES, EQ, 01-Aug-2023,39.7,41.65,41.65,41.65, 41.65,41.65,41.65,224060,93.32,351, 224060, 100.00,4.91
PARACABLES, EQ, 01-Aug-2024,81.62,82.0,82.6,77.53,78.99,78.92,79.86,1671448,1334.79,11910, 832661, 49.82,-3.31
PARACABLES, EQ, 01-Sep-2020,7.85,8.0,8.35,7.6, 7.90,7.9,7.88,176101,13.87,567, 123805, 70.30,0.64
PARACABLES, EQ, 01-Sep-2022,18.45,19.45,22.1,19.1,22.1,22.1,20.84,4275164,891.05,6772, 2725584, 63.75,19.78
PARACABLES, EQ, 01-Oct-2020,6.8,6.8,7.1,6.8, 6.90,6.9,6.95,63098,4.38,346, 35179, 55.75,1.47
PARACABLES, EQ, 01-Oct-2024,85.95,85.91,90.15,85.9,87.9,88.68,87.99,2756425,2425.3,11905, 1144866, 41.53,3.18
PARACABLES, EQ, 01-Nov-2021,11.45,11.3,11.85,11.3, 11.70,11.65,11.62,93733,10.9,468, 60214, 64.24,1.75
PARACABLES, EQ, 01-Dec-2020,6.65,6.7,6.9,6.65,6.8,6.75,6.75,153419,10.36,224, 111592, 72.74,1.5
PARACABLES, EQ, 01-Dec-2021,10.25,10.45,10.6,10.1,10.2,10.15,10.35,199316,20.62,681, 138332, 69.40,-0.98
PARACABLES, EQ, 01-Dec-2023,64.65,66.0,66.2,62.75, 63.25,63.05,64.41,616123,396.82,3510, 424134, 68.84,-2.47
PARACABLES, EQ, 02-Jan-2020,8.3,8.3,8.85,8.25, 8.65,8.65,8.44,122173,10.31,192, 89894, 73.58,4.22
PARACABLES, EQ, 02-Jan-2024,87.5,88.1,88.85,84.1, 84.85,85.15,86.1,802794,691.19,5535, 527462, 65.70,-2.69
PARACABLES, EQ, 02-Jan-2025,82.78,82.85,86.25,82.0,85.0,85.02,84.71,3391198,2872.79,14145, 1574523, 46.43,2.71
PARACABLES, EQ, 02-Feb-2021,8.75,8.75,9.2,8.6, 8.70,8.7,8.86,130962,11.6,443, 89732, 68.52,-0.57
PARACABLES, EQ, 02-Feb-2024,102.8,104.95,107.9,104.0, 106.40,106.1,106.76,1536100,1639.88,8689, 919404, 59.85,3.21
PARACABLES, EQ, 02-Mar-2020,6.1,6.2,6.25,6.0, 6.15,6.1,6.13,67270,4.12,118, 36946, 54.92,0.0
PARACABLES, EQ, 02-Mar-2021,8.65,8.95,9.15,8.7,8.75,8.7,8.9,523468,46.57,906, 352934, 67.42,0.58
PARACABLES, EQ, 02-Mar-2023,34.7,35.0,35.6,33.9, 35.25,35.3,35.02,413417,144.77,1560, 300204, 72.62,1.73
PARACABLES, EQ, 02-Apr-2024,70.4,73.9,73.9,71.35, 73.90,73.9,73.63,516118,380.02,1111, 379835, 73.59,4.97
PARACABLES, EQ, 02-Apr-2025,51.24,51.22,52.2,49.6,51.27,51.29,50.89,1159811,590.17,7691, 478926, 41.29,0.1
PARACABLES, EQ, 02-May-2022,12.45,12.25,13.5,12.25,13.0,13.1,12.85,319694,41.08,555, 269578, 84.32,5.22
PARACABLES, EQ, 02-May-2023,39.75,39.6,41.7,39.05, 41.00,40.9,40.84,1833662,748.89,4164, 1081344, 58.97,2.89
PARACABLES, EQ, 02-Jun-2020,6.25,6.35,6.7,6.2,6.6,6.55,6.42,37444,2.4,153, 31110, 83.08,4.8
PARACABLES, EQ, 02-Jun-2021,11.2,11.25,12.1,11.05, 11.70,11.65,11.68,743345,86.79,1347, 386518, 52.00,4.02
PARACABLES, EQ, 02-Jun-2022,11.9,11.7,12.1,11.7,12.0,11.95,11.93,164298,19.59,399, 120660, 73.44,0.42
PARACABLES, EQ, 02-Jun-2023,37.9,38.1,38.65,37.8, 37.95,38.15,38.32,219442,84.09,767, 172081, 78.42,0.66
