SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
PKTEA, EQ, 01-Apr-2024,326.35,333.0,333.0,322.55, 322.60,325.4,325.97,93,0.3,15, 73, 78.49,-0.29
PKTEA, EQ, 01-Apr-2025,737.95,738.0,811.7,737.9,811.7,811.7,786.15,3043,23.92,207, 2493, 81.93,9.99
PKTEA, EQ, 01-Oct-2024,503.95,510.0,554.3,510.0,539.1,541.8,547.5,52996,290.15,1814, 13570, 25.61,7.51
PKTEA, EQ, 02-Apr-2024,325.4,330.5,330.5,319.6, 321.65,322.1,323.53,1315,4.25,69, 1176, 89.43,-1.01
PKTEA, EQ, 02-Apr-2025,811.7,855.0,878.9,731.0,742.0,740.2,766.55,4527,34.7,522, 2425, 53.57,-8.81
PKTEA, EQ, 02-May-2024,320.75,335.2,335.35,305.3, 311.30,316.4,321.53,375,1.21,70, 276, 73.60,-1.36
PKTEA, EQ, 02-Dec-2024,541.55,535.55,562.95,532.05,562.4,557.8,549.21,811,4.45,79, 499, 61.53,3.0
PKTEA, EQ, 03-Apr-2024,322.1,324.25,337.85,318.05, 337.85,331.2,326.66,170,0.56,27, 109, 64.12,2.83
PKTEA, EQ, 03-Apr-2025,740.2,788.0,811.0,700.15,700.15,711.1,746.73,2075,15.49,254, 1252, 60.34,-3.93
PKTEA, EQ, 03-May-2024,316.4,316.4,322.75,306.15, 317.40,315.2,315.17,392,1.24,47, 323, 82.40,-0.38
PKTEA, EQ, 03-Jun-2024,305.0,311.6,312.15,293.05,300.0,300.55,305.99,1354,4.14,156, 1129, 83.38,-1.46
PKTEA, EQ, 03-Oct-2024,541.8,524.9,594.9,521.25,567.95,567.75,562.3,23384,131.49,1346, 9442, 40.38,4.79
PKTEA, EQ, 03-Dec-2024,557.8,564.35,565.0,557.0,560.6,560.65,559.82,1298,7.27,86, 994, 76.58,0.51
PKTEA, EQ, 04-Apr-2024,331.2,331.0,346.8,327.6, 338.20,338.3,330.79,408,1.35,33, 243, 59.56,2.14
PKTEA, EQ, 04-Apr-2025,711.1,711.2,727.5,679.05,700.0,698.1,703.74,904,6.36,110, 514, 56.86,-1.83
PKTEA, EQ, 04-Jun-2024,300.55,304.45,306.7,280.25,290.0,290.55,292.38,280,0.82,70, 172, 61.43,-3.33
PKTEA, EQ, 04-Oct-2024,567.75,543.0,570.0,530.0,570.0,553.6,547.44,5949,32.57,501, 3550, 59.67,-2.49
PKTEA, EQ, 04-Nov-2024,517.9,517.9,525.2,505.0,515.0,515.1,519.81,1159,6.02,132, 818, 70.58,-0.54
PKTEA, EQ, 04-Dec-2024,560.65,568.65,572.45,557.0,567.45,566.2,562.97,1125,6.33,137, 518, 46.04,0.99
PKTEA, EQ, 05-Apr-2024,338.3,340.8,340.8,330.0, 330.00,331.65,333.57,329,1.1,44, 201, 61.09,-1.97
PKTEA, EQ, 05-Jun-2024,290.55,286.0,298.9,284.7,293.25,296.25,289.1,70,0.2,22, 52, 74.29,1.96
PKTEA, EQ, 05-Nov-2024,515.1,491.2,540.85,491.2,540.85,540.85,535.12,6974,37.32,211, 4422, 63.41,5.0
PKTEA, EQ, 05-Dec-2024,566.2,568.3,584.95,557.05,571.0,566.35,569.53,1668,9.5,189, 1108, 66.43,0.03
PKTEA, EQ, 06-May-2024,315.2,315.1,333.4,315.05,332.0,331.15,323.25,623,2.01,41, 588, 94.38,5.06
PKTEA, EQ, 06-Jun-2024,296.25,299.5,310.0,294.05,302.0,305.55,299.83,467,1.4,84, 257, 55.03,3.14
PKTEA, EQ, 06-Nov-2024,540.85,567.85,567.85,567.85,567.85,567.85,567.85,4641,26.35,49, 4641, 100.00,4.99
PKTEA, EQ, 06-Dec-2024,566.35,573.0,594.0,561.0,585.55,583.4,577.7,4684,27.06,323, 2745, 58.60,3.01
PKTEA, EQ, 07-Apr-2025,698.1,690.0,690.0,640.4,651.45,650.3,660.99,248,1.64,50, 165, 66.53,-6.85
PKTEA, EQ, 07-May-2024,331.15,331.0,331.0,313.35,324.35,314.8,320.32,330,1.06,53, 238, 72.12,-4.94
PKTEA, EQ, 07-Jun-2024,305.55,302.05,336.0,302.05,302.65,309.3,314.25,573,1.8,115, 372, 64.92,1.23
PKTEA, EQ, 07-Oct-2024,553.6,565.0,575.95,498.25,498.3,498.85,520.0,7329,38.11,410, 4060, 55.40,-9.89
PKTEA, EQ, 07-Nov-2024,567.85,596.2,596.2,555.05,555.05,558.7,586.5,19806,116.16,572, 11681, 58.98,-1.61
PKTEA, EQ, 08-Apr-2024,331.65,332.6,332.6,327.45, 331.65,330.35,330.95,46,0.15,12, 31, 67.39,-0.39
PKTEA, EQ, 08-Apr-2025,650.3,655.55,678.75,652.3,653.2,654.65,666.54,411,2.74,109, 131, 31.87,0.67
PKTEA, EQ, 08-May-2024,314.8,317.6,346.25,316.2,341.0,339.95,337.09,3293,11.1,156, 2390, 72.58,7.99
PKTEA, EQ, 08-Oct-2024,498.85,488.95,548.7,488.95,539.9,539.9,533.54,3472,18.52,179, 1958, 56.39,8.23
PKTEA, EQ, 08-Nov-2024,558.7,573.0,573.0,545.0, 547.00,546.35,550.16,5607,30.85,368, 4465, 79.63,-2.21
PKTEA, EQ, 09-Apr-2024,330.35,325.05,325.05,312.0, 312.00,316.1,318.32,524,1.67,72, 347, 66.22,-4.31
PKTEA, EQ, 09-Apr-2025,654.65,656.4,678.4,656.0,656.0,663.8,658.71,119,0.78,24, 59, 49.58,1.4
PKTEA, EQ, 09-May-2024,339.95,337.2,355.5,325.0,325.0,325.95,342.82,902,3.09,83, 577, 63.97,-4.12
PKTEA, EQ, 09-Oct-2024,539.9,585.0,585.0,507.05,524.8,521.2,540.69,3829,20.7,387, 2314, 60.43,-3.46
PKTEA, EQ, 09-Dec-2024,583.4,585.0,641.7,570.05,641.7,641.7,623.15,14118,87.98,904, 7201, 51.01,9.99
PKTEA, EQ, 10-Apr-2024,316.1,317.3,320.65,308.7, 314.85,312.65,312.25,302,0.94,53, 227, 75.17,-1.09
PKTEA, EQ, 10-May-2024,325.95,308.55,333.65,308.55,316.2,328.0,317.72,349,1.11,52, 180, 51.58,0.63
PKTEA, EQ, 10-Jun-2024,309.3,308.4,324.0,308.4,323.65,315.75,317.51,245,0.78,50, 189, 77.14,2.09
PKTEA, EQ, 10-Oct-2024,521.2,540.95,542.2,490.0,509.95,507.65,519.69,2857,14.85,280, 1166, 40.81,-2.6
PKTEA, EQ, 10-Dec-2024,641.7,689.95,704.5,614.7,699.8,686.35,668.4,20083,134.23,1490, 9504, 47.32,6.96
PKTEA, EQ, 11-Mar-2024,376.05,387.0,393.85,369.95, 373.05,383.8,385.91,1177,4.54,52, 1014, 86.15,2.06
PKTEA, EQ, 11-Apr-2025,663.8,677.1,708.0,677.1,684.05,691.3,692.31,156,1.08,32, 73, 46.79,4.14
PKTEA, EQ, 11-Jun-2024,315.75,312.65,319.85,301.1,319.8,319.6,310.11,185,0.57,48, 114, 61.62,1.22
PKTEA, EQ, 11-Oct-2024,507.65,497.45,515.95,497.15,502.1,502.0,507.98,1730,8.79,115, 1270, 73.41,-1.11
PKTEA, EQ, 11-Nov-2024,546.35,520.55,557.95,520.55, 535.00,535.25,539.9,3455,18.65,138, 2762, 79.94,-2.03
PKTEA, EQ, 11-Dec-2024,686.35,715.0,748.95,690.0,719.0,713.35,727.55,64402,468.56,2959, 11365, 17.65,3.93
PKTEA, EQ, 12-Mar-2024,383.8,373.05,373.05,365.6, 368.25,367.6,369.04,930,3.43,28, 865, 93.01,-4.22
PKTEA, EQ, 12-Apr-2024,312.65,318.45,318.45,310.05, 312.20,312.0,313.61,160,0.5,41, 124, 77.50,-0.21
PKTEA, EQ, 12-Jun-2024,319.6,314.7,326.0,306.6,322.0,318.15,315.59,584,1.84,84, 411, 70.38,-0.45
PKTEA, EQ, 12-Nov-2024,535.25,562.0,562.0,530.0,530.0,531.0,543.88,2402,13.06,189, 1716, 71.44,-0.79
PKTEA, EQ, 12-Dec-2024,713.35,715.0,749.0,701.1,704.0,705.1,715.46,5796,41.47,438, 2808, 48.45,-1.16
PKTEA, EQ, 13-Mar-2024,367.6,362.1,362.1,349.25, 349.25,349.25,351.17,360,1.26,32, 306, 85.00,-4.99
PKTEA, EQ, 13-May-2024,328.0,326.2,326.2,300.65,307.5,307.5,310.3,565,1.75,46, 445, 78.76,-6.25
PKTEA, EQ, 13-Jun-2024,318.15,318.2,336.6,308.9,324.0,323.6,323.11,999,3.23,103, 741, 74.17,1.71
PKTEA, EQ, 13-Nov-2024,531.0,557.5,557.5,525.0,548.0,538.9,534.39,1709,9.13,137, 1078, 63.08,1.49
PKTEA, EQ, 13-Dec-2024,705.1,719.95,724.85,681.1,705.65,715.85,705.88,3916,27.64,443, 2219, 56.66,1.52
PKTEA, EQ, 14-Mar-2024,349.25,332.25,344.9,331.8, 344.90,344.9,332.77,708,2.36,29, 644, 90.96,-1.25
PKTEA, EQ, 14-May-2024,307.5,316.2,338.25,312.4,319.3,319.4,330.89,2905,9.61,72, 721, 24.82,3.87
PKTEA, EQ, 14-Jun-2024,323.6,323.15,345.0,322.1,329.95,328.7,332.44,1251,4.16,189, 795, 63.55,1.58
PKTEA, EQ, 14-Oct-2024,502.0,504.8,510.0,480.0,480.0,488.2,495.3,1091,5.4,100, 886, 81.21,-2.75
PKTEA, EQ, 14-Nov-2024,538.9,543.65,543.65,525.0, 525.10,527.2,528.78,1763,9.32,78, 1510, 85.65,-2.17
PKTEA, EQ, 15-Mar-2024,344.9,344.0,344.0,343.95, 343.95,343.95,343.96,6,0.02,2, 6, 100.00,-0.28
PKTEA, EQ, 15-Apr-2024,312.0,312.1,315.05,310.15, 310.15,310.15,313.07,323,1.01,39, 301, 93.19,-0.59
PKTEA, EQ, 15-Apr-2025,691.3,682.4,730.0,682.4,709.85,715.4,706.18,247,1.74,63, 89, 36.03,3.49
PKTEA, EQ, 15-May-2024,319.4,338.9,338.9,305.3,310.0,312.1,320.18,1112,3.56,115, 721, 64.84,-2.29
PKTEA, EQ, 15-Oct-2024,488.2,489.2,500.0,471.0,471.0,471.85,481.69,2121,10.22,142, 1538, 72.51,-3.35
PKTEA, EQ, 16-Apr-2024,310.15,280.4,327.65,280.4, 313.70,313.85,317.91,233,0.74,38, 191, 81.97,1.19
PKTEA, EQ, 16-Apr-2025,715.4,718.5,730.95,701.4,729.95,729.75,725.16,376,2.73,46, 251, 66.76,2.01
PKTEA, EQ, 16-May-2024,312.1,313.55,319.45,309.8,311.1,311.1,312.26,481,1.5,43, 393, 81.70,-0.32
PKTEA, EQ, 16-Oct-2024,471.85,462.55,494.95,462.55,475.2,480.8,483.99,1107,5.36,115, 729, 65.85,1.9
PKTEA, EQ, 17-Mar-2025,650.0,707.0,715.0,665.0,665.0,668.45,704.73,1026,7.23,125, 282, 27.49,2.84
PKTEA, EQ, 17-Apr-2025,729.75,740.0,810.6,655.0,770.0,768.85,753.55,4844,36.5,405, 1048, 21.64,5.36
PKTEA, EQ, 17-May-2024,311.1,312.55,326.75,312.5,326.75,316.85,319.39,384,1.23,37, 304, 79.17,1.85
PKTEA, EQ, 17-Oct-2024,480.8,499.7,499.7,473.05,480.0,478.85,486.42,913,4.44,109, 474, 51.92,-0.41
PKTEA, EQ, 18-Mar-2024,343.95,339.3,354.05,329.0, 331.00,333.75,339.52,558,1.89,51, 508, 91.04,-2.97
PKTEA, EQ, 18-Mar-2025,668.45,652.05,708.0,652.05,661.0,660.85,674.43,492,3.32,47, 451, 91.67,-1.14
PKTEA, EQ, 18-Apr-2024,313.85,305.15,311.9,300.3, 303.00,303.0,304.08,516,1.57,75, 441, 85.47,-3.46
PKTEA, EQ, 18-Jun-2024,328.7,332.55,340.0,324.05,332.9,329.7,332.17,374,1.24,94, 197, 52.67,0.3
PKTEA, EQ, 18-Oct-2024,478.85,457.0,478.75,433.0,440.55,446.8,452.0,1429,6.46,96, 1133, 79.29,-6.69
PKTEA, EQ, 18-Nov-2024,527.2,553.55,553.55,520.0,520.15,524.0,530.03,3534,18.73,164, 1989, 56.28,-0.61
PKTEA, EQ, 19-Mar-2024,333.75,329.65,335.4,321.0, 328.00,329.25,325.31,799,2.6,50, 731, 91.49,-1.35
PKTEA, EQ, 19-Mar-2025,660.85,665.0,676.9,660.0,670.0,670.0,664.47,329,2.19,23, 277, 84.19,1.38
PKTEA, EQ, 19-Apr-2024,303.0,314.35,328.8,308.05, 328.80,325.55,322.84,159,0.51,36, 115, 72.33,7.44
PKTEA, EQ, 19-Jun-2024,329.7,334.7,336.0,325.0,335.0,334.6,332.12,979,3.25,110, 750, 76.61,1.49
PKTEA, EQ, 19-Nov-2024,524.0,535.0,550.2,532.0,537.0,536.95,540.93,599,3.24,63, 431, 71.95,2.47
PKTEA, EQ, 20-Mar-2024,329.25,330.0,343.4,330.0, 335.00,339.0,338.58,1597,5.41,18, 1596, 99.94,2.96
PKTEA, EQ, 20-Mar-2025,670.0,660.45,716.6,660.4,715.0,710.25,688.3,194,1.34,23, 112, 57.73,6.01
PKTEA, EQ, 18-May-2024,316.85,326.75,326.75,326.75,326.75,326.75,326.75,1,0.0,1, 1, 100.00,3.12
