SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
POLICYBZR, EQ, 01-Jan-2024,794.65,794.65,802.7,786.0, 801.00,800.9,796.93,694439,5534.19,17870, 408815, 58.87,0.79
POLICYBZR, EQ, 01-Jan-2025,2108.85,2103.0,2134.7,2090.6,2117.0,2119.2,2114.96,728019,15397.33,42519, 434689, 59.71,0.49
POLICYBZR, EQ, 01-Feb-2022,795.05,807.0,874.0,802.4,863.0,862.4,852.12,2150489,18324.72,89415, 552749, 25.70,8.47
POLICYBZR, EQ, 01-Feb-2023,428.55,427.95,432.0,390.7, 400.10,402.45,407.09,2364947,9627.54,46201, 1313037, 55.52,-6.09
POLICYBZR, EQ, 01-Feb-2024,1002.4,1030.0,1048.0,983.3, 991.90,997.8,1005.28,2887518,29027.56,103626, 1529586, 52.97,-0.46
POLICYBZR, EQ, 01-Mar-2023,558.25,562.25,583.0,560.2, 571.90,574.7,574.2,2176463,12497.26,61482, 495461, 22.76,2.95
POLICYBZR, EQ, 01-Mar-2024,1167.4,1150.0,1160.9,1103.05, 1108.80,1119.75,1128.05,1993885,22491.98,61011, 1265531, 63.47,-4.08
POLICYBZR, EQ, 01-Apr-2022,694.3,693.0,734.45,693.0, 730.00,728.25,722.57,287005,2073.82,12826, 94315, 32.86,4.89
POLICYBZR, EQ, 01-Apr-2024,1124.25,1124.25,1183.0,1108.05, 1169.10,1172.2,1148.57,1308850,15033.12,52972, 782953, 59.82,4.27
POLICYBZR, EQ, 01-Apr-2025,1589.75,1586.0,1601.35,1505.35,1515.05,1514.6,1538.67,1063741,16367.48,77940, 507236, 47.68,-4.73
POLICYBZR, EQ, 01-Jun-2022,663.65,664.6,672.1,650.25,661.0,658.65,659.91,395519,2610.06,34309, 127432, 32.22,-0.75
