SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
PONNIERODE, EQ, 01-Jan-2020,164.35,164.05,176.9,164.05, 170.10,171.95,172.68,30845,53.26,1093, 13916, 45.12,4.62
PONNIERODE, EQ, 01-Jan-2021,162.2,162.2,164.0,162.2, 164.00,163.85,163.32,2992,4.89,74, 2692, 89.97,1.02
PONNIERODE, EQ, 01-Jan-2024,409.0,411.1,413.8,405.0, 410.00,408.85,409.68,15098,61.85,1116, 6415, 42.49,-0.04
PONNIERODE, EQ, 01-Jan-2025,405.8,405.0,408.95,404.7,406.75,407.1,407.74,11260,45.91,584, 6480, 57.55,0.32
PONNIERODE, EQ, 01-Feb-2021,156.35,158.0,158.0,155.15, 158.00,157.15,156.4,889,1.39,63, 595, 66.93,0.51
PONNIERODE, EQ, 01-Feb-2022,257.9,262.9,262.9,247.5,248.5,248.85,253.51,29167,73.94,1247, 19401, 66.52,-3.51
PONNIERODE, EQ, 01-Feb-2023,457.25,462.9,467.95,427.0, 429.75,430.75,447.9,79850,357.65,3672, 36588, 45.82,-5.8
PONNIERODE, EQ, 01-Feb-2024,422.35,425.0,439.8,424.6, 434.80,435.15,433.07,96967,419.93,5558, 50313, 51.89,3.03
PONNIERODE, EQ, 01-Mar-2021,143.5,143.45,148.5,141.8, 147.90,147.4,145.16,8306,12.06,180, 5354, 64.46,2.72
PONNIERODE, EQ, 01-Mar-2023,432.95,427.1,441.95,427.1, 435.00,434.15,435.13,26527,115.43,1056, 12177, 45.90,0.28
PONNIERODE, EQ, 01-Mar-2024,412.7,416.35,422.35,411.15, 413.00,413.25,416.5,27837,115.94,2016, 14202, 51.02,0.13
PONNIERODE, EQ, 01-Apr-2020,138.2,143.0,143.55,130.0,139.0,136.05,138.98,3500,4.86,144, 1627, 46.49,-1.56
PONNIERODE, EQ, 01-Apr-2021,147.7,149.55,150.0,148.3, 150.00,149.95,149.36,2601,3.88,51, 2488, 95.66,1.52
PONNIERODE, EQ, 01-Apr-2022,230.15,235.0,243.4,234.9, 243.40,238.9,238.31,18857,44.94,542, 15307, 81.17,3.8
PONNIERODE, EQ, 01-Apr-2024,402.05,404.85,416.9,403.4, 412.10,413.55,412.86,22968,94.83,989, 12194, 53.09,2.86
PONNIERODE, EQ, 01-Apr-2025,303.65,302.0,315.9,301.0,307.35,308.15,309.9,25247,78.24,1582, 11777, 46.65,1.48
PONNIERODE, EQ, 01-Jun-2020,139.75,147.9,149.5,140.0, 140.30,141.4,144.47,31735,45.85,830, 15661, 49.35,1.18
PONNIERODE, EQ, 01-Jun-2021,203.95,209.5,209.5,194.3, 201.25,201.1,200.58,39072,78.37,954, 17370, 44.46,-1.4
PONNIERODE, EQ, 01-Jun-2022,243.2,245.0,253.95,240.6,251.0,250.75,247.22,24376,60.26,1112, 11839, 48.57,3.1
PONNIERODE, EQ, 01-Jun-2023,387.8,389.9,398.8,388.0, 389.00,389.75,392.26,36891,144.71,1308, 17909, 48.55,0.5
PONNIERODE, EQ, 01-Jul-2020,150.55,150.0,159.0,147.0, 149.80,148.8,151.68,6503,9.86,710, 2384, 36.66,-1.16
PONNIERODE, EQ, 01-Jul-2021,346.1,342.0,348.9,316.55, 334.50,335.4,336.55,121625,409.32,4442, 39777, 32.70,-3.09
PONNIERODE, EQ, 01-Jul-2022,245.9,244.9,248.85,241.0,244.0,243.0,243.76,11410,27.81,348, 7332, 64.26,-1.18
PONNIERODE, EQ, 01-Jul-2024,478.45,479.35,487.2,476.1,477.7,478.75,481.64,36361,175.13,2903, 17287, 47.54,0.06
PONNIERODE, EQ, 01-Aug-2022,239.4,241.9,242.3,237.65, 239.20,239.35,239.86,7770,18.64,274, 5389, 69.36,-0.02
PONNIERODE, EQ, 01-Aug-2023,398.05,400.8,402.0,394.05, 401.90,397.0,396.89,34598,137.31,2106, 19586, 56.61,-0.26
PONNIERODE, EQ, 01-Aug-2024,555.55,559.0,559.05,532.55,543.0,542.6,544.01,53250,289.69,4126, 29151, 54.74,-2.33
PONNIERODE, EQ, 01-Sep-2020,161.25,164.95,164.95,150.0, 161.00,162.3,159.82,12194,19.49,920, 5382, 44.14,0.65
PONNIERODE, EQ, 01-Sep-2022,254.2,257.7,259.95,253.65,257.75,256.15,256.95,8015,20.59,345, 4350, 54.27,0.77
PONNIERODE, EQ, 01-Sep-2023,397.35,400.3,404.95,397.1, 399.75,398.8,400.13,46372,185.55,2927, 21780, 46.97,0.36
PONNIERODE, EQ, 01-Oct-2020,152.55,157.0,157.0,151.0, 154.75,152.75,152.13,3183,4.84,104, 1814, 56.99,0.13
PONNIERODE, EQ, 01-Oct-2024,499.25,494.25,513.4,494.25,503.0,505.7,508.27,67021,340.65,2489, 32132, 47.94,1.29
PONNIERODE, EQ, 01-Nov-2021,229.9,236.0,236.0,230.1, 232.00,232.15,231.86,4263,9.88,181, 2872, 67.37,0.98
PONNIERODE, EQ, 01-Nov-2022,291.2,304.4,305.8,279.95,294.0,293.15,293.9,344603,1012.8,12214, 116552, 33.82,0.67
PONNIERODE, EQ, 01-Nov-2023,413.6,415.2,423.95,412.0, 415.70,415.6,418.11,33291,139.19,2916, 12367, 37.15,0.48
PONNIERODE, EQ, 01-Dec-2020,159.1,157.8,165.0,157.8,163.2,163.25,161.63,8804,14.23,429, 4860, 55.20,2.61
PONNIERODE, EQ, 01-Dec-2021,217.0,223.95,223.95,217.1,220.0,219.4,219.75,4114,9.04,164, 3065, 74.50,1.11
PONNIERODE, EQ, 01-Dec-2022,308.3,311.9,318.0,309.65,311.5,311.6,313.09,29265,91.63,1861, 10537, 36.01,1.07
PONNIERODE, EQ, 01-Dec-2023,426.75,428.85,429.45,424.45, 426.00,425.75,426.55,47908,204.35,2315, 29485, 61.55,-0.23
PONNIERODE, EQ, 02-Jan-2020,171.95,177.0,177.0,171.0, 173.00,172.9,173.38,10544,18.28,384, 6860, 65.06,0.55
PONNIERODE, EQ, 02-Jan-2023,486.2,489.3,513.35,486.2, 507.20,506.15,503.43,585349,2946.84,17983, 103477, 17.68,4.1
PONNIERODE, EQ, 02-Jan-2024,408.85,413.0,413.0,403.0, 409.85,408.9,406.22,21754,88.37,1520, 10788, 49.59,0.01
PONNIERODE, EQ, 02-Jan-2025,407.1,409.45,414.15,407.0,411.95,411.05,410.28,7760,31.84,937, 3557, 45.84,0.97
PONNIERODE, EQ, 02-Feb-2021,157.15,159.0,159.0,148.55, 151.95,152.0,152.1,15225,23.16,367, 10861, 71.34,-3.28
PONNIERODE, EQ, 02-Feb-2022,248.85,254.25,260.65,254.25, 259.00,258.25,257.82,24723,63.74,744, 14724, 59.56,3.78
PONNIERODE, EQ, 02-Feb-2023,430.75,433.5,458.0,429.75, 444.00,440.7,442.24,71842,317.71,3008, 25873, 36.01,2.31
PONNIERODE, EQ, 02-Feb-2024,435.15,439.8,455.1,433.55, 441.75,440.75,445.29,163129,726.4,10124, 78632, 48.20,1.29
PONNIERODE, EQ, 02-Mar-2020,131.4,153.0,153.0,132.0, 132.00,136.1,136.27,2418,3.29,102, 2055, 84.99,3.58
PONNIERODE, EQ, 02-Mar-2021,147.4,148.75,158.7,145.1,155.5,153.6,153.15,20185,30.91,571, 15595, 77.26,4.21
PONNIERODE, EQ, 02-Mar-2022,226.95,219.0,229.5,219.0, 222.45,221.8,224.34,13068,29.32,591, 7155, 54.75,-2.27
