SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
PRABHAT, EQ, 01-Jan-2020,83.85,83.1,85.05,83.1, 84.10,84.85,84.74,43159,36.57,466, 34459, 79.84,1.19
PRABHAT, EQ, 01-Jan-2021,73.3,73.4,73.8,71.9, 72.05,72.2,72.65,41518,30.16,709, 31876, 76.78,-1.5
PRABHAT, EQ, 01-Feb-2021,70.85,70.85,73.15,70.85, 72.60,72.6,71.99,44444,32.0,631, 23445, 52.75,2.47
PRABHAT, EQ, 01-Mar-2021,75.25,75.25,79.0,74.7, 75.00,74.9,76.17,407282,310.22,2053, 325019, 79.80,-0.47
PRABHAT, EQ, 01-Apr-2020,55.1,54.4,54.9,52.2,54.5,54.3,54.04,9881,5.34,193, 6946, 70.30,-1.45
PRABHAT, EQ, 01-Apr-2021,95.8,96.5,98.5,95.8, 96.75,97.0,96.85,320075,309.98,1088, 227292, 71.01,1.25
PRABHAT, EQ, 01-Jun-2020,65.3,66.9,68.7,64.05, 65.90,65.8,66.41,66025,43.85,825, 16540, 25.05,0.77
PRABHAT, EQ, 01-Jul-2020,70.45,70.2,70.8,70.05, 70.50,70.5,70.32,14025,9.86,176, 10242, 73.03,0.07
PRABHAT, EQ, 01-Sep-2020,66.1,66.85,66.9,65.15, 66.35,66.3,66.46,4697,3.12,108, 3224, 68.64,0.3
PRABHAT, EQ, 01-Oct-2020,63.35,63.2,63.8,62.6, 62.60,62.65,63.01,8993,5.67,114, 7446, 82.80,-1.1
PRABHAT, EQ, 01-Dec-2020,68.4,68.4,72.0,67.85,69.0,69.3,70.39,118459,83.39,1335, 71476, 60.34,1.32
PRABHAT, EQ, 02-Jan-2020,84.85,81.0,85.25,81.0, 85.20,85.15,84.86,19454,16.51,189, 15628, 80.33,0.35
PRABHAT, EQ, 02-Feb-2021,72.6,72.75,72.75,71.75, 72.70,72.2,72.32,24573,17.77,428, 15684, 63.83,-0.55
PRABHAT, EQ, 02-Mar-2020,74.9,74.55,75.1,71.05, 72.00,72.25,72.93,49880,36.38,386, 32275, 64.71,-3.54
PRABHAT, EQ, 02-Mar-2021,74.9,74.6,82.4,74.6,82.4,79.9,79.09,753910,596.28,2681, 594334, 78.83,6.68
PRABHAT, EQ, 02-Jun-2020,65.8,66.45,68.65,65.1,67.9,67.85,67.45,36499,24.62,442, 13108, 35.91,3.12
PRABHAT, EQ, 02-Jul-2020,70.5,70.9,73.45,70.3, 70.40,70.6,71.45,28040,20.03,547, 10019, 35.73,0.14
PRABHAT, EQ, 02-Sep-2020,66.3,66.35,67.0,65.0, 65.95,65.4,65.91,12181,8.03,296, 5368, 44.07,-1.36
PRABHAT, EQ, 02-Nov-2020,51.95,51.1,51.45,50.05, 50.35,50.25,50.63,19331,9.79,272, 11733, 60.70,-3.27
PRABHAT, EQ, 02-Dec-2020,69.3,70.4,70.4,67.8, 68.90,68.35,68.41,31924,21.84,402, 24036, 75.29,-1.37
PRABHAT, EQ, 03-Jan-2020,85.15,83.3,87.0,83.15, 87.00,86.2,85.45,31127,26.6,234, 20636, 66.30,1.23
PRABHAT, EQ, 03-Feb-2020,85.45,83.3,85.35,83.3, 85.00,84.85,84.38,35797,30.21,155, 23666, 66.11,-0.7
PRABHAT, EQ, 03-Feb-2021,72.2,71.8,72.45,71.75, 72.40,72.3,72.08,16225,11.69,167, 13034, 80.33,0.14
PRABHAT, EQ, 03-Mar-2020,72.25,72.95,74.95,70.3, 70.75,70.9,71.02,23551,16.73,219, 17230, 73.16,-1.87
PRABHAT, EQ, 03-Mar-2021,79.9,82.25,83.7,78.55,79.0,79.25,81.77,453508,370.82,3005, 336045, 74.10,-0.81
PRABHAT, EQ, 03-Apr-2020,54.3,54.15,54.9,53.4, 54.90,54.25,54.18,16857,9.13,195, 14342, 85.08,-0.09
PRABHAT, EQ, 03-Jun-2020,67.85,67.85,72.4,66.1,68.95,68.35,68.46,93697,64.15,841, 60008, 64.04,0.74
PRABHAT, EQ, 03-Jul-2020,70.6,70.65,72.8,70.5, 71.10,71.3,71.41,14005,10.0,280, 8344, 59.58,0.99
PRABHAT, EQ, 03-Aug-2020,68.65,69.9,70.7,69.05,70.25,70.1,69.93,105135,73.52,529, 90499, 86.08,2.11
PRABHAT, EQ, 03-Sep-2020,65.4,65.4,65.75,65.0, 65.00,65.0,65.18,8886,5.79,216, 7956, 89.53,-0.61
PRABHAT, EQ, 03-Nov-2020,50.25,50.1,51.15,49.4,51.0,50.2,50.02,22619,11.31,256, 15124, 66.86,-0.1
