SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
PRADIP, EQ, 01-Apr-2020,0.35,0.4,0.4,0.4,0.4,0.4,0.4,15453,0.06,16, 15453, 100.00,14.29
PRADIP, EQ, 02-Mar-2020,0.4,0.35,0.4,0.35, 0.40,0.4,0.38,2842,0.01,5, 1422, 50.04,0.0
PRADIP, EQ, 03-Mar-2020,0.4,0.45,0.45,0.35, 0.45,0.45,0.45,1059,0.0,16, 1052, 99.34,12.5
PRADIP, EQ, 03-Apr-2020,0.4,0.45,0.45,0.45, 0.45,0.45,0.45,21528,0.1,19, 21518, 99.95,12.5
PRADIP, EQ, 04-Mar-2020,0.45,0.45,0.45,0.45, 0.45,0.45,0.45,10000,0.05,3, 10000, 100.00,0.0
PRADIP, EQ, 05-Mar-2020,0.45,0.4,0.45,0.4, 0.40,0.4,0.4,4515,0.02,6, 4322, 95.73,-11.11
PRADIP, EQ, 06-Mar-2020,0.4,0.35,0.35,0.35, 0.35,0.35,0.35,12371,0.04,9, 11611, 93.86,-12.5
PRADIP, EQ, 07-Apr-2020,0.45,0.5,0.5,0.5, 0.50,0.5,0.5,2535,0.01,4, 2535, 100.00,11.11
PRADIP, EQ, 08-Apr-2020,0.5,0.55,0.55,0.55, 0.55,0.55,0.55,9854,0.05,16, 9854, 100.00,10.0
PRADIP, EQ, 09-Mar-2020,0.35,0.3,0.35,0.3, 0.35,0.35,0.32,747,0.0,7, 747, 100.00,0.0
PRADIP, EQ, 09-Apr-2020,0.55,0.6,0.6,0.6, 0.60,0.6,0.6,7138,0.04,10, 7138, 100.00,9.09
PRADIP, EQ, 11-Oct-2021,1.0,1.0,1.05,1.0, 1.05,1.0,1.02,30403,0.31,55, 30329, 99.76,0.0
PRADIP, EQ, 12-Mar-2020,0.35,0.35,0.35,0.35, 0.35,0.35,0.35,3322,0.01,3, 3322, 100.00,0.0
PRADIP, EQ, 12-Oct-2021,1.0,1.05,1.05,1.05, 1.05,1.05,1.05,5782,0.06,11, 5782, 100.00,5.0
PRADIP, EQ, 13-Mar-2020,0.35,0.3,0.4,0.3, 0.35,0.35,0.31,21960,0.07,22, 19529, 88.93,0.0
PRADIP, EQ, 13-Apr-2020,0.6,0.65,0.65,0.65, 0.65,0.65,0.65,8064,0.05,8,2664,100.0,8.33
PRADIP, EQ, 13-Oct-2021,1.05,1.1,1.1,1.1,1.1,1.1,1.1,3031,0.03,13, 3031, 100.00,4.76
PRADIP, EQ, 14-Oct-2021,1.1,1.1,1.15,1.05,1.15,1.15,1.13,6072,0.07,29, 6072, 100.00,4.55
PRADIP, EQ, 16-Mar-2020,0.35,0.3,0.35,0.3, 0.35,0.35,0.35,102,0.0,2, 102, 100.00,0.0
PRADIP, EQ, 17-Mar-2020,0.35,0.3,0.35,0.3, 0.35,0.35,0.34,7621,0.03,11, 7121, 93.44,0.0
PRADIP, EQ, 18-Mar-2020,0.35,0.3,0.4,0.3, 0.30,0.3,0.37,6085,0.02,23, 2824, 46.41,-14.29
PRADIP, EQ, 19-Mar-2020,0.3,0.3,0.35,0.3, 0.35,0.35,0.3,5550,0.02,9, 5340, 96.22,16.67
PRADIP, EQ, 20-Mar-2020,0.35,0.35,0.35,0.35, 0.35,0.35,0.35,605,0.0,6, 605, 100.00,0.0
PRADIP, EQ, 23-Mar-2020,0.35,0.4,0.4,0.3, 0.35,0.35,0.3,3447,0.01,4, 3436, 99.68,0.0
PRADIP, EQ, 24-Feb-2020,0.4,0.4,0.45,0.4, 0.45,0.45,0.44,12681,0.06,4, 12681, 100.00,12.5
PRADIP, EQ, 24-Mar-2020,0.35,0.3,0.35,0.3, 0.35,0.35,0.35,3580,0.01,8, 3392, 94.75,0.0
PRADIP, EQ, 25-Feb-2020,0.45,0.4,0.45,0.4, 0.45,0.45,0.4,4500,0.02,6, 4477, 99.49,0.0
PRADIP, EQ, 25-Mar-2020,0.35,0.35,0.35,0.3, 0.35,0.35,0.33,1590,0.01,5, 1095, 68.87,0.0
PRADIP, EQ, 26-Feb-2020,0.45,0.4,0.45,0.4, 0.45,0.45,0.4,1022,0.0,2, 1022, 100.00,0.0
PRADIP, EQ, 26-Mar-2020,0.35,0.3,0.4,0.3, 0.30,0.3,0.33,24715,0.08,13, 14714, 59.53,-14.29
PRADIP, EQ, 27-Mar-2020,0.3,0.3,0.35,0.3, 0.30,0.35,0.34,1522,0.01,9, 1522, 100.00,16.67
PRADIP, EQ, 28-Feb-2020,0.45,0.4,0.45,0.4, 0.40,0.4,0.4,4663,0.02,7, 4663, 100.00,-11.11
PRADIP, EQ, 30-Mar-2020,0.35,0.35,0.4,0.3, 0.40,0.3,0.35,16516,0.06,19, 11515, 69.72,-14.29
PRADIP, EQ, 31-Mar-2020,0.3,0.35,0.35,0.3,0.35,0.35,0.35,5050,0.02,8, 4550, 90.10,16.67
