SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
PRAJIND, EQ, 01-Jan-2020,102.55,103.0,108.9,102.7, 107.30,107.45,106.74,3444885,3676.94,23334, 775380, 22.51,4.78
PRAJIND, EQ, 01-Jan-2021,115.5,116.2,123.25,114.4, 119.90,120.15,120.46,7917187,9537.1,46402, 2382144, 30.09,4.03
PRAJIND, EQ, 01-Jan-2024,556.0,560.0,562.9,555.35, 556.00,556.55,558.26,385363,2151.34,15527, 168251, 43.66,0.1
PRAJIND, EQ, 01-Jan-2025,821.15,818.05,875.0,815.05,845.8,844.6,856.6,4537312,38866.53,148602, 1025669, 22.61,2.86
PRAJIND, EQ, 01-Feb-2021,115.7,116.65,125.55,113.05, 122.50,123.85,119.93,2083783,2499.14,28347, 1064849, 51.10,7.04
PRAJIND, EQ, 01-Feb-2022,422.85,428.0,430.0,403.0,418.55,418.85,418.06,1184256,4950.89,33557, 473433, 39.98,-0.95
PRAJIND, EQ, 01-Feb-2023,343.25,344.8,362.0,338.0, 345.00,345.15,353.07,1170013,4130.97,32562, 336491, 28.76,0.55
PRAJIND, EQ, 01-Feb-2024,498.1,504.0,509.0,493.8, 494.00,496.8,501.58,1164136,5839.09,60043, 461637, 39.65,-0.26
PRAJIND, EQ, 01-Mar-2021,164.1,166.0,171.0,160.05, 165.65,165.95,165.0,4613532,7612.18,42059, 1258979, 27.29,1.13
PRAJIND, EQ, 01-Mar-2023,351.1,350.0,355.5,347.3, 349.00,348.7,352.03,355102,1250.07,11818, 173408, 48.83,-0.68
PRAJIND, EQ, 01-Mar-2024,499.95,502.0,512.9,501.0, 503.00,504.2,507.37,783211,3973.82,25911, 296838, 37.90,0.85
PRAJIND, EQ, 01-Apr-2020,55.05,54.3,56.4,53.1,53.9,53.85,54.88,370839,203.51,7282, 152900, 41.23,-2.18
PRAJIND, EQ, 01-Apr-2021,194.85,196.05,198.0,192.0, 193.00,193.15,195.08,1594598,3110.68,13712, 651190, 40.84,-0.87
PRAJIND, EQ, 01-Apr-2022,398.45,401.45,413.0,392.0, 394.80,395.0,405.39,2132736,8645.97,42171, 890047, 41.73,-0.87
