SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
PVTBANIETF, EQ, 01-Jan-2024,248.41,247.21,249.59,246.0, 248.79,248.02,248.15,329394,817.4,260, 308475, 93.65,-0.16
PVTBANIETF, EQ, 01-Jan-2025,24.9,24.91,25.11,24.72,25.02,25.0,24.95,909986,227.0,2375, 584249, 64.20,0.4
PVTBANIETF, EQ, 01-Feb-2024,234.95,237.03,237.03,233.87, 236.19,235.96,235.13,106244,249.81,3705, 45508, 42.83,0.43
PVTBANIETF, EQ, 01-Mar-2024,231.41,23.78,23.78,23.15, 23.72,23.67,23.51,642045,150.94,1798, 338256, 52.68,-89.77
PVTBANIETF, EQ, 01-Apr-2024,23.55,23.65,23.78,23.61, 23.70,23.71,23.74,1032080,245.03,2422, 868404, 84.14,0.68
PVTBANIETF, EQ, 01-Apr-2025,25.89,26.5,26.5,25.47,25.59,25.54,25.62,1995409,511.27,3501, 1408547, 70.59,-1.35
PVTBANIETF, EQ, 01-Jul-2024,26.19,26.69,26.69,26.13,26.18,26.25,26.24,938359,246.22,2203, 705888, 75.23,0.23
PVTBANIETF, EQ, 01-Aug-2024,25.79,25.86,25.98,25.7,25.85,25.77,25.79,1505999,388.39,1800, 1051621, 69.83,-0.08
PVTBANIETF, EQ, 01-Oct-2024,26.65,26.81,26.81,26.55,26.66,26.61,26.64,7291724,1942.21,2190, 6956752, 95.41,-0.15
PVTBANIETF, EQ, 02-Jan-2024,248.02,248.02,248.05,245.0, 246.08,245.22,246.16,38744,95.37,324, 31785, 82.04,-1.13
PVTBANIETF, EQ, 02-Jan-2025,25.0,25.22,25.39,24.98,25.35,25.36,25.26,6185575,1562.67,2850, 5827530, 94.21,1.44
PVTBANIETF, EQ, 02-Feb-2024,235.96,237.03,238.7,234.0, 234.50,234.81,236.3,139071,328.62,6877, 97883, 70.38,-0.49
PVTBANIETF, EQ, 02-Apr-2024,23.71,23.8,23.8,23.56, 23.72,23.72,23.72,462777,109.79,1926, 309690, 66.92,0.04
PVTBANIETF, EQ, 02-Apr-2025,25.54,25.53,25.74,25.51,25.73,25.7,25.68,1490975,382.81,1565, 877423, 58.85,0.63
PVTBANIETF, EQ, 02-May-2024,24.46,24.51,24.55,24.34, 24.40,24.4,24.43,368442,90.01,1599, 220719, 59.91,-0.25
PVTBANIETF, EQ, 02-Jul-2024,26.25,26.75,26.88,25.94,26.05,26.08,26.12,1644461,429.59,6518, 1071191, 65.14,-0.65
PVTBANIETF, EQ, 02-Aug-2024,25.77,25.74,25.8,25.52,25.72,25.69,25.7,1384454,355.8,2044, 1077913, 77.86,-0.31
PVTBANIETF, EQ, 02-Sep-2024,25.74,25.81,25.91,25.74,25.77,25.79,25.8,876864,226.2,4567, 528127, 60.23,0.19
PVTBANIETF, EQ, 02-Dec-2024,25.37,25.84,25.84,25.25,25.6,25.49,25.37,914722,232.08,2214, 424585, 46.42,0.47
PVTBANIETF, EQ, 03-Jan-2024,245.22,246.01,246.01,243.36, 245.65,245.5,245.42,28971,71.1,204, 19532, 67.42,0.11
PVTBANIETF, EQ, 03-Jan-2025,25.36,25.3,25.35,25.11,25.24,25.14,25.2,1329404,334.99,3917, 1021721, 76.86,-0.87
PVTBANIETF, EQ, 03-Feb-2025,24.51,24.44,24.5,24.24,24.34,24.32,24.35,1419303,345.58,1471, 693318, 48.85,-0.78
PVTBANIETF, EQ, 03-Mar-2025,24.39,24.59,24.59,24.03,24.2,24.17,24.14,2517386,607.82,2362, 1160540, 46.10,-0.9
PVTBANIETF, EQ, 03-Apr-2024,23.72,23.72,23.86,23.56, 23.70,23.69,23.67,509758,120.67,2371, 315673, 61.93,-0.13
PVTBANIETF, EQ, 03-Apr-2025,25.7,25.55,25.9,25.45,25.79,25.8,25.77,8595351,2214.94,5003, 7720983, 89.83,0.39
PVTBANIETF, EQ, 03-May-2024,24.4,24.5,24.61,24.06, 24.40,24.26,24.31,428742,104.22,1644, 311676, 72.70,-0.57
PVTBANIETF, EQ, 03-Jun-2024,24.53,24.84,25.49,24.7,25.0,24.96,24.89,2099692,522.61,4169, 1555951, 74.10,1.75
PVTBANIETF, EQ, 03-Jul-2024,26.08,26.68,26.68,26.2,26.49,26.49,26.45,1150427,304.33,3597, 824445, 71.66,1.57
PVTBANIETF, EQ, 03-Sep-2024,25.79,25.93,25.95,25.74,25.94,25.92,25.89,2652095,686.51,2038, 2436081, 91.85,0.5
PVTBANIETF, EQ, 03-Oct-2024,26.61,26.47,26.5,25.9,26.23,26.03,26.09,5229541,1364.32,10078, 4422841, 84.57,-2.18
PVTBANIETF, EQ, 03-Dec-2024,25.49,25.53,25.65,25.48,25.6,25.59,25.61,442853,113.39,1033, 313243, 70.73,0.39
PVTBANIETF, EQ, 04-Jan-2024,245.5,246.5,248.3,246.5, 248.18,247.51,247.51,311919,772.03,147, 304164, 97.51,0.82
PVTBANIETF, EQ, 04-Feb-2025,24.32,25.05,25.05,24.4,24.78,24.78,24.72,3778210,933.86,2057, 3300763, 87.36,1.89
PVTBANIETF, EQ, 04-Mar-2024,23.66,23.85,23.85,23.56, 23.62,23.68,23.68,831542,196.88,3004, 585479, 70.41,0.08
PVTBANIETF, EQ, 04-Mar-2025,24.17,24.27,24.27,24.06,24.16,24.16,24.2,1311527,317.34,2067, 721262, 54.99,-0.04
PVTBANIETF, EQ, 04-Apr-2024,23.69,23.7,24.02,23.7, 24.00,23.95,23.89,1196005,285.67,5411, 795211, 66.49,1.1
PVTBANIETF, EQ, 04-Apr-2025,25.8,25.89,25.89,25.55,25.75,25.69,25.66,8553699,2195.23,2286, 7204745, 84.23,-0.43
