SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
QUADFUTURE, EQ, 01-Apr-2025,525.4,519.05,541.35,516.45,530.3,530.6,531.1,1545793,8209.71,36942, 145490, 9.41,0.99
QUADFUTURE, EQ, 02-Apr-2025,530.6,536.4,604.75,521.8,572.95,573.45,578.87,20864373,120777.38,313373, 938226, 4.50,8.08
QUADFUTURE, EQ, 03-Feb-2025,544.0,530.0,572.0,525.5,531.85,537.35,544.17,1317810,7171.1,39601, 163011, 12.37,-1.22
QUADFUTURE, EQ, 03-Mar-2025,439.55,443.0,452.4,410.0,424.5,427.85,424.34,2222353,9430.34,37200, 113282, 5.10,-2.66
QUADFUTURE, EQ, 03-Apr-2025,573.45,567.0,581.95,544.35,570.05,559.7,560.44,5793756,32470.81,94969, 416456, 7.19,-2.4
QUADFUTURE, EQ, 04-Feb-2025,537.35,545.05,644.8,545.05,644.8,644.8,611.08,6873879,42004.56,138372, 1001147, 14.56,20.0
QUADFUTURE, EQ, 04-Mar-2025,427.85,419.55,440.9,413.1,436.0,435.8,430.29,1876799,8075.64,30661, 106889, 5.70,1.86
QUADFUTURE, EQ, 04-Apr-2025,559.7,564.95,570.0,528.1,539.0,540.75,545.26,3253088,17737.87,66351, 432596, 13.30,-3.39
QUADFUTURE, EQ, 05-Feb-2025,644.8,695.65,709.0,628.0,647.0,656.5,667.38,10076439,67248.3,235337, 840652, 8.34,1.81
QUADFUTURE, EQ, 05-Mar-2025,435.8,437.0,522.95,432.0,513.0,515.4,486.56,6546811,31854.46,110161, 602599, 9.20,18.27
QUADFUTURE, EQ, 06-Feb-2025,656.5,656.5,744.0,647.3,705.55,715.65,713.87,17771938,126868.46,332835, 653288, 3.68,9.01
