SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
RELAXO, EQ, 01-Jan-2020,615.75,618.25,622.0,614.1, 614.10,615.15,618.59,146160,904.14,5198, 125831, 86.09,-0.1
RELAXO, EQ, 01-Jan-2021,809.7,809.0,834.4,808.75, 823.25,828.35,822.76,229319,1886.73,11525, 69633, 30.37,2.3
RELAXO, EQ, 01-Jan-2024,903.5,903.5,909.95,900.4, 904.00,903.4,905.2,73356,664.02,11796, 37452, 51.06,-0.01
RELAXO, EQ, 01-Jan-2025,620.0,623.05,627.0,617.55,624.6,625.25,623.4,35256,219.78,4712, 16804, 47.66,0.85
RELAXO, EQ, 01-Feb-2021,823.7,831.75,848.0,817.05, 831.40,830.55,827.8,250109,2070.4,14536, 93288, 37.30,0.83
RELAXO, EQ, 01-Feb-2022,1231.0,1242.2,1270.0,1239.95,1265.05,1264.8,1257.92,148748,1871.14,20372, 75662, 50.87,2.75
RELAXO, EQ, 01-Feb-2023,820.1,830.2,830.25,803.0, 811.00,811.95,818.21,83205,680.79,13558, 39483, 47.45,-0.99
RELAXO, EQ, 01-Feb-2024,860.1,854.0,857.95,844.0, 844.05,847.0,847.61,119654,1014.2,16772, 76096, 63.60,-1.52
RELAXO, EQ, 01-Mar-2021,854.85,864.95,875.0,832.0, 841.80,838.45,846.3,239148,2023.9,14751, 103318, 43.20,-1.92
RELAXO, EQ, 01-Mar-2023,777.9,780.0,788.35,773.15, 778.00,776.5,781.22,68464,534.85,8166, 28272, 41.29,-0.18
RELAXO, EQ, 01-Mar-2024,835.7,839.85,845.4,832.0, 838.00,837.75,836.48,47417,396.63,6665, 29068, 61.30,0.25
RELAXO, EQ, 01-Apr-2020,598.95,606.0,606.25,574.2,606.0,584.35,585.37,219564,1285.25,13918, 130314, 59.35,-2.44
RELAXO, EQ, 01-Apr-2021,876.4,881.05,910.0,881.05, 909.00,904.35,902.32,304844,2750.67,12936, 81713, 26.80,3.19
RELAXO, EQ, 01-Apr-2022,1066.35,1070.0,1086.55,1068.0, 1086.55,1084.35,1078.38,168839,1820.73,13023, 87975, 52.11,1.69
RELAXO, EQ, 01-Apr-2024,817.3,824.95,831.25,813.0, 820.00,822.65,821.23,169449,1391.56,20770, 73368, 43.30,0.65
RELAXO, EQ, 01-Apr-2025,406.95,402.35,425.0,402.35,414.25,415.1,415.82,144918,602.59,14000, 36688, 25.32,2.0
RELAXO, EQ, 01-Jun-2020,676.55,681.0,717.0,681.0, 713.90,710.35,706.96,744750,5265.05,24550, 445583, 59.83,5.0
RELAXO, EQ, 01-Jun-2021,1135.45,1140.0,1145.0,1076.75, 1086.00,1087.4,1099.22,372763,4097.5,31405, 155911, 41.83,-4.23
RELAXO, EQ, 01-Jun-2022,991.15,998.15,1008.45,981.0,985.0,983.8,990.96,97211,963.32,12142, 45154, 46.45,-0.74
RELAXO, EQ, 01-Jun-2023,902.1,902.1,904.0,899.35, 900.50,900.15,900.66,48507,436.89,4801, 33178, 68.40,-0.22
RELAXO, EQ, 01-Jul-2020,633.35,633.35,636.5,627.0, 627.90,628.35,631.04,267727,1689.46,16545, 136604, 51.02,-0.79
RELAXO, EQ, 01-Jul-2021,1151.95,1161.25,1163.4,1136.0, 1143.00,1139.05,1148.35,186486,2141.51,16467, 67631, 36.27,-1.12
RELAXO, EQ, 01-Jul-2022,963.85,961.0,979.0,960.1,970.45,972.35,972.21,41820,406.58,4924, 16737, 40.02,0.88
RELAXO, EQ, 01-Jul-2024,827.3,832.6,836.4,830.0,834.0,833.85,833.69,68480,570.91,6928, 42224, 61.66,0.79
RELAXO, EQ, 01-Aug-2022,982.7,995.0,1020.0,990.6, 1020.00,1013.95,1010.1,215172,2173.46,15554, 107353, 49.89,3.18
RELAXO, EQ, 01-Aug-2023,946.1,946.1,948.7,928.05, 934.00,931.05,934.35,130767,1221.82,9874, 77597, 59.34,-1.59
RELAXO, EQ, 01-Aug-2024,868.7,848.95,860.0,843.5,847.0,848.1,850.03,219095,1862.37,19476, 101659, 46.40,-2.37
RELAXO, EQ, 01-Sep-2020,655.4,652.4,655.5,640.7, 643.00,643.0,645.85,180513,1165.84,10745, 77604, 42.99,-1.89
RELAXO, EQ, 01-Sep-2021,1191.5,1200.1,1205.95,1184.0,1199.0,1195.9,1195.48,165495,1978.46,16942, 70360, 42.51,0.37
RELAXO, EQ, 01-Sep-2022,1000.55,1000.55,1014.0,996.35,1012.0,1010.95,1009.2,180718,1823.8,11790, 80478, 44.53,1.04
RELAXO, EQ, 01-Sep-2023,944.9,918.9,931.35,913.2, 925.00,924.3,925.53,137808,1275.46,13695, 62994, 45.71,-2.18
RELAXO, EQ, 01-Oct-2020,666.65,672.0,672.0,655.0, 659.90,658.0,666.41,129393,862.29,14569, 55442, 42.85,-1.3
RELAXO, EQ, 01-Oct-2021,1141.05,1140.8,1178.0,1138.95, 1175.00,1171.6,1158.44,603137,6987.01,21735, 420603, 69.74,2.68
RELAXO, EQ, 01-Oct-2024,811.15,811.95,816.65,810.05,814.6,812.6,813.08,58338,474.33,5428, 28510, 48.87,0.18
RELAXO, EQ, 01-Nov-2021,1331.0,1331.0,1347.95,1308.0, 1340.00,1340.45,1331.45,128260,1707.72,14288, 49372, 38.49,0.71
RELAXO, EQ, 01-Nov-2022,967.35,968.1,977.0,967.5,977.0,972.35,970.69,92811,900.91,9959, 51305, 55.28,0.52
RELAXO, EQ, 01-Nov-2023,898.0,891.65,959.0,891.0, 926.00,936.6,938.71,659235,6188.32,39645, 138939, 21.08,4.3
RELAXO, EQ, 01-Dec-2020,737.6,737.25,741.1,724.0,727.7,728.95,735.59,164457,1209.72,15965, 99113, 60.27,-1.17
RELAXO, EQ, 01-Dec-2021,1294.65,1291.0,1301.5,1268.15,1280.0,1286.5,1282.41,131504,1686.42,15597, 34642, 26.34,-0.63
RELAXO, EQ, 01-Dec-2022,945.65,950.0,956.5,944.15,952.0,952.4,950.64,153156,1455.97,9543, 77969, 50.91,0.71
RELAXO, EQ, 01-Dec-2023,910.05,910.05,917.5,906.0, 915.00,915.1,913.6,118841,1085.73,9751, 70218, 59.09,0.55
RELAXO, EQ, 02-Jan-2020,615.15,618.7,625.85,615.5, 621.30,621.8,623.61,223722,1395.15,7833, 182431, 81.54,1.08
RELAXO, EQ, 02-Jan-2023,910.05,910.05,915.8,905.9, 907.00,907.15,909.97,32838,298.81,4297, 16873, 51.38,-0.32
RELAXO, EQ, 02-Jan-2024,903.4,903.0,906.7,896.0, 903.00,902.7,900.76,71939,648.0,9690, 42709, 59.37,-0.08
RELAXO, EQ, 02-Jan-2025,625.25,625.0,633.0,622.5,632.35,631.35,628.47,42113,264.67,5858, 18904, 44.89,0.98
RELAXO, EQ, 02-Feb-2021,830.55,840.0,852.0,831.75, 839.50,835.9,839.79,183616,1541.99,10417, 75361, 41.04,0.64
RELAXO, EQ, 02-Feb-2022,1264.8,1273.25,1324.0,1262.35, 1305.50,1307.7,1309.5,220855,2892.11,21878, 104084, 47.13,3.39
RELAXO, EQ, 02-Feb-2023,811.95,805.0,819.0,790.0, 798.00,796.1,800.54,354593,2838.67,22545, 279894, 78.93,-1.95
RELAXO, EQ, 02-Feb-2024,847.0,849.25,851.2,835.05, 840.00,838.85,840.42,135685,1140.33,18142, 93958, 69.25,-0.96
RELAXO, EQ, 02-Mar-2020,696.5,705.3,716.95,686.0, 693.00,692.4,702.83,305683,2148.45,18742, 175706, 57.48,-0.59
RELAXO, EQ, 02-Mar-2021,838.45,848.4,853.6,833.2,839.5,837.0,843.31,152176,1283.31,9237, 69901, 45.93,-0.17
RELAXO, EQ, 02-Mar-2022,1216.9,1216.9,1226.0,1170.1, 1198.00,1192.85,1207.11,158005,1907.29,19101, 86359, 54.66,-1.98
RELAXO, EQ, 02-Mar-2023,776.5,780.0,780.1,768.05, 772.95,772.2,772.59,65594,506.77,6698, 35318, 53.84,-0.55
RELAXO, EQ, 02-Apr-2024,822.65,822.7,844.45,813.0, 835.80,835.1,834.91,114192,953.41,16755, 54006, 47.29,1.51
RELAXO, EQ, 02-Apr-2025,415.1,419.75,423.0,405.65,422.95,421.45,415.94,75521,314.12,7550, 26495, 35.08,1.53
RELAXO, EQ, 02-May-2022,1081.6,1075.0,1090.8,1067.0,1090.8,1084.6,1079.61,86958,938.81,12011, 38889, 44.72,0.28
RELAXO, EQ, 02-May-2023,843.25,847.5,857.95,845.05, 849.70,851.65,851.57,64052,545.45,8119, 37604, 58.71,1.0
RELAXO, EQ, 02-May-2024,834.3,840.0,841.6,825.0, 830.00,829.7,834.7,41012,342.33,7837, 23252, 56.70,-0.55
RELAXO, EQ, 02-Jun-2020,710.35,713.8,750.0,713.0,740.0,737.9,738.53,514804,3801.98,24105, 190117, 36.93,3.88
RELAXO, EQ, 02-Jun-2021,1087.4,1094.4,1111.2,1052.0, 1063.50,1062.35,1068.26,479865,5126.21,28377, 165614, 34.51,-2.3
RELAXO, EQ, 02-Jun-2022,983.8,990.65,990.65,972.95,980.0,979.65,979.03,75646,740.6,9026, 36279, 47.96,-0.42
RELAXO, EQ, 02-Jun-2023,900.15,901.15,909.0,899.05, 902.00,900.85,902.29,61184,552.06,5929, 36310, 59.35,0.08
RELAXO, EQ, 02-Jul-2020,628.35,630.65,634.8,629.0, 631.50,630.9,631.16,193987,1224.37,9473, 103153, 53.18,0.41
RELAXO, EQ, 02-Jul-2021,1139.05,1148.0,1215.0,1140.0,1203.75,1197.05,1175.42,414469,4871.77,21991, 161406, 38.94,5.09
RELAXO, EQ, 02-Jul-2024,833.85,837.95,849.9,827.95,833.0,830.45,834.96,108311,904.36,9840, 51755, 47.78,-0.41
RELAXO, EQ, 02-Aug-2021,1150.0,1140.0,1157.4,1127.85,1149.0,1148.5,1145.21,223049,2554.38,21578, 84812, 38.02,-0.13
RELAXO, EQ, 02-Aug-2022,1013.95,1021.1,1033.0,1012.6,1019.6,1019.55,1022.24,152262,1556.49,11590, 69604, 45.71,0.55
RELAXO, EQ, 02-Aug-2023,931.05,935.4,937.1,916.85, 926.00,927.05,926.46,90984,842.93,10497, 46529, 51.14,-0.43
RELAXO, EQ, 02-Aug-2024,848.1,840.05,850.35,838.65,843.95,843.65,844.88,63798,539.02,8748, 31477, 49.34,-0.52
RELAXO, EQ, 02-Sep-2020,643.0,646.0,650.9,637.35, 647.00,643.85,643.32,155412,999.79,8567, 79127, 50.91,0.13
RELAXO, EQ, 02-Sep-2021,1195.9,1205.0,1216.4,1190.05, 1200.00,1198.9,1204.63,162196,1953.87,14645, 65478, 40.37,0.25
RELAXO, EQ, 02-Sep-2022,1010.95,1017.0,1017.5,999.1,1005.75,1006.5,1009.63,115879,1169.95,11722, 57850, 49.92,-0.44
RELAXO, EQ, 02-Sep-2024,796.85,797.0,825.0,797.0,807.0,805.75,814.95,205425,1674.11,20399, 64804, 31.55,1.12
RELAXO, EQ, 02-Nov-2020,660.4,668.0,669.5,655.0, 668.00,664.35,661.72,213930,1415.61,17607, 122252, 57.15,0.6
RELAXO, EQ, 02-Nov-2021,1340.45,1322.2,1346.95,1285.0, 1332.55,1334.65,1324.4,232955,3085.26,25271, 70535, 30.28,-0.43
RELAXO, EQ, 02-Nov-2022,972.35,977.2,979.6,972.5,974.0,976.55,976.4,105190,1027.08,9274, 55180, 52.46,0.43
RELAXO, EQ, 02-Nov-2023,936.6,935.05,936.6,901.25, 906.40,910.45,916.18,196960,1804.51,17407, 78683, 39.95,-2.79
RELAXO, EQ, 02-Dec-2020,728.95,734.0,735.0,725.35, 729.00,727.5,728.65,164622,1199.52,10958, 84644, 51.42,-0.2
RELAXO, EQ, 02-Dec-2021,1286.5,1288.9,1297.7,1271.15, 1279.00,1280.65,1279.65,122901,1572.7,13212, 37784, 30.74,-0.45
RELAXO, EQ, 02-Dec-2022,952.4,952.45,957.0,945.05, 956.55,956.05,952.42,72288,688.48,7037, 47485, 65.69,0.38
RELAXO, EQ, 02-Dec-2024,670.0,674.5,690.0,665.0,681.0,680.2,680.13,1139078,7747.22,13102, 1066729, 93.65,1.52
RELAXO, EQ, 03-Jan-2020,621.8,624.2,631.15,621.5, 630.00,629.4,628.21,120926,759.67,6923, 77575, 64.15,1.22
RELAXO, EQ, 03-Jan-2022,1313.4,1315.7,1332.0,1301.0, 1320.00,1321.15,1314.19,165425,2174.0,14632, 80852, 48.88,0.59
RELAXO, EQ, 03-Jan-2023,907.15,908.0,908.0,898.3, 902.00,900.35,903.15,73965,668.01,8073, 47460, 64.17,-0.75
RELAXO, EQ, 03-Jan-2024,902.7,899.0,904.9,897.2, 900.10,899.2,900.28,39105,352.05,5184, 27102, 69.31,-0.39
RELAXO, EQ, 03-Jan-2025,631.35,634.85,639.4,627.35,630.0,633.3,634.07,49074,311.16,7386, 24801, 50.54,0.31
RELAXO, EQ, 03-Feb-2020,732.65,732.0,740.0,705.0, 720.00,720.6,726.72,278430,2023.4,13414, 110955, 39.85,-1.64
