SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
RELCAPITAL, EQ, 01-Jan-2020,14.75,15.15,15.45,15.05, 15.45,15.45,15.42,1845723,284.59,1713, 1089976, 59.05,4.75
RELCAPITAL, EQ, 01-Feb-2022,15.05,15.3,15.8,14.9,15.8,15.8,15.45,1591697,245.89,3327, 1077148, 67.67,4.98
RELCAPITAL, EQ, 01-Mar-2021,10.1,10.25,11.1,9.9, 11.00,11.0,10.78,6151770,663.23,5585, 2424852, 39.42,8.91
RELCAPITAL, EQ, 01-Apr-2020,4.5,4.5,4.6,4.4,4.45,4.45,4.46,1878217,83.82,2318, 1085573, 57.80,-1.11
RELCAPITAL, EQ, 01-Apr-2021,10.75,10.85,11.25,10.85, 11.25,11.25,11.18,1923224,215.07,1586, 1189322, 61.84,4.65
RELCAPITAL, EQ, 01-Apr-2022,16.65,17.1,17.45,16.65, 17.45,17.45,17.26,3582192,618.22,7206, 2873346, 80.21,4.8
RELCAPITAL, EQ, 01-Jun-2021,14.0,14.7,14.7,13.8, 14.70,14.7,14.5,13236298,1919.31,11851, 5734531, 43.32,5.0
RELCAPITAL, EQ, 01-Jul-2021,24.0,22.8,22.8,22.8, 22.80,22.8,22.8,1024052,233.48,3681, 1015257, 99.14,-5.0
RELCAPITAL, EQ, 01-Sep-2020,9.85,9.65,9.75,9.4, 9.40,9.4,9.49,2037715,193.47,3263, 1335606, 65.54,-4.57
RELCAPITAL, EQ, 01-Sep-2021,14.75,14.75,14.85,14.15,14.4,14.3,14.37,1673483,240.51,5018, 900650, 53.82,-3.05
RELCAPITAL, EQ, 01-Oct-2020,7.85,7.9,7.9,7.65, 7.70,7.65,7.74,728742,56.41,1537, 418934, 57.49,-2.55
RELCAPITAL, EQ, 01-Oct-2021,21.65,21.4,21.45,20.7, 20.95,20.95,21.12,2507449,529.59,5621, 1495525, 59.64,-3.23
RELCAPITAL, EQ, 01-Dec-2020,9.75,9.35,9.65,9.3,9.3,9.3,9.4,3213026,301.95,4496, 2087565, 64.97,-4.62
RELCAPITAL, EQ, 02-Jan-2020,15.45,16.2,16.2,15.1, 16.20,16.2,16.02,18510740,2964.56,18164, 4950646, 26.74,4.85
RELCAPITAL, EQ, 02-Feb-2021,10.2,10.1,10.5,9.8, 10.05,10.05,10.08,1393344,140.38,2969, 761817, 54.68,-1.47
RELCAPITAL, EQ, 02-Feb-2022,15.8,16.2,16.55,15.35, 16.00,16.2,15.98,3006986,480.55,5523, 1493692, 49.67,2.53
RELCAPITAL, EQ, 02-Mar-2020,6.65,6.7,6.95,6.35, 6.40,6.45,6.7,2461531,164.83,3432, 1070739, 43.50,-3.01
RELCAPITAL, EQ, 02-Mar-2021,11.0,11.15,11.25,10.5,10.65,10.75,10.85,3593774,390.09,4173, 1569602, 43.68,-2.27
RELCAPITAL, EQ, 02-Mar-2022,12.55,12.45,13.0,12.25, 12.90,12.7,12.73,1035127,131.77,3059, 624077, 60.29,1.2
RELCAPITAL, EQ, 02-May-2022,16.95,16.95,16.95,16.4,16.45,16.45,16.54,1089581,180.2,4273, 778373, 71.44,-2.95
RELCAPITAL, EQ, 02-Jun-2021,14.7,14.95,15.4,14.2, 15.40,15.4,15.17,11001787,1669.44,7901, 4035184, 36.68,4.76
RELCAPITAL, EQ, 02-Jul-2021,22.8,22.2,23.9,21.7,23.0,23.05,22.66,39301958,8905.36,40156, 10450338, 26.59,1.1
RELCAPITAL, EQ, 02-Aug-2021,18.15,18.4,18.85,17.9,18.4,18.5,18.39,2376236,436.98,6153, 1186781, 49.94,1.93
RELCAPITAL, EQ, 02-Sep-2020,9.4,9.4,9.8,9.3, 9.80,9.7,9.58,1670429,159.95,2552, 884058, 52.92,3.19
