SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
REMSONSIND, EQ, 01-Jan-2020,74.45,75.5,75.5,72.6, 72.60,72.6,75.02,13,0.01,4, 11, 84.62,-2.48
REMSONSIND, EQ, 01-Jan-2021,106.95,110.0,117.6,105.55, 117.60,115.95,114.31,51793,59.2,1206, 30160, 58.23,8.42
REMSONSIND, EQ, 01-Jan-2025,146.89,146.0,148.32,140.36,143.1,143.67,144.87,55327,80.15,1927, 19255, 34.80,-2.19
REMSONSIND, EQ, 01-Feb-2021,108.6,109.45,111.95,104.1, 111.95,110.75,108.72,2944,3.2,144, 1534, 52.11,1.98
REMSONSIND, EQ, 01-Feb-2022,229.55,230.9,230.9,224.55,230.0,227.6,228.01,6889,15.71,156, 1529, 22.19,-0.85
REMSONSIND, EQ, 01-Feb-2023,247.95,248.85,257.7,238.4, 242.00,241.1,248.79,6655,16.56,563, 3044, 45.74,-2.76
REMSONSIND, EQ, 01-Mar-2021,147.25,144.0,149.0,143.0, 147.20,148.6,146.41,3156,4.62,142, 1963, 62.20,0.92
REMSONSIND, EQ, 01-Mar-2023,216.1,212.65,215.85,212.65, 213.00,214.5,214.6,359,0.77,55, 225, 62.67,-0.74
REMSONSIND, EQ, 01-Apr-2020,52.1,50.75,52.95,50.1,51.0,50.65,50.56,461,0.23,16, 305, 66.16,-2.78
REMSONSIND, EQ, 01-Apr-2021,143.1,152.95,152.95,138.05, 140.50,141.7,143.03,2034,2.91,79, 1484, 72.96,-0.98
REMSONSIND, EQ, 01-Apr-2022,181.05,183.9,200.0,182.0, 193.45,193.75,189.37,9444,17.88,472, 3280, 34.73,7.01
REMSONSIND, EQ, 01-Apr-2025,118.82,117.95,124.9,117.75,121.5,123.58,122.43,90831,111.21,2162, 50804, 55.93,4.01
REMSONSIND, EQ, 01-Jun-2020,51.15,51.0,55.2,51.0, 51.85,53.1,52.75,4403,2.32,114, 1898, 43.11,3.81
REMSONSIND, EQ, 01-Jun-2021,180.85,182.9,182.9,167.35, 172.30,174.75,171.43,16641,28.53,464, 3642, 21.89,-3.37
REMSONSIND, EQ, 01-Jun-2022,201.3,205.0,207.85,198.0,198.35,199.5,201.23,1393,2.8,99, 696, 49.96,-0.89
REMSONSIND, EQ, 01-Jun-2023,230.6,230.65,241.2,230.65, 233.00,232.85,234.83,4080,9.58,262, 2366, 57.99,0.98
REMSONSIND, EQ, 01-Jul-2020,71.55,70.1,71.35,68.8, 68.80,69.7,70.26,3773,2.65,59, 2593, 68.73,-2.59
REMSONSIND, EQ, 01-Jul-2021,256.7,260.85,298.85,252.2, 266.05,262.6,271.14,244257,662.28,5529, 67005, 27.43,2.3
REMSONSIND, EQ, 01-Jul-2022,215.1,215.85,224.2,213.0,217.15,216.5,218.07,4133,9.01,229, 2029, 49.09,0.65
REMSONSIND, EQ, 01-Jul-2024,999.05,1010.0,1044.25,1010.0,1020.0,1017.5,1024.38,20617,211.2,1904, 13694, 66.42,1.85
REMSONSIND, EQ, 01-Aug-2022,224.2,219.75,245.0,219.75, 227.95,226.1,230.45,6667,15.36,336, 3879, 58.18,0.85
REMSONSIND, EQ, 01-Aug-2023,346.05,358.0,380.65,358.0, 370.00,369.5,369.1,189852,700.74,6002, 72192, 38.03,6.78
REMSONSIND, EQ, 01-Aug-2024,187.0,188.38,189.6,183.0,183.0,183.26,185.59,30318,56.27,1146, 21375, 70.50,-2.0
REMSONSIND, EQ, 01-Sep-2020,89.0,92.8,93.4,85.15, 91.00,90.95,90.27,2335,2.11,66, 1261, 54.00,2.19
REMSONSIND, EQ, 01-Sep-2022,218.4,219.2,222.75,217.35,218.05,220.95,219.41,1437,3.15,130, 641, 44.61,1.17
REMSONSIND, EQ, 01-Oct-2020,82.3,81.0,85.8,81.0, 85.80,85.15,84.4,1990,1.68,56, 1472, 73.97,3.46
REMSONSIND, EQ, 01-Oct-2024,220.08,225.97,229.0,215.01,225.05,223.28,221.04,78731,174.03,3181, 48130, 61.13,1.45
REMSONSIND, EQ, 01-Nov-2021,228.3,225.35,237.8,225.35, 235.90,235.8,234.48,8519,19.98,350, 2046, 24.02,3.29
REMSONSIND, EQ, 01-Nov-2022,219.9,220.2,223.6,219.9,220.5,221.15,221.35,1062,2.35,92, 582, 54.80,0.57
