SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
RENUKA, EQ, 01-Jan-2020,8.45,8.5,9.6,8.4, 9.45,9.45,9.22,5276219,486.66,5291, 2116983, 40.12,11.83
RENUKA, EQ, 01-Jan-2021,12.15,12.2,12.25,11.9, 11.95,11.95,12.09,2346712,283.67,2244, 1795553, 76.51,-1.65
RENUKA, EQ, 01-Jan-2024,47.15,47.4,48.3,47.2, 47.40,47.4,47.69,7332647,3496.96,19480, 2933447, 40.01,0.53
RENUKA, EQ, 01-Jan-2025,39.47,39.44,40.59,39.44,40.18,40.14,40.19,4292407,1725.32,16945, 919038, 21.41,1.7
RENUKA, EQ, 01-Feb-2021,9.85,9.9,10.0,9.65, 10.00,9.95,9.86,1679889,165.69,2549, 1001525, 59.62,1.02
RENUKA, EQ, 01-Feb-2022,32.6,33.0,33.5,31.85,32.3,32.35,32.72,4550352,1488.91,8908, 2040352, 44.84,-0.77
RENUKA, EQ, 01-Feb-2023,51.8,52.7,53.5,47.75, 47.85,49.35,51.59,12717585,6561.46,32176, 3704443, 29.13,-4.73
RENUKA, EQ, 01-Feb-2024,48.0,48.0,48.45,47.0, 47.15,47.1,47.65,8693210,4141.93,21819, 4030175, 46.36,-1.87
RENUKA, EQ, 01-Mar-2021,10.4,10.6,10.7,10.0, 10.10,10.15,10.25,5012495,513.93,3769, 2924248, 58.34,-2.4
RENUKA, EQ, 01-Mar-2023,43.6,43.85,45.2,43.7, 45.00,44.95,44.66,4172203,1863.11,10657, 1463877, 35.09,3.1
RENUKA, EQ, 01-Mar-2024,46.6,47.5,47.55,46.3, 46.45,46.45,46.77,4762177,2227.25,15724, 1789746, 37.58,-0.32
RENUKA, EQ, 01-Apr-2020,4.65,4.85,4.85,4.85,4.85,4.85,4.85,159232,7.72,148, 159232, 100.00,4.3
RENUKA, EQ, 01-Apr-2021,9.15,9.25,9.75,9.25, 9.65,9.7,9.59,3345281,320.83,2341, 1561728, 46.68,6.01
RENUKA, EQ, 01-Apr-2022,35.6,35.7,37.2,35.5, 36.45,36.35,36.32,6130243,2226.2,13829, 2420857, 39.49,2.11
RENUKA, EQ, 01-Apr-2024,39.7,40.15,42.5,40.15, 42.45,42.35,41.66,8926187,3718.26,20575, 3664050, 41.05,6.68
RENUKA, EQ, 01-Apr-2025,27.58,27.63,28.9,27.53,28.75,28.66,28.38,6592786,1871.28,21844, 2144544, 32.53,3.92
RENUKA, EQ, 01-Jun-2020,5.0,5.2,5.25,5.05, 5.25,5.25,5.22,659233,34.41,856, 546506, 82.90,5.0
RENUKA, EQ, 01-Jun-2021,15.75,15.7,16.05,15.0, 15.15,15.1,15.23,12375284,1884.26,8538, 6367257, 51.45,-4.13
RENUKA, EQ, 01-Jun-2022,46.9,47.4,53.15,47.3,52.4,52.3,50.62,38861206,19670.72,91014, 9986047, 25.70,11.51
RENUKA, EQ, 01-Jun-2023,41.95,41.85,42.9,41.75, 41.85,41.85,42.17,6301669,2657.27,13834, 3044357, 48.31,-0.24
RENUKA, EQ, 01-Jul-2020,11.15,11.7,11.7,10.65, 11.70,11.7,11.4,3408504,388.46,2721, 1810717, 53.12,4.93
RENUKA, EQ, 01-Jul-2021,39.35,40.0,41.3,38.05, 41.30,41.3,40.49,36087689,14610.82,43410, 19879445, 55.09,4.96
RENUKA, EQ, 01-Jul-2022,46.4,46.5,46.5,45.1,45.6,45.7,45.72,8262303,3777.59,19668, 1701003, 20.59,-1.51
RENUKA, EQ, 01-Jul-2024,49.04,49.11,50.08,48.72,49.08,49.12,49.37,14442333,7130.29,41730, 2988803, 20.69,0.16
RENUKA, EQ, 01-Aug-2022,49.45,49.7,50.85,48.85, 49.85,49.9,49.84,13581969,6769.16,25396, 3546684, 26.11,0.91
RENUKA, EQ, 01-Aug-2023,45.9,46.0,46.5,45.7, 46.15,46.1,46.1,4986709,2298.78,10699, 2078019, 41.67,0.44
RENUKA, EQ, 01-Aug-2024,51.0,51.13,51.19,48.61,48.9,48.81,49.71,22992209,11429.84,55504, 9299792, 40.45,-4.29
RENUKA, EQ, 01-Sep-2020,9.8,9.8,10.25,9.6, 10.25,10.25,9.99,1628877,162.78,1966, 1102396, 67.68,4.59
RENUKA, EQ, 01-Sep-2022,47.0,46.75,48.4,46.55,47.55,47.6,47.76,9645011,4606.63,23466, 3199322, 33.17,1.28
RENUKA, EQ, 01-Sep-2023,46.6,46.7,47.75,46.5, 47.00,47.1,47.15,12021501,5667.82,20898, 4153806, 34.55,1.07
RENUKA, EQ, 01-Oct-2020,8.95,9.1,9.25,9.05, 9.10,9.05,9.12,632099,57.67,1016, 360537, 57.04,1.12
RENUKA, EQ, 01-Oct-2024,54.47,54.47,56.5,53.32,53.95,53.86,55.3,130503520,72164.09,265860, 22370912, 17.14,-1.12
RENUKA, EQ, 01-Nov-2021,27.05,26.2,26.95,25.7, 25.70,25.7,25.83,13401800,3461.15,14688, 7156903, 53.40,-4.99
RENUKA, EQ, 01-Nov-2022,54.05,54.25,58.8,53.95,58.6,58.35,56.96,36907873,21022.6,68593, 6727772, 18.23,7.96
RENUKA, EQ, 01-Nov-2023,48.7,48.75,49.45,48.55, 48.75,48.75,48.93,7380022,3611.2,13526, 1680664, 22.77,0.1
RENUKA, EQ, 01-Dec-2020,9.95,10.0,10.05,9.8,9.9,9.9,9.94,1427391,141.85,1069, 962436, 67.43,-0.5
RENUKA, EQ, 01-Dec-2021,24.8,24.8,25.55,24.75,24.95,24.9,25.0,3086534,771.53,7028, 1819826, 58.96,0.4
RENUKA, EQ, 01-Dec-2022,58.45,58.9,58.95,56.95,57.4,57.35,57.91,6231276,3608.38,16391, 2668749, 42.83,-1.88
RENUKA, EQ, 01-Dec-2023,49.95,50.15,50.55,49.7, 49.80,49.8,50.08,6474687,3242.43,16108, 2531531, 39.10,-0.3
RENUKA, EQ, 02-Jan-2020,9.45,9.6,9.8,9.15, 9.30,9.25,9.53,3015561,287.49,2697, 1825635, 60.54,-2.12
RENUKA, EQ, 02-Jan-2023,58.15,58.4,58.8,57.2, 58.00,58.0,58.05,9525930,5529.45,24864, 2444847, 25.67,-0.26
RENUKA, EQ, 02-Jan-2024,47.4,47.5,47.55,46.7, 47.25,47.2,47.09,6116139,2880.17,19052, 2802115, 45.82,-0.42
RENUKA, EQ, 02-Jan-2025,40.14,40.2,40.47,39.87,40.14,40.05,40.08,2576767,1032.89,11903, 896872, 34.81,-0.22
RENUKA, EQ, 02-Feb-2021,9.95,10.0,10.05,9.85, 9.90,9.9,9.97,1873701,186.72,1465, 1389035, 74.13,-0.5
RENUKA, EQ, 02-Feb-2022,32.35,32.55,32.9,32.05, 32.20,32.2,32.4,2800817,907.34,7144, 1705161, 60.88,-0.46
RENUKA, EQ, 02-Feb-2023,49.35,47.85,50.55,47.85, 48.75,48.45,49.12,7836294,3849.4,22378, 2400294, 30.63,-1.82
RENUKA, EQ, 02-Feb-2024,47.1,47.45,50.7,47.1, 49.50,49.7,49.38,47765484,23584.66,66791, 16507989, 34.56,5.52
RENUKA, EQ, 02-Mar-2020,6.6,6.85,6.85,6.35, 6.45,6.4,6.5,1557871,101.24,1478, 997548, 64.03,-3.03
RENUKA, EQ, 02-Mar-2021,10.15,10.3,10.45,10.0,10.3,10.35,10.25,6225380,638.14,3978, 3309935, 53.17,1.97
RENUKA, EQ, 02-Mar-2022,32.9,32.75,34.25,32.05, 32.90,33.0,33.38,8381422,2797.82,15620, 3390969, 40.46,0.3
RENUKA, EQ, 02-Mar-2023,44.95,45.1,45.6,43.85, 44.15,44.0,44.65,4859588,2169.88,12233, 1700037, 34.98,-2.11
RENUKA, EQ, 02-Apr-2024,42.35,42.4,42.75,41.75, 42.50,42.55,42.4,6401152,2714.1,18256, 2261879, 35.34,0.47
RENUKA, EQ, 02-Apr-2025,28.66,28.54,28.93,27.9,28.72,28.58,28.53,5577549,1591.23,15996, 1640227, 29.41,-0.28
RENUKA, EQ, 02-May-2022,53.8,52.75,57.2,50.6,56.1,55.85,54.31,19086501,10366.39,53329, 6034191, 31.61,3.81
RENUKA, EQ, 02-May-2023,46.85,47.1,48.25,46.75, 47.45,47.35,47.49,8449923,4012.48,17192, 2492356, 29.50,1.07
RENUKA, EQ, 02-May-2024,44.75,44.9,45.1,44.55, 44.70,44.65,44.75,4152990,1858.44,11422, 1524217, 36.70,-0.22
RENUKA, EQ, 02-Jun-2020,5.25,5.5,5.5,5.4,5.5,5.5,5.49,874181,48.03,803, 599394, 68.57,4.76
RENUKA, EQ, 02-Jun-2021,15.1,15.3,15.6,14.8, 14.95,14.9,15.13,9347619,1414.69,7480, 5662895, 60.58,-1.32
RENUKA, EQ, 02-Jun-2022,52.3,52.3,55.5,51.6,52.45,52.55,53.31,39036010,20811.65,90040, 8722840, 22.35,0.48
RENUKA, EQ, 02-Jun-2023,41.85,42.15,42.85,41.3, 41.55,41.6,41.79,7495599,3132.63,15476, 3943785, 52.61,-0.6
RENUKA, EQ, 02-Jul-2020,11.7,12.25,12.25,11.15, 11.15,11.15,11.68,9623846,1124.11,10339, 4226686, 43.92,-4.7
RENUKA, EQ, 02-Jul-2024,49.12,49.19,50.58,47.95,49.56,49.52,49.31,23452079,11563.1,59997, 4337543, 18.50,0.81
RENUKA, EQ, 02-Aug-2022,49.9,49.45,51.35,49.25,50.15,50.35,50.4,19948973,10053.61,36181, 4341596, 21.76,0.9
RENUKA, EQ, 02-Aug-2023,46.1,45.9,46.65,44.25, 44.40,44.5,45.26,9049489,4096.19,19675, 4127632, 45.61,-3.47
RENUKA, EQ, 02-Aug-2024,48.81,48.0,49.2,47.64,48.75,48.64,48.55,14981482,7273.91,44741, 3836230, 25.61,-0.35
RENUKA, EQ, 02-Sep-2020,10.25,10.25,10.75,10.2, 10.45,10.4,10.48,1757816,184.25,1568, 936341, 53.27,1.46
RENUKA, EQ, 02-Sep-2022,47.6,48.0,48.9,47.3,47.7,47.7,48.15,13457983,6479.63,28504, 4056326, 30.14,0.21
RENUKA, EQ, 02-Sep-2024,49.97,50.47,50.55,48.81,49.3,49.25,49.41,19054317,9415.6,67065, 3887902, 20.40,-1.44
RENUKA, EQ, 02-Nov-2020,9.9,9.9,10.1,9.8, 10.10,10.05,10.01,704055,70.48,1063, 441012, 62.64,1.52
RENUKA, EQ, 02-Nov-2021,25.7,25.15,26.95,24.9, 26.95,26.95,26.2,11315049,2964.59,17733, 4628950, 40.91,4.86
