SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
RMCL, EQ, 01-Jan-2020,5.85,6.1,6.1,5.9, 6.10,6.1,6.1,524538,31.99,988, 332882, 63.46,4.27
RMCL, EQ, 01-Dec-2020,2.85,2.85,2.9,2.8,2.9,2.85,2.89,70932,2.05,68, 63065, 88.91,0.0
RMCL, EQ, 02-Feb-2021,3.0,2.85,3.0,2.85, 2.90,2.9,2.92,86570,2.53,90, 76718, 88.62,-3.33
RMCL, EQ, 02-Dec-2020,2.85,2.85,2.9,2.8, 2.85,2.8,2.82,45025,1.27,57, 44446, 98.71,-1.75
RMCL, EQ, 03-Feb-2021,2.9,3.0,3.0,2.85, 3.00,3.0,2.96,60987,1.81,89, 56574, 92.76,3.45
RMCL, EQ, 03-Dec-2020,2.8,2.9,2.9,2.75,2.85,2.85,2.82,53713,1.52,52, 48713, 90.69,1.79
RMCL, EQ, 04-Feb-2021,3.0,2.9,3.0,2.9, 3.00,2.95,2.93,21755,0.64,53, 17094, 78.58,-1.67
RMCL, EQ, 04-Dec-2020,2.85,2.9,2.9,2.8, 2.85,2.85,2.84,49320,1.4,66, 41815, 84.78,0.0
RMCL, EQ, 05-Feb-2021,2.95,3.0,3.0,2.9, 3.00,2.95,2.95,40285,1.19,68, 26916, 66.81,0.0
RMCL, EQ, 07-Dec-2020,2.85,2.95,2.95,2.8, 2.90,2.9,2.88,81907,2.36,430, 81152, 99.08,1.75
RMCL, EQ, 08-Feb-2021,2.95,2.95,3.05,2.9, 2.95,2.95,2.98,47512,1.42,71, 35652, 75.04,0.0
RMCL, EQ, 08-Dec-2020,2.9,2.9,2.95,2.8,2.85,2.9,2.87,125362,3.6,220, 100717, 80.34,0.0
RMCL, EQ, 09-Feb-2021,2.95,3.0,3.05,3.0, 3.05,3.05,3.04,24115,0.73,51, 21105, 87.52,3.39
RMCL, EQ, 09-Dec-2020,2.9,2.95,3.15,2.85,3.15,3.15,3.1,145221,4.51,91, 144204, 99.30,8.62
RMCL, EQ, 10-Feb-2021,3.05,3.15,3.2,2.9,2.95,2.95,2.96,196028,5.8,182, 161707, 82.49,-3.28
RMCL, EQ, 10-Dec-2020,3.15,3.45,3.45,3.3, 3.45,3.45,3.45,93578,3.23,120, 90577, 96.79,9.52
RMCL, EQ, 11-Feb-2021,2.95,2.95,3.0,2.85,2.95,2.9,2.88,243802,7.03,155, 223272, 91.58,-1.69
RMCL, EQ, 11-Dec-2020,3.45,3.75,3.75,3.75, 3.75,3.75,3.75,12060,0.45,31, 12060, 100.00,8.7
RMCL, EQ, 12-Feb-2021,2.9,2.9,2.95,2.8,2.8,2.8,2.82,224184,6.33,194, 162436, 72.46,-3.45
RMCL, EQ, 14-Dec-2020,3.75,3.9,3.9,3.9,3.9,3.9,3.9,143031,5.58,110, 138029, 96.50,4.0
RMCL, EQ, 15-Feb-2021,2.8,2.9,2.9,2.7, 2.70,2.7,2.72,228910,6.24,198, 166815, 72.87,-3.57
RMCL, EQ, 15-Dec-2020,3.9,4.05,4.05,3.75,3.75,3.75,3.87,170864,6.62,348, 150173, 87.89,-3.85
RMCL, EQ, 16-Feb-2021,2.7,2.7,2.7,2.6, 2.65,2.6,2.6,185817,4.84,153, 136248, 73.32,-3.7
RMCL, EQ, 16-Dec-2020,3.75,3.85,3.85,3.6, 3.60,3.6,3.61,68599,2.47,142, 68494, 99.85,-4.0
RMCL, EQ, 17-Feb-2021,2.6,2.5,2.6,2.5, 2.50,2.5,2.5,192052,4.8,133, 160902, 83.78,-3.85
RMCL, EQ, 18-Feb-2021,2.5,2.45,2.5,2.4,2.4,2.4,2.4,318441,7.65,237, 303290, 95.24,-4.0
RMCL, EQ, 19-Feb-2021,2.4,2.3,2.5,2.3,2.5,2.5,2.38,1082463,25.79,642, 673042, 62.18,4.17
RMCL, EQ, 24-Nov-2020,2.9,3.0,3.0,2.8, 2.85,2.85,2.88,14253,0.41,39, 12831, 90.02,-1.72
RMCL, EQ, 25-Nov-2020,2.85,2.9,2.9,2.8, 2.80,2.8,2.83,37431,1.06,74, 34908, 93.26,-1.75
RMCL, EQ, 26-Nov-2020,2.8,2.8,2.8,2.7, 2.80,2.75,2.74,67425,1.84,50, 52094, 77.26,-1.79
RMCL, EQ, 27-Nov-2020,2.75,2.85,2.85,2.7,2.85,2.85,2.8,46501,1.3,52, 46186, 99.32,3.64
