SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
RNAVAL, EQ, 01-Jan-2021,3.15,3.2,3.3,3.15, 3.20,3.2,3.2,3330778,106.59,1202, 1461784, 43.89,1.59
RNAVAL, EQ, 01-Jun-2020,1.05,1.1,1.1,1.1, 1.10,1.1,1.1,2435934,26.8,362, 2435934, 100.00,4.76
RNAVAL, EQ, 01-Sep-2020,4.05,4.25,4.25,3.85, 3.85,3.85,3.98,10349455,412.05,3993, 6018704, 58.15,-4.94
RNAVAL, EQ, 01-Oct-2020,3.0,3.0,3.0,2.85, 2.90,2.9,2.89,1266030,36.65,774, 749493, 59.20,-3.33
RNAVAL, EQ, 01-Dec-2020,3.05,2.9,3.2,2.9,3.2,3.15,3.09,14362609,443.55,3466, 6365590, 44.32,3.28
RNAVAL, EQ, 02-Jun-2020,1.1,1.15,1.15,1.15,1.15,1.15,1.15,1642990,18.89,318, 1642990, 100.00,4.55
RNAVAL, EQ, 02-Sep-2020,3.85,3.75,3.8,3.7, 3.70,3.7,3.7,2117756,78.43,1222, 1897346, 89.59,-3.9
RNAVAL, EQ, 02-Nov-2020,2.25,2.3,2.35,2.2, 2.35,2.35,2.32,2549600,59.12,1211, 1775637, 69.64,4.44
RNAVAL, EQ, 02-Dec-2020,3.15,3.2,3.3,3.2, 3.30,3.3,3.29,2353985,77.43,1088, 1469159, 62.41,4.76
RNAVAL, EQ, 03-Jun-2020,1.15,1.2,1.2,1.2,1.2,1.2,1.2,874956,10.5,215, 874956, 100.00,4.35
RNAVAL, EQ, 03-Sep-2020,3.7,3.55,3.55,3.55, 3.55,3.55,3.55,1705202,60.53,1032, 1662178, 97.48,-4.05
RNAVAL, EQ, 03-Nov-2020,2.35,2.35,2.4,2.25,2.25,2.25,2.31,2339441,53.94,1283, 1469731, 62.82,-4.26
RNAVAL, EQ, 03-Dec-2020,3.3,3.4,3.45,3.4,3.45,3.45,3.44,1702615,58.6,639, 1221539, 71.74,4.55
RNAVAL, EQ, 04-Jan-2021,3.2,3.15,3.3,3.15,3.3,3.25,3.25,4455865,144.6,1980, 2647034, 59.41,1.56
RNAVAL, EQ, 04-Mar-2020,1.3,1.25,1.3,1.25, 1.25,1.25,1.25,625854,7.84,314, 624864, 99.84,-3.85
RNAVAL, EQ, 04-Jun-2020,1.2,1.25,1.25,1.25,1.25,1.25,1.25,1080955,13.51,265, 1080955, 100.00,4.17
RNAVAL, EQ, 04-Sep-2020,3.55,3.45,3.5,3.4,3.4,3.4,3.41,2463464,83.93,1295, 2101570, 85.31,-4.23
RNAVAL, EQ, 04-Nov-2020,2.25,2.2,2.25,2.15,2.15,2.15,2.16,2337667,50.46,684, 1523985, 65.19,-4.44
