SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
RUPA, EQ, 01-Jan-2020,195.65,196.65,201.0,194.1, 195.00,195.0,197.38,40902,80.73,896, 19225, 47.00,-0.33
RUPA, EQ, 01-Jan-2021,306.65,307.1,324.0,307.1, 312.00,310.95,315.0,439631,1384.83,9021, 110447, 25.12,1.4
RUPA, EQ, 01-Jan-2024,268.45,269.3,277.9,268.8, 273.60,274.7,274.64,531503,1459.74,13131, 187141, 35.21,2.33
RUPA, EQ, 01-Jan-2025,248.95,248.25,252.44,248.25,252.0,251.74,250.75,62576,156.91,1761, 28010, 44.76,1.12
RUPA, EQ, 01-Feb-2021,293.85,293.85,297.0,285.65, 290.00,289.35,289.57,65255,188.96,2199, 28655, 43.91,-1.53
RUPA, EQ, 01-Feb-2022,506.95,508.0,522.3,502.2,515.35,516.85,512.56,505423,2590.61,11332, 166023, 32.85,1.95
RUPA, EQ, 01-Feb-2023,270.15,271.8,275.65,261.0, 266.20,265.2,269.87,75290,203.18,4864, 25658, 34.08,-1.83
RUPA, EQ, 01-Feb-2024,276.85,278.0,289.9,278.0, 279.60,279.7,284.05,1007662,2862.22,25488, 326322, 32.38,1.03
RUPA, EQ, 01-Mar-2021,307.85,320.65,320.65,303.0, 309.05,307.1,310.06,66732,206.91,2145, 31686, 47.48,-0.24
RUPA, EQ, 01-Mar-2023,205.0,206.05,243.0,206.05, 236.80,237.8,233.59,4204003,9820.07,67309, 307129, 7.31,16.0
RUPA, EQ, 01-Mar-2024,273.35,274.9,278.95,273.5, 274.10,274.3,275.25,141661,389.92,5914, 62072, 43.82,0.35
RUPA, EQ, 01-Apr-2020,115.65,115.65,120.3,115.65,119.9,118.85,118.72,11676,13.86,556, 7406, 63.43,2.77
RUPA, EQ, 01-Apr-2021,307.3,309.9,312.45,306.0, 306.00,307.5,309.67,46653,144.47,1176, 26438, 56.67,0.07
RUPA, EQ, 01-Apr-2022,438.15,439.0,458.8,435.0, 449.70,449.75,446.09,1236696,5516.78,23983, 424519, 34.33,2.65
RUPA, EQ, 01-Apr-2024,238.75,239.7,248.0,239.65, 246.25,247.3,245.23,120876,296.43,6122, 53517, 44.27,3.58
RUPA, EQ, 01-Apr-2025,178.58,178.0,190.0,178.0,187.1,187.47,185.2,240136,444.74,7830, 47983, 19.98,4.98
RUPA, EQ, 01-Jun-2020,147.1,153.8,155.0,147.5, 153.00,153.4,152.87,32846,50.21,1015, 20380, 62.05,4.28
RUPA, EQ, 01-Jun-2021,396.8,458.0,476.15,442.0, 476.15,476.15,462.31,5342358,24698.3,82072, 1557340, 29.15,20.0
RUPA, EQ, 01-Jun-2022,378.55,381.15,385.95,375.25,378.15,379.75,381.23,388364,1480.56,7713, 183126, 47.15,0.32
RUPA, EQ, 01-Jun-2023,265.15,266.3,270.65,263.05, 263.80,264.15,266.07,237141,630.97,6982, 107327, 45.26,-0.38
RUPA, EQ, 01-Jul-2020,165.3,167.85,167.85,162.55, 164.20,164.0,164.34,37085,60.94,1124, 20425, 55.08,-0.79
RUPA, EQ, 01-Jul-2021,473.2,476.85,486.95,472.1, 476.25,479.85,481.44,376888,1814.5,8097, 117467, 31.17,1.41
