SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
RUSTOMJEE, EQ, 01-Jan-2024,640.2,640.2,645.05,625.15, 635.00,634.6,634.51,33566,212.98,1330, 21694, 64.63,-0.87
RUSTOMJEE, EQ, 01-Jan-2025,674.45,684.85,690.3,670.35,679.8,680.5,683.14,19914,136.04,1160, 10051, 50.47,0.9
RUSTOMJEE, EQ, 01-Feb-2023,494.4,495.25,517.5,484.95, 492.10,497.65,501.84,66511,333.78,3982, 12002, 18.05,0.66
RUSTOMJEE, EQ, 01-Feb-2024,711.55,715.0,715.0,691.4, 695.00,695.9,699.12,39761,277.98,2052, 24215, 60.90,-2.2
RUSTOMJEE, EQ, 01-Mar-2023,453.15,450.95,456.95,449.15, 450.30,451.15,453.78,3310,15.02,406, 1849, 55.86,-0.44
RUSTOMJEE, EQ, 01-Mar-2024,665.8,666.0,680.0,662.0, 675.00,674.55,668.31,93673,626.03,1590, 70680, 75.45,1.31
RUSTOMJEE, EQ, 01-Apr-2024,604.95,608.0,649.0,607.75, 630.00,638.75,628.08,69023,433.52,2774, 22135, 32.07,5.59
RUSTOMJEE, EQ, 01-Apr-2025,531.85,540.0,540.0,530.05,534.55,535.8,535.32,17953,96.11,1372, 10607, 59.08,0.74
RUSTOMJEE, EQ, 01-Jun-2023,515.4,519.8,519.8,508.1, 509.00,509.65,513.03,7205,36.96,672, 3984, 55.29,-1.12
RUSTOMJEE, EQ, 01-Jul-2024,673.95,678.6,678.6,665.0,671.0,673.55,671.41,23203,155.79,1156, 15043, 64.83,-0.06
RUSTOMJEE, EQ, 01-Aug-2023,575.95,576.0,614.7,576.0, 603.00,603.05,601.63,71592,430.72,3621, 30839, 43.08,4.71
RUSTOMJEE, EQ, 01-Aug-2024,724.95,730.0,730.0,706.25,720.0,716.75,717.97,66748,479.23,5330, 42333, 63.42,-1.13
RUSTOMJEE, EQ, 01-Sep-2023,603.2,597.0,610.0,597.0, 604.45,606.2,605.72,23825,144.31,1607, 15054, 63.19,0.5
RUSTOMJEE, EQ, 01-Oct-2024,725.05,724.0,732.05,716.3,722.0,722.35,723.67,25875,187.25,1361, 18181, 70.26,-0.37
RUSTOMJEE, EQ, 01-Nov-2023,544.85,547.95,551.5,535.1, 536.05,537.4,543.12,5225,28.38,670, 2571, 49.21,-1.37
RUSTOMJEE, EQ, 01-Dec-2022,537.05,539.75,544.7,536.25,541.0,541.1,541.29,136774,740.34,4115, 76322, 55.80,0.75
RUSTOMJEE, EQ, 01-Dec-2023,549.2,549.2,579.0,545.0, 577.00,576.55,548.57,582523,3195.55,2558, 544931, 93.55,4.98
RUSTOMJEE, EQ, 02-Jan-2023,494.6,497.1,516.95,493.15, 507.40,507.3,499.63,145054,724.73,5239, 47858, 32.99,2.57
RUSTOMJEE, EQ, 02-Jan-2024,634.6,634.7,683.9,634.7, 657.80,659.4,661.98,122604,811.62,4088, 59773, 48.75,3.91
RUSTOMJEE, EQ, 02-Jan-2025,680.5,680.0,689.8,672.55,684.0,683.0,680.23,14611,99.39,1532, 6343, 43.41,0.37
