SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
SAKUMA, EQ, 01-Jan-2020,6.65,6.65,6.85,6.55, 6.75,6.8,6.81,67042,4.56,213, 43494, 64.88,2.26
SAKUMA, EQ, 01-Jan-2021,7.9,7.95,8.2,7.8, 7.95,7.95,8.05,609724,49.07,1163, 400559, 65.70,0.63
SAKUMA, EQ, 01-Jan-2024,17.75,19.1,19.55,18.65, 18.80,18.95,19.06,2978702,567.82,4982, 2164491, 72.67,6.76
SAKUMA, EQ, 01-Feb-2021,5.75,5.85,5.95,5.55, 5.75,5.65,5.72,434150,24.84,823, 247953, 57.11,-1.74
SAKUMA, EQ, 01-Feb-2022,13.0,13.0,13.25,12.45,12.75,12.7,12.7,442122,56.17,918, 267019, 60.39,-2.31
SAKUMA, EQ, 01-Feb-2023,15.1,15.25,15.65,14.25, 14.65,14.65,14.95,689024,102.99,1476, 343673, 49.88,-2.98
SAKUMA, EQ, 01-Feb-2024,25.5,25.75,26.9,25.55, 25.95,25.95,26.19,8392975,2198.33,19159, 2659858, 31.69,1.76
SAKUMA, EQ, 01-Mar-2021,5.15,5.2,5.35,5.1, 5.20,5.15,5.19,662906,34.42,738, 505788, 76.30,0.0
SAKUMA, EQ, 01-Mar-2023,12.6,12.6,13.2,12.4, 12.55,12.6,12.83,742670,95.27,1771, 261936, 35.27,0.0
SAKUMA, EQ, 01-Mar-2024,25.9,26.05,26.9,25.2, 25.35,26.0,26.3,993373,261.25,2453, 482522, 48.57,0.39
SAKUMA, EQ, 01-Apr-2020,3.3,3.45,3.5,3.15,3.5,3.45,3.42,95514,3.26,240, 76026, 79.60,4.55
SAKUMA, EQ, 01-Apr-2021,4.8,5.05,5.15,4.85, 5.00,5.0,5.03,243203,12.22,377, 139746, 57.46,4.17
SAKUMA, EQ, 01-Apr-2022,11.75,11.9,12.1,11.3, 11.95,11.9,11.81,177042,20.9,466, 111722, 63.10,1.28
SAKUMA, EQ, 01-Apr-2024,25.1,25.25,27.1,25.25, 26.60,26.65,26.56,895016,237.75,3289, 501730, 56.06,6.18
SAKUMA, EQ, 01-Jun-2021,6.85,6.95,6.95,6.5, 6.65,6.65,6.68,518698,34.64,759, 344165, 66.35,-2.92
SAKUMA, EQ, 01-Jun-2022,17.8,18.0,18.5,17.7,17.95,17.9,18.1,1173845,212.45,2072, 758022, 64.58,0.56
SAKUMA, EQ, 01-Jun-2023,13.9,13.9,14.4,13.85, 13.95,13.95,14.04,185245,26.01,1430, 84718, 45.73,0.36
SAKUMA, EQ, 01-Jul-2021,10.6,11.0,11.5,10.3, 11.35,11.3,11.01,2069392,227.89,2620, 1136388, 54.91,6.6
SAKUMA, EQ, 01-Jul-2022,13.25,13.45,13.45,12.8,13.25,13.15,13.14,111101,14.59,580, 75585, 68.03,-0.75
SAKUMA, EQ, 01-Jul-2024,35.21,35.4,37.45,35.26,35.45,35.38,35.87,28080015,10073.17,47352, 6708571, 23.89,0.48
SAKUMA, EQ, 01-Aug-2022,13.7,13.8,14.05,13.5, 13.80,13.8,13.82,250481,34.62,938, 150869, 60.23,0.73
SAKUMA, EQ, 01-Aug-2023,14.6,14.7,14.8,14.4, 14.50,14.45,14.54,284887,41.41,831, 225353, 79.10,-1.03
SAKUMA, EQ, 01-Aug-2024,31.46,31.98,32.89,31.21,31.65,31.51,32.11,9112432,2926.24,26456, 3114513, 34.18,0.16
SAKUMA, EQ, 01-Sep-2020,6.7,6.4,6.85,6.4, 6.50,6.55,6.53,205703,13.44,414, 157363, 76.50,-2.24
SAKUMA, EQ, 01-Sep-2022,16.65,16.6,16.9,16.35,16.45,16.5,16.51,342472,56.55,749, 231759, 67.67,-0.9
SAKUMA, EQ, 01-Sep-2023,18.0,18.05,18.15,17.0, 17.35,17.3,17.41,1508459,262.55,3464, 900929, 59.73,-3.89
SAKUMA, EQ, 01-Oct-2020,5.95,5.95,6.05,5.9, 6.05,6.0,5.98,97732,5.85,183, 69449, 71.06,0.84
SAKUMA, EQ, 01-Nov-2021,10.0,10.2,10.5,10.1, 10.50,10.5,10.34,162863,16.85,417, 133605, 82.04,5.0
SAKUMA, EQ, 01-Nov-2022,15.35,15.55,16.85,15.2,16.4,16.35,16.33,1707947,278.96,3496, 783157, 45.85,6.51
SAKUMA, EQ, 01-Dec-2020,5.2,5.3,5.3,5.1,5.2,5.25,5.2,447066,23.24,481, 316127, 70.71,0.96
SAKUMA, EQ, 01-Dec-2021,12.3,12.0,12.55,11.95,12.2,12.25,12.29,246050,30.25,732, 157881, 64.17,-0.41
SAKUMA, EQ, 01-Dec-2022,15.0,15.05,16.0,15.05,15.85,15.85,15.73,1036395,163.0,1573, 636195, 61.39,5.67
SAKUMA, EQ, 02-Jan-2020,6.8,6.9,7.0,6.6, 6.80,6.7,6.73,135852,9.15,1684, 75485, 55.56,-1.47
SAKUMA, EQ, 02-Jan-2023,17.25,17.25,17.8,16.95, 17.20,17.15,17.19,872491,150.0,1367, 493248, 56.53,-0.58
SAKUMA, EQ, 02-Jan-2024,18.95,19.4,19.4,18.25, 18.80,18.7,18.76,1982390,371.93,3889, 1322205, 66.70,-1.32
SAKUMA, EQ, 02-Feb-2021,5.65,5.6,6.1,5.55, 5.55,5.6,5.71,712814,40.7,1034, 495163, 69.47,-0.88
SAKUMA, EQ, 02-Feb-2022,12.7,12.9,13.0,12.6, 12.85,12.8,12.8,289149,37.01,825, 164963, 57.05,0.79
SAKUMA, EQ, 02-Feb-2023,14.65,14.85,15.1,14.05, 14.20,14.2,14.47,520605,75.34,1319, 287278, 55.18,-3.07
SAKUMA, EQ, 02-Feb-2024,25.95,26.2,27.1,26.1, 26.85,26.85,26.71,6822539,1822.27,16999, 2548306, 37.35,3.47
SAKUMA, EQ, 02-Mar-2020,5.75,5.65,6.1,5.4, 5.45,5.55,5.76,185347,10.67,454, 129909, 70.09,-3.48
SAKUMA, EQ, 02-Mar-2021,5.15,5.25,5.45,5.15,5.3,5.25,5.25,1076196,56.47,954, 669393, 62.20,1.94
SAKUMA, EQ, 02-Mar-2022,11.9,11.85,12.45,11.4, 11.65,11.7,11.87,254493,30.2,841, 125994, 49.51,-1.68
SAKUMA, EQ, 02-Mar-2023,12.6,12.55,12.85,12.5, 12.70,12.7,12.72,235699,29.97,670, 137643, 58.40,0.79
SAKUMA, EQ, 02-Apr-2024,26.65,26.85,27.75,26.55, 27.40,27.35,27.23,909523,247.71,2619, 587710, 64.62,2.63
SAKUMA, EQ, 02-May-2022,16.4,16.25,17.0,16.25,16.6,16.6,16.57,870630,144.24,1707, 500284, 57.46,1.22
SAKUMA, EQ, 02-May-2023,12.45,12.6,12.95,12.5, 12.60,12.65,12.69,288047,36.56,897, 184689, 64.12,1.61
SAKUMA, EQ, 02-May-2024,28.3,28.45,28.95,28.2, 28.20,28.2,28.29,3579541,1012.78,1812, 1367909, 38.21,-0.35
SAKUMA, EQ, 02-Jun-2021,6.65,6.7,6.8,6.55, 6.80,6.75,6.7,346006,23.19,590, 237353, 68.60,1.5
SAKUMA, EQ, 02-Jun-2022,17.9,18.0,18.05,17.7,18.0,17.85,17.85,310821,55.49,1075, 185163, 59.57,-0.28
SAKUMA, EQ, 02-Jun-2023,13.95,14.05,14.2,13.8, 13.80,13.9,14.0,113008,15.82,546, 76606, 67.79,-0.36
SAKUMA, EQ, 02-Jul-2021,11.3,11.45,12.4,11.3,12.4,12.4,12.13,3789721,459.64,4297, 1918621, 50.63,9.73
SAKUMA, EQ, 02-Jul-2024,35.38,37.0,38.15,35.06,35.06,35.09,35.71,49181771,17561.75,84834, 13298714, 27.04,-0.82
SAKUMA, EQ, 02-Aug-2022,13.8,13.95,14.9,13.8,14.25,14.2,14.18,385292,54.63,1251, 262437, 68.11,2.9
SAKUMA, EQ, 02-Aug-2023,14.45,14.5,14.65,14.15, 14.35,14.3,14.38,299976,43.15,993, 188520, 62.85,-1.04
SAKUMA, EQ, 02-Aug-2024,31.51,31.03,31.4,30.62,31.2,31.04,31.09,2400382,746.2,9381, 922918, 38.45,-1.49
SAKUMA, EQ, 02-Sep-2020,6.55,6.45,6.85,6.45, 6.60,6.6,6.68,325956,21.77,434, 242166, 74.29,0.76
SAKUMA, EQ, 02-Sep-2022,16.5,16.7,16.8,15.95,16.25,16.2,16.22,382345,62.02,1117, 261187, 68.31,-1.82
SAKUMA, EQ, 02-Nov-2020,5.3,5.3,5.3,5.0, 5.20,5.15,5.13,167466,8.59,408, 106249, 63.45,-2.83
SAKUMA, EQ, 02-Nov-2021,10.5,10.7,11.0,10.2, 11.00,11.0,10.68,424753,45.38,580, 276371, 65.07,4.76
SAKUMA, EQ, 02-Nov-2022,16.35,16.35,16.5,16.05,16.15,16.1,16.31,460634,75.14,1152, 278612, 60.48,-1.53
SAKUMA, EQ, 02-Dec-2020,5.25,5.15,5.3,5.1, 5.15,5.2,5.19,280763,14.56,695, 183881, 65.49,-0.95
SAKUMA, EQ, 02-Dec-2021,12.25,12.25,12.6,11.9, 12.20,12.15,12.2,427056,52.08,770, 337932, 79.13,-0.82
SAKUMA, EQ, 02-Dec-2022,15.85,16.0,16.35,15.6, 15.75,15.7,15.83,313688,49.66,1025, 197200, 62.87,-0.95
SAKUMA, EQ, 03-Jan-2020,6.7,6.75,6.8,6.65, 6.75,6.7,6.67,152879,10.2,1575, 88398, 57.82,0.0
SAKUMA, EQ, 03-Jan-2022,12.95,12.95,13.55,12.8, 13.55,13.55,13.28,908810,120.68,1604, 562539, 61.90,4.63
SAKUMA, EQ, 03-Jan-2023,17.15,17.3,17.7,17.1, 17.25,17.25,17.37,556571,96.69,1132, 240540, 43.22,0.58
SAKUMA, EQ, 03-Jan-2024,18.7,18.8,21.2,18.8, 20.55,20.45,20.21,5990863,1210.94,12390, 2665812, 44.50,9.36
SAKUMA, EQ, 03-Feb-2020,6.1,6.05,6.2,5.75, 5.90,5.9,5.97,57973,3.46,245, 53480, 92.25,-3.28
SAKUMA, EQ, 03-Feb-2021,5.6,5.65,5.85,5.5, 5.65,5.6,5.67,506780,28.72,632, 314120, 61.98,0.0
SAKUMA, EQ, 03-Feb-2022,12.8,12.65,13.1,12.35, 12.80,12.55,12.69,526372,66.8,923, 433997, 82.45,-1.95
SAKUMA, EQ, 03-Feb-2023,14.2,14.25,14.4,13.5, 13.90,13.9,13.89,526539,73.13,1583, 313705, 59.58,-2.11
SAKUMA, EQ, 03-Mar-2020,5.55,5.3,5.65,5.3, 5.45,5.5,5.52,85658,4.73,313, 53855, 62.87,-0.9
SAKUMA, EQ, 03-Mar-2021,5.25,5.3,5.65,5.25,5.3,5.3,5.36,951513,50.97,800, 545590, 57.34,0.95
SAKUMA, EQ, 03-Mar-2022,11.7,11.75,12.3,11.75,11.85,11.95,11.99,195045,23.38,604, 116075, 59.51,2.14
SAKUMA, EQ, 03-Mar-2023,12.7,12.7,12.95,12.7, 12.90,12.85,12.84,170492,21.9,679, 95396, 55.95,1.18
SAKUMA, EQ, 03-Apr-2020,3.45,3.75,3.8,3.25, 3.65,3.65,3.61,86293,3.11,315, 49239, 57.06,5.8
SAKUMA, EQ, 03-Apr-2023,10.2,10.7,11.5,9.25, 10.85,10.8,10.7,724738,77.53,1754, 395848, 54.62,5.88
SAKUMA, EQ, 03-Apr-2024,27.35,27.45,27.7,26.85, 26.95,27.05,27.21,585411,159.28,2000, 369196, 63.07,-1.1
SAKUMA, EQ, 03-May-2021,5.45,5.5,5.7,5.05,5.4,5.4,5.41,644752,34.87,834, 461430, 71.57,-0.92
SAKUMA, EQ, 03-May-2023,12.65,12.65,12.85,12.5,12.6,12.55,12.66,307432,38.92,611, 157146, 51.12,-0.79
SAKUMA, EQ, 03-May-2024,28.2,28.3,28.5,28.2, 28.50,28.35,28.26,5574980,1575.36,1992, 2499415, 44.83,0.53
SAKUMA, EQ, 03-Jun-2021,6.75,6.85,7.05,6.75, 6.90,6.9,6.91,843922,58.33,982, 516439, 61.20,2.22
SAKUMA, EQ, 03-Jun-2022,17.85,18.25,18.35,17.3, 17.40,17.5,17.87,339134,60.6,1014, 207227, 61.10,-1.96
SAKUMA, EQ, 03-Jun-2024,34.9,37.1,37.65,32.05,32.85,32.65,33.78,13166055,4447.43,27917, 4407752, 33.48,-6.45
SAKUMA, EQ, 03-Jul-2023,13.45,13.45,13.75,13.35, 13.45,13.45,13.55,315452,42.73,981, 227357, 72.07,0.0
SAKUMA, EQ, 03-Jul-2024,35.09,35.5,36.05,31.05,31.07,31.12,32.59,69724060,22721.44,95468, 19455656, 27.90,-11.31
SAKUMA, EQ, 03-Aug-2022,14.2,14.5,14.8,14.0, 14.20,14.15,14.31,320172,45.81,1065, 165786, 51.78,-0.35
