SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
SANDESH, EQ, 01-Jan-2020,624.0,616.3,640.0,615.3, 640.00,630.35,628.5,555,3.49,320, 219, 39.46,1.02
SANDESH, EQ, 01-Jan-2021,633.0,635.05,638.0,621.2, 638.00,633.1,631.5,1049,6.62,168, 659, 62.82,0.02
SANDESH, EQ, 01-Jan-2024,1123.15,1125.95,1138.85,1117.55, 1119.00,1123.3,1125.7,2771,31.19,324, 1960, 70.73,0.01
SANDESH, EQ, 01-Jan-2025,1595.55,1615.0,1622.9,1602.1,1602.1,1611.85,1612.73,986,15.9,188, 492, 49.90,1.02
SANDESH, EQ, 01-Feb-2021,672.0,714.05,714.3,650.0, 652.95,658.75,671.61,1898,12.75,390, 726, 38.25,-1.97
SANDESH, EQ, 01-Feb-2022,741.9,742.4,758.95,733.7,739.05,741.4,745.97,1782,13.29,342, 751, 42.14,-0.07
SANDESH, EQ, 01-Feb-2023,953.7,969.65,989.75,915.25, 930.00,934.4,955.52,8364,79.92,636, 5383, 64.36,-2.02
SANDESH, EQ, 01-Feb-2024,1273.7,1305.0,1335.0,1275.4, 1290.00,1284.05,1288.86,1869,24.09,347, 1008, 53.93,0.81
SANDESH, EQ, 01-Mar-2021,687.55,692.85,712.85,688.6, 694.80,695.3,700.42,1629,11.41,346, 639, 39.23,1.13
SANDESH, EQ, 01-Mar-2023,870.45,871.4,919.0,862.0, 867.00,875.9,888.78,2086,18.54,471, 673, 32.26,0.63
SANDESH, EQ, 01-Mar-2024,1298.8,1316.9,1324.35,1296.0, 1313.40,1301.95,1310.53,2742,35.93,514, 1427, 52.04,0.24
SANDESH, EQ, 01-Apr-2020,458.45,450.0,460.05,444.0,444.0,444.25,453.77,285,1.29,225, 39, 13.68,-3.1
SANDESH, EQ, 01-Apr-2021,648.45,663.7,675.0,644.4, 651.00,657.7,661.49,1080,7.14,200, 559, 51.76,1.43
SANDESH, EQ, 01-Apr-2022,653.95,644.1,674.0,644.1, 673.05,669.15,666.21,3443,22.94,302, 2091, 60.73,2.32
SANDESH, EQ, 01-Apr-2024,1173.1,1173.15,1232.9,1173.15, 1209.95,1206.6,1212.03,1748,21.19,368, 1036, 59.27,2.86
SANDESH, EQ, 01-Apr-2025,1084.65,1097.2,1108.6,1078.65,1107.0,1106.7,1101.42,639,7.04,112, 360, 56.34,2.03
SANDESH, EQ, 01-Jun-2020,449.85,454.95,474.0,441.15, 465.00,465.0,461.52,581,2.68,48, 483, 83.13,3.37
SANDESH, EQ, 01-Jun-2021,794.25,794.75,825.0,765.1, 790.00,782.65,783.96,2496,19.57,470, 1283, 51.40,-1.46
