SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
SANSERA, EQ, 01-Jan-2024,1018.95,1018.95,1066.0,1015.65, 1040.05,1047.0,1049.05,347483,3645.26,25414, 159229, 45.82,2.75
SANSERA, EQ, 01-Jan-2025,1489.85,1495.0,1495.0,1455.55,1461.0,1460.95,1468.77,89580,1315.72,14311, 61209, 68.33,-1.94
SANSERA, EQ, 01-Feb-2022,745.8,750.0,754.75,738.1,740.0,740.7,743.82,21818,162.29,2824, 10641, 48.77,-0.68
SANSERA, EQ, 01-Feb-2023,752.95,752.95,759.65,711.2, 724.00,726.45,732.27,43986,322.1,6581, 19982, 45.43,-3.52
SANSERA, EQ, 01-Feb-2024,1018.5,1019.0,1040.0,1012.6, 1026.50,1025.75,1022.45,205715,2103.33,13649, 128994, 62.71,0.71
SANSERA, EQ, 01-Mar-2023,728.75,730.0,744.7,727.25, 744.00,743.15,740.89,37121,275.02,5225, 19508, 52.55,1.98
SANSERA, EQ, 01-Mar-2024,1026.2,1029.7,1036.45,1010.05, 1019.00,1019.1,1022.02,74809,764.57,8764, 37012, 49.48,-0.69
SANSERA, EQ, 01-Apr-2022,672.0,690.0,726.85,681.15, 704.00,708.9,706.28,155280,1096.72,11488, 27359, 17.62,5.49
SANSERA, EQ, 01-Apr-2024,1018.35,1026.0,1033.95,1015.0, 1032.90,1029.8,1028.96,79162,814.55,11830, 54725, 69.13,1.12
SANSERA, EQ, 01-Apr-2025,1216.75,1207.1,1219.35,1175.0,1179.5,1183.25,1195.16,45445,543.14,5674, 23873, 52.53,-2.75
SANSERA, EQ, 01-Jun-2022,691.35,699.95,708.5,687.0,698.5,695.35,700.18,47016,329.2,5717, 23857, 50.74,0.58
SANSERA, EQ, 01-Jun-2023,786.65,790.0,828.0,790.0, 811.00,814.4,811.78,447673,3634.12,28752, 239859, 53.58,3.53
SANSERA, EQ, 01-Jul-2022,663.3,668.75,668.75,654.0,654.0,657.05,658.6,12973,85.44,2810, 3256, 25.10,-0.94
