SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
SATHAISPAT, EQ, 01-Jan-2020,2.1,2.2,2.2,2.2, 2.20,2.2,2.2,1258,0.03,5, 1258, 100.00,4.76
SATHAISPAT, EQ, 01-Apr-2020,1.25,1.2,1.25,1.2,1.25,1.25,1.2,1240,0.01,3, 1240, 100.00,0.0
SATHAISPAT, EQ, 04-May-2020,1.75,1.75,1.75,1.75, 1.75,1.75,1.75,1000,0.02,4, 1000, 100.00,0.0
SATHAISPAT, EQ, 05-May-2020,1.75,1.8,1.8,1.8, 1.80,1.8,1.8,1066,0.02,8, 1066, 100.00,2.86
SATHAISPAT, EQ, 06-May-2020,1.8,1.85,1.85,1.85, 1.85,1.85,1.85,1200,0.02,2, 1200, 100.00,2.78
SATHAISPAT, EQ, 07-May-2020,1.85,1.9,1.9,1.9, 1.90,1.9,1.9,5,0.0,1, 5, 100.00,2.7
SATHAISPAT, EQ, 08-Apr-2020,1.25,1.2,1.3,1.2, 1.30,1.3,1.3,4325,0.06,3, 4325, 100.00,4.0
SATHAISPAT, EQ, 09-Apr-2020,1.3,1.35,1.35,1.35, 1.35,1.35,1.35,302,0.0,2, 302, 100.00,3.85
SATHAISPAT, EQ, 11-Mar-2020,1.3,1.25,1.25,1.25, 1.25,1.25,1.25,9308,0.12,8, 9308, 100.00,-3.85
SATHAISPAT, EQ, 11-May-2020,1.9,1.95,1.95,1.95, 1.95,1.95,1.95,6736,0.13,10, 6736, 100.00,2.63
SATHAISPAT, EQ, 12-Mar-2020,1.25,1.2,1.2,1.2, 1.20,1.2,1.2,17880,0.21,13, 17880, 100.00,-4.0
SATHAISPAT, EQ, 12-May-2020,1.95,2.0,2.0,1.95, 2.00,2.0,2.0,6433,0.13,13, 6433, 100.00,2.56
SATHAISPAT, EQ, 13-Mar-2020,1.2,1.15,1.25,1.15, 1.25,1.25,1.18,28806,0.34,22, 28780, 99.91,4.17
SATHAISPAT, EQ, 13-Apr-2020,1.35,1.3,1.4,1.3, 1.40,1.4,1.4,4742,0.07,12,4742,100.0,3.7
SATHAISPAT, EQ, 13-May-2020,2.0,2.0,2.1,2.0,2.1,2.1,2.09,3585,0.08,19, 3585, 100.00,5.0
SATHAISPAT, EQ, 14-May-2020,2.1,2.2,2.2,2.2,2.2,2.2,2.2,5039,0.11,13, 5039, 100.00,4.76
SATHAISPAT, EQ, 15-Apr-2020,1.4,1.45,1.45,1.45, 1.45,1.45,1.45,1204,0.02,5, 1204, 100.00,3.57
SATHAISPAT, EQ, 15-May-2020,2.2,2.25,2.3,2.25,2.3,2.3,2.29,7000,0.16,11, 7000, 100.00,4.55
SATHAISPAT, EQ, 16-Mar-2020,1.25,1.3,1.3,1.2, 1.20,1.25,1.25,29568,0.37,34, 29528, 99.86,0.0
SATHAISPAT, EQ, 16-Apr-2020,1.45,1.5,1.5,1.5, 1.50,1.5,1.5,120,0.0,2, 120, 100.00,3.45
SATHAISPAT, EQ, 17-Mar-2020,1.25,1.3,1.3,1.2, 1.20,1.2,1.28,3205,0.04,11, 3195, 99.69,-4.0
SATHAISPAT, EQ, 18-Mar-2020,1.2,1.2,1.2,1.2, 1.20,1.2,1.2,1331,0.02,7, 1323, 99.40,0.0
SATHAISPAT, EQ, 18-May-2020,2.3,2.4,2.4,2.4, 2.40,2.4,2.4,1258,0.03,9, 1158, 92.05,4.35
SATHAISPAT, EQ, 19-Mar-2020,1.2,1.2,1.2,1.2, 1.20,1.2,1.2,614,0.01,4, 614, 100.00,0.0
SATHAISPAT, EQ, 20-Mar-2020,1.2,1.15,1.15,1.15, 1.15,1.15,1.15,8809,0.1,18, 8809, 100.00,-4.17
SATHAISPAT, EQ, 20-Apr-2020,1.5,1.55,1.55,1.55, 1.55,1.55,1.55,1507,0.02,4, 1507, 100.00,3.33
SATHAISPAT, EQ, 21-Apr-2020,1.55,1.55,1.6,1.55,1.55,1.55,1.59,4280,0.07,15, 4280, 100.00,0.0
SATHAISPAT, EQ, 22-Apr-2020,1.55,1.55,1.55,1.55,1.55,1.55,1.55,200,0.0,1, 200, 100.00,0.0
SATHAISPAT, EQ, 23-Mar-2020,1.15,1.15,1.2,1.1, 1.20,1.2,1.19,226,0.0,4, 216, 95.58,4.35
SATHAISPAT, EQ, 23-Apr-2020,1.55,1.6,1.6,1.5,1.5,1.5,1.55,5680,0.09,7, 5680, 100.00,-3.23
SATHAISPAT, EQ, 24-Mar-2020,1.2,1.2,1.25,1.2, 1.25,1.25,1.2,139,0.0,5, 139, 100.00,4.17
SATHAISPAT, EQ, 24-Apr-2020,1.5,1.55,1.55,1.55,1.55,1.55,1.55,10,0.0,1, 10, 100.00,3.33
SATHAISPAT, EQ, 25-Mar-2020,1.25,1.3,1.3,1.2, 1.20,1.2,1.28,510,0.01,4, 510, 100.00,-4.0
SATHAISPAT, EQ, 26-Mar-2020,1.2,1.25,1.25,1.2, 1.20,1.25,1.25,7251,0.09,58, 7251, 100.00,4.17
SATHAISPAT, EQ, 27-Mar-2020,1.25,1.25,1.25,1.2, 1.25,1.25,1.24,400,0.0,3, 400, 100.00,0.0
SATHAISPAT, EQ, 27-Apr-2020,1.55,1.55,1.6,1.5, 1.60,1.6,1.53,2581,0.04,10, 2402, 93.06,3.23
SATHAISPAT, EQ, 28-Apr-2020,1.6,1.65,1.65,1.65, 1.65,1.65,1.65,54,0.0,3, 54, 100.00,3.12
SATHAISPAT, EQ, 29-Apr-2020,1.65,1.7,1.7,1.7,1.7,1.7,1.7,21,0.0,2, 21, 100.00,3.03
SATHAISPAT, EQ, 30-Mar-2020,1.25,1.25,1.25,1.2, 1.25,1.25,1.25,321,0.0,3, 321, 100.00,0.0
