SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
SBIETFIT, EQ, 01-Jan-2021,243.5,247.99,247.99,243.52, 244.56,244.6,244.75,3690,9.03,77, 3299, 89.40,0.45
SBIETFIT, EQ, 01-Jan-2024,375.09,370.5,378.98,370.21, 375.11,376.16,374.69,9397,35.21,266, 5002, 53.23,0.29
SBIETFIT, EQ, 01-Jan-2025,465.02,478.95,478.95,463.62,464.56,466.09,465.53,3835,17.85,165, 2505, 65.32,0.23
SBIETFIT, EQ, 01-Feb-2021,249.66,254.0,254.0,245.9, 253.26,252.74,249.68,4692,11.71,196, 3537, 75.38,1.23
SBIETFIT, EQ, 01-Feb-2022,357.0,364.98,366.0,357.0,362.89,362.9,361.1,11685,42.19,322, 7643, 65.41,1.65
SBIETFIT, EQ, 01-Feb-2023,309.39,314.99,314.99,309.1, 312.50,311.21,310.78,7348,22.84,234, 4966, 67.58,0.59
SBIETFIT, EQ, 01-Feb-2024,387.46,381.18,389.9,381.18, 386.01,387.38,387.33,5678,21.99,174, 4719, 83.11,-0.02
SBIETFIT, EQ, 01-Mar-2021,246.19,250.0,251.0,246.05, 250.00,248.65,248.37,1570,3.9,127, 1145, 72.93,1.0
SBIETFIT, EQ, 01-Mar-2023,309.06,308.3,313.0,308.3, 312.60,312.81,311.86,5578,17.4,187, 3962, 71.03,1.21
SBIETFIT, EQ, 01-Mar-2024,399.86,411.85,411.85,396.08, 404.00,397.79,398.28,4377,17.43,260, 3224, 73.66,-0.52
SBIETFIT, EQ, 01-Apr-2021,257.59,260.0,265.0,259.2, 265.00,264.93,264.49,10185,26.94,99, 9680, 95.04,2.85
SBIETFIT, EQ, 01-Apr-2022,370.48,384.0,384.0,368.62, 373.13,372.24,370.53,9323,34.54,237, 6475, 69.45,0.48
SBIETFIT, EQ, 01-Apr-2024,371.15,371.31,377.9,369.46, 375.80,371.7,371.82,24336,90.49,1023, 21493, 88.32,0.15
