SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
SECMARK, EQ, 01-Jan-2024,127.65,132.8,135.0,125.3, 127.40,127.95,129.74,34521,44.79,858, 10154, 29.41,0.24
SECMARK, EQ, 01-Jan-2025,112.96,111.46,113.96,110.56,111.6,111.6,111.46,586,0.65,54, 365, 62.29,-1.2
SECMARK, EQ, 01-Apr-2025,83.05,84.95,87.0,83.4,84.6,85.8,84.74,23,0.02,22, 20, 86.96,3.31
SECMARK, EQ, 01-Aug-2024,99.96,100.98,101.0,98.0,98.02,98.02,99.46,407,0.4,55, 296, 72.73,-1.94
SECMARK, EQ, 01-Oct-2024,92.86,95.95,95.95,91.21,92.9,91.51,92.43,538,0.5,42, 288, 53.53,-1.45
SECMARK, EQ, 01-Nov-2023,84.65,84.6,89.0,77.55, 82.00,84.3,85.39,14256,12.17,552, 4093, 28.71,-0.41
SECMARK, EQ, 01-Dec-2023,87.4,91.15,91.15,86.5, 87.70,87.45,88.97,3890,3.46,236, 2008, 51.62,0.06
SECMARK, EQ, 02-Jan-2024,127.95,131.0,131.0,115.3, 118.20,117.85,119.07,47955,57.1,1491, 26961, 56.22,-7.89
SECMARK, EQ, 02-Jan-2025,111.6,112.1,117.0,111.2,116.6,115.22,114.0,2205,2.51,226, 1328, 60.23,3.24
SECMARK, EQ, 02-Apr-2025,85.8,82.01,91.39,81.42,90.0,88.95,84.01,545,0.46,35, 400, 73.39,3.67
SECMARK, EQ, 02-Aug-2024,98.02,98.03,98.03,97.1,98.02,97.95,97.98,307,0.3,17, 278, 90.55,-0.07
SECMARK, EQ, 02-Sep-2024,94.51,101.89,103.96,93.0,94.0,93.45,96.78,24615,23.82,326, 12786, 51.94,-1.12
SECMARK, EQ, 02-Nov-2023,84.3,77.85,87.0,77.85, 86.90,86.0,84.44,3718,3.14,269, 1794, 48.25,2.02
SECMARK, EQ, 02-Dec-2024,113.89,110.0,125.27,105.05,121.5,120.71,118.24,36910,43.64,1211, 14243, 38.59,5.99
SECMARK, EQ, 03-Jan-2025,115.22,115.19,115.19,109.45,115.0,114.97,112.34,5097,5.73,104, 3253, 63.82,-0.22
SECMARK, EQ, 03-Feb-2025,102.0,107.0,107.0,99.05,100.5,101.95,102.4,5681,5.82,120, 3781, 66.56,-0.05
SECMARK, EQ, 03-Mar-2025,89.46,84.41,92.39,84.41,86.0,88.55,88.38,1532,1.35,46, 1298, 84.73,-1.02
SECMARK, EQ, 03-Apr-2025,88.95,88.8,90.29,86.0,86.06,88.28,88.14,1046,0.92,40, 914, 87.38,-0.75
SECMARK, EQ, 03-Sep-2024,93.45,91.0,96.75,91.0,94.0,93.75,95.11,3631,3.45,154, 2623, 72.24,0.32
SECMARK, EQ, 03-Oct-2024,91.51,92.03,94.38,88.0,88.5,88.72,90.17,1737,1.57,104, 836, 48.13,-3.05
SECMARK, EQ, 03-Nov-2023,86.0,84.75,87.9,81.05, 82.55,82.4,84.66,10919,9.24,562, 3751, 34.35,-4.19
SECMARK, EQ, 03-Dec-2024,120.71,122.47,132.78,122.47,132.78,132.78,130.27,69224,90.18,1753, 24114, 34.83,10.0
SECMARK, EQ, 04-Feb-2025,101.95,103.14,103.14,101.88,103.0,102.99,102.06,855,0.87,34, 687, 80.35,1.02
SECMARK, EQ, 04-Mar-2025,88.55,86.01,93.0,85.98,88.77,88.91,89.72,2559,2.3,86, 2189, 85.54,0.41
SECMARK, EQ, 04-Apr-2025,88.28,88.9,88.9,85.0,85.0,85.0,86.73,182,0.16,12, 142, 78.02,-3.72
SECMARK, EQ, 04-Sep-2024,93.75,94.99,94.99,87.99,92.8,92.3,90.95,5359,4.87,243, 3094, 57.73,-1.55
SECMARK, EQ, 04-Oct-2024,88.72,89.23,92.99,86.01,92.97,92.58,89.46,3651,3.27,118, 1563, 42.81,4.35
SECMARK, EQ, 04-Nov-2024,113.27,112.83,113.27,108.0,110.95,109.86,110.41,3073,3.39,523, 1611, 52.42,-3.01
SECMARK, EQ, 04-Dec-2023,87.45,95.3,95.3,81.5, 91.15,87.6,86.29,8211,7.09,606, 3928, 47.84,0.17
SECMARK, EQ, 04-Dec-2024,132.78,136.95,136.95,126.14,127.5,126.45,129.74,12219,15.85,613, 6870, 56.22,-4.77
SECMARK, EQ, 05-Feb-2025,102.99,103.98,104.0,102.1,103.9,103.67,103.72,70,0.07,12, 35, 50.00,0.66
SECMARK, EQ, 05-Mar-2025,88.91,86.0,95.0,85.4,95.0,93.39,90.74,576,0.52,54, 483, 83.85,5.04
SECMARK, EQ, 05-Aug-2024,97.95,97.94,99.0,93.05,97.2,93.19,95.58,2633,2.52,53, 2172, 82.49,-4.86
SECMARK, EQ, 05-Sep-2024,92.3,94.0,95.75,92.98,93.15,94.77,94.6,4856,4.59,196, 2407, 49.57,2.68
SECMARK, EQ, 05-Nov-2024,109.86,109.93,110.94,107.96,109.78,109.7,108.79,1100,1.2,68, 883, 80.27,-0.15
SECMARK, EQ, 05-Dec-2023,87.6,87.65,88.5,85.2, 86.00,85.95,86.41,3244,2.8,365, 1908, 58.82,-1.88
SECMARK, EQ, 05-Dec-2024,126.45,122.11,128.78,121.0,125.85,124.62,125.05,5438,6.8,264, 3524, 64.80,-1.45
SECMARK, EQ, 06-Jan-2025,114.97,113.81,115.5,109.22,113.0,113.63,112.39,9094,10.22,211, 5877, 64.63,-1.17
SECMARK, EQ, 06-Feb-2025,103.67,106.0,111.99,102.25,102.25,102.71,105.61,2879,3.04,261, 2214, 76.90,-0.93
SECMARK, EQ, 06-Mar-2025,93.39,92.0,96.0,85.3,89.0,89.75,89.31,4340,3.88,261, 1971, 45.41,-3.9
SECMARK, EQ, 06-Aug-2024,93.19,96.47,97.84,92.1,97.84,97.21,95.5,2095,2.0,49, 1755, 83.77,4.31
SECMARK, EQ, 06-Sep-2024,94.77,94.8,95.18,92.48,92.48,93.94,94.17,2205,2.08,101, 1790, 81.18,-0.88
SECMARK, EQ, 06-Nov-2023,82.4,88.0,88.0,81.95, 84.30,83.5,83.82,1906,1.6,161, 899, 47.17,1.33
SECMARK, EQ, 06-Nov-2024,109.7,107.38,111.58,105.49,105.89,106.18,106.58,8174,8.71,340, 5925, 72.49,-3.21
SECMARK, EQ, 06-Dec-2023,85.95,88.1,88.65,85.05, 86.00,86.0,86.22,3342,2.88,180, 2875, 86.03,0.06
SECMARK, EQ, 06-Dec-2024,124.62,128.95,128.95,118.38,122.0,121.93,122.06,9034,11.03,322, 6604, 73.10,-2.16
SECMARK, EQ, 07-Jan-2025,113.63,112.06,118.28,109.91,112.0,113.58,113.34,5929,6.72,281, 3097, 52.23,-0.04
SECMARK, EQ, 07-Feb-2025,102.71,105.25,105.99,102.97,102.99,103.13,103.48,628,0.65,29, 515, 82.01,0.41
SECMARK, EQ, 07-Mar-2025,89.75,93.99,97.4,83.41,86.81,84.69,89.35,5074,4.53,458, 2305, 45.43,-5.64
SECMARK, EQ, 07-Apr-2025,85.0,75.0,87.7,75.0,85.0,85.06,84.45,1732,1.46,104, 1228, 70.90,0.07
SECMARK, EQ, 07-Aug-2024,97.21,99.22,102.8,99.2,100.05,100.53,100.57,1198,1.2,38, 987, 82.39,3.42
SECMARK, EQ, 07-Oct-2024,92.58,94.5,94.5,86.02,86.02,88.66,90.32,651,0.59,38, 331, 50.84,-4.23
SECMARK, EQ, 07-Nov-2023,83.5,85.5,93.4,80.9, 90.00,90.4,87.9,26409,23.21,990, 13004, 49.24,8.26
SECMARK, EQ, 07-Nov-2024,106.18,104.75,107.39,102.99,107.0,104.97,104.47,9481,9.91,347, 5486, 57.86,-1.14
SECMARK, EQ, 07-Dec-2023,86.0,84.65,85.5,81.0, 83.60,83.85,83.93,6209,5.21,481, 3609, 58.13,-2.5
SECMARK, EQ, 08-Jan-2025,113.58,115.0,116.42,109.45,113.0,112.61,112.97,2320,2.62,117, 1691, 72.89,-0.85
SECMARK, EQ, 08-Apr-2024,108.6,118.25,118.25,102.0, 102.00,104.0,107.93,10020,10.81,333, 7146, 71.32,-4.24
SECMARK, EQ, 08-Apr-2025,85.06,86.0,88.9,82.0,84.0,84.0,85.25,1267,1.08,103, 1068, 84.29,-1.25
SECMARK, EQ, 08-Aug-2024,100.53,100.55,103.04,91.2,91.2,92.98,100.06,1051,1.05,29, 1032, 98.19,-7.51
SECMARK, EQ, 08-Oct-2024,88.66,88.7,105.88,88.65,102.0,100.22,100.81,52717,53.14,1126, 25690, 48.73,13.04
SECMARK, EQ, 08-Nov-2023,90.4,97.9,97.9,88.2, 91.90,90.7,91.49,8177,7.48,218, 5359, 65.54,0.33
SECMARK, EQ, 08-Nov-2024,104.97,107.0,107.39,101.25, 101.25,102.89,104.52,3642,3.81,216, 2329, 63.95,-1.98
SECMARK, EQ, 08-Dec-2023,83.85,85.5,86.45,83.0, 83.95,83.5,85.37,9937,8.48,309, 8539, 85.93,-0.42
SECMARK, EQ, 09-Jan-2025,112.61,112.46,112.6,108.2,110.5,109.28,110.12,1116,1.23,91, 734, 65.77,-2.96
SECMARK, EQ, 09-Apr-2024,104.0,104.95,113.95,100.25, 105.40,103.7,105.8,4510,4.77,401, 2651, 58.78,-0.29
SECMARK, EQ, 09-Apr-2025,84.0,87.0,87.0,84.42,84.42,84.44,84.45,1488,1.26,12, 1488, 100.00,0.52
SECMARK, EQ, 09-Aug-2024,92.98,101.8,102.27,97.0,101.4,101.39,100.73,2139,2.15,53, 1283, 59.98,9.04
SECMARK, EQ, 09-Sep-2024,93.94,86.8,95.19,86.8,94.0,92.82,92.66,2015,1.87,113, 1352, 67.10,-1.19
SECMARK, EQ, 09-Oct-2024,100.22,100.22,120.26,98.0,101.1,107.73,111.43,146522,163.26,2482, 43883, 29.95,7.49
SECMARK, EQ, 09-Nov-2023,90.7,89.05,94.15,86.6, 86.60,87.3,88.86,6651,5.91,452, 3717, 55.89,-3.75
SECMARK, EQ, 09-Dec-2024,121.93,127.65,127.7,122.0,122.15,124.28,125.4,3005,3.77,128, 1755, 58.40,1.93
SECMARK, EQ, 10-Jan-2025,109.28,107.95,109.41,103.81,103.81,104.46,105.7,849,0.9,71, 622, 73.26,-4.41
SECMARK, EQ, 10-Feb-2025,103.13,101.95,104.97,98.0,100.45,101.49,102.96,1649,1.7,184, 1420, 86.11,-1.59
SECMARK, EQ, 10-Mar-2025,84.69,88.0,92.4,86.0,87.7,88.05,89.15,2868,2.56,127, 1681, 58.61,3.97
SECMARK, EQ, 10-Apr-2024,103.7,104.25,112.0,104.2, 112.00,108.75,107.56,1986,2.14,51, 1584, 79.76,4.87
SECMARK, EQ, 10-Sep-2024,92.82,95.0,95.0,90.1,90.1,90.68,91.71,7785,7.14,214, 6951, 89.29,-2.31
SECMARK, EQ, 10-Oct-2024,107.73,100.1,107.99,100.0,103.01,104.63,104.18,18812,19.6,681, 10715, 56.96,-2.88
SECMARK, EQ, 10-Nov-2023,87.3,90.85,91.25,87.25,90.0,88.0,88.87,2898,2.58,101, 2112, 72.88,0.8
SECMARK, EQ, 10-Dec-2024,124.28,121.54,124.94,120.63,121.5,123.08,123.07,887,1.09,75, 490, 55.24,-0.97
SECMARK, EQ, 11-Feb-2025,101.49,98.6,101.0,97.1,97.85,98.15,98.87,544,0.54,42, 413, 75.92,-3.29
SECMARK, EQ, 11-Mar-2025,88.05,88.0,90.0,87.0,89.0,88.99,89.59,733,0.66,37, 571, 77.90,1.07
SECMARK, EQ, 11-Apr-2025,84.44,87.0,88.0,84.42,87.45,87.13,85.37,916,0.78,23, 698, 76.20,3.19
SECMARK, EQ, 11-Sep-2024,90.68,94.78,95.1,91.79,93.1,93.54,93.7,2636,2.47,158, 1437, 54.51,3.15
SECMARK, EQ, 11-Oct-2024,104.63,102.9,105.99,100.35,100.37,102.41,103.86,5509,5.72,230, 3670, 66.62,-2.12
SECMARK, EQ, 11-Nov-2024,102.89,104.25,105.49,101.0, 101.00,101.95,102.49,3359,3.44,273, 2499, 74.40,-0.91
SECMARK, EQ, 11-Dec-2023,83.5,86.0,86.5,84.05, 84.95,85.05,85.2,2882,2.46,179, 2176, 75.50,1.86
SECMARK, EQ, 11-Dec-2024,123.08,119.41,123.0,118.1,118.1,120.29,119.85,4222,5.06,367, 2013, 47.68,-2.27
SECMARK, EQ, 12-Feb-2025,98.15,97.8,104.98,97.8,99.45,99.45,98.8,1289,1.27,46, 907, 70.36,1.32
SECMARK, EQ, 12-Mar-2025,88.99,89.9,89.9,85.06,87.85,86.27,87.52,1057,0.93,53, 679, 64.24,-3.06
SECMARK, EQ, 12-Apr-2024,108.75,114.9,114.9,105.2, 110.00,109.95,109.9,3686,4.05,226, 2970, 80.58,1.1
SECMARK, EQ, 12-Aug-2024,101.39,108.98,108.98,100.05,102.5,101.28,102.59,2708,2.78,77, 2468, 91.14,-0.11
SECMARK, EQ, 12-Sep-2024,93.54,93.14,93.14,90.06,90.06,90.49,90.96,220,0.2,13, 110, 50.00,-3.26
SECMARK, EQ, 12-Nov-2024,101.95,105.56,107.9,100.1,100.11,101.49,103.23,1317,1.36,95, 692, 52.54,-0.45
SECMARK, EQ, 12-Dec-2023,85.05,84.55,85.5,83.75, 84.05,84.25,84.94,893,0.76,79, 704, 78.84,-0.94
SECMARK, EQ, 12-Dec-2024,120.29,119.91,124.18,116.0,116.0,118.81,119.43,6820,8.14,240, 5233, 76.73,-1.23
SECMARK, EQ, 13-Jan-2025,104.46,104.2,106.99,101.03,104.8,104.79,103.07,1909,1.97,111, 1343, 70.35,0.32
SECMARK, EQ, 13-Feb-2025,99.45,105.99,105.99,97.89,98.62,99.56,101.84,628,0.64,20, 407, 64.81,0.11
SECMARK, EQ, 13-Mar-2025,86.27,86.7,86.7,81.55,82.1,82.65,82.88,7298,6.05,383, 6382, 87.45,-4.2
SECMARK, EQ, 13-Aug-2024,101.28,101.03,101.28,95.4,98.0,100.98,98.4,2936,2.89,333, 986, 33.58,-0.3
SECMARK, EQ, 13-Sep-2024,90.49,93.29,93.4,90.0,90.01,90.26,92.13,1947,1.79,52, 1707, 87.67,-0.25
SECMARK, EQ, 13-Nov-2023,90.2,82.1,91.85,82.1, 90.00,89.6,90.24,10661,9.62,559, 1557, 14.60,-0.67
SECMARK, EQ, 13-Nov-2024,101.49,102.47,105.9,92.35,95.31,96.98,100.55,5754,5.79,443, 2342, 40.70,-4.44
SECMARK, EQ, 13-Dec-2023,84.25,84.85,84.9,82.0, 84.00,82.65,83.7,4668,3.91,135, 3553, 76.11,-1.9
SECMARK, EQ, 13-Dec-2024,118.81,119.35,124.75,118.98,124.75,124.75,123.87,15421,19.1,207, 10438, 67.69,5.0
SECMARK, EQ, 14-Jan-2025,104.79,105.14,110.02,103.5,109.38,109.43,107.04,2147,2.3,122, 1770, 82.44,4.43
SECMARK, EQ, 14-Feb-2025,99.56,99.01,105.0,94.16,99.88,98.65,97.51,2437,2.38,98, 1691, 69.39,-0.91
SECMARK, EQ, 14-Aug-2024,100.98,101.02,102.5,96.01,102.5,100.37,98.78,3273,3.23,495, 283, 8.65,-0.6
SECMARK, EQ, 14-Oct-2024,102.41,104.4,122.89,100.41,122.89,122.89,119.63,242193,289.74,3583, 45480, 18.78,20.0
SECMARK, EQ, 14-Nov-2024,96.98,101.99,101.99,99.0, 99.00,100.32,100.62,1431,1.44,51, 1085, 75.82,3.44
SECMARK, EQ, 14-Dec-2023,82.65,83.65,87.9,82.1, 83.10,83.35,84.65,3607,3.05,198, 2722, 75.46,0.85
SECMARK, EQ, 15-Jan-2025,109.43,108.94,111.98,107.1,107.1,108.07,108.88,974,1.06,85, 441, 45.28,-1.24
SECMARK, EQ, 15-Apr-2024,109.95,107.5,114.0,107.5, 109.25,111.9,111.82,2525,2.82,150, 1942, 76.91,1.77
SECMARK, EQ, 15-Apr-2025,87.13,87.45,88.44,84.0,85.9,86.32,85.74,1859,1.59,41, 1704, 91.66,-0.93
SECMARK, EQ, 15-Oct-2024,122.89,133.9,135.17,130.45,135.17,135.17,134.06,250064,335.25,3598, 62594, 25.03,9.99
SECMARK, EQ, 15-Nov-2023,89.6,85.2,91.0,85.2, 88.20,88.65,89.53,11139,9.97,691, 4899, 43.98,-1.06
SECMARK, EQ, 15-Dec-2023,83.35,85.9,100.0,81.4, 92.50,93.1,95.31,61398,58.52,1025, 21990, 35.82,11.7
SECMARK, EQ, 16-Jan-2025,108.07,108.06,111.4,108.06,110.5,108.44,109.0,438,0.48,27, 321, 73.29,0.34
SECMARK, EQ, 16-Apr-2024,111.9,109.35,116.6,104.25, 104.25,106.55,108.91,3451,3.76,162, 2274, 65.89,-4.78
SECMARK, EQ, 16-Apr-2025,86.32,90.0,103.58,90.0,103.58,103.58,99.57,15804,15.74,167, 12004, 75.96,20.0
SECMARK, EQ, 16-Jul-2024,100.0,101.0,101.0,97.6,97.81,97.81,99.25,1082,1.07,23, 1081, 99.91,-2.19
SECMARK, EQ, 16-Aug-2024,100.37,100.4,101.75,94.01,96.4,98.58,97.57,1183,1.15,192, 447, 37.79,-1.78
SECMARK, EQ, 16-Sep-2024,90.26,91.97,93.8,89.79,90.04,92.99,92.44,2725,2.52,106, 2274, 83.45,3.02
SECMARK, EQ, 16-Oct-2023,101.7,113.0,114.95,93.25, 93.25,94.15,100.74,31938,32.17,947, 21700, 67.94,-7.42
SECMARK, EQ, 16-Oct-2024,135.17,142.0,145.1,123.0,125.0,125.16,130.77,150779,197.17,3564, 44293, 29.38,-7.41
SECMARK, EQ, 16-Nov-2023,88.65,89.9,92.95,89.25, 92.75,91.45,90.62,5654,5.12,295, 3024, 53.48,3.16
SECMARK, EQ, 16-Dec-2024,124.75,127.2,127.2,120.06,120.3,120.87,122.48,5335,6.53,317, 3061, 57.38,-3.11
SECMARK, EQ, 17-Jan-2025,108.44,111.49,111.49,109.25,110.0,110.51,109.88,176,0.19,27, 126, 71.59,1.91
SECMARK, EQ, 17-Feb-2025,98.65,90.8,107.0,90.8,99.99,97.0,98.04,625,0.61,48, 346, 55.36,-1.67
SECMARK, EQ, 17-Mar-2025,82.65,83.0,90.91,83.0,90.91,90.91,90.48,5661,5.12,116, 4703, 83.08,9.99
SECMARK, EQ, 17-Apr-2025,103.58,124.29,124.29,123.0,124.29,124.29,124.27,83799,104.13,319, 25509, 30.44,19.99
SECMARK, EQ, 16-Jul-2024,100.0,101.0,101.0,97.6,97.81,97.81,99.25,1082,1.07,23, 1081, 99.91,-2.19
SECMARK, EQ, 17-Sep-2024,92.99,93.5,94.69,91.31,92.2,93.79,93.37,1913,1.79,99, 1612, 84.27,0.86
SECMARK, EQ, 17-Oct-2023,94.15,94.2,99.8,92.55,94.0,93.7,94.88,8880,8.43,411, 4798, 54.03,-0.48
SECMARK, EQ, 17-Oct-2024,125.16,126.72,127.45,113.56,116.5,115.62,118.7,16776,19.91,1024, 8164, 48.66,-7.62
SECMARK, EQ, 17-Nov-2023,91.45,90.8,92.9,88.5, 92.90,92.0,90.94,4364,3.97,311, 2225, 50.99,0.6
SECMARK, EQ, 17-Dec-2024,120.87,120.0,123.69,116.41,117.6,117.83,119.25,3874,4.62,221, 1977, 51.03,-2.52
SECMARK, EQ, 18-Feb-2025,97.0,93.43,96.0,91.4,96.0,95.23,93.92,4791,4.5,171, 3310, 69.09,-1.82
SECMARK, EQ, 18-Mar-2025,90.91,100.0,100.0,88.0,88.33,89.61,92.44,8904,8.23,379, 3008, 33.78,-1.43
SECMARK, EQ, 18-Apr-2024,106.55,107.15,112.0,106.55, 111.25,110.2,109.78,3196,3.51,153, 2478, 77.53,3.43
SECMARK, EQ, 18-Jul-2024,97.81,97.88,97.88,97.87,97.87,97.87,97.87,3,0.0,3, 2, 66.67,0.06
SECMARK, EQ, 18-Sep-2024,93.79,93.03,102.98,90.01,95.44,96.36,96.07,15176,14.58,383, 6132, 40.41,2.74
SECMARK, EQ, 18-Oct-2023,93.7,95.65,96.6,91.0, 95.10,92.55,94.22,5430,5.12,207, 3364, 61.95,-1.23
SECMARK, EQ, 18-Oct-2024,115.62,113.9,115.5,106.0,110.5,111.69,110.43,21337,23.56,788, 9007, 42.21,-3.4
SECMARK, EQ, 18-Nov-2024,100.32,100.74,100.74,93.51,96.72,96.52,96.0,3965,3.81,117, 2297, 57.93,-3.79
SECMARK, EQ, 18-Dec-2023,93.1,95.0,97.25,85.55, 87.00,87.65,91.05,12270,11.17,395, 7102, 57.88,-5.85
SECMARK, EQ, 18-Dec-2024,117.83,122.4,123.5,117.0,119.99,119.86,121.01,16763,20.28,653, 3036, 18.11,1.72
SECMARK, EQ, 19-Feb-2025,95.23,95.22,99.9,91.0,96.6,96.6,96.63,1173,1.13,121, 670, 57.12,1.44
SECMARK, EQ, 19-Mar-2025,89.61,89.99,92.99,88.8,91.5,91.08,91.31,879,0.8,117, 423, 48.12,1.64
SECMARK, EQ, 19-Apr-2024,110.2,111.95,112.0,105.65, 106.35,107.3,109.11,1469,1.6,106, 1014, 69.03,-2.63
SECMARK, EQ, 19-Jul-2024,97.87,96.1,99.98,96.1,97.0,97.0,97.17,588,0.57,12, 584, 99.32,-0.89
SECMARK, EQ, 19-Aug-2024,98.58,101.6,101.6,96.4,97.0,99.3,98.43,878,0.86,104, 342, 38.95,0.73
