SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
SGIL, EQ, 01-Jan-2024,318.15,327.0,330.45,318.55, 321.10,324.8,322.97,20341,65.69,954, 14941, 73.45,2.09
SGIL, EQ, 01-Feb-2022,196.0,204.95,220.0,196.0,203.55,203.95,209.6,48046,100.7,2730, 16552, 34.45,4.06
SGIL, EQ, 01-Feb-2023,143.35,146.15,146.15,139.0, 139.00,141.1,143.64,9213,13.23,559, 3398, 36.88,-1.57
SGIL, EQ, 01-Feb-2024,387.8,387.0,419.0,387.0, 387.55,389.2,403.71,108783,439.16,7618, 60580, 55.69,0.36
SGIL, EQ, 01-Mar-2023,126.2,126.2,126.8,121.0, 122.15,123.0,123.81,9193,11.38,1130, 2819, 30.66,-2.54
SGIL, EQ, 01-Mar-2024,340.9,362.5,362.5,335.1, 339.55,338.1,343.9,22082,75.94,1260, 14173, 64.18,-0.82
SGIL, EQ, 01-Apr-2022,178.7,177.05,183.65,174.15, 180.55,181.7,177.96,4100,7.3,192, 2559, 62.41,1.68
SGIL, EQ, 01-Apr-2024,344.6,365.0,370.0,344.0, 344.60,345.3,351.62,20053,70.51,1403, 11053, 55.12,0.2
SGIL, EQ, 01-Apr-2025,396.1,399.0,409.3,394.15,401.0,401.9,401.47,12158,48.81,624, 7181, 59.06,1.46
SGIL, EQ, 01-Jun-2022,170.4,174.7,179.7,167.2,171.05,172.3,173.83,6117,10.63,224, 3162, 51.69,1.12
SGIL, EQ, 01-Jun-2023,153.75,157.55,158.0,153.2, 157.90,157.1,155.87,36701,57.2,784, 17094, 46.58,2.18
SGIL, EQ, 01-Jul-2022,150.6,150.0,154.85,148.05,154.85,151.6,150.52,2695,4.06,103, 2112, 78.37,0.66
SGIL, EQ, 01-Jul-2024,352.0,352.1,361.7,352.0,353.9,352.4,354.82,23723,84.17,1444, 14186, 59.80,0.11
SGIL, EQ, 01-Aug-2022,161.55,165.0,165.0,159.95, 160.25,160.2,161.18,1751,2.82,121, 1197, 68.36,-0.84
SGIL, EQ, 01-Aug-2024,365.7,365.85,369.75,345.0,351.4,347.35,353.3,41452,146.45,4922, 28203, 68.04,-5.02
