SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
SILVERCASE, EQ, 01-Apr-2025,10.37,10.63,10.79,10.2,10.27,10.26,10.31,631503,65.08,1892, 611129, 96.77,-1.06
SILVERCASE, EQ, 02-Apr-2025,10.26,10.28,10.35,10.18,10.22,10.25,10.23,220140,22.53,464, 216200, 98.21,-0.1
SILVERCASE, EQ, 03-Apr-2025,10.25,10.45,10.55,9.0,9.95,9.96,10.03,493084,49.47,1057, 467762, 94.86,-2.83
SILVERCASE, EQ, 04-Apr-2025,9.96,10.16,10.16,9.51,9.57,9.56,9.59,991921,95.08,999, 871063, 87.82,-4.02
SILVERCASE, EQ, 07-Apr-2025,9.56,9.85,10.04,9.09,9.29,9.25,9.31,1094256,101.84,1196, 810353, 74.06,-3.24
SILVERCASE, EQ, 08-Apr-2025,9.25,9.55,9.7,9.17,9.32,9.31,9.29,499674,46.44,599, 423645, 84.78,0.65
SILVERCASE, EQ, 09-Apr-2025,9.31,9.6,9.6,9.21,9.37,9.37,9.34,573805,53.6,371, 529070, 92.20,0.64
SILVERCASE, EQ, 11-Apr-2025,9.37,9.65,9.8,9.52,9.62,9.57,9.58,508790,48.73,492, 297308, 58.43,2.13
SILVERCASE, EQ, 15-Apr-2025,9.57,9.85,10.09,9.75,9.83,9.83,9.81,318858,31.29,542, 264826, 83.05,2.72
SILVERCASE, EQ, 16-Apr-2025,9.83,10.03,10.04,9.81,9.93,9.95,9.86,674642,66.52,450, 358508, 53.14,1.22
SILVERCASE, EQ, 17-Apr-2025,9.95,10.07,10.37,9.78,9.79,9.81,9.83,296458,29.15,666, 249446, 84.14,-1.41
SILVERCASE, EQ, 21-Apr-2025,9.81,9.96,10.04,9.79,9.89,9.87,9.9,410350,40.61,804, 346465, 84.43,0.61
SILVERCASE, EQ, 22-Apr-2025,9.87,10.03,10.05,9.7,9.8,9.72,9.84,424844,41.81,669, 275070, 64.75,-1.52
SILVERCASE, EQ, 23-Apr-2025,9.72,9.84,9.99,9.84,9.93,9.94,9.91,260007,25.77,492, 142314, 54.73,2.26
SILVERCASE, EQ, 24-Apr-2025,9.94,10.0,10.38,10.0,10.05,10.05,10.07,381986,38.46,587, 268269, 70.23,1.11
SILVERCASE, EQ, 25-Apr-2025,10.05,10.24,10.24,10.0,10.06,10.05,10.04,188723,18.95,358, 152819, 80.98,0.0
SILVERCASE, EQ, 26-Mar-2025,10.02,10.97,10.99,10.1,10.18,10.17,10.17,156206,15.89,400, 152457, 97.60,1.5
SILVERCASE, EQ, 27-Mar-2025,10.17,10.43,10.43,10.16,10.18,10.18,10.2,132253,13.49,256, 124335, 94.01,0.1
SILVERCASE, EQ, 28-Mar-2025,10.18,10.44,10.68,10.3,10.37,10.37,10.39,319079,33.14,460, 312373, 97.90,1.87
