SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
SIMBHALS, EQ, 01-Jan-2020,6.3,6.4,6.6,6.2, 6.60,6.6,6.42,19314,1.24,32, 17803, 92.18,4.76
SIMBHALS, EQ, 01-Jan-2021,7.6,7.9,7.95,7.6, 7.95,7.9,7.91,27507,2.18,87, 24988, 90.84,3.95
SIMBHALS, EQ, 01-Jan-2024,29.45,29.5,29.85,29.2, 29.65,29.6,29.59,223094,66.02,845, 160176, 71.80,0.51
SIMBHALS, EQ, 01-Feb-2021,6.75,6.95,6.95,6.6, 6.60,6.6,6.73,7167,0.48,55, 6962, 97.14,-2.22
SIMBHALS, EQ, 01-Feb-2022,20.7,21.1,21.1,20.0,20.1,20.3,20.51,41784,8.57,358, 32160, 76.97,-1.93
SIMBHALS, EQ, 01-Feb-2023,23.95,24.4,24.65,22.3, 23.25,23.0,23.92,62893,15.04,399, 36173, 57.52,-3.97
SIMBHALS, EQ, 01-Feb-2024,31.9,32.15,33.3,30.0, 31.00,30.95,31.84,611114,194.59,2587, 351674, 57.55,-2.98
SIMBHALS, EQ, 01-Mar-2021,7.0,7.3,7.3,6.65, 6.95,6.8,7.02,48352,3.39,137, 14352, 29.68,-2.86
SIMBHALS, EQ, 01-Mar-2023,19.6,19.9,20.75,19.85, 20.55,20.5,20.41,27960,5.71,172, 22883, 81.84,4.59
SIMBHALS, EQ, 01-Mar-2024,30.85,31.3,32.5,31.1, 31.45,31.25,31.62,168805,53.38,827, 84242, 49.90,1.3
SIMBHALS, EQ, 01-Apr-2020,4.25,4.45,4.45,4.45,4.45,4.45,4.45,4183,0.19,21, 4183, 100.00,4.71
SIMBHALS, EQ, 01-Apr-2021,7.1,7.45,7.45,7.45, 7.45,7.45,7.45,15980,1.19,32, 15960, 99.87,4.93
SIMBHALS, EQ, 01-Apr-2022,22.4,22.1,23.5,22.1, 23.50,23.5,23.15,84212,19.49,306, 66952, 79.50,4.91
SIMBHALS, EQ, 01-Apr-2024,24.75,25.4,27.25,25.2, 26.80,26.55,26.41,154876,40.9,683, 70649, 45.62,7.27
SIMBHALS, EQ, 01-Jun-2020,5.25,5.45,5.5,5.45, 5.50,5.5,5.49,20477,1.12,29, 15893, 77.61,4.76
SIMBHALS, EQ, 01-Jun-2023,25.1,25.8,26.0,23.95, 24.40,24.25,24.93,128855,32.13,570, 78850, 61.19,-3.39
SIMBHALS, EQ, 01-Jul-2022,21.85,22.7,22.7,21.2,21.55,21.65,21.7,4504,0.98,76, 3218, 71.45,-0.92
SIMBHALS, EQ, 01-Aug-2022,21.15,20.1,21.0,20.1, 20.20,20.35,20.25,209833,42.49,643, 135020, 64.35,-3.78
SIMBHALS, EQ, 01-Aug-2023,24.25,24.25,24.65,24.15, 24.45,24.3,24.36,33390,8.13,226, 20243, 60.63,0.21
SIMBHALS, EQ, 01-Sep-2020,8.3,8.45,8.7,8.0, 8.70,8.7,8.61,8722,0.75,36, 8140, 93.33,4.82
SIMBHALS, EQ, 01-Sep-2022,18.4,18.7,19.7,18.4,19.3,19.45,19.24,64759,12.46,349, 51603, 79.68,5.71
SIMBHALS, EQ, 01-Sep-2023,27.1,27.35,29.3,27.25, 29.00,28.8,28.45,783874,223.01,2997, 430173, 54.88,6.27
SIMBHALS, EQ, 01-Oct-2020,6.5,6.5,6.8,6.3, 6.65,6.5,6.42,5380,0.35,38, 3033, 56.38,0.0
SIMBHALS, EQ, 01-Nov-2021,22.75,23.25,23.7,22.5, 23.00,22.8,22.87,11669,2.67,145, 9656, 82.75,0.22
SIMBHALS, EQ, 01-Nov-2022,19.5,19.05,21.4,19.05,20.7,20.65,20.64,102190,21.09,479, 42870, 41.95,5.9
SIMBHALS, EQ, 01-Nov-2023,29.75,30.0,30.85,29.7, 30.20,30.2,30.37,134697,40.9,887, 68106, 50.56,1.51
SIMBHALS, EQ, 01-Dec-2020,6.1,5.9,6.3,5.85,6.05,6.05,6.03,37752,2.27,143, 27194, 72.03,-0.82
SIMBHALS, EQ, 01-Dec-2021,18.15,18.7,18.7,17.35,17.65,17.6,17.63,81702,14.4,256, 61806, 75.65,-3.03
SIMBHALS, EQ, 01-Dec-2022,21.9,22.35,22.9,21.6,21.75,21.8,22.01,63598,14.0,251, 42231, 66.40,-0.46
SIMBHALS, EQ, 01-Dec-2023,30.65,31.0,31.45,30.1, 30.20,30.25,30.72,132454,40.7,761, 90237, 68.13,-1.31
SIMBHALS, EQ, 02-Jan-2020,6.6,6.85,6.9,6.45, 6.70,6.75,6.77,60139,4.07,165, 39740, 66.08,2.27
SIMBHALS, EQ, 02-Jan-2023,27.75,27.95,29.75,27.2, 28.90,28.45,28.55,323267,92.29,1090, 139908, 43.28,2.52
SIMBHALS, EQ, 02-Jan-2024,29.6,29.9,30.55,29.3, 29.70,29.55,29.82,343761,102.51,1049, 207928, 60.49,-0.17
SIMBHALS, EQ, 02-Feb-2021,6.6,6.6,6.9,6.45, 6.90,6.9,6.79,12698,0.86,37, 9971, 78.52,4.55
SIMBHALS, EQ, 02-Feb-2022,20.3,20.75,20.75,20.15, 20.35,20.25,20.32,40550,8.24,270, 28584, 70.49,-0.25
SIMBHALS, EQ, 02-Feb-2023,23.0,22.5,23.8,22.5, 23.20,23.1,23.23,29951,6.96,191, 18821, 62.84,0.43
SIMBHALS, EQ, 02-Feb-2024,30.95,31.55,32.75,30.7, 31.30,31.0,31.81,596974,189.93,2667, 367933, 61.63,0.16
SIMBHALS, EQ, 02-Mar-2020,5.7,5.95,5.95,5.65, 5.75,5.75,5.73,25945,1.49,100, 15499, 59.74,0.88
SIMBHALS, EQ, 02-Mar-2021,6.8,6.95,7.1,6.7,7.0,7.0,7.0,62435,4.37,143, 18104, 29.00,2.94
SIMBHALS, EQ, 02-Mar-2022,20.2,20.7,21.2,19.35, 20.65,20.8,20.88,111332,23.25,447, 71722, 64.42,2.97
SIMBHALS, EQ, 02-Mar-2023,20.5,20.3,21.0,20.15, 20.75,20.65,20.63,28858,5.95,107, 22840, 79.15,0.73
SIMBHALS, EQ, 02-Apr-2024,26.55,26.9,28.5,26.3, 27.70,27.4,27.55,185041,50.98,646, 93178, 50.36,3.2
SIMBHALS, EQ, 02-May-2022,37.35,35.6,36.7,35.5,35.5,35.5,35.61,272423,97.01,711, 180640, 66.31,-4.95
SIMBHALS, EQ, 02-May-2023,25.8,25.65,25.9,24.6, 25.15,25.2,25.04,100909,25.27,462, 58885, 58.35,-2.33
SIMBHALS, EQ, 02-May-2024,29.9,29.9,30.15,29.55, 29.70,29.7,29.7,48250,14.33,294, 32300, 66.94,-0.67
SIMBHALS, EQ, 02-Jun-2020,5.5,5.75,5.75,5.65,5.65,5.7,5.74,32280,1.85,40, 28929, 89.62,3.64
SIMBHALS, EQ, 02-Jun-2023,24.25,24.7,25.1,24.2, 24.40,24.4,24.49,54944,13.46,299, 40946, 74.52,0.62
SIMBHALS, EQ, 02-Aug-2022,20.35,20.05,20.9,20.05,20.7,20.6,20.58,74977,15.43,351, 52078, 69.46,1.23
SIMBHALS, EQ, 02-Aug-2023,24.3,24.3,24.5,23.4, 23.60,23.55,23.82,134081,31.94,552, 80462, 60.01,-3.09
SIMBHALS, EQ, 02-Sep-2020,8.7,8.7,9.1,8.55, 8.55,8.55,8.91,25764,2.29,85, 17064, 66.23,-1.72
SIMBHALS, EQ, 02-Sep-2022,19.45,19.45,20.5,18.9,19.4,19.3,19.59,95195,18.65,391, 69273, 72.77,-0.77
SIMBHALS, EQ, 02-Nov-2020,6.0,5.85,5.9,5.7, 5.90,5.85,5.82,7872,0.46,32, 7182, 91.23,-2.5
SIMBHALS, EQ, 02-Nov-2021,22.8,23.55,23.55,22.55, 22.95,22.9,22.96,28199,6.47,219, 16460, 58.37,0.44
SIMBHALS, EQ, 02-Nov-2022,20.65,21.1,21.1,20.15,20.4,20.5,20.61,24654,5.08,162, 11446, 46.43,-0.73
SIMBHALS, EQ, 02-Nov-2023,30.2,30.35,30.9,29.9, 30.75,30.35,30.33,59844,18.15,390, 30422, 50.84,0.5
SIMBHALS, EQ, 02-Dec-2020,6.05,6.3,6.3,5.8, 6.05,6.05,5.93,30097,1.78,73, 27227, 90.46,0.0
SIMBHALS, EQ, 02-Dec-2021,17.6,17.95,18.15,16.9, 17.85,17.8,17.65,97144,17.15,256, 70822, 72.90,1.14
SIMBHALS, EQ, 02-Dec-2022,21.8,22.05,23.75,21.7, 23.30,23.05,22.95,168241,38.62,790, 85770, 50.98,5.73
SIMBHALS, EQ, 03-Jan-2020,6.75,6.8,7.05,6.6, 6.95,6.75,6.85,32474,2.23,90, 27525, 84.76,0.0
SIMBHALS, EQ, 03-Jan-2022,20.1,20.45,20.65,19.8, 20.35,20.25,20.27,101936,20.66,516, 87633, 85.97,0.75
SIMBHALS, EQ, 03-Jan-2023,28.45,29.45,29.45,28.2, 28.75,28.75,28.84,164349,47.4,621, 98989, 60.23,1.05
SIMBHALS, EQ, 03-Jan-2024,29.55,29.7,29.85,29.3, 29.70,29.5,29.56,177498,52.47,627, 127493, 71.83,-0.17
